,sex,condition,retinal_layer,mod_sex,mod_cond,mod_retinal_layer,Value,surface_type
0,fem1,od1,ipl,fem,od,ipl,6.470093622692312,pcnt_cd68_volume
1,fem1,od2,ipl,fem,od,ipl,5.024049882890328,pcnt_cd68_volume
2,fem1,os1,ipl1,fem,os,ipl,19.111315447293492,pcnt_cd68_volume
3,fem1,os2,gcl1,fem,os,gcl,6.9851174664452245,pcnt_cd68_volume
4,fem1,os2,gcl2,fem,os,gcl,9.34953870186076,pcnt_cd68_volume
5,fem1,os2,ipl1,fem,os,ipl,9.610175785801689,pcnt_cd68_volume
6,fem1,os2,ipl2,fem,os,ipl,9.602036462854748,pcnt_cd68_volume
7,fem2,od1,ipl,fem,od,ipl,3.437732648378127,pcnt_cd68_volume
8,fem2,od1,opl,fem,od,opl,0.539911364557955,pcnt_cd68_volume
9,fem2,od2,ipl1,fem,od,ipl,5.856490425812195,pcnt_cd68_volume
10,fem2,od2,opl1,fem,od,opl,1.7569867754350175,pcnt_cd68_volume
11,fem2,od2,opl2,fem,od,opl,3.713324135531569,pcnt_cd68_volume
12,fem2,os1,ipl,fem,os,ipl,5.402997670605311,pcnt_cd68_volume
13,fem2,os1,opl,fem,os,opl,1.6518450769297102,pcnt_cd68_volume
14,fem2,os2,ipl1,fem,os,ipl,10.02434550057456,pcnt_cd68_volume
15,fem2,os2,ipl2,fem,os,ipl,12.740305200000684,pcnt_cd68_volume
16,fem2,os2,ipl3,fem,os,ipl,12.205951967898345,pcnt_cd68_volume
17,fem3,od1,gcl,fem,od,gcl,2.8045882759454708,pcnt_cd68_volume
18,fem3,od1,ipl,fem,od,ipl,6.261923617322626,pcnt_cd68_volume
19,fem3,od1,opl,fem,od,opl,1.8797899506774227,pcnt_cd68_volume
20,fem3,od2,ipl1,fem,od,ipl,5.251854939025478,pcnt_cd68_volume
21,male1,naiveos,gcl2,male,na,gcl,10.879610424833823,pcnt_cd68_volume
22,male1,naiveos,gcl3,male,na,gcl,5.818551084277217,pcnt_cd68_volume
23,male1,naiveos,gcl4,male,na,gcl,1.2642531784945035,pcnt_cd68_volume
24,male1,od2,ipl1,male,od,ipl,2.94513788325935,pcnt_cd68_volume
25,male1,od2,ipl2,male,od,ipl,8.474378821854456,pcnt_cd68_volume
26,male1,od2,opl,male,od,opl,4.134045351479438,pcnt_cd68_volume
27,male1,os1,gcl1,male,os,gcl,4.707679065729,pcnt_cd68_volume
28,male1,os1,ipl1,male,os,ipl,14.97627612703617,pcnt_cd68_volume
29,male1,os1,ipl2,male,os,ipl,13.489569983182252,pcnt_cd68_volume
30,male1,os1,opl,male,os,opl,9.461380513529258,pcnt_cd68_volume
31,male1,os2,gcl,male,os,gcl,11.59955984544381,pcnt_cd68_volume
32,male1,os2,ipl1,male,os,ipl,21.194513121476202,pcnt_cd68_volume
33,male1,rdos,gcl1,male,rd,gcl,16.14325339646098,pcnt_cd68_volume
34,male1,rdos,ipl1,male,rd,ipl,2.82009531892432,pcnt_cd68_volume
35,male1,rdos,ipl3,male,rd,ipl,18.60646910272524,pcnt_cd68_volume
36,male1,rdos,opl1,male,rd,opl,12.176275163792347,pcnt_cd68_volume
37,male1,wtod,ipl1,male,wt,ipl,1.3559045249325796,pcnt_cd68_volume
38,male1,wtos,gcl1,male,wt,gcl,12.620407303930742,pcnt_cd68_volume
39,male1,wtos,ipl2,male,wt,ipl,0.8816603294695573,pcnt_cd68_volume
40,male1,wtos,opl2,male,wt,opl,3.478875423652697,pcnt_cd68_volume
41,male2,naiveos,ipl2,male,na,ipl,0.3246853471392219,pcnt_cd68_volume
42,male2,naiveos,ipl3,male,na,ipl,1.3951278641987552,pcnt_cd68_volume
43,male2,naiveos,ipl5,male,na,ipl,0.5590659943840812,pcnt_cd68_volume
44,male2,naiveos,opl1,male,na,opl,2.51749162282864,pcnt_cd68_volume
45,male2,naiveos,opl2,male,na,opl,1.2228119703155238,pcnt_cd68_volume
46,male2,naiveos,opl3,male,na,opl,0.42059760867429263,pcnt_cd68_volume
47,male2,od1,gcl,male,od,gcl,6.076943271069836,pcnt_cd68_volume
48,male2,od2,gcl,male,od,gcl,1.1670773207599103,pcnt_cd68_volume
49,male2,os1,gcl,male,os,gcl,5.130626171661314,pcnt_cd68_volume
50,male2,os2,gcl,male,os,gcl,4.187814634725003,pcnt_cd68_volume
51,male2,os2,ipl1,male,os,ipl,2.765957400783275,pcnt_cd68_volume
52,male2,rdos,ipl1,male,rd,ipl,7.864601441309582,pcnt_cd68_volume
53,male2,rdos,opl1,male,rd,opl,6.8329344429905765,pcnt_cd68_volume
54,male3,wtos,opl1,male,wt,opl,0.5968211999504123,pcnt_cd68_volume
55,male4,od1,ipl,male,od,ipl,3.9168350279518647,pcnt_cd68_volume
56,male4,os1,opl,male,os,opl,5.550443298743281,pcnt_cd68_volume
57,male5,od1,ipl2,male,od,ipl,7.17113136554138,pcnt_cd68_volume
58,male5,od1,opl,male,od,opl,1.7877870677359284,pcnt_cd68_volume
59,male5,od2,ipl,male,od,ipl,1.6665938549808725,pcnt_cd68_volume
60,male5,od2,opl,male,od,opl,1.0441056671863518,pcnt_cd68_volume
61,male5,os1,gcl1,male,os,gcl,13.80267908571819,pcnt_cd68_volume
62,male5,os1,ipl,male,os,ipl,11.583953453502897,pcnt_cd68_volume
63,male5,os1,opl,male,os,opl,2.078797605584429,pcnt_cd68_volume
64,male5,os2,opl1,male,os,opl,6.4369202677940915,pcnt_cd68_volume
65,male5,os2,opl2,male,os,opl,5.0444150117006,pcnt_cd68_volume
