,sex,condition,retinal_layer,mod_sex,mod_cond,mod_retinal_layer,Value
0,fem1,od1,ipl,fem,od,ipl,65.02552322153095
1,fem1,od2,ipl,fem,od,ipl,39.97843812711464
2,fem1,os1,ipl1,fem,os,ipl,70.8366786640207
3,fem1,os2,gcl1,fem,os,gcl,39.85252071638553
4,fem1,os2,gcl2,fem,os,gcl,61.59647983665963
5,fem1,os2,ipl1,fem,os,ipl,65.60240394302396
6,fem1,os2,ipl2,fem,os,ipl,45.14987499732306
7,fem2,od1,ipl,fem,od,ipl,20.693250882056162
8,fem2,od1,opl,fem,od,opl,3.870268572120138
9,fem2,od2,ipl1,fem,od,ipl,44.90101087649595
10,fem2,od2,opl1,fem,od,opl,16.086066791881393
11,fem2,od2,opl2,fem,od,opl,44.99053598449972
12,fem2,os1,ipl,fem,os,ipl,27.80863213757688
13,fem2,os1,opl,fem,os,opl,11.644237783028833
14,fem2,os2,ipl1,fem,os,ipl,69.15429419153955
15,fem2,os2,ipl2,fem,os,ipl,55.19056888911689
16,fem2,os2,ipl3,fem,os,ipl,69.65261540781552
17,fem3,od1,gcl,fem,od,gcl,27.30851457279272
18,fem3,od1,ipl,fem,od,ipl,52.00641097187862
19,fem3,od1,opl,fem,od,opl,21.419716626081033
20,fem3,od2,ipl1,fem,od,ipl,26.039066355809233
21,male1,naiveos,gcl2,male,na,gcl,24.40353555920645
22,male1,naiveos,gcl3,male,na,gcl,55.89654188431521
23,male1,naiveos,gcl4,male,na,gcl,15.322041912396617
24,male1,od2,ipl1,male,od,ipl,13.235549462615873
25,male1,od2,ipl2,male,od,ipl,49.57093097365136
26,male1,od2,opl,male,od,opl,24.129946272346086
27,male1,os1,gcl1,male,os,gcl,43.77336647095566
28,male1,os1,ipl1,male,os,ipl,68.66455152944067
29,male1,os1,ipl2,male,os,ipl,51.668383099151946
30,male1,os1,opl,male,os,opl,47.78973324692945
31,male1,os2,gcl,male,os,gcl,55.51134735650608
32,male1,os2,ipl1,male,os,ipl,67.59201689086717
33,male1,rdos,gcl1,male,rd,gcl,91.21142282709398
34,male1,rdos,ipl1,male,rd,ipl,17.89442816250995
35,male1,rdos,ipl3,male,rd,ipl,63.691073573423395
36,male1,rdos,opl1,male,rd,opl,42.94984748491322
37,male1,wtod,ipl1,male,wt,ipl,11.759852299684823
38,male1,wtos,gcl1,male,wt,gcl,75.4029949599234
39,male1,wtos,ipl2,male,wt,ipl,2.739282946310148
40,male1,wtos,opl2,male,wt,opl,37.45068014459056
41,male2,naiveos,ipl2,male,na,ipl,3.480107569250462
42,male2,naiveos,ipl3,male,na,ipl,12.874578435036732
43,male2,naiveos,ipl5,male,na,ipl,2.093567549798135
44,male2,naiveos,opl1,male,na,opl,7.187078673340018
45,male2,naiveos,opl2,male,na,opl,6.417181364995561
46,male2,naiveos,opl3,male,na,opl,3.4168390271542997
47,male2,od1,gcl,male,od,gcl,74.51077745157782
48,male2,od2,gcl,male,od,gcl,10.320536335141536
49,male2,os1,gcl,male,os,gcl,77.34818406705503
50,male2,os2,gcl,male,os,gcl,48.753131059390164
51,male2,os2,ipl1,male,os,ipl,25.54473858026909
52,male2,rdos,ipl1,male,rd,ipl,29.049945254414776
53,male2,rdos,opl1,male,rd,opl,25.332594626969783
54,male3,wtos,opl1,male,wt,opl,4.167632010927388
55,male4,od1,ipl,male,od,ipl,17.547545525405557
56,male4,os1,opl,male,os,opl,45.527432239348606
57,male5,od1,ipl2,male,od,ipl,42.65025630816347
58,male5,od1,opl,male,od,opl,12.348357793440279
59,male5,od2,ipl,male,od,ipl,13.781582585392407
60,male5,od2,opl,male,od,opl,2.884830439946163
61,male5,os1,gcl1,male,os,gcl,98.44247462105106
62,male5,os1,ipl,male,os,ipl,47.233876590921014
63,male5,os1,opl,male,os,opl,17.830763682873716
64,male5,os2,opl1,male,os,opl,36.15166054942897
65,male5,os2,opl2,male,os,opl,46.836917116441754
