,sex,condition,retinal_layer,mod_sex,mod_cond,mod_retinal_layer,Value,surface_type
0,fem1,od1,ipl,fem,od,ipl,37.33037160319117, pcnt mito contact Cd68
1,fem1,od2,ipl,fem,od,ipl,23.031490763227133, pcnt mito contact Cd68
2,fem1,os1,ipl1,fem,os,ipl,41.96895668250551, pcnt mito contact Cd68
3,fem1,os2,gcl1,fem,os,gcl,22.844052801018474, pcnt mito contact Cd68
4,fem1,os2,gcl2,fem,os,gcl,35.00579329286968, pcnt mito contact Cd68
5,fem1,os2,ipl1,fem,os,ipl,37.591816907985205, pcnt mito contact Cd68
6,fem1,os2,ipl2,fem,os,ipl,25.753091192970988, pcnt mito contact Cd68
7,fem2,od1,ipl,fem,od,ipl,11.768346296830332, pcnt mito contact Cd68
8,fem2,od1,opl,fem,od,opl,2.2443246417143694, pcnt mito contact Cd68
9,fem2,od2,ipl1,fem,od,ipl,25.70845322329423, pcnt mito contact Cd68
10,fem2,od2,opl1,fem,od,opl,9.343249847931066, pcnt mito contact Cd68
11,fem2,od2,opl2,fem,od,opl,25.69427117489979, pcnt mito contact Cd68
12,fem2,os1,ipl,fem,os,ipl,15.770326666582907, pcnt mito contact Cd68
13,fem2,os1,opl,fem,os,opl,6.712785113872009, pcnt mito contact Cd68
14,fem2,os2,ipl1,fem,os,ipl,39.60411242048033, pcnt mito contact Cd68
15,fem2,os2,ipl2,fem,os,ipl,32.83964623577716, pcnt mito contact Cd68
16,fem2,os2,ipl3,fem,os,ipl,39.81908766401517, pcnt mito contact Cd68
17,fem3,od1,gcl,fem,od,gcl,14.656586943488712, pcnt mito contact Cd68
18,fem3,od1,ipl,fem,od,ipl,29.64989029377189, pcnt mito contact Cd68
19,fem3,od1,opl,fem,od,opl,12.44161773559725, pcnt mito contact Cd68
20,fem3,od2,ipl1,fem,od,ipl,15.21027182448576, pcnt mito contact Cd68
21,male1,naiveos,gcl2,male,na,gcl,13.956556550478135, pcnt mito contact Cd68
22,male1,naiveos,gcl3,male,na,gcl,31.80420022378859, pcnt mito contact Cd68
23,male1,naiveos,gcl4,male,na,gcl,8.724190757999867, pcnt mito contact Cd68
24,male1,od2,ipl1,male,od,ipl,5.367652859805384, pcnt mito contact Cd68
