
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,0.191534,um^2,Surface,,,,1,0,
Area,0.0297584,um^2,Surface,,,,1,1,
Area,0.048909,um^2,Surface,,,,1,2,
Area,0.0490716,um^2,Surface,,,,1,3,
Area,0.0454833,um^2,Surface,,,,1,4,
Area,0.341261,um^2,Surface,,,,1,5,
Area,0.0297582,um^2,Surface,,,,1,6,
Area,0.0502886,um^2,Surface,,,,1,7,
Area,0.127005,um^2,Surface,,,,1,8,
Area,0.0321335,um^2,Surface,,,,1,9,
Area,0.0321335,um^2,Surface,,,,1,10,
Area,0.135203,um^2,Surface,,,,1,11,
Area,0.0145305,um^2,Surface,,,,1,12,
Area,0.0647826,um^2,Surface,,,,1,13,
Area,0.940163,um^2,Surface,,,,1,14,
Area,0.112915,um^2,Surface,,,,1,15,
Area,0.0145305,um^2,Surface,,,,1,16,
Area,0.106767,um^2,Surface,,,,1,17,
Area,1.32649,um^2,Surface,,,,1,18,
Area,6.26675,um^2,Surface,,,,1,19,
Area,0.00829788,um^2,Surface,,,,1,20,
Area,0.0934858,um^2,Surface,,,,1,21,
Area,5.6195,um^2,Surface,,,,1,22,
Area,0.0321335,um^2,Surface,,,,1,23,
Area,0.824612,um^2,Surface,,,,1,24,
Area,2.3162,um^2,Surface,,,,1,25,
Area,0.205024,um^2,Surface,,,,1,26,
Area,0.169383,um^2,Surface,,,,1,27,
Area,0.145919,um^2,Surface,,,,1,28,
Area,0.178537,um^2,Surface,,,,1,29,
Area,0.0759945,um^2,Surface,,,,1,30,
Area,0.0612313,um^2,Surface,,,,1,31,
Area,0.218595,um^2,Surface,,,,1,32,
Area,1.93979,um^2,Surface,,,,1,33,
Area,0.0849149,um^2,Surface,,,,1,34,
Area,0.151061,um^2,Surface,,,,1,35,
Area,0.63082,um^2,Surface,,,,1,36,
Area,0.287165,um^2,Surface,,,,1,37,
Area,1.59906,um^2,Surface,,,,1,38,
Area,0.202479,um^2,Surface,,,,1,39,
Area,0.028909,um^2,Surface,,,,1,40,
Area,0.0338003,um^2,Surface,,,,1,41,
Area,0.322948,um^2,Surface,,,,1,42,
Area,0.0321332,um^2,Surface,,,,1,43,
Area,0.28014,um^2,Surface,,,,1,44,
Area,0.0978864,um^2,Surface,,,,1,45,
Area,0.11417,um^2,Surface,,,,1,46,
Area,0.168054,um^2,Surface,,,,1,47,
Area,0.24685,um^2,Surface,,,,1,48,
Area,2.70895,um^2,Surface,,,,1,49,
Contact surface area,0.015,um,Surface,,,,,0,
Contact surface area,0.015,um,Surface,,,,,1,
Contact surface area,0.145,um,Surface,,,,,2,
Contact surface area,0.015,um,Surface,,,,,3,
Contact surface area,0.12,um,Surface,,,,,4,
Contact surface area,0.045,um,Surface,,,,,5,
Contact surface area,1.0525,um,Surface,,,,,6,
Contact surface area,0.075,um,Surface,,,,,7,
Contact surface area,0.0325,um,Surface,,,,,8,
Contact surface area,0.065,um,Surface,,,,,9,
Contact surface area,0.0975,um,Surface,,,,,10,
Contact surface area,0.6,um,Surface,,,,,11,
Contact surface area,0.1,um,Surface,,,,,12,
Contact surface area,0.05,um,Surface,,,,,13,
Contact surface area,0.07,um,Surface,,,,,14,
Contact surface area,0.06,um,Surface,,,,,15,
Contact surface area,0.04,um,Surface,,,,,16,
Contact surface area,0.02,um,Surface,,,,,17,
Contact surface area,0.105,um,Surface,,,,,18,
Contact surface area,0.7575,um,Surface,,,,,19,
Contact surface area,0.035,um,Surface,,,,,20,
Contact surface area,0.065,um,Surface,,,,,21,
Contact surface area,0.25,um,Surface,,,,,22,
Contact surface area,0.135,um,Surface,,,,,23,
Contact surface area,0.055,um,Surface,,,,,24,
Contact surface area,0.005,um,Surface,,,,,25,
Contact surface area,0.035,um,Surface,,,,,26,
Contact surface area,0.005,um,Surface,,,,,27,
Contact surface area,0.015,um,Surface,,,,,28,
Contact surface area,0.38,um,Surface,,,,,29,
Contact surface area,0.855,um,Surface,,,,,30,
Contact surface area,0.0375,um,Surface,,,,,31,
Contact surface area,0.09,um,Surface,,,,,32,
Contact surface area,0.015,um,Surface,,,,,33,
Contact surface area,0.025,um,Surface,,,,,34,
Contact surface area,0.025,um,Surface,,,,,35,
Contact surface area,0.0175,um,Surface,,,,,36,
Contact surface area,0.1325,um,Surface,,,,,37,
Contact surface area,0.015,um,Surface,,,,,38,
Contact surface area,0.02,um,Surface,,,,,39,
Contact surface area,0.035,um,Surface,,,,,40,
Contact surface area,0.015,um,Surface,,,,,41,
Contact surface area,0.015,um,Surface,,,,,42,
Contact surface area,0.055,um,Surface,,,,,43,
Contact surface area,0.005,um,Surface,,,,,44,
Contact surface area,0.02,um,Surface,,,,,45,
Contact surface area,0.4,um,Surface,,,,,46,
Contact surface area,0.64,um,Surface,,,,,47,
Contact surface area,2.52,um,Surface,,,,,48,
Contact surface area,2.2975,um,Surface,,,,,49,
Distance from Origin,129.972,um,Surface,,Distance from Origin,,1,0,
Distance from Origin,130.015,um,Surface,,Distance from Origin,,1,1,
Distance from Origin,131.423,um,Surface,,Distance from Origin,,1,2,
Distance from Origin,130.074,um,Surface,,Distance from Origin,,1,3,
Distance from Origin,127.662,um,Surface,,Distance from Origin,,1,4,
Distance from Origin,130.347,um,Surface,,Distance from Origin,,1,5,
Distance from Origin,127.833,um,Surface,,Distance from Origin,,1,6,
Distance from Origin,130.375,um,Surface,,Distance from Origin,,1,7,
Distance from Origin,127.593,um,Surface,,Distance from Origin,,1,8,
Distance from Origin,127.527,um,Surface,,Distance from Origin,,1,9,
Distance from Origin,127.658,um,Surface,,Distance from Origin,,1,10,
Distance from Origin,131.531,um,Surface,,Distance from Origin,,1,11,
Distance from Origin,130.096,um,Surface,,Distance from Origin,,1,12,
Distance from Origin,130.046,um,Surface,,Distance from Origin,,1,13,
Distance from Origin,130.07,um,Surface,,Distance from Origin,,1,14,
Distance from Origin,131.364,um,Surface,,Distance from Origin,,1,15,
Distance from Origin,129.309,um,Surface,,Distance from Origin,,1,16,
Distance from Origin,129.398,um,Surface,,Distance from Origin,,1,17,
Distance from Origin,128.991,um,Surface,,Distance from Origin,,1,18,
Distance from Origin,129.337,um,Surface,,Distance from Origin,,1,19,
Distance from Origin,127.962,um,Surface,,Distance from Origin,,1,20,
Distance from Origin,135.596,um,Surface,,Distance from Origin,,1,21,
Distance from Origin,127.501,um,Surface,,Distance from Origin,,1,22,
Distance from Origin,135.103,um,Surface,,Distance from Origin,,1,23,
Distance from Origin,135.193,um,Surface,,Distance from Origin,,1,24,
Distance from Origin,135.406,um,Surface,,Distance from Origin,,1,25,
Distance from Origin,118.05,um,Surface,,Distance from Origin,,1,26,
Distance from Origin,118.099,um,Surface,,Distance from Origin,,1,27,
Distance from Origin,117.33,um,Surface,,Distance from Origin,,1,28,
Distance from Origin,117.621,um,Surface,,Distance from Origin,,1,29,
Distance from Origin,118.122,um,Surface,,Distance from Origin,,1,30,
Distance from Origin,118.203,um,Surface,,Distance from Origin,,1,31,
Distance from Origin,116.612,um,Surface,,Distance from Origin,,1,32,
Distance from Origin,116.953,um,Surface,,Distance from Origin,,1,33,
Distance from Origin,111.065,um,Surface,,Distance from Origin,,1,34,
Distance from Origin,110.416,um,Surface,,Distance from Origin,,1,35,
Distance from Origin,110.723,um,Surface,,Distance from Origin,,1,36,
Distance from Origin,147.98,um,Surface,,Distance from Origin,,1,37,
Distance from Origin,147.72,um,Surface,,Distance from Origin,,1,38,
Distance from Origin,122.744,um,Surface,,Distance from Origin,,1,39,
Distance from Origin,115.267,um,Surface,,Distance from Origin,,1,40,
Distance from Origin,109.454,um,Surface,,Distance from Origin,,1,41,
Distance from Origin,115.119,um,Surface,,Distance from Origin,,1,42,
Distance from Origin,118.089,um,Surface,,Distance from Origin,,1,43,
Distance from Origin,118.024,um,Surface,,Distance from Origin,,1,44,
Distance from Origin,117.391,um,Surface,,Distance from Origin,,1,45,
Distance from Origin,121.355,um,Surface,,Distance from Origin,,1,46,
Distance from Origin,121.296,um,Surface,,Distance from Origin,,1,47,
Distance from Origin,121.218,um,Surface,,Distance from Origin,,1,48,
Distance from Origin,117.681,um,Surface,,Distance from Origin,,1,49,
Distance to Image Border XY,14.875,um,Surface,,,Image 1,1,0,
Distance to Image Border XY,15.475,um,Surface,,,Image 1,1,1,
Distance to Image Border XY,13.975,um,Surface,,,Image 1,1,2,
Distance to Image Border XY,15.605,um,Surface,,,Image 1,1,3,
Distance to Image Border XY,15.2714,um,Surface,,,Image 1,1,4,
Distance to Image Border XY,15.2528,um,Surface,,,Image 1,1,5,
Distance to Image Border XY,15.075,um,Surface,,,Image 1,1,6,
Distance to Image Border XY,15.375,um,Surface,,,Image 1,1,7,
Distance to Image Border XY,14.425,um,Surface,,,Image 1,1,8,
Distance to Image Border XY,14.475,um,Surface,,,Image 1,1,9,
Distance to Image Border XY,14.475,um,Surface,,,Image 1,1,10,
Distance to Image Border XY,14,um,Surface,,,Image 1,1,11,
Distance to Image Border XY,15.175,um,Surface,,,Image 1,1,12,
Distance to Image Border XY,14.5938,um,Surface,,,Image 1,1,13,
Distance to Image Border XY,14.6591,um,Surface,,,Image 1,1,14,
Distance to Image Border XY,13.7795,um,Surface,,,Image 1,1,15,
Distance to Image Border XY,13.775,um,Surface,,,Image 1,1,16,
Distance to Image Border XY,14.9536,um,Surface,,,Image 1,1,17,
Distance to Image Border XY,14.0555,um,Surface,,,Image 1,1,18,
Distance to Image Border XY,13.7303,um,Surface,,,Image 1,1,19,
Distance to Image Border XY,14.975,um,Surface,,,Image 1,1,20,
Distance to Image Border XY,14.98,um,Surface,,,Image 1,1,21,
Distance to Image Border XY,14.3193,um,Surface,,,Image 1,1,22,
Distance to Image Border XY,15.175,um,Surface,,,Image 1,1,23,
Distance to Image Border XY,15.0487,um,Surface,,,Image 1,1,24,
Distance to Image Border XY,14.9096,um,Surface,,,Image 1,1,25,
Distance to Image Border XY,18.155,um,Surface,,,Image 1,1,26,
Distance to Image Border XY,18.04,um,Surface,,,Image 1,1,27,
Distance to Image Border XY,17.475,um,Surface,,,Image 1,1,28,
Distance to Image Border XY,17.775,um,Surface,,,Image 1,1,29,
Distance to Image Border XY,18.175,um,Surface,,,Image 1,1,30,
Distance to Image Border XY,18.175,um,Surface,,,Image 1,1,31,
Distance to Image Border XY,17.175,um,Surface,,,Image 1,1,32,
Distance to Image Border XY,16.9999,um,Surface,,,Image 1,1,33,
Distance to Image Border XY,22.2857,um,Surface,,,Image 1,1,34,
Distance to Image Border XY,22.8154,um,Surface,,,Image 1,1,35,
Distance to Image Border XY,22.532,um,Surface,,,Image 1,1,36,
Distance to Image Border XY,9.96389,um,Surface,,,Image 1,1,37,
Distance to Image Border XY,9.92562,um,Surface,,,Image 1,1,38,
Distance to Image Border XY,9.76667,um,Surface,,,Image 1,1,39,
Distance to Image Border XY,20.075,um,Surface,,,Image 1,1,40,
Distance to Image Border XY,22.983,um,Surface,,,Image 1,1,41,
Distance to Image Border XY,19.9914,um,Surface,,,Image 1,1,42,
Distance to Image Border XY,20.175,um,Surface,,,Image 1,1,43,
Distance to Image Border XY,20.075,um,Surface,,,Image 1,1,44,
Distance to Image Border XY,20.2583,um,Surface,,,Image 1,1,45,
Distance to Image Border XY,10.525,um,Surface,,,Image 1,1,46,
Distance to Image Border XY,10.575,um,Surface,,,Image 1,1,47,
Distance to Image Border XY,10.6833,um,Surface,,,Image 1,1,48,
Distance to Image Border XY,19.9754,um,Surface,,,Image 1,1,49,
Ellipticity (oblate),0.317446,,Surface,,,,1,0,
Ellipticity (oblate),0.47262,,Surface,,,,1,1,
Ellipticity (oblate),0.238634,,Surface,,,,1,2,
Ellipticity (oblate),0.498735,,Surface,,,,1,3,
Ellipticity (oblate),0.350428,,Surface,,,,1,4,
Ellipticity (oblate),0.206184,,Surface,,,,1,5,
Ellipticity (oblate),0.472616,,Surface,,,,1,6,
Ellipticity (oblate),0.332229,,Surface,,,,1,7,
Ellipticity (oblate),0.755685,,Surface,,,,1,8,
Ellipticity (oblate),0.472498,,Surface,,,,1,9,
Ellipticity (oblate),0.472498,,Surface,,,,1,10,
Ellipticity (oblate),0.277755,,Surface,,,,1,11,
Ellipticity (oblate),0.368287,,Surface,,,,1,12,
Ellipticity (oblate),0.182787,,Surface,,,,1,13,
Ellipticity (oblate),0.5092,,Surface,,,,1,14,
Ellipticity (oblate),0.604907,,Surface,,,,1,15,
Ellipticity (oblate),0.36829,,Surface,,,,1,16,
Ellipticity (oblate),0.489936,,Surface,,,,1,17,
Ellipticity (oblate),0.45724,,Surface,,,,1,18,
Ellipticity (oblate),0.52952,,Surface,,,,1,19,
Ellipticity (oblate),0.368281,,Surface,,,,1,20,
Ellipticity (oblate),0.34795,,Surface,,,,1,21,
Ellipticity (oblate),0.381857,,Surface,,,,1,22,
Ellipticity (oblate),0.472615,,Surface,,,,1,23,
Ellipticity (oblate),0.148857,,Surface,,,,1,24,
Ellipticity (oblate),0.407468,,Surface,,,,1,25,
Ellipticity (oblate),0.563862,,Surface,,,,1,26,
Ellipticity (oblate),0.578007,,Surface,,,,1,27,
Ellipticity (oblate),0.468282,,Surface,,,,1,28,
Ellipticity (oblate),0.383549,,Surface,,,,1,29,
Ellipticity (oblate),0.91575,,Surface,,,,1,30,
Ellipticity (oblate),0.553281,,Surface,,,,1,31,
Ellipticity (oblate),0.428822,,Surface,,,,1,32,
Ellipticity (oblate),0.397132,,Surface,,,,1,33,
Ellipticity (oblate),0.383103,,Surface,,,,1,34,
Ellipticity (oblate),0.261083,,Surface,,,,1,35,
Ellipticity (oblate),0.459357,,Surface,,,,1,36,
Ellipticity (oblate),0.395242,,Surface,,,,1,37,
Ellipticity (oblate),0.283834,,Surface,,,,1,38,
Ellipticity (oblate),0.886434,,Surface,,,,1,39,
Ellipticity (oblate),0.0686787,,Surface,,,,1,40,
Ellipticity (oblate),0.359448,,Surface,,,,1,41,
Ellipticity (oblate),0.665034,,Surface,,,,1,42,
Ellipticity (oblate),0.472623,,Surface,,,,1,43,
Ellipticity (oblate),0.601323,,Surface,,,,1,44,
Ellipticity (oblate),0.456839,,Surface,,,,1,45,
Ellipticity (oblate),0.0154658,,Surface,,,,1,46,
Ellipticity (oblate),0.0428083,,Surface,,,,1,47,
Ellipticity (oblate),0.0767367,,Surface,,,,1,48,
Ellipticity (oblate),0.344777,,Surface,,,,1,49,
Ellipticity (prolate),0.138971,,Surface,,,,1,0,
Ellipticity (prolate),0.371072,,Surface,,,,1,1,
Ellipticity (prolate),0.469408,,Surface,,,,1,2,
Ellipticity (prolate),0.225386,,Surface,,,,1,3,
Ellipticity (prolate),0.391912,,Surface,,,,1,4,
Ellipticity (prolate),0.625458,,Surface,,,,1,5,
Ellipticity (prolate),0.371077,,Surface,,,,1,6,
Ellipticity (prolate),0.438744,,Surface,,,,1,7,
Ellipticity (prolate),0.0774532,,Surface,,,,1,8,
Ellipticity (prolate),0.37129,,Surface,,,,1,9,
Ellipticity (prolate),0.37129,,Surface,,,,1,10,
Ellipticity (prolate),0.596199,,Surface,,,,1,11,
Ellipticity (prolate),0.522217,,Surface,,,,1,12,
Ellipticity (prolate),0.41619,,Surface,,,,1,13,
Ellipticity (prolate),0.0204855,,Surface,,,,1,14,
Ellipticity (prolate),0.120126,,Surface,,,,1,15,
Ellipticity (prolate),0.522213,,Surface,,,,1,16,
Ellipticity (prolate),0.135047,,Surface,,,,1,17,
Ellipticity (prolate),0.015051,,Surface,,,,1,18,
Ellipticity (prolate),0.323206,,Surface,,,,1,19,
Ellipticity (prolate),0.522227,,Surface,,,,1,20,
Ellipticity (prolate),0.455644,,Surface,,,,1,21,
Ellipticity (prolate),0.309517,,Surface,,,,1,22,
Ellipticity (prolate),0.371075,,Surface,,,,1,23,
Ellipticity (prolate),0.118976,,Surface,,,,1,24,
Ellipticity (prolate),0.292106,,Surface,,,,1,25,
Ellipticity (prolate),0.0740042,,Surface,,,,1,26,
Ellipticity (prolate),0.0374267,,Surface,,,,1,27,
Ellipticity (prolate),0.128183,,Surface,,,,1,28,
Ellipticity (prolate),0.0806017,,Surface,,,,1,29,
Ellipticity (prolate),0.0711555,,Surface,,,,1,30,
Ellipticity (prolate),0.155408,,Surface,,,,1,31,
Ellipticity (prolate),0.0952916,,Surface,,,,1,32,
Ellipticity (prolate),0.382952,,Surface,,,,1,33,
Ellipticity (prolate),0.421967,,Surface,,,,1,34,
Ellipticity (prolate),0.463016,,Surface,,,,1,35,
Ellipticity (prolate),0.25786,,Surface,,,,1,36,
Ellipticity (prolate),0.075454,,Surface,,,,1,37,
Ellipticity (prolate),0.643745,,Surface,,,,1,38,
Ellipticity (prolate),0.0806354,,Surface,,,,1,39,
Ellipticity (prolate),0.701291,,Surface,,,,1,40,
Ellipticity (prolate),0.284927,,Surface,,,,1,41,
Ellipticity (prolate),0.103466,,Surface,,,,1,42,
Ellipticity (prolate),0.371069,,Surface,,,,1,43,
Ellipticity (prolate),0.0498205,,Surface,,,,1,44,
Ellipticity (prolate),0.171265,,Surface,,,,1,45,
Ellipticity (prolate),0.717757,,Surface,,,,1,46,
Ellipticity (prolate),0.515207,,Surface,,,,1,47,
Ellipticity (prolate),0.518367,,Surface,,,,1,48,
Ellipticity (prolate),0.386859,,Surface,,,,1,49,
Generation,0,,Surface,,,,1,0,
Generation,0,,Surface,,,,1,1,
Generation,0,,Surface,,,,1,2,
Generation,0,,Surface,,,,1,3,
Generation,0,,Surface,,,,1,4,
Generation,0,,Surface,,,,1,5,
Generation,0,,Surface,,,,1,6,
Generation,0,,Surface,,,,1,7,
Generation,0,,Surface,,,,1,8,
Generation,0,,Surface,,,,1,9,
Generation,0,,Surface,,,,1,10,
Generation,0,,Surface,,,,1,11,
Generation,0,,Surface,,,,1,12,
Generation,0,,Surface,,,,1,13,
Generation,0,,Surface,,,,1,14,
Generation,0,,Surface,,,,1,15,
Generation,0,,Surface,,,,1,16,
Generation,0,,Surface,,,,1,17,
Generation,0,,Surface,,,,1,18,
Generation,0,,Surface,,,,1,19,
Generation,0,,Surface,,,,1,20,
Generation,0,,Surface,,,,1,21,
Generation,0,,Surface,,,,1,22,
Generation,0,,Surface,,,,1,23,
Generation,0,,Surface,,,,1,24,
Generation,0,,Surface,,,,1,25,
Generation,0,,Surface,,,,1,26,
Generation,0,,Surface,,,,1,27,
Generation,0,,Surface,,,,1,28,
Generation,0,,Surface,,,,1,29,
Generation,0,,Surface,,,,1,30,
Generation,0,,Surface,,,,1,31,
Generation,0,,Surface,,,,1,32,
Generation,0,,Surface,,,,1,33,
Generation,0,,Surface,,,,1,34,
Generation,0,,Surface,,,,1,35,
Generation,0,,Surface,,,,1,36,
Generation,0,,Surface,,,,1,37,
Generation,0,,Surface,,,,1,38,
Generation,0,,Surface,,,,1,39,
Generation,0,,Surface,,,,1,40,
Generation,0,,Surface,,,,1,41,
Generation,0,,Surface,,,,1,42,
Generation,0,,Surface,,,,1,43,
Generation,0,,Surface,,,,1,44,
Generation,0,,Surface,,,,1,45,
Generation,0,,Surface,,,,1,46,
Generation,0,,Surface,,,,1,47,
Generation,0,,Surface,,,,1,48,
Generation,0,,Surface,,,,1,49,
Intensity Max,1.70257,,Surface,1,,Image 1,1,0,
Intensity Max,41.003,,Surface,2,,Image 1,1,0,
Intensity Max,10.8007,,Surface,3,,Image 1,1,0,
Intensity Max,19.4596,,Surface,4,,Image 1,1,0,
Intensity Max,0,,Surface,1,,Image 1,1,1,
Intensity Max,45.2155,,Surface,2,,Image 1,1,1,
Intensity Max,2.11004,,Surface,3,,Image 1,1,1,
Intensity Max,6.74078,,Surface,4,,Image 1,1,1,
Intensity Max,0.314141,,Surface,1,,Image 1,1,2,
Intensity Max,83.73,,Surface,2,,Image 1,1,2,
Intensity Max,6.13444,,Surface,3,,Image 1,1,2,
Intensity Max,19.4148,,Surface,4,,Image 1,1,2,
Intensity Max,0.0222058,,Surface,1,,Image 1,1,3,
Intensity Max,76.3633,,Surface,2,,Image 1,1,3,
Intensity Max,12.5698,,Surface,3,,Image 1,1,3,
Intensity Max,10.9601,,Surface,4,,Image 1,1,3,
