
Detailed
 ==================== 
Variable,Value,Unit,Category,Collection,Depth,Distance,Level,Radius,Time,Type,FilamentID,ID,
Dendrite Area,15.8186,um^2,Dendrite,,1,,1,,1,,100000000,510000000002,
Dendrite Area,27.0293,um^2,Dendrite,,2,,1,,1,,100000000,510000000020,
Dendrite Area,10.45,um^2,Dendrite,,3,,1,,1,,100000000,510000000071,
Dendrite Area,16.8767,um^2,Dendrite,,4,,1,,1,,100000000,510000000086,
Dendrite Area,14.8504,um^2,Dendrite,,5,,1,,1,,100000000,510000000125,
Dendrite Area,47.5169,um^2,Dendrite,,6,,2,,1,,100000000,510000000153,
Dendrite Area,27.7638,um^2,Dendrite,,3,,2,,1,,100000000,510000000298,
Dendrite Area,53.8764,um^2,Dendrite,,4,,3,,1,,100000000,510000000378,
Dendrite Area,16.6405,um^2,Dendrite,,4,,2,,1,,100000000,510000000582,
Dendrite Area,23.8755,um^2,Dendrite,,2,,3,,1,,100000000,510000000621,
Dendrite Area,61.0817,um^2,Dendrite,,3,,4,,1,,100000000,510000000665,
Dendrite Area,9.75506,um^2,Dendrite,,3,,3,,1,,100000000,510000000870,
Dendrite Area,6.44922,um^2,Dendrite,,4,,3,,1,,100000000,510000000902,
Dendrite Area,72.4485,um^2,Dendrite,,2,,2,,1,,100000000,510000000928,
Dendrite Area,18.1752,um^2,Dendrite,,4,,2,,1,,100000000,510000001114,
Dendrite Area,66.6048,um^2,Dendrite,,2,,2,,1,,100000000,510000001159,
Dendrite Area,46.6894,um^2,Dendrite,,3,,2,,1,,100000000,510000001280,
Dendrite Area,40.6912,um^2,Dendrite,,4,,2,,1,,100000000,510000001402,
Dendrite Area,32.0294,um^2,Dendrite,,4,,3,,1,,100000000,510000001525,
Dendrite Area,3.84836,um^2,Dendrite,,6,,1,,1,,100000000,510000001618,
Dendrite Area,69.9558,um^2,Dendrite,,7,,2,,1,,100000000,510000001625,
Dendrite Area,19.1293,um^2,Dendrite,,3,,3,,1,,100000000,510000001835,
Dendrite Area,17.8155,um^2,Dendrite,,7,,1,,1,,100000000,510000001897,
Dendrite Area,9.32705,um^2,Dendrite,,4,,4,,1,,100000000,510000001938,
Dendrite Area,9.20497,um^2,Dendrite,,5,,2,,1,,100000000,510000001974,
Dendrite Area,1.11844,um^2,Dendrite,,0,,1,,1,,100000000,510000002001,
Dendrite Area,1.4964,um^2,Dendrite,,1,,2,,1,,100000000,510000002002,
Dendrite Branch Depth,1,,Dendrite,,1,,1,,1,,100000000,510000000002,
Dendrite Branch Depth,2,,Dendrite,,2,,1,,1,,100000000,510000000020,
Dendrite Branch Depth,3,,Dendrite,,3,,1,,1,,100000000,510000000071,
Dendrite Branch Depth,4,,Dendrite,,4,,1,,1,,100000000,510000000086,
Dendrite Branch Depth,5,,Dendrite,,5,,1,,1,,100000000,510000000125,
Dendrite Branch Depth,6,,Dendrite,,6,,2,,1,,100000000,510000000153,
Dendrite Branch Depth,3,,Dendrite,,3,,2,,1,,100000000,510000000298,
Dendrite Branch Depth,4,,Dendrite,,4,,3,,1,,100000000,510000000378,
Dendrite Branch Depth,4,,Dendrite,,4,,2,,1,,100000000,510000000582,
Dendrite Branch Depth,2,,Dendrite,,2,,3,,1,,100000000,510000000621,
Dendrite Branch Depth,3,,Dendrite,,3,,4,,1,,100000000,510000000665,
Dendrite Branch Depth,3,,Dendrite,,3,,3,,1,,100000000,510000000870,
Dendrite Branch Depth,4,,Dendrite,,4,,3,,1,,100000000,510000000902,
Dendrite Branch Depth,2,,Dendrite,,2,,2,,1,,100000000,510000000928,
Dendrite Branch Depth,4,,Dendrite,,4,,2,,1,,100000000,510000001114,
