
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,23.7668,um^2,Surface,,,,1,0,
Area,27.5784,um^2,Surface,,,,1,1,
Area,20.1125,um^2,Surface,,,,1,2,
Area,19.5206,um^2,Surface,,,,1,8,
Area,0.0796028,um^2,Surface,,,,1,20,
Area,0.0484066,um^2,Surface,,,,1,24,
Area,0.0962777,um^2,Surface,,,,1,33,
Area,0.214812,um^2,Surface,,,,1,36,
Area,1017.58,um^2,Surface,,,,1,38,
Area,0.18569,um^2,Surface,,,,1,39,
Area,0.0104211,um^2,Surface,,,,1,43,
Area,1.29504,um^2,Surface,,,,1,44,
BoundingBoxAA Length X,1.4,um,Surface,,BoundingBoxAA Length,,1,0,
BoundingBoxAA Length X,2,um,Surface,,BoundingBoxAA Length,,1,1,
BoundingBoxAA Length X,2,um,Surface,,BoundingBoxAA Length,,1,2,
BoundingBoxAA Length X,2,um,Surface,,BoundingBoxAA Length,,1,8,
BoundingBoxAA Length X,0.399998,um,Surface,,BoundingBoxAA Length,,1,20,
BoundingBoxAA Length X,0.6,um,Surface,,BoundingBoxAA Length,,1,24,
BoundingBoxAA Length X,0.400001,um,Surface,,BoundingBoxAA Length,,1,33,
BoundingBoxAA Length X,0.4,um,Surface,,BoundingBoxAA Length,,1,36,
BoundingBoxAA Length X,57.6,um,Surface,,BoundingBoxAA Length,,1,38,
BoundingBoxAA Length X,0.799999,um,Surface,,BoundingBoxAA Length,,1,39,
BoundingBoxAA Length X,0.4,um,Surface,,BoundingBoxAA Length,,1,43,
BoundingBoxAA Length X,1.8,um,Surface,,BoundingBoxAA Length,,1,44,
BoundingBoxAA Length Y,4.00526,um,Surface,,BoundingBoxAA Length,,1,0,
BoundingBoxAA Length Y,3.80501,um,Surface,,BoundingBoxAA Length,,1,1,
BoundingBoxAA Length Y,2.80369,um,Surface,,BoundingBoxAA Length,,1,2,
BoundingBoxAA Length Y,2.80368,um,Surface,,BoundingBoxAA Length,,1,8,
BoundingBoxAA Length Y,0.600784,um,Surface,,BoundingBoxAA Length,,1,20,
BoundingBoxAA Length Y,0.400528,um,Surface,,BoundingBoxAA Length,,1,24,
BoundingBoxAA Length Y,0.400528,um,Surface,,BoundingBoxAA Length,,1,33,
BoundingBoxAA Length Y,0.400528,um,Surface,,BoundingBoxAA Length,,1,36,
BoundingBoxAA Length Y,19.4255,um,Surface,,BoundingBoxAA Length,,1,38,
BoundingBoxAA Length Y,0.400528,um,Surface,,BoundingBoxAA Length,,1,39,
BoundingBoxAA Length Y,0.400528,um,Surface,,BoundingBoxAA Length,,1,43,
BoundingBoxAA Length Y,0.400528,um,Surface,,BoundingBoxAA Length,,1,44,
BoundingBoxAA Length Z,4.86857,um,Surface,,BoundingBoxAA Length,,1,0,
BoundingBoxAA Length Z,3.95571,um,Surface,,BoundingBoxAA Length,,1,1,
BoundingBoxAA Length Z,3.95571,um,Surface,,BoundingBoxAA Length,,1,2,
BoundingBoxAA Length Z,3.34714,um,Surface,,BoundingBoxAA Length,,1,8,
BoundingBoxAA Length Z,0.608572,um,Surface,,BoundingBoxAA Length,,1,20,
BoundingBoxAA Length Z,0.608572,um,Surface,,BoundingBoxAA Length,,1,24,
BoundingBoxAA Length Z,0.608572,um,Surface,,BoundingBoxAA Length,,1,33,
BoundingBoxAA Length Z,0.60857,um,Surface,,BoundingBoxAA Length,,1,36,
BoundingBoxAA Length Z,10.0414,um,Surface,,BoundingBoxAA Length,,1,38,
BoundingBoxAA Length Z,0.60857,um,Surface,,BoundingBoxAA Length,,1,39,
BoundingBoxAA Length Z,0.608572,um,Surface,,BoundingBoxAA Length,,1,43,
BoundingBoxAA Length Z,0.912857,um,Surface,,BoundingBoxAA Length,,1,44,
BoundingBoxOO Length A,1.25699,um,Surface,,BoundingBoxOO Length,,1,0,
BoundingBoxOO Length A,1.67229,um,Surface,,BoundingBoxOO Length,,1,1,
BoundingBoxOO Length A,1.79681,um,Surface,,BoundingBoxOO Length,,1,2,
BoundingBoxOO Length A,1.80539,um,Surface,,BoundingBoxOO Length,,1,8,
BoundingBoxOO Length A,0.0292625,um,Surface,,BoundingBoxOO Length,,1,20,
BoundingBoxOO Length A,0.0113983,um,Surface,,BoundingBoxOO Length,,1,24,
BoundingBoxOO Length A,0.0147533,um,Surface,,BoundingBoxOO Length,,1,33,
BoundingBoxOO Length A,0.289959,um,Surface,,BoundingBoxOO Length,,1,36,
