
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,1.76004,um^2,Surface,,,,1,0,
Area,0.502796,um^2,Surface,,,,1,1,
Area,3.01822,um^2,Surface,,,,1,2,
Area,2.1961,um^2,Surface,,,,1,3,
Area,2.27113,um^2,Surface,,,,1,4,
Area,0.823663,um^2,Surface,,,,1,5,
Area,0.938439,um^2,Surface,,,,1,6,
Area,0.026183,um^2,Surface,,,,1,7,
Area,0.30376,um^2,Surface,,,,1,8,
Area,0.801512,um^2,Surface,,,,1,9,
Area,0.202734,um^2,Surface,,,,1,11,
Area,4.32671,um^2,Surface,,,,1,12,
Area,0.157042,um^2,Surface,,,,1,13,
Area,2.0979,um^2,Surface,,,,1,15,
Area,6.21489,um^2,Surface,,,,1,16,
Area,1.18441,um^2,Surface,,,,1,17,
Area,0.0888243,um^2,Surface,,,,1,18,
Area,9.79535,um^2,Surface,,,,1,19,
Area,0.000157416,um^2,Surface,,,,1,20,
Area,9.91053,um^2,Surface,,,,1,21,
Area,4.40781,um^2,Surface,,,,1,22,
Area,2.45192,um^2,Surface,,,,1,28,
Area,7.99503,um^2,Surface,,,,1,29,
Area,0.492169,um^2,Surface,,,,1,30,
Area,8.44828,um^2,Surface,,,,1,31,
Area,7.47788,um^2,Surface,,,,1,32,
Area,0.0296866,um^2,Surface,,,,1,33,
Area,0.591633,um^2,Surface,,,,1,34,
Area,13.0375,um^2,Surface,,,,1,35,
Area,2.008,um^2,Surface,,,,1,36,
Area,8.78076,um^2,Surface,,,,1,37,
Area,2.93507,um^2,Surface,,,,1,38,
Area,1.4567,um^2,Surface,,,,1,40,
Area,0.00706181,um^2,Surface,,,,1,60,
Area,5.53504,um^2,Surface,,,,1,71,
Area,11.1802,um^2,Surface,,,,1,72,
Area,18.7103,um^2,Surface,,,,1,73,
Area,5.60208,um^2,Surface,,,,1,74,
Area,36.2064,um^2,Surface,,,,1,75,
Area,8.52705,um^2,Surface,,,,1,76,
Area,1.05962,um^2,Surface,,,,1,77,
Area,0.0861673,um^2,Surface,,,,1,78,
Area,0.00734986,um^2,Surface,,,,1,83,
BoundingBoxAA Length X,0.599998,um,Surface,,BoundingBoxAA Length,,1,0,
BoundingBoxAA Length X,0.600002,um,Surface,,BoundingBoxAA Length,,1,1,
BoundingBoxAA Length X,1.1,um,Surface,,BoundingBoxAA Length,,1,2,
BoundingBoxAA Length X,1,um,Surface,,BoundingBoxAA Length,,1,3,
BoundingBoxAA Length X,2,um,Surface,,BoundingBoxAA Length,,1,4,
BoundingBoxAA Length X,0.700001,um,Surface,,BoundingBoxAA Length,,1,5,
BoundingBoxAA Length X,0.700001,um,Surface,,BoundingBoxAA Length,,1,6,
BoundingBoxAA Length X,0.2,um,Surface,,BoundingBoxAA Length,,1,7,
BoundingBoxAA Length X,0.3,um,Surface,,BoundingBoxAA Length,,1,8,
BoundingBoxAA Length X,0.3,um,Surface,,BoundingBoxAA Length,,1,9,
BoundingBoxAA Length X,0.3,um,Surface,,BoundingBoxAA Length,,1,11,
BoundingBoxAA Length X,2.2,um,Surface,,BoundingBoxAA Length,,1,12,
BoundingBoxAA Length X,0.2,um,Surface,,BoundingBoxAA Length,,1,13,
BoundingBoxAA Length X,0.799999,um,Surface,,BoundingBoxAA Length,,1,15,
BoundingBoxAA Length X,1.5,um,Surface,,BoundingBoxAA Length,,1,16,
BoundingBoxAA Length X,0.6,um,Surface,,BoundingBoxAA Length,,1,17,
BoundingBoxAA Length X,0.3,um,Surface,,BoundingBoxAA Length,,1,18,
BoundingBoxAA Length X,2.6,um,Surface,,BoundingBoxAA Length,,1,19,
BoundingBoxAA Length X,0.2,um,Surface,,BoundingBoxAA Length,,1,20,
BoundingBoxAA Length X,3.5,um,Surface,,BoundingBoxAA Length,,1,21,
BoundingBoxAA Length X,1.8,um,Surface,,BoundingBoxAA Length,,1,22,
BoundingBoxAA Length X,1.1,um,Surface,,BoundingBoxAA Length,,1,28,
BoundingBoxAA Length X,1.8,um,Surface,,BoundingBoxAA Length,,1,29,
BoundingBoxAA Length X,0.5,um,Surface,,BoundingBoxAA Length,,1,30,
BoundingBoxAA Length X,1.7,um,Surface,,BoundingBoxAA Length,,1,31,
BoundingBoxAA Length X,2.9,um,Surface,,BoundingBoxAA Length,,1,32,
BoundingBoxAA Length X,0.200001,um,Surface,,BoundingBoxAA Length,,1,33,
BoundingBoxAA Length X,0.5,um,Surface,,BoundingBoxAA Length,,1,34,
BoundingBoxAA Length X,2,um,Surface,,BoundingBoxAA Length,,1,35,
BoundingBoxAA Length X,1.1,um,Surface,,BoundingBoxAA Length,,1,36,
BoundingBoxAA Length X,2.2,um,Surface,,BoundingBoxAA Length,,1,37,
BoundingBoxAA Length X,1.1,um,Surface,,BoundingBoxAA Length,,1,38,
BoundingBoxAA Length X,0.8,um,Surface,,BoundingBoxAA Length,,1,40,
BoundingBoxAA Length X,0.2,um,Surface,,BoundingBoxAA Length,,1,60,
BoundingBoxAA Length X,6,um,Surface,,BoundingBoxAA Length,,1,71,
BoundingBoxAA Length X,6,um,Surface,,BoundingBoxAA Length,,1,72,
BoundingBoxAA Length X,6,um,Surface,,BoundingBoxAA Length,,1,73,
