
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,2.28431,um^2,Surface,,,,1,66,
Area,2.62226,um^2,Surface,,,,1,67,
Area,2.49726,um^2,Surface,,,,1,68,
Area,5.47031,um^2,Surface,,,,1,69,
Area,5.3085,um^2,Surface,,,,1,70,
Area,5.67225,um^2,Surface,,,,1,71,
Area,11.0797,um^2,Surface,,,,1,72,
Area,4.80971,um^2,Surface,,,,1,73,
Area,3.56778,um^2,Surface,,,,1,75,
Area,2.40565,um^2,Surface,,,,1,76,
Area,3.93599,um^2,Surface,,,,1,77,
Area,2.7366,um^2,Surface,,,,1,78,
Area,5.79532,um^2,Surface,,,,1,79,
Area,3.54317,um^2,Surface,,,,1,80,
Area,5.65202,um^2,Surface,,,,1,81,
Area,4.8718,um^2,Surface,,,,1,82,
Area,3.08233,um^2,Surface,,,,1,83,
Area,2.39469,um^2,Surface,,,,1,84,
Area,2.35796,um^2,Surface,,,,1,85,
Area,5.07457,um^2,Surface,,,,1,86,
Area,4.61334,um^2,Surface,,,,1,87,
Area,6.14486,um^2,Surface,,,,1,88,
Area,19.3692,um^2,Surface,,,,1,89,
Area,10.7542,um^2,Surface,,,,1,90,
Area,23.3858,um^2,Surface,,,,1,91,
Area,15.6038,um^2,Surface,,,,1,92,
Area,20.2384,um^2,Surface,,,,1,93,
Area,16.7241,um^2,Surface,,,,1,94,
Area,3.32726,um^2,Surface,,,,1,95,
Area,5.14072,um^2,Surface,,,,1,96,
Area,2.40807,um^2,Surface,,,,1,97,
Area,5.45586,um^2,Surface,,,,1,98,
Area,15.9271,um^2,Surface,,,,1,99,
Area,8.2688,um^2,Surface,,,,1,100,
Area,9.88787,um^2,Surface,,,,1,101,
Distance from Origin,147.351,um,Surface,,Distance from Origin,,1,66,
Distance from Origin,137.832,um,Surface,,Distance from Origin,,1,67,
Distance from Origin,170.863,um,Surface,,Distance from Origin,,1,68,
Distance from Origin,144.417,um,Surface,,Distance from Origin,,1,69,
Distance from Origin,151.774,um,Surface,,Distance from Origin,,1,70,
