
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,5.09405,um^2,Surface,,,,1,655,
Area,8.5499,um^2,Surface,,,,1,656,
Area,9.98836,um^2,Surface,,,,1,658,
Area,11.0666,um^2,Surface,,,,1,659,
Area,26.0539,um^2,Surface,,,,1,660,
Area,10.4239,um^2,Surface,,,,1,661,
Area,6.5034,um^2,Surface,,,,1,662,
Area,19.5149,um^2,Surface,,,,1,663,
Area,2.54535,um^2,Surface,,,,1,664,
Area,2.57471,um^2,Surface,,,,1,665,
Area,8.04783,um^2,Surface,,,,1,666,
Area,9.2217,um^2,Surface,,,,1,667,
Area,17.4301,um^2,Surface,,,,1,668,
Area,27.8779,um^2,Surface,,,,1,669,
Area,16.4178,um^2,Surface,,,,1,670,
Area,8.39647,um^2,Surface,,,,1,672,
Area,15.6772,um^2,Surface,,,,1,673,
Area,5.35428,um^2,Surface,,,,1,674,
Area,13.3325,um^2,Surface,,,,1,675,
Area,5.90636,um^2,Surface,,,,1,676,
Area,6.21261,um^2,Surface,,,,1,677,
Area,45.2952,um^2,Surface,,,,1,679,
Area,12.04,um^2,Surface,,,,1,681,
Area,23.8333,um^2,Surface,,,,1,683,
Area,7.95476,um^2,Surface,,,,1,684,
Area,8.54857,um^2,Surface,,,,1,685,
Area,3.46925,um^2,Surface,,,,1,686,
Area,26.3999,um^2,Surface,,,,1,687,
Area,4.25086,um^2,Surface,,,,1,688,
Area,17.6197,um^2,Surface,,,,1,693,
Area,10.4933,um^2,Surface,,,,1,695,
Area,41.8135,um^2,Surface,,,,1,696,
Area,18.1661,um^2,Surface,,,,1,697,
Distance from Origin,123.609,um,Surface,,Distance from Origin,,1,655,
Distance from Origin,131.944,um,Surface,,Distance from Origin,,1,656,
Distance from Origin,127.457,um,Surface,,Distance from Origin,,1,658,
Distance from Origin,123.759,um,Surface,,Distance from Origin,,1,659,
Distance from Origin,124.085,um,Surface,,Distance from Origin,,1,660,
Distance from Origin,125.857,um,Surface,,Distance from Origin,,1,661,
Distance from Origin,151.962,um,Surface,,Distance from Origin,,1,662,
Distance from Origin,133.441,um,Surface,,Distance from Origin,,1,663,
Distance from Origin,136.911,um,Surface,,Distance from Origin,,1,664,
Distance from Origin,111.085,um,Surface,,Distance from Origin,,1,665,
Distance from Origin,134.848,um,Surface,,Distance from Origin,,1,666,
Distance from Origin,169.013,um,Surface,,Distance from Origin,,1,667,
Distance from Origin,173.523,um,Surface,,Distance from Origin,,1,668,
Distance from Origin,185,um,Surface,,Distance from Origin,,1,669,
Distance from Origin,178.415,um,Surface,,Distance from Origin,,1,670,
Distance from Origin,138.253,um,Surface,,Distance from Origin,,1,672,
Distance from Origin,149.51,um,Surface,,Distance from Origin,,1,673,
Distance from Origin,108.614,um,Surface,,Distance from Origin,,1,674,
Distance from Origin,171.508,um,Surface,,Distance from Origin,,1,675,
Distance from Origin,171.311,um,Surface,,Distance from Origin,,1,676,
Distance from Origin,138.267,um,Surface,,Distance from Origin,,1,677,
Distance from Origin,161.447,um,Surface,,Distance from Origin,,1,679,
Distance from Origin,142.356,um,Surface,,Distance from Origin,,1,681,
Distance from Origin,120.009,um,Surface,,Distance from Origin,,1,683,
Distance from Origin,139.495,um,Surface,,Distance from Origin,,1,684,
Distance from Origin,126.697,um,Surface,,Distance from Origin,,1,685,
Distance from Origin,140.492,um,Surface,,Distance from Origin,,1,686,
Distance from Origin,136.701,um,Surface,,Distance from Origin,,1,687,
Distance from Origin,158.21,um,Surface,,Distance from Origin,,1,688,
