Detailed,,,,,,,,
 ==================== ,,,,,,,,
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID
Area,0.632552,um^2,Surface,,,,1,0
Area,0.00269499,um^2,Surface,,,,1,1
Area,2.94242,um^2,Surface,,,,1,2
Area,0.0026949,um^2,Surface,,,,1,3
Area,0.511202,um^2,Surface,,,,1,4
Area,2.74199,um^2,Surface,,,,1,5
Area,0.00486888,um^2,Surface,,,,1,6
Area,0.00486897,um^2,Surface,,,,1,7
Area,0.0166091,um^2,Surface,,,,1,8
Area,0.0960554,um^2,Surface,,,,1,9
Area,0.54902,um^2,Surface,,,,1,10
Area,0.0166089,um^2,Surface,,,,1,11
Area,0.0548088,um^2,Surface,,,,1,12
Area,0.0166089,um^2,Surface,,,,1,13
Area,0.000520967,um^2,Surface,,,,1,14
Area,6.96477,um^2,Surface,,,,1,15
Area,0.113842,um^2,Surface,,,,1,16
Area,0.00722138,um^2,Surface,,,,1,17
Area,0.000520969,um^2,Surface,,,,1,18
Area,0.000520983,um^2,Surface,,,,1,19
Area,1.89901,um^2,Surface,,,,1,20
Area,0.0330937,um^2,Surface,,,,1,21
Area,0.0166093,um^2,Surface,,,,1,22
Area,2.58791,um^2,Surface,,,,1,23
Area,3.50987,um^2,Surface,,,,1,24
Area,0.0166082,um^2,Surface,,,,1,25
Area,0.0166082,um^2,Surface,,,,1,26
Area,0.0860632,um^2,Surface,,,,1,27
Area,0.431595,um^2,Surface,,,,1,28
Area,8.23869,um^2,Surface,,,,1,29
Area,0.0166096,um^2,Surface,,,,1,30
Area,0.448949,um^2,Surface,,,,1,31
Area,0.923249,um^2,Surface,,,,1,32
Area,2.56075,um^2,Surface,,,,1,33
Area,7.02339,um^2,Surface,,,,1,34
Area,0.769804,um^2,Surface,,,,1,35
Area,0.246256,um^2,Surface,,,,1,36
Area,0.0166096,um^2,Surface,,,,1,37
Area,0.0166096,um^2,Surface,,,,1,38
Area,0.000520969,um^2,Surface,,,,1,39
Area,10.0259,um^2,Surface,,,,1,40
Area,0.0166082,um^2,Surface,,,,1,41
Area,0.0330937,um^2,Surface,,,,1,42
Area,0.0258449,um^2,Surface,,,,1,43
Area,0.0330928,um^2,Surface,,,,1,44
Area,0.0166096,um^2,Surface,,,,1,45
Area,0.372287,um^2,Surface,,,,1,46
Area,0.758211,um^2,Surface,,,,1,47
Area,0.0166096,um^2,Surface,,,,1,48
Area,1.16492,um^2,Surface,,,,1,49
Area,2.85791,um^2,Surface,,,,1,50
Area,0.00515959,um^2,Surface,,,,1,51
Area,0.0166085,um^2,Surface,,,,1,52
Area,0.0071542,um^2,Surface,,,,1,53
Area,0.0718911,um^2,Surface,,,,1,54
Area,0.00715451,um^2,Surface,,,,1,55
Area,0.0166082,um^2,Surface,,,,1,56
Area,0.0166082,um^2,Surface,,,,1,57
Area,2.78787,um^2,Surface,,,,1,58
Area,0.00298549,um^2,Surface,,,,1,59
Area,0.000652514,um^2,Surface,,,,1,60
Area,0.566528,um^2,Surface,,,,1,61
Area,19.5673,um^2,Surface,,,,1,62
Area,1.33442,um^2,Surface,,,,1,63
Area,8.12683,um^2,Surface,,,,1,64
Area,0.0166088,um^2,Surface,,,,1,65
Area,1.99447,um^2,Surface,,,,1,66
Area,0.557923,um^2,Surface,,,,1,67
Area,11.4955,um^2,Surface,,,,1,68
Area,0.602855,um^2,Surface,,,,1,69
Area,0.0166085,um^2,Surface,,,,1,70
Area,2.56894,um^2,Surface,,,,1,71
Area,7.69649,um^2,Surface,,,,1,72
Area,1.356,um^2,Surface,,,,1,73
Area,0.485447,um^2,Surface,,,,1,74
Area,0.000520972,um^2,Surface,,,,1,75
Area,0.00543333,um^2,Surface,,,,1,76
Area,0.00543301,um^2,Surface,,,,1,77
Area,0.00065258,um^2,Surface,,,,1,78
Area,9.8649,um^2,Surface,,,,1,79
Area,0.000520972,um^2,Surface,,,,1,80
Area,7.68533,um^2,Surface,,,,1,81
Area,5.3528,um^2,Surface,,,,1,82
Area,2.00725,um^2,Surface,,,,1,83
Area,0.00052096,um^2,Surface,,,,1,84
Area,2.49263,um^2,Surface,,,,1,85
Area,2.19065,um^2,Surface,,,,1,86
Contact surface area,0.8075,um,Surface,,,,,0
Contact surface area,0.0025,um,Surface,,,,,1
Contact surface area,0.0075,um,Surface,,,,,2
Contact surface area,0.0075,um,Surface,,,,,3
Contact surface area,0.0025,um,Surface,,,,,4
Contact surface area,5.785,um,Surface,,,,,5
Contact surface area,0.0025,um,Surface,,,,,6
Contact surface area,1.1475,um,Surface,,,,,7
Contact surface area,0.0025,um,Surface,,,,,8
Contact surface area,1.43,um,Surface,,,,,9
Contact surface area,1.295,um,Surface,,,,,10
Contact surface area,1.5325,um,Surface,,,,,11
Contact surface area,0.285,um,Surface,,,,,12
Contact surface area,0.0075,um,Surface,,,,,13
Contact surface area,0.0075,um,Surface,,,,,14
