
Detailed
 ==================== 
Variable,Value,Unit,Category,Collection,Depth,Distance,Level,Radius,Time,Type,FilamentID,ID,
Dendrite Area,16.172,um^2,Dendrite,,1,,2,,1,,100000012,510000001130,
Dendrite Area,20.8223,um^2,Dendrite,,2,,3,,1,,100000012,510000001148,
Dendrite Area,8.99413,um^2,Dendrite,,2,,2,,1,,100000012,510000001203,
Dendrite Area,20.6548,um^2,Dendrite,,1,,2,,1,,100000012,510000001268,
Dendrite Area,24.1654,um^2,Dendrite,,3,,3,,1,,100000012,510000001311,
Dendrite Area,16.754,um^2,Dendrite,,4,,4,,1,,100000012,510000001358,
Dendrite Area,23.0872,um^2,Dendrite,,5,,4,,1,,100000012,510000001401,
Dendrite Area,6.00824,um^2,Dendrite,,4,,3,,1,,100000012,510000001488,
Dendrite Area,10.3061,um^2,Dendrite,,5,,3,,1,,100000012,510000001496,
Dendrite Area,9.46878,um^2,Dendrite,,6,,3,,1,,100000012,510000001513,
Dendrite Area,14.8009,um^2,Dendrite,,7,,3,,1,,100000012,510000001526,
Dendrite Area,5.75771,um^2,Dendrite,,8,,3,,1,,100000012,510000001547,
Dendrite Area,7.56049,um^2,Dendrite,,9,,3,,1,,100000012,510000001553,
Dendrite Area,4.41266,um^2,Dendrite,,10,,3,,1,,100000012,510000001562,
Dendrite Area,1.31332,um^2,Dendrite,,11,,3,,1,,100000012,510000001568,
Dendrite Area,2.14846,um^2,Dendrite,,12,,3,,1,,100000012,510000001570,
Dendrite Area,11.4904,um^2,Dendrite,,13,,3,,1,,100000012,510000001573,
Dendrite Area,1.64536,um^2,Dendrite,,14,,3,,1,,100000012,510000001593,
Dendrite Area,21.9028,um^2,Dendrite,,15,,4,,1,,100000012,510000001595,
Dendrite Area,23.4301,um^2,Dendrite,,8,,4,,1,,100000012,510000001650,
Dendrite Area,7.60749,um^2,Dendrite,,6,,4,,1,,100000012,510000001706,
Dendrite Area,9.33729,um^2,Dendrite,,7,,5,,1,,100000012,510000001722,
Dendrite Area,18.6983,um^2,Dendrite,,1,,1,,1,,100000012,510000001746,
Dendrite Area,10.3445,um^2,Dendrite,,2,,1,,1,,100000012,510000001767,
Dendrite Area,15.7693,um^2,Dendrite,,3,,2,,1,,100000012,510000001784,
Dendrite Area,9.29498,um^2,Dendrite,,4,,3,,1,,100000012,510000001822,
Dendrite Area,6.82237,um^2,Dendrite,,5,,3,,1,,100000012,510000001846,
Dendrite Area,20.2157,um^2,Dendrite,,6,,3,,1,,100000012,510000001864,
Dendrite Area,14.0421,um^2,Dendrite,,2,,2,,1,,100000012,510000001921,
Dendrite Area,36.4294,um^2,Dendrite,,3,,2,,1,,100000012,510000001953,
Dendrite Area,2.00548,um^2,Dendrite,,3,,3,,1,,100000012,510000002058,
Dendrite Area,16.6795,um^2,Dendrite,,4,,3,,1,,100000012,510000002064,
Dendrite Area,21.9039,um^2,Dendrite,,5,,3,,1,,100000012,510000002106,
Dendrite Area,17.1729,um^2,Dendrite,,6,,4,,1,,100000012,510000002155,
Dendrite Area,3.15774,um^2,Dendrite,,3,,1,,1,,100000012,510000002197,
Dendrite Area,4.40389,um^2,Dendrite,,4,,2,,1,,100000012,510000002204,
Dendrite Area,1.65782,um^2,Dendrite,,5,,2,,1,,100000012,510000002214,
Dendrite Area,42.12,um^2,Dendrite,,7,,2,,1,,100000012,510000002218,
Dendrite Area,17.9146,um^2,Dendrite,,6,,3,,1,,100000012,510000002358,
Dendrite Area,15.504,um^2,Dendrite,,9,,4,,1,,100000012,510000002384,
Dendrite Area,4.01183,um^2,Dendrite,,12,,4,,1,,100000012,510000002416,
Dendrite Area,15.532,um^2,Dendrite,,13,,5,,1,,100000012,510000002422,
Dendrite Area,1.57939,um^2,Dendrite,,2,,2,,1,,100000012,510000002464,
Dendrite Area,2.06189,um^2,Dendrite,,3,,2,,1,,100000012,510000002467,
Dendrite Area,13.9282,um^2,Dendrite,,4,,2,,1,,100000012,510000002472,
Dendrite Area,12.692,um^2,Dendrite,,5,,3,,1,,100000012,510000002508,
Dendrite Area,21.5118,um^2,Dendrite,,6,,4,,1,,100000012,510000002539,
Dendrite Area,5.14848,um^2,Dendrite,,7,,4,,1,,100000012,510000002591,
Dendrite Area,10.3479,um^2,Dendrite,,11,,4,,1,,100000012,510000002605,
Dendrite Area,12.8004,um^2,Dendrite,,14,,4,,1,,100000012,510000002657,
