
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,0.169172,um^2,Surface,,,,1,0,
Area,1.89643,um^2,Surface,,,,1,1,
Area,3.41831,um^2,Surface,,,,1,2,
Area,0.182527,um^2,Surface,,,,1,3,
Area,13.0073,um^2,Surface,,,,1,4,
Area,0.533982,um^2,Surface,,,,1,5,
Area,7.37857,um^2,Surface,,,,1,6,
Area,0.0166083,um^2,Surface,,,,1,7,
Area,0.178422,um^2,Surface,,,,1,8,
Area,0.0166081,um^2,Surface,,,,1,9,
Area,1.53305,um^2,Surface,,,,1,10,
Area,5.63942,um^2,Surface,,,,1,11,
Area,0.0469967,um^2,Surface,,,,1,12,
Area,15.711,um^2,Surface,,,,1,13,
Area,0.0360627,um^2,Surface,,,,1,14,
Area,0.0690167,um^2,Surface,,,,1,15,
Area,5.74112,um^2,Surface,,,,1,16,
Area,2.17762,um^2,Surface,,,,1,17,
Area,0.0166082,um^2,Surface,,,,1,18,
Area,0.016609,um^2,Surface,,,,1,19,
Area,0.0166092,um^2,Surface,,,,1,20,
Area,1.76772,um^2,Surface,,,,1,21,
Area,2.28721,um^2,Surface,,,,1,22,
Area,0.248938,um^2,Surface,,,,1,23,
Area,0.781976,um^2,Surface,,,,1,24,
Area,0.0469922,um^2,Surface,,,,1,25,
Area,0.809966,um^2,Surface,,,,1,26,
Area,0.240381,um^2,Surface,,,,1,27,
Area,0.285426,um^2,Surface,,,,1,28,
Area,0.0908044,um^2,Surface,,,,1,29,
Area,0.0232639,um^2,Surface,,,,1,30,
Area,0.103234,um^2,Surface,,,,1,31,
Area,0.310321,um^2,Surface,,,,1,32,
Area,5.34731,um^2,Surface,,,,1,33,
Area,2.53237,um^2,Surface,,,,1,34,
Area,0.448283,um^2,Surface,,,,1,35,
Area,0.0825429,um^2,Surface,,,,1,36,
Area,0.0675486,um^2,Surface,,,,1,37,
Area,5.66995,um^2,Surface,,,,1,38,
Area,0.0166088,um^2,Surface,,,,1,39,
Area,0.0166092,um^2,Surface,,,,1,40,
Area,0.0521012,um^2,Surface,,,,1,41,
Area,0.0232643,um^2,Surface,,,,1,42,
Area,0.0291933,um^2,Surface,,,,1,43,
Area,1.05582,um^2,Surface,,,,1,44,
Area,0.0166099,um^2,Surface,,,,1,45,
Area,0.109799,um^2,Surface,,,,1,46,
Area,0.94225,um^2,Surface,,,,1,47,
Area,1.77909,um^2,Surface,,,,1,48,
Area,1.73455,um^2,Surface,,,,1,49,
Area,0.0100814,um^2,Surface,,,,1,50,
Area,16.751,um^2,Surface,,,,1,51,
Area,0.0166081,um^2,Surface,,,,1,52,
Area,4.19292,um^2,Surface,,,,1,53,
Area,0.733809,um^2,Surface,,,,1,54,
Area,6.89401,um^2,Surface,,,,1,55,
Area,0.117203,um^2,Surface,,,,1,56,
Area,0.0166081,um^2,Surface,,,,1,57,
Area,5.55814,um^2,Surface,,,,1,58,
Area,0.0675429,um^2,Surface,,,,1,59,
Area,0.171917,um^2,Surface,,,,1,60,
Area,0.159487,um^2,Surface,,,,1,61,
Area,0.0690145,um^2,Surface,,,,1,62,
Area,0.178423,um^2,Surface,,,,1,63,
Area,0.111076,um^2,Surface,,,,1,64,
Area,3.25076,um^2,Surface,,,,1,65,
Area,0.431424,um^2,Surface,,,,1,66,
Area,7.77199,um^2,Surface,,,,1,67,
Area,11.0092,um^2,Surface,,,,1,68,
Area,10.883,um^2,Surface,,,,1,69,
Area,0.0800589,um^2,Surface,,,,1,70,
Area,0.136744,um^2,Surface,,,,1,71,
Area,9.47273,um^2,Surface,,,,1,72,
Area,1.98262,um^2,Surface,,,,1,73,
Area,0.210734,um^2,Surface,,,,1,74,
Area,3.49877,um^2,Surface,,,,1,75,
Area,1.82449,um^2,Surface,,,,1,76,
Area,2.0291,um^2,Surface,,,,1,77,
Area,44.1173,um^2,Surface,,,,1,78,
Area,2.02603,um^2,Surface,,,,1,79,
Area,7.72375,um^2,Surface,,,,1,80,
Area,0.0166095,um^2,Surface,,,,1,81,
Area,0.912244,um^2,Surface,,,,1,82,
Area,18.1823,um^2,Surface,,,,1,83,
Area,2.49917,um^2,Surface,,,,1,84,
Area,5.07458,um^2,Surface,,,,1,85,
Area,10.8834,um^2,Surface,,,,1,86,
Area,5.75344,um^2,Surface,,,,1,87,
Area,0.0166095,um^2,Surface,,,,1,88,
Area,1.1648,um^2,Surface,,,,1,89,
Area,1.94392,um^2,Surface,,,,1,90,
Area,1.05941,um^2,Surface,,,,1,91,
Area,0.213538,um^2,Surface,,,,1,92,
Area,2.04698,um^2,Surface,,,,1,93,
Area,6.18687,um^2,Surface,,,,1,94,
Area,1.40747,um^2,Surface,,,,1,95,
Area,5.09715,um^2,Surface,,,,1,96,
Area,0.107042,um^2,Surface,,,,1,97,
Area,1.85853,um^2,Surface,,,,1,98,
Area,6.68728,um^2,Surface,,,,1,99,
Area,0.0100808,um^2,Surface,,,,1,100,
Area,0.103238,um^2,Surface,,,,1,101,
Area,1.58513,um^2,Surface,,,,1,102,
Area,0.0672928,um^2,Surface,,,,1,103,
Area,0.0100808,um^2,Surface,,,,1,104,
Area,2.65166,um^2,Surface,,,,1,105,
Area,0.156521,um^2,Surface,,,,1,106,
Area,0.0855016,um^2,Surface,,,,1,107,
Area,0.155096,um^2,Surface,,,,1,108,
Area,25.3639,um^2,Surface,,,,1,109,
Area,2.67842,um^2,Surface,,,,1,110,
Area,0.127367,um^2,Surface,,,,1,111,
Area,3.09779,um^2,Surface,,,,1,112,
