
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,33.5418,um^2,Surface,,,,1,33,
Area,22.0693,um^2,Surface,,,,1,34,
Area,0.619186,um^2,Surface,,,,1,35,
Area,8.50303,um^2,Surface,,,,1,36,
Area,3.40003,um^2,Surface,,,,1,37,
Area,1.70768,um^2,Surface,,,,1,41,
Area,2.15984,um^2,Surface,,,,1,42,
Area,40.239,um^2,Surface,,,,1,43,
Area,3.32566,um^2,Surface,,,,1,44,
Area,0.420248,um^2,Surface,,,,1,45,
Area,3.94545,um^2,Surface,,,,1,46,
Area,13.9128,um^2,Surface,,,,1,47,
Area,45.3877,um^2,Surface,,,,1,48,
Area,4.08216,um^2,Surface,,,,1,49,
Area,2.50471,um^2,Surface,,,,1,50,
Area,0.441992,um^2,Surface,,,,1,51,
Area,6.70217,um^2,Surface,,,,1,52,
Area,0.630521,um^2,Surface,,,,1,53,
Area,14.7351,um^2,Surface,,,,1,54,
Area,6.42452,um^2,Surface,,,,1,55,
Area,30.2965,um^2,Surface,,,,1,56,
Area,6.63861,um^2,Surface,,,,1,57,
Area,11.385,um^2,Surface,,,,1,58,
Area,5.02731,um^2,Surface,,,,1,59,
Area,5.58137,um^2,Surface,,,,1,60,
Area,15.0046,um^2,Surface,,,,1,61,
Area,17.3033,um^2,Surface,,,,1,62,
Area,42.0694,um^2,Surface,,,,1,63,
Distance from Origin,132.823,um,Surface,,Distance from Origin,,1,33,
Distance from Origin,127.86,um,Surface,,Distance from Origin,,1,34,
Distance from Origin,125.021,um,Surface,,Distance from Origin,,1,35,
Distance from Origin,124.761,um,Surface,,Distance from Origin,,1,36,
Distance from Origin,125.3,um,Surface,,Distance from Origin,,1,37,
Distance from Origin,128.07,um,Surface,,Distance from Origin,,1,41,
Distance from Origin,131.337,um,Surface,,Distance from Origin,,1,42,
Distance from Origin,130.282,um,Surface,,Distance from Origin,,1,43,
Distance from Origin,127.226,um,Surface,,Distance from Origin,,1,44,
Distance from Origin,124.041,um,Surface,,Distance from Origin,,1,45,
Distance from Origin,122.284,um,Surface,,Distance from Origin,,1,46,
Distance from Origin,126.288,um,Surface,,Distance from Origin,,1,47,
Distance from Origin,128.938,um,Surface,,Distance from Origin,,1,48,
Distance from Origin,126.622,um,Surface,,Distance from Origin,,1,49,
Distance from Origin,124.023,um,Surface,,Distance from Origin,,1,50,
Distance from Origin,119.57,um,Surface,,Distance from Origin,,1,51,
Distance from Origin,123.25,um,Surface,,Distance from Origin,,1,52,
Distance from Origin,132.941,um,Surface,,Distance from Origin,,1,53,
Distance from Origin,131.586,um,Surface,,Distance from Origin,,1,54,
Distance from Origin,126.421,um,Surface,,Distance from Origin,,1,55,
Distance from Origin,124.274,um,Surface,,Distance from Origin,,1,56,
Distance from Origin,120.573,um,Surface,,Distance from Origin,,1,57,
Distance from Origin,121.635,um,Surface,,Distance from Origin,,1,58,
Distance from Origin,119.912,um,Surface,,Distance from Origin,,1,59,
Distance from Origin,121.778,um,Surface,,Distance from Origin,,1,60,
Distance from Origin,119.201,um,Surface,,Distance from Origin,,1,61,
Distance from Origin,117.902,um,Surface,,Distance from Origin,,1,62,
Distance from Origin,120.587,um,Surface,,Distance from Origin,,1,63,
Distance to Image Border XY,28.4876,um,Surface,,,Image 1,1,33,
Distance to Image Border XY,28.7875,um,Surface,,,Image 1,1,34,
Distance to Image Border XY,29.74,um,Surface,,,Image 1,1,35,
Distance to Image Border XY,30.778,um,Surface,,,Image 1,1,36,
Distance to Image Border XY,31.888,um,Surface,,,Image 1,1,37,
Distance to Image Border XY,30.53,um,Surface,,,Image 1,1,41,
Distance to Image Border XY,34.0462,um,Surface,,,Image 1,1,42,
Distance to Image Border XY,29.062,um,Surface,,,Image 1,1,43,
Distance to Image Border XY,32.0404,um,Surface,,,Image 1,1,44,
Distance to Image Border XY,33.5,um,Surface,,,Image 1,1,45,
Distance to Image Border XY,31.5581,um,Surface,,,Image 1,1,46,
Distance to Image Border XY,31.8557,um,Surface,,,Image 1,1,47,
Distance to Image Border XY,30.935,um,Surface,,,Image 1,1,48,
Distance to Image Border XY,33.3,um,Surface,,,Image 1,1,49,
Distance to Image Border XY,29.3774,um,Surface,,,Image 1,1,50,
Distance to Image Border XY,29.48,um,Surface,,,Image 1,1,51,
Distance to Image Border XY,33.2778,um,Surface,,,Image 1,1,52,
Distance to Image Border XY,28.0251,um,Surface,,,Image 1,1,53,
Distance to Image Border XY,29.0016,um,Surface,,,Image 1,1,54,
Distance to Image Border XY,28.5597,um,Surface,,,Image 1,1,55,
Distance to Image Border XY,26.7753,um,Surface,,,Image 1,1,56,
Distance to Image Border XY,29.1333,um,Surface,,,Image 1,1,57,
Distance to Image Border XY,28.6246,um,Surface,,,Image 1,1,58,
Distance to Image Border XY,25.9273,um,Surface,,,Image 1,1,59,
Distance to Image Border XY,27.4941,um,Surface,,,Image 1,1,60,
Distance to Image Border XY,26.5601,um,Surface,,,Image 1,1,61,
Distance to Image Border XY,24.4477,um,Surface,,,Image 1,1,62,
Distance to Image Border XY,22.734,um,Surface,,,Image 1,1,63,
Ellipticity (oblate),0.289909,,Surface,,,,1,33,
Ellipticity (oblate),0.311801,,Surface,,,,1,34,
Ellipticity (oblate),0.536392,,Surface,,,,1,35,
Ellipticity (oblate),0.390197,,Surface,,,,1,36,
Ellipticity (oblate),0.281226,,Surface,,,,1,37,
Ellipticity (oblate),0.284683,,Surface,,,,1,41,
Ellipticity (oblate),0.351731,,Surface,,,,1,42,
Ellipticity (oblate),0.472346,,Surface,,,,1,43,
Ellipticity (oblate),0.542971,,Surface,,,,1,44,
Ellipticity (oblate),0.539964,,Surface,,,,1,45,
Ellipticity (oblate),0.30308,,Surface,,,,1,46,
Ellipticity (oblate),0.431732,,Surface,,,,1,47,
Ellipticity (oblate),0.358635,,Surface,,,,1,48,
Ellipticity (oblate),0.36279,,Surface,,,,1,49,
Ellipticity (oblate),0.405002,,Surface,,,,1,50,
Ellipticity (oblate),0.419764,,Surface,,,,1,51,
Ellipticity (oblate),0.395081,,Surface,,,,1,52,
Ellipticity (oblate),0.447531,,Surface,,,,1,53,
Ellipticity (oblate),0.406231,,Surface,,,,1,54,
Ellipticity (oblate),0.291883,,Surface,,,,1,55,
Ellipticity (oblate),0.426197,,Surface,,,,1,56,
Ellipticity (oblate),0.298749,,Surface,,,,1,57,
Ellipticity (oblate),0.372858,,Surface,,,,1,58,
Ellipticity (oblate),0.327151,,Surface,,,,1,59,
