
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,19.8709,um^2,Surface,,,,1,233,
Area,13.5013,um^2,Surface,,,,1,234,
Area,18.2097,um^2,Surface,,,,1,235,
Area,17.0221,um^2,Surface,,,,1,237,
Area,25.1899,um^2,Surface,,,,1,238,
Area,38.0685,um^2,Surface,,,,1,239,
Area,1943.94,um^2,Surface,,,,1,242,
Distance from Origin,148.681,um,Surface,,Distance from Origin,,1,233,
Distance from Origin,140.52,um,Surface,,Distance from Origin,,1,234,
Distance from Origin,114.472,um,Surface,,Distance from Origin,,1,235,
Distance from Origin,144.749,um,Surface,,Distance from Origin,,1,237,
Distance from Origin,146.429,um,Surface,,Distance from Origin,,1,238,
Distance from Origin,124.807,um,Surface,,Distance from Origin,,1,239,
Distance from Origin,125.153,um,Surface,,Distance from Origin,,1,242,
Distance to Image Border XY,17.7244,um,Surface,,,Image 1,1,233,
Distance to Image Border XY,23.4674,um,Surface,,,Image 1,1,234,
Distance to Image Border XY,13.5454,um,Surface,,,Image 1,1,235,
Distance to Image Border XY,22.3873,um,Surface,,,Image 1,1,237,
Distance to Image Border XY,20.4526,um,Surface,,,Image 1,1,238,
Distance to Image Border XY,20.6494,um,Surface,,,Image 1,1,239,
Distance to Image Border XY,11.5953,um,Surface,,,Image 1,1,242,
Ellipticity (oblate),0.0905216,,Surface,,,,1,233,
Ellipticity (oblate),0.282485,,Surface,,,,1,234,
Ellipticity (oblate),0.0948697,,Surface,,,,1,235,
Ellipticity (oblate),0.347436,,Surface,,,,1,237,
Ellipticity (oblate),0.171594,,Surface,,,,1,238,
Ellipticity (oblate),0.0530406,,Surface,,,,1,239,
Ellipticity (oblate),0.669368,,Surface,,,,1,242,
Ellipticity (prolate),0.808507,,Surface,,,,1,233,
Ellipticity (prolate),0.39683,,Surface,,,,1,234,
Ellipticity (prolate),0.508025,,Surface,,,,1,235,
Ellipticity (prolate),0.536507,,Surface,,,,1,237,
Ellipticity (prolate),0.80722,,Surface,,,,1,238,
Ellipticity (prolate),0.804133,,Surface,,,,1,239,
Ellipticity (prolate),0.0432919,,Surface,,,,1,242,
Generation,0,,Surface,,,,1,233,
Generation,0,,Surface,,,,1,234,
Generation,0,,Surface,,,,1,235,
Generation,0,,Surface,,,,1,237,
Generation,0,,Surface,,,,1,238,
Generation,0,,Surface,,,,1,239,
Generation,0,,Surface,,,,1,242,
