
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,1.01893,um^2,Surface,,,,1,98,
Area,1.10324,um^2,Surface,,,,1,104,
Area,2.92172,um^2,Surface,,,,1,105,
Area,3.32341,um^2,Surface,,,,1,106,
Area,7.72639,um^2,Surface,,,,1,108,
Area,2.07319,um^2,Surface,,,,1,109,
Area,12.078,um^2,Surface,,,,1,110,
Area,6.81961,um^2,Surface,,,,1,111,
Area,5.13906,um^2,Surface,,,,1,112,
Area,2.88233,um^2,Surface,,,,1,113,
Area,6.17061,um^2,Surface,,,,1,114,
Area,13.5717,um^2,Surface,,,,1,115,
Area,2.43381,um^2,Surface,,,,1,117,
Area,15.4587,um^2,Surface,,,,1,118,
Area,18.8125,um^2,Surface,,,,1,119,
Area,10.5727,um^2,Surface,,,,1,120,
Area,8.9111,um^2,Surface,,,,1,121,
Area,1.68908,um^2,Surface,,,,1,122,
Area,49.7904,um^2,Surface,,,,1,123,
Area,12.7634,um^2,Surface,,,,1,124,
Area,1.65876,um^2,Surface,,,,1,125,
Area,9.01145,um^2,Surface,,,,1,126,
Area,2.00938,um^2,Surface,,,,1,127,
Area,16.3648,um^2,Surface,,,,1,128,
Area,1.2242,um^2,Surface,,,,1,129,
Area,0.817846,um^2,Surface,,,,1,130,
Area,7.69623,um^2,Surface,,,,1,136,
Area,9.37617,um^2,Surface,,,,1,137,
Area,49.0939,um^2,Surface,,,,1,138,
Area,100.343,um^2,Surface,,,,1,139,
Area,1.15877,um^2,Surface,,,,1,140,
Area,1.30166,um^2,Surface,,,,1,141,
Area,25.8552,um^2,Surface,,,,1,143,
Distance from Origin,204.103,um,Surface,,Distance from Origin,,1,98,
Distance from Origin,190.995,um,Surface,,Distance from Origin,,1,104,
Distance from Origin,146.579,um,Surface,,Distance from Origin,,1,105,
Distance from Origin,217.357,um,Surface,,Distance from Origin,,1,106,
Distance from Origin,186.412,um,Surface,,Distance from Origin,,1,108,
Distance from Origin,189.122,um,Surface,,Distance from Origin,,1,109,
Distance from Origin,178.055,um,Surface,,Distance from Origin,,1,110,
Distance from Origin,180.245,um,Surface,,Distance from Origin,,1,111,
Distance from Origin,173.526,um,Surface,,Distance from Origin,,1,112,
Distance from Origin,173.959,um,Surface,,Distance from Origin,,1,113,
Distance from Origin,174.544,um,Surface,,Distance from Origin,,1,114,
Distance from Origin,169.724,um,Surface,,Distance from Origin,,1,115,
Distance from Origin,167.513,um,Surface,,Distance from Origin,,1,117,
Distance from Origin,167.658,um,Surface,,Distance from Origin,,1,118,
Distance from Origin,173.423,um,Surface,,Distance from Origin,,1,119,
Distance from Origin,171.669,um,Surface,,Distance from Origin,,1,120,
Distance from Origin,160.445,um,Surface,,Distance from Origin,,1,121,
Distance from Origin,163.852,um,Surface,,Distance from Origin,,1,122,
Distance from Origin,160.026,um,Surface,,Distance from Origin,,1,123,
Distance from Origin,165.182,um,Surface,,Distance from Origin,,1,124,
Distance from Origin,157.035,um,Surface,,Distance from Origin,,1,125,
Distance from Origin,153.511,um,Surface,,Distance from Origin,,1,126,
Distance from Origin,150.987,um,Surface,,Distance from Origin,,1,127,
Distance from Origin,165.245,um,Surface,,Distance from Origin,,1,128,
Distance from Origin,166.009,um,Surface,,Distance from Origin,,1,129,
Distance from Origin,149.101,um,Surface,,Distance from Origin,,1,130,
Distance from Origin,169.391,um,Surface,,Distance from Origin,,1,136,
Distance from Origin,162.536,um,Surface,,Distance from Origin,,1,137,
Distance from Origin,164.244,um,Surface,,Distance from Origin,,1,138,
Distance from Origin,160.889,um,Surface,,Distance from Origin,,1,139,
Distance from Origin,161.566,um,Surface,,Distance from Origin,,1,140,
Distance from Origin,168.317,um,Surface,,Distance from Origin,,1,141,
Distance from Origin,168.977,um,Surface,,Distance from Origin,,1,143,
Distance to Image Border XY,24.8814,um,Surface,,,Image 1,1,98,
Distance to Image Border XY,50.8722,um,Surface,,,Image 1,1,104,
Distance to Image Border XY,56.6402,um,Surface,,,Image 1,1,105,
Distance to Image Border XY,16.5521,um,Surface,,,Image 1,1,106,
Distance to Image Border XY,42.3464,um,Surface,,,Image 1,1,108,
Distance to Image Border XY,38.677,um,Surface,,,Image 1,1,109,
Distance to Image Border XY,48.2139,um,Surface,,,Image 1,1,110,
Distance to Image Border XY,47.9799,um,Surface,,,Image 1,1,111,
Distance to Image Border XY,61.2056,um,Surface,,,Image 1,1,112,
Distance to Image Border XY,71.5628,um,Surface,,,Image 1,1,113,
Distance to Image Border XY,69.7076,um,Surface,,,Image 1,1,114,
Distance to Image Border XY,67.4745,um,Surface,,,Image 1,1,115,
Distance to Image Border XY,62.4468,um,Surface,,,Image 1,1,117,
Distance to Image Border XY,56.7427,um,Surface,,,Image 1,1,118,
Distance to Image Border XY,50.9596,um,Surface,,,Image 1,1,119,
Distance to Image Border XY,51.8247,um,Surface,,,Image 1,1,120,
Distance to Image Border XY,55.4335,um,Surface,,,Image 1,1,121,
Distance to Image Border XY,49.7692,um,Surface,,,Image 1,1,122,
Distance to Image Border XY,56.237,um,Surface,,,Image 1,1,123,
Distance to Image Border XY,64.015,um,Surface,,,Image 1,1,124,
Distance to Image Border XY,70.7887,um,Surface,,,Image 1,1,125,
Distance to Image Border XY,67.0224,um,Surface,,,Image 1,1,126,
Distance to Image Border XY,67.8795,um,Surface,,,Image 1,1,127,
Distance to Image Border XY,58.1155,um,Surface,,,Image 1,1,128,
Distance to Image Border XY,45.2238,um,Surface,,,Image 1,1,129,
Distance to Image Border XY,64.3888,um,Surface,,,Image 1,1,130,
Distance to Image Border XY,61.0181,um,Surface,,,Image 1,1,136,
Distance to Image Border XY,51.4458,um,Surface,,,Image 1,1,137,
Distance to Image Border XY,61.247,um,Surface,,,Image 1,1,138,
Distance to Image Border XY,60.1005,um,Surface,,,Image 1,1,139,
Distance to Image Border XY,50.0291,um,Surface,,,Image 1,1,140,
Distance to Image Border XY,41.6221,um,Surface,,,Image 1,1,141,
Distance to Image Border XY,54.1704,um,Surface,,,Image 1,1,143,
Ellipticity (oblate),0.352249,,Surface,,,,1,98,
Ellipticity (oblate),0.260754,,Surface,,,,1,104,
Ellipticity (oblate),0.346036,,Surface,,,,1,105,
Ellipticity (oblate),0.297461,,Surface,,,,1,106,
Ellipticity (oblate),0.517408,,Surface,,,,1,108,
Ellipticity (oblate),0.265418,,Surface,,,,1,109,
Ellipticity (oblate),0.499597,,Surface,,,,1,110,
Ellipticity (oblate),0.476314,,Surface,,,,1,111,
Ellipticity (oblate),0.466472,,Surface,,,,1,112,
Ellipticity (oblate),0.316712,,Surface,,,,1,113,
Ellipticity (oblate),0.292962,,Surface,,,,1,114,
Ellipticity (oblate),0.192806,,Surface,,,,1,115,
Ellipticity (oblate),0.279599,,Surface,,,,1,117,
Ellipticity (oblate),0.547609,,Surface,,,,1,118,
Ellipticity (oblate),0.571126,,Surface,,,,1,119,
Ellipticity (oblate),0.31694,,Surface,,,,1,120,
Ellipticity (oblate),0.342501,,Surface,,,,1,121,
Ellipticity (oblate),0.398287,,Surface,,,,1,122,
Ellipticity (oblate),0.113102,,Surface,,,,1,123,
Ellipticity (oblate),0.711176,,Surface,,,,1,124,
Ellipticity (oblate),0.253986,,Surface,,,,1,125,
Ellipticity (oblate),0.404083,,Surface,,,,1,126,
Ellipticity (oblate),0.429035,,Surface,,,,1,127,
Ellipticity (oblate),0.466493,,Surface,,,,1,128,
Ellipticity (oblate),0.198277,,Surface,,,,1,129,
Ellipticity (oblate),0.443517,,Surface,,,,1,130,
Ellipticity (oblate),0.414354,,Surface,,,,1,136,
Ellipticity (oblate),0.298012,,Surface,,,,1,137,
Ellipticity (oblate),0.397158,,Surface,,,,1,138,
Ellipticity (oblate),0.432149,,Surface,,,,1,139,
Ellipticity (oblate),0.22509,,Surface,,,,1,140,
Ellipticity (oblate),0.489022,,Surface,,,,1,141,
Ellipticity (oblate),0.300385,,Surface,,,,1,143,
Ellipticity (prolate),0.546185,,Surface,,,,1,98,
Ellipticity (prolate),0.269067,,Surface,,,,1,104,
Ellipticity (prolate),0.241646,,Surface,,,,1,105,
Ellipticity (prolate),0.63886,,Surface,,,,1,106,
Ellipticity (prolate),0.331606,,Surface,,,,1,108,
Ellipticity (prolate),0.386718,,Surface,,,,1,109,
Ellipticity (prolate),0.33225,,Surface,,,,1,110,
Ellipticity (prolate),0.309532,,Surface,,,,1,111,
Ellipticity (prolate),0.381439,,Surface,,,,1,112,
Ellipticity (prolate),0.574951,,Surface,,,,1,113,
Ellipticity (prolate),0.648937,,Surface,,,,1,114,
Ellipticity (prolate),0.360678,,Surface,,,,1,115,
Ellipticity (prolate),0.659958,,Surface,,,,1,117,
Ellipticity (prolate),0.287831,,Surface,,,,1,118,
Ellipticity (prolate),0.292463,,Surface,,,,1,119,
Ellipticity (prolate),0.576343,,Surface,,,,1,120,
Ellipticity (prolate),0.556638,,Surface,,,,1,121,
Ellipticity (prolate),0.440648,,Surface,,,,1,122,
Ellipticity (prolate),0.638726,,Surface,,,,1,123,
Ellipticity (prolate),0.187263,,Surface,,,,1,124,
Ellipticity (prolate),0.720301,,Surface,,,,1,125,
Ellipticity (prolate),0.310249,,Surface,,,,1,126,
Ellipticity (prolate),0.397457,,Surface,,,,1,127,
Ellipticity (prolate),0.316626,,Surface,,,,1,128,
Ellipticity (prolate),0.30636,,Surface,,,,1,129,
Ellipticity (prolate),0.270467,,Surface,,,,1,130,
Ellipticity (prolate),0.419727,,Surface,,,,1,136,
Ellipticity (prolate),0.624373,,Surface,,,,1,137,
Ellipticity (prolate),0.479782,,Surface,,,,1,138,
Ellipticity (prolate),0.269233,,Surface,,,,1,139,
Ellipticity (prolate),0.779565,,Surface,,,,1,140,
Ellipticity (prolate),0.361723,,Surface,,,,1,141,
Ellipticity (prolate),0.58018,,Surface,,,,1,143,
Generation,0,,Surface,,,,1,98,
Generation,0,,Surface,,,,1,104,
Generation,0,,Surface,,,,1,105,
Generation,0,,Surface,,,,1,106,
Generation,0,,Surface,,,,1,108,
Generation,0,,Surface,,,,1,109,
Generation,0,,Surface,,,,1,110,
Generation,0,,Surface,,,,1,111,
Generation,0,,Surface,,,,1,112,
Generation,0,,Surface,,,,1,113,
Generation,0,,Surface,,,,1,114,
Generation,0,,Surface,,,,1,115,
Generation,0,,Surface,,,,1,117,
Generation,0,,Surface,,,,1,118,
Generation,0,,Surface,,,,1,119,
Generation,0,,Surface,,,,1,120,
Generation,0,,Surface,,,,1,121,
Generation,0,,Surface,,,,1,122,
Generation,0,,Surface,,,,1,123,
Generation,0,,Surface,,,,1,124,
Generation,0,,Surface,,,,1,125,
Generation,0,,Surface,,,,1,126,
Generation,0,,Surface,,,,1,127,
Generation,0,,Surface,,,,1,128,
Generation,0,,Surface,,,,1,129,
Generation,0,,Surface,,,,1,130,
Generation,0,,Surface,,,,1,136,
Generation,0,,Surface,,,,1,137,
Generation,0,,Surface,,,,1,138,
Generation,0,,Surface,,,,1,139,
Generation,0,,Surface,,,,1,140,
Generation,0,,Surface,,,,1,141,
Generation,0,,Surface,,,,1,143,
Intensity Max,0,,Surface,1,,Image 1,1,98,
Intensity Max,14,,Surface,2,,Image 1,1,98,
Intensity Max,6,,Surface,3,,Image 1,1,98,
Intensity Max,15,,Surface,4,,Image 1,1,98,
Intensity Max,15,,Surface,5,,Image 1,1,98,
Intensity Max,0,,Surface,6,,Image 1,1,98,
Intensity Max,14,,Surface,7,,Image 1,1,98,
Intensity Max,3,,Surface,1,,Image 1,1,104,
Intensity Max,15,,Surface,2,,Image 1,1,104,
Intensity Max,3,,Surface,3,,Image 1,1,104,
Intensity Max,17,,Surface,4,,Image 1,1,104,
Intensity Max,17,,Surface,5,,Image 1,1,104,
Intensity Max,3,,Surface,6,,Image 1,1,104,
Intensity Max,15,,Surface,7,,Image 1,1,104,
Intensity Max,0,,Surface,1,,Image 1,1,105,
Intensity Max,17,,Surface,2,,Image 1,1,105,
Intensity Max,1,,Surface,3,,Image 1,1,105,
Intensity Max,23,,Surface,4,,Image 1,1,105,
Intensity Max,23,,Surface,5,,Image 1,1,105,
Intensity Max,0,,Surface,6,,Image 1,1,105,
Intensity Max,17,,Surface,7,,Image 1,1,105,
Intensity Max,0,,Surface,1,,Image 1,1,106,
Intensity Max,18,,Surface,2,,Image 1,1,106,
Intensity Max,5,,Surface,3,,Image 1,1,106,
Intensity Max,9,,Surface,4,,Image 1,1,106,
Intensity Max,9,,Surface,5,,Image 1,1,106,
Intensity Max,0,,Surface,6,,Image 1,1,106,
Intensity Max,18,,Surface,7,,Image 1,1,106,
Intensity Max,6,,Surface,1,,Image 1,1,108,
Intensity Max,19,,Surface,2,,Image 1,1,108,
Intensity Max,4,,Surface,3,,Image 1,1,108,
Intensity Max,21,,Surface,4,,Image 1,1,108,
Intensity Max,21,,Surface,5,,Image 1,1,108,
Intensity Max,6,,Surface,6,,Image 1,1,108,
Intensity Max,19,,Surface,7,,Image 1,1,108,
Intensity Max,3,,Surface,1,,Image 1,1,109,
Intensity Max,14,,Surface,2,,Image 1,1,109,
Intensity Max,1,,Surface,3,,Image 1,1,109,
Intensity Max,23,,Surface,4,,Image 1,1,109,
Intensity Max,23,,Surface,5,,Image 1,1,109,
Intensity Max,3,,Surface,6,,Image 1,1,109,
Intensity Max,14,,Surface,7,,Image 1,1,109,
Intensity Max,3,,Surface,1,,Image 1,1,110,
Intensity Max,13,,Surface,2,,Image 1,1,110,
Intensity Max,3,,Surface,3,,Image 1,1,110,
Intensity Max,15,,Surface,4,,Image 1,1,110,
Intensity Max,15,,Surface,5,,Image 1,1,110,
Intensity Max,3,,Surface,6,,Image 1,1,110,
Intensity Max,13,,Surface,7,,Image 1,1,110,
Intensity Max,4,,Surface,1,,Image 1,1,111,
Intensity Max,13,,Surface,2,,Image 1,1,111,
Intensity Max,4,,Surface,3,,Image 1,1,111,
Intensity Max,20,,Surface,4,,Image 1,1,111,
Intensity Max,20,,Surface,5,,Image 1,1,111,
Intensity Max,4,,Surface,6,,Image 1,1,111,
Intensity Max,13,,Surface,7,,Image 1,1,111,
Intensity Max,2,,Surface,1,,Image 1,1,112,
Intensity Max,26,,Surface,2,,Image 1,1,112,
Intensity Max,2,,Surface,3,,Image 1,1,112,
Intensity Max,23,,Surface,4,,Image 1,1,112,
Intensity Max,23,,Surface,5,,Image 1,1,112,
Intensity Max,2,,Surface,6,,Image 1,1,112,
Intensity Max,26,,Surface,7,,Image 1,1,112,
Intensity Max,0,,Surface,1,,Image 1,1,113,
Intensity Max,12,,Surface,2,,Image 1,1,113,
Intensity Max,3,,Surface,3,,Image 1,1,113,
Intensity Max,9,,Surface,4,,Image 1,1,113,
Intensity Max,9,,Surface,5,,Image 1,1,113,
Intensity Max,0,,Surface,6,,Image 1,1,113,
