
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,0.0638521,um^2,Surface,,,,1,125,
Area,0.182248,um^2,Surface,,,,1,126,
Area,0.0580071,um^2,Surface,,,,1,130,
Area,2.87722,um^2,Surface,,,,1,132,
Area,0.671151,um^2,Surface,,,,1,133,
Area,0.229793,um^2,Surface,,,,1,134,
Area,2.92865,um^2,Surface,,,,1,135,
Area,6.75645,um^2,Surface,,,,1,142,
Area,8.54927,um^2,Surface,,,,1,144,
Area,0.557111,um^2,Surface,,,,1,145,
Area,0.599797,um^2,Surface,,,,1,147,
Area,8.22131,um^2,Surface,,,,1,148,
Area,4.19797,um^2,Surface,,,,1,149,
Area,1.29815,um^2,Surface,,,,1,150,
Area,6.88499,um^2,Surface,,,,1,152,
Area,2.57634,um^2,Surface,,,,1,153,
Area,7.46834,um^2,Surface,,,,1,154,
Area,1.1608,um^2,Surface,,,,1,155,
Area,6.14083,um^2,Surface,,,,1,156,
Area,10.9111,um^2,Surface,,,,1,158,
Area,5.01872,um^2,Surface,,,,1,164,
Area,10.0756,um^2,Surface,,,,1,167,
Area,15.0412,um^2,Surface,,,,1,169,
Area,7.14259,um^2,Surface,,,,1,171,
Area,13.7641,um^2,Surface,,,,1,172,
Area,32.5275,um^2,Surface,,,,1,173,
Area,6.86596,um^2,Surface,,,,1,174,
Area,6.1615,um^2,Surface,,,,1,175,
Area,4.49975,um^2,Surface,,,,1,176,
Area,19.4467,um^2,Surface,,,,1,177,
Area,0.191001,um^2,Surface,,,,1,178,
Area,0.773081,um^2,Surface,,,,1,182,
Area,2.35477,um^2,Surface,,,,1,183,
Area,10.0825,um^2,Surface,,,,1,187,
Area,10.7816,um^2,Surface,,,,1,188,
Area,0.10989,um^2,Surface,,,,1,191,
Area,0.11091,um^2,Surface,,,,1,193,
Area,3.84234,um^2,Surface,,,,1,195,
Area,6.43837,um^2,Surface,,,,1,197,
Area,0.186907,um^2,Surface,,,,1,199,
Area,3.82929,um^2,Surface,,,,1,200,
Area,0.250869,um^2,Surface,,,,1,201,
Area,1.98308,um^2,Surface,,,,1,202,
Area,3.9561,um^2,Surface,,,,1,203,
Area,0.0475198,um^2,Surface,,,,1,204,
Area,0.431193,um^2,Surface,,,,1,206,
Area,14.3159,um^2,Surface,,,,1,208,
Area,70.8974,um^2,Surface,,,,1,209,
Area,0.0346585,um^2,Surface,,,,1,212,
Area,5.93954,um^2,Surface,,,,1,215,
Area,0.0858542,um^2,Surface,,,,1,216,
Area,26.3786,um^2,Surface,,,,1,217,
Area,0.442058,um^2,Surface,,,,1,218,
Area,3.01835,um^2,Surface,,,,1,219,
Area,0.141164,um^2,Surface,,,,1,221,
Area,19.4146,um^2,Surface,,,,1,222,
Area,0.387338,um^2,Surface,,,,1,223,
Area,6.66532,um^2,Surface,,,,1,225,
Area,14.9284,um^2,Surface,,,,1,226,
Distance from Origin,125.758,um,Surface,,Distance from Origin,,1,125,
Distance from Origin,158.118,um,Surface,,Distance from Origin,,1,126,
Distance from Origin,160.434,um,Surface,,Distance from Origin,,1,130,
Distance from Origin,167.048,um,Surface,,Distance from Origin,,1,132,
Distance from Origin,171.496,um,Surface,,Distance from Origin,,1,133,
Distance from Origin,158.986,um,Surface,,Distance from Origin,,1,134,
Distance from Origin,173.337,um,Surface,,Distance from Origin,,1,135,
Distance from Origin,213.213,um,Surface,,Distance from Origin,,1,142,
Distance from Origin,168.728,um,Surface,,Distance from Origin,,1,144,
Distance from Origin,178.133,um,Surface,,Distance from Origin,,1,145,
Distance from Origin,165.157,um,Surface,,Distance from Origin,,1,147,
Distance from Origin,164.935,um,Surface,,Distance from Origin,,1,148,
Distance from Origin,168.433,um,Surface,,Distance from Origin,,1,149,
Distance from Origin,165.408,um,Surface,,Distance from Origin,,1,150,
Distance from Origin,164.383,um,Surface,,Distance from Origin,,1,152,
Distance from Origin,163.127,um,Surface,,Distance from Origin,,1,153,
Distance from Origin,165.306,um,Surface,,Distance from Origin,,1,154,
Distance from Origin,156.748,um,Surface,,Distance from Origin,,1,155,
Distance from Origin,150.158,um,Surface,,Distance from Origin,,1,156,
Distance from Origin,147.25,um,Surface,,Distance from Origin,,1,158,
Distance from Origin,191.445,um,Surface,,Distance from Origin,,1,164,
Distance from Origin,205.322,um,Surface,,Distance from Origin,,1,167,
