Detailed,,,,,,,,,
 ==================== ,,,,,,,,,
Variable,Value,Unit,Category,Channel,Collection,Image,Surpass Object,Time,ID
Area,0.0196378,um^2,Surface,,,,Surface contact Area - cd68,1,0
Area,3.58708,um^2,Surface,,,,Surface contact Area - cd68,1,1
Area,0.033092,um^2,Surface,,,,Surface contact Area - cd68,1,2
Area,0.964975,um^2,Surface,,,,Surface contact Area - cd68,1,3
Area,4.13262,um^2,Surface,,,,Surface contact Area - cd68,1,4
Area,0.245214,um^2,Surface,,,,Surface contact Area - cd68,1,5
Area,0.126974,um^2,Surface,,,,Surface contact Area - cd68,1,6
Area,0.0614881,um^2,Surface,,,,Surface contact Area - cd68,1,7
Area,0.000520979,um^2,Surface,,,,Surface contact Area - cd68,1,8
Area,1.801,um^2,Surface,,,,Surface contact Area - cd68,1,9
Area,0.00269495,um^2,Surface,,,,Surface contact Area - cd68,1,10
Area,3.08361,um^2,Surface,,,,Surface contact Area - cd68,1,11
Area,0.179361,um^2,Surface,,,,Surface contact Area - cd68,1,12
Area,0.1005,um^2,Surface,,,,Surface contact Area - cd68,1,13
Area,0.033092,um^2,Surface,,,,Surface contact Area - cd68,1,14
Area,0.0675474,um^2,Surface,,,,Surface contact Area - cd68,1,15
Area,0.385495,um^2,Surface,,,,Surface contact Area - cd68,1,16
Area,7.07685,um^2,Surface,,,,Surface contact Area - cd68,1,17
Area,0.259423,um^2,Surface,,,,Surface contact Area - cd68,1,18
Area,0.0330936,um^2,Surface,,,,Surface contact Area - cd68,1,19
Area,0.0166082,um^2,Surface,,,,Surface contact Area - cd68,1,20
Area,1.80853,um^2,Surface,,,,Surface contact Area - cd68,1,21
Area,5.01214,um^2,Surface,,,,Surface contact Area - cd68,1,22
Area,1.318,um^2,Surface,,,,Surface contact Area - cd68,1,23
Area,0.224918,um^2,Surface,,,,Surface contact Area - cd68,1,24
Area,1.59819,um^2,Surface,,,,Surface contact Area - cd68,1,25
Area,0.0341921,um^2,Surface,,,,Surface contact Area - cd68,1,26
Area,3.331,um^2,Surface,,,,Surface contact Area - cd68,1,27
Area,4.37957,um^2,Surface,,,,Surface contact Area - cd68,1,28
Area,0.0675432,um^2,Surface,,,,Surface contact Area - cd68,1,29
Area,0.587476,um^2,Surface,,,,Surface contact Area - cd68,1,30
Area,2.60044,um^2,Surface,,,,Surface contact Area - cd68,1,31
Area,1.36309,um^2,Surface,,,,Surface contact Area - cd68,1,32
Area,3.22952,um^2,Surface,,,,Surface contact Area - cd68,1,33
Area,18.3836,um^2,Surface,,,,Surface contact Area - cd68,1,34
Area,0.325156,um^2,Surface,,,,Surface contact Area - cd68,1,35
Area,4.55525,um^2,Surface,,,,Surface contact Area - cd68,1,36
Area,1.5575,um^2,Surface,,,,Surface contact Area - cd68,1,37
Area,2.93644,um^2,Surface,,,,Surface contact Area - cd68,1,38
Area,0.242741,um^2,Surface,,,,Surface contact Area - cd68,1,39
Area,0.110693,um^2,Surface,,,,Surface contact Area - cd68,1,40
Area,13.8953,um^2,Surface,,,,Surface contact Area - cd68,1,41
Area,21.6101,um^2,Surface,,,,Surface contact Area - cd68,1,42
Area,8.98976,um^2,Surface,,,,Surface contact Area - cd68,1,43
Area,0.364919,um^2,Surface,,,,Surface contact Area - cd68,1,44
Area,0.0954327,um^2,Surface,,,,Surface contact Area - cd68,1,45
Area,1.10159,um^2,Surface,,,,Surface contact Area - cd68,1,46
Area,20.0429,um^2,Surface,,,,Surface contact Area - cd68,1,47
Area,0.0196371,um^2,Surface,,,,Surface contact Area - cd68,1,48
Area,37.0837,um^2,Surface,,,,Surface contact Area - cd68,1,49
Area,8.37379,um^2,Surface,,,,Surface contact Area - cd68,1,50
Area,1.86076,um^2,Surface,,,,Surface contact Area - cd68,1,51
Area,1.10264,um^2,Surface,,,,Surface contact Area - cd68,1,52
Area,0.723436,um^2,Surface,,,,Surface contact Area - cd68,1,53
Area,0.446108,um^2,Surface,,,,Surface contact Area - cd68,1,54
Contact surface area,0.235,um,Surface,,,,Surface contact Area - cd68,,0
Contact surface area,0.6175,um,Surface,,,,Surface contact Area - cd68,,1
Contact surface area,0.0125,um,Surface,,,,Surface contact Area - cd68,,2
Contact surface area,0.395,um,Surface,,,,Surface contact Area - cd68,,3
Contact surface area,0.205,um,Surface,,,,Surface contact Area - cd68,,4
Contact surface area,0.0475,um,Surface,,,,Surface contact Area - cd68,,5
Contact surface area,4.8975,um,Surface,,,,Surface contact Area - cd68,,6
Contact surface area,1.06,um,Surface,,,,Surface contact Area - cd68,,7
Contact surface area,0.03,um,Surface,,,,Surface contact Area - cd68,,8
Contact surface area,0.3375,um,Surface,,,,Surface contact Area - cd68,,9
Contact surface area,0.7525,um,Surface,,,,Surface contact Area - cd68,,10
Contact surface area,0.055,um,Surface,,,,Surface contact Area - cd68,,11
Contact surface area,8.02,um,Surface,,,,Surface contact Area - cd68,,12
Contact surface area,12.6825,um,Surface,,,,Surface contact Area - cd68,,13
Contact surface area,5.2325,um,Surface,,,,Surface contact Area - cd68,,14
Contact surface area,21.5075,um,Surface,,,,Surface contact Area - cd68,,15
Contact surface area,0.0025,um,Surface,,,,Surface contact Area - cd68,,16
Contact surface area,0.1225,um,Surface,,,,Surface contact Area - cd68,,17
Contact surface area,0.8875,um,Surface,,,,Surface contact Area - cd68,,18
Contact surface area,0.02,um,Surface,,,,Surface contact Area - cd68,,19
Contact surface area,1.94,um,Surface,,,,Surface contact Area - cd68,,20
Contact surface area,0.135,um,Surface,,,,Surface contact Area - cd68,,21
Contact surface area,0.665,um,Surface,,,,Surface contact Area - cd68,,22
Contact surface area,11.8375,um,Surface,,,,Surface contact Area - cd68,,23
Contact surface area,0.0075,um,Surface,,,,Surface contact Area - cd68,,24
Contact surface area,1.0825,um,Surface,,,,Surface contact Area - cd68,,25
Contact surface area,1.6525,um,Surface,,,,Surface contact Area - cd68,,26
Contact surface area,0.8775,um,Surface,,,,Surface contact Area - cd68,,27
Contact surface area,0.0125,um,Surface,,,,Surface contact Area - cd68,,28
Contact surface area,0.22,um,Surface,,,,Surface contact Area - cd68,,29
Contact surface area,0.015,um,Surface,,,,Surface contact Area - cd68,,30
Contact surface area,2.5975,um,Surface,,,,Surface contact Area - cd68,,31
Contact surface area,0.185,um,Surface,,,,Surface contact Area - cd68,,32
Contact surface area,2.0525,um,Surface,,,,Surface contact Area - cd68,,33
Contact surface area,0.015,um,Surface,,,,Surface contact Area - cd68,,34
Contact surface area,0.57,um,Surface,,,,Surface contact Area - cd68,,35
Contact surface area,2.3675,um,Surface,,,,Surface contact Area - cd68,,36
Contact surface area,0.13,um,Surface,,,,Surface contact Area - cd68,,37
Contact surface area,0.0675,um,Surface,,,,Surface contact Area - cd68,,38
Contact surface area,0.035,um,Surface,,,,Surface contact Area - cd68,,39
Contact surface area,0.045,um,Surface,,,,Surface contact Area - cd68,,40
Contact surface area,0.015,um,Surface,,,,Surface contact Area - cd68,,41
Contact surface area,1.4725,um,Surface,,,,Surface contact Area - cd68,,42
Contact surface area,1.88,um,Surface,,,,Surface contact Area - cd68,,43
Contact surface area,10.5675,um,Surface,,,,Surface contact Area - cd68,,44
Contact surface area,1.035,um,Surface,,,,Surface contact Area - cd68,,45
Contact surface area,0.005,um,Surface,,,,Surface contact Area - cd68,,46
Contact surface area,1.7725,um,Surface,,,,Surface contact Area - cd68,,47
Contact surface area,0.03,um,Surface,,,,Surface contact Area - cd68,,48
Contact surface area,2.875,um,Surface,,,,Surface contact Area - cd68,,49
Contact surface area,0.7425,um,Surface,,,,Surface contact Area - cd68,,50
Contact surface area,2.52,um,Surface,,,,Surface contact Area - cd68,,51
Contact surface area,0.095,um,Surface,,,,Surface contact Area - cd68,,52
Contact surface area,0.15,um,Surface,,,,Surface contact Area - cd68,,53
Contact surface area,4.0275,um,Surface,,,,Surface contact Area - cd68,,54
Distance from Origin,170.222,um,Surface,,Distance from Origin,,Surface contact Area - cd68,1,0
Distance from Origin,158.677,um,Surface,,Distance from Origin,,Surface contact Area - cd68,1,1
Distance from Origin,160.317,um,Surface,,Distance from Origin,,Surface contact Area - cd68,1,2
Distance from Origin,158.984,um,Surface,,Distance from Origin,,Surface contact Area - cd68,1,3
Distance from Origin,159.914,um,Surface,,Distance from Origin,,Surface contact Area - cd68,1,4
Distance from Origin,159.827,um,Surface,,Distance from Origin,,Surface contact Area - cd68,1,5
Distance from Origin,159.509,um,Surface,,Distance from Origin,,Surface contact Area - cd68,1,6
Distance from Origin,165.391,um,Surface,,Distance from Origin,,Surface contact Area - cd68,1,7
Distance from Origin,164.692,um,Surface,,Distance from Origin,,Surface contact Area - cd68,1,8
Distance from Origin,164.96,um,Surface,,Distance from Origin,,Surface contact Area - cd68,1,9
Distance from Origin,164.885,um,Surface,,Distance from Origin,,Surface contact Area - cd68,1,10
