
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,8.39126,um^2,Surface,,,,1,312,
Area,15.6507,um^2,Surface,,,,1,325,
Area,26.0744,um^2,Surface,,,,1,329,
Area,14.1828,um^2,Surface,,,,1,331,
Area,22.0197,um^2,Surface,,,,1,332,
Area,57.3857,um^2,Surface,,,,1,333,
Area,19.4205,um^2,Surface,,,,1,334,
Area,9.64304,um^2,Surface,,,,1,339,
Area,6.06809,um^2,Surface,,,,1,343,
Area,6.41702,um^2,Surface,,,,1,344,
Area,33.1368,um^2,Surface,,,,1,347,
Area,8.71247,um^2,Surface,,,,1,389,
Area,17.5994,um^2,Surface,,,,1,390,
Area,105.26,um^2,Surface,,,,1,395,
Area,19.903,um^2,Surface,,,,1,407,
Area,55.238,um^2,Surface,,,,1,408,
Area,72.7207,um^2,Surface,,,,1,414,
Area,1484.92,um^2,Surface,,,,1,419,
Distance from Origin,182.083,um,Surface,,Distance from Origin,,1,312,
Distance from Origin,197.547,um,Surface,,Distance from Origin,,1,325,
Distance from Origin,187.729,um,Surface,,Distance from Origin,,1,329,
Distance from Origin,182.563,um,Surface,,Distance from Origin,,1,331,
Distance from Origin,178.869,um,Surface,,Distance from Origin,,1,332,
Distance from Origin,190.8,um,Surface,,Distance from Origin,,1,333,
Distance from Origin,181.378,um,Surface,,Distance from Origin,,1,334,
Distance from Origin,174.28,um,Surface,,Distance from Origin,,1,339,
Distance from Origin,175.804,um,Surface,,Distance from Origin,,1,343,
Distance from Origin,170.215,um,Surface,,Distance from Origin,,1,344,
Distance from Origin,172.735,um,Surface,,Distance from Origin,,1,347,
Distance from Origin,191.885,um,Surface,,Distance from Origin,,1,389,
Distance from Origin,198.903,um,Surface,,Distance from Origin,,1,390,
Distance from Origin,190.802,um,Surface,,Distance from Origin,,1,395,
Distance from Origin,171.705,um,Surface,,Distance from Origin,,1,407,
Distance from Origin,165.3,um,Surface,,Distance from Origin,,1,408,
