
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,2.4126,um^2,Surface,,,,1,33,
Area,4.75736,um^2,Surface,,,,1,34,
Area,14.5527,um^2,Surface,,,,1,35,
Area,8.58859,um^2,Surface,,,,1,37,
Area,1.38877,um^2,Surface,,,,1,38,
Area,6.21177,um^2,Surface,,,,1,39,
Area,3.31804,um^2,Surface,,,,1,40,
Area,2.26976,um^2,Surface,,,,1,42,
Area,3.53567,um^2,Surface,,,,1,44,
Area,3.54777,um^2,Surface,,,,1,45,
Area,0.00175066,um^2,Surface,,,,1,46,
Area,1.65377,um^2,Surface,,,,1,47,
Area,4.80484,um^2,Surface,,,,1,49,
Area,3.22756,um^2,Surface,,,,1,50,
Area,2.92645,um^2,Surface,,,,1,51,
Area,1.27163,um^2,Surface,,,,1,52,
Area,2.85637,um^2,Surface,,,,1,54,
Area,8.90577,um^2,Surface,,,,1,55,
Area,6.22542,um^2,Surface,,,,1,57,
Area,1.84734,um^2,Surface,,,,1,58,
Area,15.312,um^2,Surface,,,,1,59,
Area,7.87031,um^2,Surface,,,,1,60,
Area,11.7279,um^2,Surface,,,,1,62,
Area,1.44123,um^2,Surface,,,,1,63,
Area,4.17237,um^2,Surface,,,,1,64,
Area,14.2553,um^2,Surface,,,,1,65,
Area,17.9222,um^2,Surface,,,,1,66,
Area,0.0510396,um^2,Surface,,,,1,67,
Area,3.52045,um^2,Surface,,,,1,68,
Area,5.33813,um^2,Surface,,,,1,69,
Area,3.16117,um^2,Surface,,,,1,70,
Area,0.0806977,um^2,Surface,,,,1,71,
Area,0.0633359,um^2,Surface,,,,1,72,
Area,7.76144,um^2,Surface,,,,1,73,
Area,0.00320152,um^2,Surface,,,,1,74,
Area,0.00266103,um^2,Surface,,,,1,75,
Area,5.23253,um^2,Surface,,,,1,76,
Area,10.4292,um^2,Surface,,,,1,77,
Area,5.39605,um^2,Surface,,,,1,79,
Area,3.874,um^2,Surface,,,,1,82,
Area,4.07386,um^2,Surface,,,,1,83,
Area,9.63311,um^2,Surface,,,,1,84,
Area,6.82876,um^2,Surface,,,,1,88,
Area,1.22852,um^2,Surface,,,,1,89,
Area,5.88031,um^2,Surface,,,,1,90,
Area,29.3427,um^2,Surface,,,,1,92,
Area,57.5169,um^2,Surface,,,,1,96,
Area,0.0314747,um^2,Surface,,,,1,99,
Area,13.1746,um^2,Surface,,,,1,103,
Area,0.00339578,um^2,Surface,,,,1,104,
Area,0.0578071,um^2,Surface,,,,1,105,
Area,1.60081,um^2,Surface,,,,1,106,
Distance from Origin,193.874,um,Surface,,Distance from Origin,,1,33,
Distance from Origin,197.237,um,Surface,,Distance from Origin,,1,34,
Distance from Origin,191.504,um,Surface,,Distance from Origin,,1,35,
Distance from Origin,181.165,um,Surface,,Distance from Origin,,1,37,
Distance from Origin,185.98,um,Surface,,Distance from Origin,,1,38,
Distance from Origin,174.049,um,Surface,,Distance from Origin,,1,39,
Distance from Origin,183.747,um,Surface,,Distance from Origin,,1,40,
Distance from Origin,180.857,um,Surface,,Distance from Origin,,1,42,
Distance from Origin,178.289,um,Surface,,Distance from Origin,,1,44,
Distance from Origin,182.396,um,Surface,,Distance from Origin,,1,45,
Distance from Origin,181.308,um,Surface,,Distance from Origin,,1,46,
Distance from Origin,175.975,um,Surface,,Distance from Origin,,1,47,
Distance from Origin,167.226,um,Surface,,Distance from Origin,,1,49,
Distance from Origin,163.063,um,Surface,,Distance from Origin,,1,50,
Distance from Origin,195.243,um,Surface,,Distance from Origin,,1,51,
Distance from Origin,190.549,um,Surface,,Distance from Origin,,1,52,
Distance from Origin,191.242,um,Surface,,Distance from Origin,,1,54,
Distance from Origin,186.707,um,Surface,,Distance from Origin,,1,55,
Distance from Origin,181.618,um,Surface,,Distance from Origin,,1,57,
Distance from Origin,177.862,um,Surface,,Distance from Origin,,1,58,
Distance from Origin,174.668,um,Surface,,Distance from Origin,,1,59,
Distance from Origin,173.67,um,Surface,,Distance from Origin,,1,60,
Distance from Origin,168.973,um,Surface,,Distance from Origin,,1,62,
Distance from Origin,162.553,um,Surface,,Distance from Origin,,1,63,
Distance from Origin,179.133,um,Surface,,Distance from Origin,,1,64,
Distance from Origin,175.448,um,Surface,,Distance from Origin,,1,65,
Distance from Origin,178.032,um,Surface,,Distance from Origin,,1,66,
Distance from Origin,175.133,um,Surface,,Distance from Origin,,1,67,
Distance from Origin,175.077,um,Surface,,Distance from Origin,,1,68,
