
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,9.43783,um^2,Surface,,,,1,0,
Area,0.033094,um^2,Surface,,,,1,1,
Area,0.477096,um^2,Surface,,,,1,2,
Area,0.0578605,um^2,Surface,,,,1,3,
Area,0.126998,um^2,Surface,,,,1,4,
Area,0.054236,um^2,Surface,,,,1,5,
Area,0.0906725,um^2,Surface,,,,1,6,
Area,0.283572,um^2,Surface,,,,1,7,
Area,0.204698,um^2,Surface,,,,1,8,
Area,2.96768,um^2,Surface,,,,1,9,
Area,1.78787,um^2,Surface,,,,1,10,
Area,0.244201,um^2,Surface,,,,1,11,
Area,0.033094,um^2,Surface,,,,1,12,
Area,0.0330917,um^2,Surface,,,,1,13,
Area,0.0330915,um^2,Surface,,,,1,14,
Area,0.261122,um^2,Surface,,,,1,15,
Area,12.0461,um^2,Surface,,,,1,16,
Area,0.159487,um^2,Surface,,,,1,17,
Area,5.08234,um^2,Surface,,,,1,18,
Area,0.033094,um^2,Surface,,,,1,19,
Area,0.120914,um^2,Surface,,,,1,20,
Area,0.23339,um^2,Surface,,,,1,21,
Area,0.0675698,um^2,Surface,,,,1,22,
Area,0.210317,um^2,Surface,,,,1,23,
Area,0.0291921,um^2,Surface,,,,1,24,
Area,0.086533,um^2,Surface,,,,1,25,
Area,0.0331359,um^2,Surface,,,,1,26,
Area,1.13476,um^2,Surface,,,,1,27,
Area,12.8526,um^2,Surface,,,,1,28,
Area,0.0330923,um^2,Surface,,,,1,29,
Area,0.00269508,um^2,Surface,,,,1,30,
Area,4.48495,um^2,Surface,,,,1,31,
Area,0.974175,um^2,Surface,,,,1,32,
Area,1.45642,um^2,Surface,,,,1,33,
Area,0.194523,um^2,Surface,,,,1,34,
Area,14.4552,um^2,Surface,,,,1,35,
Area,2.93457,um^2,Surface,,,,1,36,
Area,27.0034,um^2,Surface,,,,1,37,
Area,0.129474,um^2,Surface,,,,1,38,
Area,14.3923,um^2,Surface,,,,1,39,
Area,0.580268,um^2,Surface,,,,1,40,
Area,0.155288,um^2,Surface,,,,1,41,
Area,0.451562,um^2,Surface,,,,1,42,
Area,0.20299,um^2,Surface,,,,1,43,
Area,0.199727,um^2,Surface,,,,1,44,
Area,10.4699,um^2,Surface,,,,1,45,
Area,7.77663,um^2,Surface,,,,1,46,
Area,0.079065,um^2,Surface,,,,1,47,
