
Detailed
 ==================== 
Variable,Value,Unit,Category,Collection,Depth,Distance,Level,Radius,Time,Type,FilamentID,ID,
Dendrite Area,13.3129,um^2,Dendrite,,1,,1,,1,,100000009,510000000002,
Dendrite Area,31.2409,um^2,Dendrite,,3,,1,,1,,100000009,510000000028,
Dendrite Area,5.04838,um^2,Dendrite,,4,,1,,1,,100000009,510000000077,
Dendrite Area,3.64524,um^2,Dendrite,,5,,1,,1,,100000009,510000000084,
Dendrite Area,41.5064,um^2,Dendrite,,6,,1,,1,,100000009,510000000088,
Dendrite Area,7.37576,um^2,Dendrite,,5,,2,,1,,100000009,510000000165,
Dendrite Area,42.9862,um^2,Dendrite,,6,,2,,1,,100000009,510000000176,
Dendrite Area,19.1393,um^2,Dendrite,,7,,3,,1,,100000009,510000000242,
Dendrite Area,25.9786,um^2,Dendrite,,8,,4,,1,,100000009,510000000278,
Dendrite Area,5.43685,um^2,Dendrite,,8,,3,,1,,100000009,510000000356,
Dendrite Area,1.28064,um^2,Dendrite,,9,,3,,1,,100000009,510000000364,
Dendrite Area,40.6606,um^2,Dendrite,,10,,3,,1,,100000009,510000000366,
Dendrite Area,0.988066,um^2,Dendrite,,1,,2,,1,,100000009,510000000530,
Dendrite Area,7.1222,um^2,Dendrite,,2,,2,,1,,100000009,510000000532,
Dendrite Area,17.4981,um^2,Dendrite,,3,,2,,1,,100000009,510000000540,
Dendrite Area,4.79887,um^2,Dendrite,,4,,2,,1,,100000009,510000000564,
Dendrite Area,36.5904,um^2,Dendrite,,5,,3,,1,,100000009,510000000569,
Dendrite Area,10.2686,um^2,Dendrite,,6,,3,,1,,100000009,510000000653,
Dendrite Area,12.3001,um^2,Dendrite,,7,,3,,1,,100000009,510000000672,
Dendrite Area,2.66057,um^2,Dendrite,,0,,1,,1,,100000009,510000000697,
Dendrite Area,42.8792,um^2,Dendrite,,1,,2,,1,,100000009,510000000703,
Dendrite Area,17.8539,um^2,Dendrite,,1,,1,,1,,100000009,510000000785,
Dendrite Area,26.44,um^2,Dendrite,,2,,2,,1,,100000009,510000000807,
Dendrite Area,9.35494,um^2,Dendrite,,6,,3,,1,,100000009,510000001021,
Dendrite Area,11.5603,um^2,Dendrite,,4,,2,,1,,100000009,510000001035,
Dendrite Area,44.4358,um^2,Dendrite,,5,,2,,1,,100000009,510000001050,
Dendrite Area,5.54187,um^2,Dendrite,,6,,2,,1,,100000009,510000001150,
Dendrite Area,2.6652,um^2,Dendrite,,2,,1,,1,,100000009,510000001252,
Dendrite Area,2.40665,um^2,Dendrite,,3,,1,,1,,100000009,510000001255,
Dendrite Area,42.6427,um^2,Dendrite,,4,,2,,1,,100000009,510000001258,
Dendrite Area,19.1514,um^2,Dendrite,,5,,3,,1,,100000009,510000001352,
Dendrite Area,12.0782,um^2,Dendrite,,5,,3,,1,,100000009,510000001387,
Dendrite Area,50.4041,um^2,Dendrite,,6,,3,,1,,100000009,510000001417,
Dendrite Area,3.99958,um^2,Dendrite,,2,,2,,1,,100000009,510000001883,
Dendrite Area,34.163,um^2,Dendrite,,2,,3,,1,,100000009,510000002077,
Dendrite Area,10.568,um^2,Dendrite,,6,,4,,1,,100000009,510000002174,
Dendrite Area,10.9263,um^2,Dendrite,,2,,2,,1,,100000009,510000002229,
Dendrite Area,11.2744,um^2,Dendrite,,6,,3,,1,,100000009,510000002258,
Dendrite Area,10.7363,um^2,Dendrite,,10,,4,,1,,100000009,510000002279,
Dendrite Area,17.7027,um^2,Dendrite,,5,,4,,1,,100000009,510000002306,
Dendrite Area,15.4162,um^2,Dendrite,,2,,3,,1,,100000009,510000002342,
Dendrite Area,4.42569,um^2,Dendrite,,9,,4,,1,,100000009,510000002389,
Dendrite Area,9.18892,um^2,Dendrite,,10,,5,,1,,100000009,510000002399,
Dendrite Area,5.49554,um^2,Dendrite,,10,,4,,1,,100000009,510000002452,
Dendrite Area,1.62508,um^2,Dendrite,,7,,2,,1,,100000009,510000002463,
Dendrite Area,10.2665,um^2,Dendrite,,8,,3,,1,,100000009,510000002466,
Dendrite Area,8.03338,um^2,Dendrite,,7,,4,,1,,100000009,510000002493,
Dendrite Area,16.9314,um^2,Dendrite,,5,,2,,1,,100000009,510000002513,
Dendrite Area,6.45001,um^2,Dendrite,,6,,4,,1,,100000009,510000002538,
Dendrite Area,7.80147,um^2,Dendrite,,8,,2,,1,,100000009,510000002555,
Dendrite Area,5.77907,um^2,Dendrite,,6,,4,,1,,100000009,510000002575,
Dendrite Area,18.6166,um^2,Dendrite,,3,,2,,1,,100000009,510000002643,
Dendrite Area,4.32723,um^2,Dendrite,,4,,1,,1,,100000009,510000002688,
Dendrite Area,18.1506,um^2,Dendrite,,5,,2,,1,,100000009,510000002696,
Dendrite Area,12.3303,um^2,Dendrite,,3,,2,,1,,100000009,510000002757,
Dendrite Area,9.32153,um^2,Dendrite,,4,,3,,1,,100000009,510000002805,
Dendrite Area,15.598,um^2,Dendrite,,4,,2,,1,,100000009,510000002842,
Dendrite Area,17.9663,um^2,Dendrite,,5,,1,,1,,100000009,510000002889,
Dendrite Area,14.3998,um^2,Dendrite,,3,,3,,1,,100000009,510000002990,
Dendrite Area,0.49532,um^2,Dendrite,,0,,1,,1,,100000009,510000003148,
Dendrite Area,0.732779,um^2,Dendrite,,2,,1,,1,,100000009,510000003149,
Dendrite Area,1.52053,um^2,Dendrite,,4,,3,,1,,100000009,510000003150,
Dendrite Branch Depth,1,,Dendrite,,1,,1,,1,,100000009,510000000002,
Dendrite Branch Depth,3,,Dendrite,,3,,1,,1,,100000009,510000000028,
Dendrite Branch Depth,4,,Dendrite,,4,,1,,1,,100000009,510000000077,
Dendrite Branch Depth,5,,Dendrite,,5,,1,,1,,100000009,510000000084,
Dendrite Branch Depth,6,,Dendrite,,6,,1,,1,,100000009,510000000088,
Dendrite Branch Depth,5,,Dendrite,,5,,2,,1,,100000009,510000000165,
Dendrite Branch Depth,6,,Dendrite,,6,,2,,1,,100000009,510000000176,
Dendrite Branch Depth,7,,Dendrite,,7,,3,,1,,100000009,510000000242,
Dendrite Branch Depth,8,,Dendrite,,8,,4,,1,,100000009,510000000278,
Dendrite Branch Depth,8,,Dendrite,,8,,3,,1,,100000009,510000000356,
Dendrite Branch Depth,9,,Dendrite,,9,,3,,1,,100000009,510000000364,
Dendrite Branch Depth,10,,Dendrite,,10,,3,,1,,100000009,510000000366,
Dendrite Branch Depth,1,,Dendrite,,1,,2,,1,,100000009,510000000530,
Dendrite Branch Depth,2,,Dendrite,,2,,2,,1,,100000009,510000000532,
Dendrite Branch Depth,3,,Dendrite,,3,,2,,1,,100000009,510000000540,
Dendrite Branch Depth,4,,Dendrite,,4,,2,,1,,100000009,510000000564,
Dendrite Branch Depth,5,,Dendrite,,5,,3,,1,,100000009,510000000569,
Dendrite Branch Depth,6,,Dendrite,,6,,3,,1,,100000009,510000000653,
Dendrite Branch Depth,7,,Dendrite,,7,,3,,1,,100000009,510000000672,
Dendrite Branch Depth,0,,Dendrite,,0,,1,,1,,100000009,510000000697,
Dendrite Branch Depth,1,,Dendrite,,1,,2,,1,,100000009,510000000703,
Dendrite Branch Depth,1,,Dendrite,,1,,1,,1,,100000009,510000000785,
Dendrite Branch Depth,2,,Dendrite,,2,,2,,1,,100000009,510000000807,
Dendrite Branch Depth,6,,Dendrite,,6,,3,,1,,100000009,510000001021,
Dendrite Branch Depth,4,,Dendrite,,4,,2,,1,,100000009,510000001035,
Dendrite Branch Depth,5,,Dendrite,,5,,2,,1,,100000009,510000001050,
