
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,0.00181499,um^2,Surface,,,,1,274,
Area,0.420538,um^2,Surface,,,,1,275,
Area,11.1326,um^2,Surface,,,,1,276,
Area,6.89632,um^2,Surface,,,,1,277,
Area,0.611447,um^2,Surface,,,,1,279,
Area,6.82078e-05,um^2,Surface,,,,1,280,
Area,2.17557,um^2,Surface,,,,1,281,
Area,1.938,um^2,Surface,,,,1,282,
Area,1.54504,um^2,Surface,,,,1,283,
Area,33.2946,um^2,Surface,,,,1,284,
Area,5.89288,um^2,Surface,,,,1,288,
Area,2.46099,um^2,Surface,,,,1,291,
Area,2.51894,um^2,Surface,,,,1,292,
Area,0.0595228,um^2,Surface,,,,1,293,
Area,0.0938107,um^2,Surface,,,,1,298,
Area,2.23238,um^2,Surface,,,,1,309,
Area,10.5685,um^2,Surface,,,,1,311,
Area,2.99604,um^2,Surface,,,,1,312,
Area,5.93247,um^2,Surface,,,,1,313,
Area,2.37548,um^2,Surface,,,,1,314,
Area,5.61687,um^2,Surface,,,,1,316,
Area,14.6552,um^2,Surface,,,,1,319,
Area,1.12579,um^2,Surface,,,,1,320,
Area,11.0606,um^2,Surface,,,,1,321,
Area,1.97927,um^2,Surface,,,,1,322,
Area,9.69006,um^2,Surface,,,,1,323,
Area,2.03183,um^2,Surface,,,,1,328,
Area,17.1224,um^2,Surface,,,,1,330,
Area,16.113,um^2,Surface,,,,1,331,
Area,24.5924,um^2,Surface,,,,1,333,
Area,2.01626,um^2,Surface,,,,1,334,
Area,16.2142,um^2,Surface,,,,1,336,
Area,3.70368,um^2,Surface,,,,1,340,
Area,3.67634,um^2,Surface,,,,1,342,
Area,16.5472,um^2,Surface,,,,1,346,
Area,5.24068,um^2,Surface,,,,1,351,
Area,5.3436,um^2,Surface,,,,1,356,
Area,14.5475,um^2,Surface,,,,1,358,
Area,33.8493,um^2,Surface,,,,1,366,
Area,7.90113,um^2,Surface,,,,1,376,
Area,0.701648,um^2,Surface,,,,1,378,
Area,15.2886,um^2,Surface,,,,1,391,
Area,0.0938067,um^2,Surface,,,,1,392,
Area,1.733,um^2,Surface,,,,1,394,
Area,3.68607,um^2,Surface,,,,1,396,
Area,0.992121,um^2,Surface,,,,1,398,
