
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,14.3925,um^2,Surface,,,,1,52,
Area,4.25366,um^2,Surface,,,,1,53,
Area,3.4059,um^2,Surface,,,,1,54,
Area,1.49878,um^2,Surface,,,,1,55,
Area,1.45262,um^2,Surface,,,,1,56,
Area,13.2653,um^2,Surface,,,,1,57,
Area,1.6359,um^2,Surface,,,,1,58,
Area,0.905463,um^2,Surface,,,,1,59,
Area,2.21541,um^2,Surface,,,,1,60,
Area,3.29585,um^2,Surface,,,,1,61,
Area,0.477754,um^2,Surface,,,,1,62,
Area,0.817309,um^2,Surface,,,,1,63,
Area,2.53808,um^2,Surface,,,,1,64,
Area,0.646045,um^2,Surface,,,,1,65,
Area,2.32104,um^2,Surface,,,,1,67,
Area,2.6358,um^2,Surface,,,,1,68,
Area,3.4989,um^2,Surface,,,,1,69,
Area,4.22105,um^2,Surface,,,,1,70,
Area,4.73932,um^2,Surface,,,,1,71,
Area,3.65784,um^2,Surface,,,,1,72,
Area,2.60382,um^2,Surface,,,,1,73,
Area,9.28132,um^2,Surface,,,,1,74,
Area,4.33302,um^2,Surface,,,,1,75,
Area,4.11341,um^2,Surface,,,,1,76,
Area,2.59435,um^2,Surface,,,,1,77,
Area,0.369081,um^2,Surface,,,,1,78,
Area,1.41648,um^2,Surface,,,,1,79,
Area,5.25384,um^2,Surface,,,,1,80,
Area,1.63739,um^2,Surface,,,,1,81,
Area,0.385704,um^2,Surface,,,,1,82,
Area,11.4139,um^2,Surface,,,,1,83,
Area,6.45962,um^2,Surface,,,,1,84,
Area,17.0104,um^2,Surface,,,,1,85,
Area,9.09278,um^2,Surface,,,,1,88,
Area,4.10561,um^2,Surface,,,,1,89,
Area,45.9087,um^2,Surface,,,,1,90,
Distance from Origin,125.396,um,Surface,,Distance from Origin,,1,52,
Distance from Origin,121.443,um,Surface,,Distance from Origin,,1,53,
Distance from Origin,128.755,um,Surface,,Distance from Origin,,1,54,
Distance from Origin,130.028,um,Surface,,Distance from Origin,,1,55,
Distance from Origin,132.838,um,Surface,,Distance from Origin,,1,56,
Distance from Origin,130.834,um,Surface,,Distance from Origin,,1,57,
Distance from Origin,129.266,um,Surface,,Distance from Origin,,1,58,
Distance from Origin,134.006,um,Surface,,Distance from Origin,,1,59,
Distance from Origin,133.776,um,Surface,,Distance from Origin,,1,60,
Distance from Origin,132.094,um,Surface,,Distance from Origin,,1,61,
Distance from Origin,209.11,um,Surface,,Distance from Origin,,1,62,
