
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,31.7204,um^2,Surface,,,,1,587,
Area,58.5188,um^2,Surface,,,,1,588,
Area,107.998,um^2,Surface,,,,1,589,
Area,50.5867,um^2,Surface,,,,1,590,
Area,29.0299,um^2,Surface,,,,1,591,
Area,91.6188,um^2,Surface,,,,1,592,
Area,35.3795,um^2,Surface,,,,1,593,
Area,20.2875,um^2,Surface,,,,1,594,
Area,46.6542,um^2,Surface,,,,1,595,
Area,16.407,um^2,Surface,,,,1,596,
Area,14.9581,um^2,Surface,,,,1,598,
Area,67.0265,um^2,Surface,,,,1,600,
Area,26.1068,um^2,Surface,,,,1,601,
Area,24.0918,um^2,Surface,,,,1,602,
Area,40.3312,um^2,Surface,,,,1,603,
Area,39.1302,um^2,Surface,,,,1,604,
Area,54.8893,um^2,Surface,,,,1,605,
Area,86.3972,um^2,Surface,,,,1,606,
Area,23.1595,um^2,Surface,,,,1,607,
Area,904.488,um^2,Surface,,,,1,608,
Area,30.7115,um^2,Surface,,,,1,609,
Area,34.5014,um^2,Surface,,,,1,610,
Distance from Origin,121.624,um,Surface,,Distance from Origin,,1,587,
Distance from Origin,123.534,um,Surface,,Distance from Origin,,1,588,
Distance from Origin,119.317,um,Surface,,Distance from Origin,,1,589,
Distance from Origin,209.814,um,Surface,,Distance from Origin,,1,590,
Distance from Origin,214.922,um,Surface,,Distance from Origin,,1,591,
Distance from Origin,196.132,um,Surface,,Distance from Origin,,1,592,
Distance from Origin,204.886,um,Surface,,Distance from Origin,,1,593,
Distance from Origin,186.334,um,Surface,,Distance from Origin,,1,594,
Distance from Origin,184.16,um,Surface,,Distance from Origin,,1,595,
Distance from Origin,189.961,um,Surface,,Distance from Origin,,1,596,
Distance from Origin,166.414,um,Surface,,Distance from Origin,,1,598,
Distance from Origin,171.85,um,Surface,,Distance from Origin,,1,600,
Distance from Origin,165.084,um,Surface,,Distance from Origin,,1,601,
Distance from Origin,147.095,um,Surface,,Distance from Origin,,1,602,
Distance from Origin,140.686,um,Surface,,Distance from Origin,,1,603,
Distance from Origin,147.647,um,Surface,,Distance from Origin,,1,604,
Distance from Origin,161.372,um,Surface,,Distance from Origin,,1,605,
Distance from Origin,155.14,um,Surface,,Distance from Origin,,1,606,
Distance from Origin,144.124,um,Surface,,Distance from Origin,,1,607,
Distance from Origin,145.417,um,Surface,,Distance from Origin,,1,608,
Distance from Origin,139.268,um,Surface,,Distance from Origin,,1,609,
Distance from Origin,144.171,um,Surface,,Distance from Origin,,1,610,
Distance to Image Border XY,23.5319,um,Surface,,,Image 1,1,587,
Distance to Image Border XY,11.9142,um,Surface,,,Image 1,1,588,
Distance to Image Border XY,8.36777,um,Surface,,,Image 1,1,589,
Distance to Image Border XY,12.316,um,Surface,,,Image 1,1,590,
Distance to Image Border XY,9.49619,um,Surface,,,Image 1,1,591,
Distance to Image Border XY,13.7501,um,Surface,,,Image 1,1,592,
Distance to Image Border XY,14.1486,um,Surface,,,Image 1,1,593,
Distance to Image Border XY,31.6511,um,Surface,,,Image 1,1,594,
Distance to Image Border XY,31.2379,um,Surface,,,Image 1,1,595,
Distance to Image Border XY,21.6752,um,Surface,,,Image 1,1,596,
Distance to Image Border XY,12.5073,um,Surface,,,Image 1,1,598,
Distance to Image Border XY,28.4956,um,Surface,,,Image 1,1,600,
Distance to Image Border XY,45.4514,um,Surface,,,Image 1,1,601,
Distance to Image Border XY,32.0013,um,Surface,,,Image 1,1,602,
Distance to Image Border XY,33.9745,um,Surface,,,Image 1,1,603,
Distance to Image Border XY,28.0914,um,Surface,,,Image 1,1,604,
Distance to Image Border XY,12.4968,um,Surface,,,Image 1,1,605,
Distance to Image Border XY,19.7415,um,Surface,,,Image 1,1,606,
Distance to Image Border XY,38.1729,um,Surface,,,Image 1,1,607,
Distance to Image Border XY,16.7222,um,Surface,,,Image 1,1,608,
Distance to Image Border XY,30.2564,um,Surface,,,Image 1,1,609,
Distance to Image Border XY,32.6581,um,Surface,,,Image 1,1,610,
Ellipticity (oblate),0.0487964,,Surface,,,,1,587,
Ellipticity (oblate),0.043699,,Surface,,,,1,588,
Ellipticity (oblate),0.0301037,,Surface,,,,1,589,
Ellipticity (oblate),0.0756847,,Surface,,,,1,590,
Ellipticity (oblate),0.288291,,Surface,,,,1,591,
Ellipticity (oblate),0.0939871,,Surface,,,,1,592,
Ellipticity (oblate),0.101974,,Surface,,,,1,593,
Ellipticity (oblate),0.307599,,Surface,,,,1,594,
