Detailed,,,,,,,,
 ==================== ,,,,,,,,
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID
Area,4.29261,um^2,Surface,,,,1,0
Area,6.49195,um^2,Surface,,,,1,1
Area,2.49158,um^2,Surface,,,,1,2
Area,8.73462,um^2,Surface,,,,1,3
Area,0.25645,um^2,Surface,,,,1,4
Area,1.26671,um^2,Surface,,,,1,5
Area,0.163208,um^2,Surface,,,,1,6
Area,0.484526,um^2,Surface,,,,1,7
Area,4.87825,um^2,Surface,,,,1,8
Area,1.37651,um^2,Surface,,,,1,9
Area,0.339429,um^2,Surface,,,,1,10
Area,1.03965,um^2,Surface,,,,1,11
Area,0.0906748,um^2,Surface,,,,1,12
Area,0.386837,um^2,Surface,,,,1,13
Area,0.612685,um^2,Surface,,,,1,14
Area,1.6354,um^2,Surface,,,,1,15
Area,8.98433,um^2,Surface,,,,1,16
Area,13.3442,um^2,Surface,,,,1,17
Area,8.06264,um^2,Surface,,,,1,18
Area,0.777862,um^2,Surface,,,,1,19
Area,1.0001,um^2,Surface,,,,1,20
Area,0.938461,um^2,Surface,,,,1,21
Area,1.09968,um^2,Surface,,,,1,22
Area,0.186146,um^2,Surface,,,,1,23
Area,1.93592,um^2,Surface,,,,1,24
Area,6.7702,um^2,Surface,,,,1,25
Area,1.73633,um^2,Surface,,,,1,26
Area,4.88818,um^2,Surface,,,,1,27
Area,7.30313,um^2,Surface,,,,1,28
Area,5.29443,um^2,Surface,,,,1,29
Area,11.4235,um^2,Surface,,,,1,30
Contact surface area,4.345,um,Surface,,,,,0
Contact surface area,0.1925,um,Surface,,,,,1
Contact surface area,0.3,um,Surface,,,,,2
Contact surface area,0.8675,um,Surface,,,,,3
Contact surface area,4.0075,um,Surface,,,,,4
Contact surface area,2.86,um,Surface,,,,,5
Contact surface area,6.1425,um,Surface,,,,,6
Contact surface area,0.045,um,Surface,,,,,7
Contact surface area,3.7625,um,Surface,,,,,8
Contact surface area,0.8675,um,Surface,,,,,9
Contact surface area,2.5675,um,Surface,,,,,10
Contact surface area,0.09,um,Surface,,,,,11
Contact surface area,1,um,Surface,,,,,12
Contact surface area,0.5975,um,Surface,,,,,13
Contact surface area,0.16,um,Surface,,,,,14
Contact surface area,0.5375,um,Surface,,,,,15
Contact surface area,0.505,um,Surface,,,,,16
Contact surface area,0.4925,um,Surface,,,,,17
Contact surface area,0.3975,um,Surface,,,,,18
Contact surface area,0.74,um,Surface,,,,,19
Contact surface area,7.23,um,Surface,,,,,20
Contact surface area,0.25,um,Surface,,,,,21
Contact surface area,2.61,um,Surface,,,,,22
Contact surface area,4.875,um,Surface,,,,,23
Contact surface area,0.08,um,Surface,,,,,24
Contact surface area,0.12,um,Surface,,,,,25
Contact surface area,0.645,um,Surface,,,,,26
Contact surface area,1.3275,um,Surface,,,,,27
Contact surface area,2.36,um,Surface,,,,,28
Contact surface area,3.555,um,Surface,,,,,29
Contact surface area,4.8625,um,Surface,,,,,30
Distance from Origin,121.446,um,Surface,,Distance from Origin,,1,0
Distance from Origin,125.611,um,Surface,,Distance from Origin,,1,1
Distance from Origin,132.164,um,Surface,,Distance from Origin,,1,2
Distance from Origin,130.382,um,Surface,,Distance from Origin,,1,3
Distance from Origin,130.096,um,Surface,,Distance from Origin,,1,4
Distance from Origin,129.913,um,Surface,,Distance from Origin,,1,5
Distance from Origin,171.178,um,Surface,,Distance from Origin,,1,6
Distance from Origin,136.268,um,Surface,,Distance from Origin,,1,7
Distance from Origin,135.731,um,Surface,,Distance from Origin,,1,8
Distance from Origin,128.712,um,Surface,,Distance from Origin,,1,9
Distance from Origin,174.301,um,Surface,,Distance from Origin,,1,10
Distance from Origin,170.928,um,Surface,,Distance from Origin,,1,11
Distance from Origin,159.135,um,Surface,,Distance from Origin,,1,12
Distance from Origin,144.106,um,Surface,,Distance from Origin,,1,13
Distance from Origin,138.534,um,Surface,,Distance from Origin,,1,14
Distance from Origin,139.435,um,Surface,,Distance from Origin,,1,15
Distance from Origin,146.499,um,Surface,,Distance from Origin,,1,16
Distance from Origin,134.239,um,Surface,,Distance from Origin,,1,17
Distance from Origin,136.215,um,Surface,,Distance from Origin,,1,18
Distance from Origin,199.206,um,Surface,,Distance from Origin,,1,19
Distance from Origin,173.832,um,Surface,,Distance from Origin,,1,20
Distance from Origin,173.656,um,Surface,,Distance from Origin,,1,21
Distance from Origin,153.741,um,Surface,,Distance from Origin,,1,22
Distance from Origin,155.266,um,Surface,,Distance from Origin,,1,23
Distance from Origin,154.627,um,Surface,,Distance from Origin,,1,24
Distance from Origin,158.606,um,Surface,,Distance from Origin,,1,25
Distance from Origin,158.967,um,Surface,,Distance from Origin,,1,26
