
Detailed
 ==================== 
Variable,Value,Unit,Category,Collection,Depth,Distance,Level,Radius,Time,Type,FilamentID,ID,
Dendrite Area,13.7452,um^2,Dendrite,,1,,2,,1,,100000001,510000000002,
Dendrite Area,17.2316,um^2,Dendrite,,2,,3,,1,,100000001,510000000023,
Dendrite Area,57.6976,um^2,Dendrite,,3,,4,,1,,100000001,510000000068,
Dendrite Area,8.59812,um^2,Dendrite,,2,,2,,1,,100000001,510000000201,
Dendrite Area,28.8498,um^2,Dendrite,,3,,3,,1,,100000001,510000000205,
Dendrite Area,36.668,um^2,Dendrite,,4,,4,,1,,100000001,510000000244,
Dendrite Area,18.5889,um^2,Dendrite,,4,,3,,1,,100000001,510000000331,
Dendrite Area,60.3768,um^2,Dendrite,,5,,4,,1,,100000001,510000000370,
Dendrite Area,8.65514,um^2,Dendrite,,6,,5,,1,,100000001,510000000534,
Dendrite Area,25.5716,um^2,Dendrite,,1,,1,,1,,100000001,510000000563,
Dendrite Area,5.87858,um^2,Dendrite,,2,,1,,1,,100000001,510000000594,
Dendrite Area,19.7401,um^2,Dendrite,,3,,1,,1,,100000001,510000000600,
Dendrite Area,9.90109,um^2,Dendrite,,4,,1,,1,,100000001,510000000627,
Dendrite Area,38.207,um^2,Dendrite,,5,,1,,1,,100000001,510000000638,
Dendrite Area,18.8694,um^2,Dendrite,,6,,1,,1,,100000001,510000000690,
Dendrite Area,11.685,um^2,Dendrite,,7,,1,,1,,100000001,510000000722,
Dendrite Area,94.1658,um^2,Dendrite,,8,,1,,1,,100000001,510000000744,
Dendrite Area,20.4059,um^2,Dendrite,,10,,2,,1,,100000001,510000000950,
Dendrite Area,52.2346,um^2,Dendrite,,8,,2,,1,,100000001,510000001000,
Dendrite Area,8.72276,um^2,Dendrite,,7,,2,,1,,100000001,510000001115,
Dendrite Area,53.5077,um^2,Dendrite,,9,,4,,1,,100000001,510000001135,
Dendrite Area,6.16445,um^2,Dendrite,,10,,5,,1,,100000001,510000001239,
Dendrite Area,2.12882,um^2,Dendrite,,11,,6,,1,,100000001,510000001250,
Dendrite Area,32.0081,um^2,Dendrite,,10,,4,,1,,100000001,510000001255,
Dendrite Area,49.5589,um^2,Dendrite,,11,,4,,1,,100000001,510000001306,
Dendrite Area,34.3272,um^2,Dendrite,,12,,4,,1,,100000001,510000001413,
Dendrite Area,9.11206,um^2,Dendrite,,13,,5,,1,,100000001,510000001484,
Dendrite Area,1.99259,um^2,Dendrite,,14,,5,,1,,100000001,510000001509,
Dendrite Area,2.20339,um^2,Dendrite,,15,,6,,1,,100000001,510000001512,
Dendrite Area,7.27167,um^2,Dendrite,,11,,5,,1,,100000001,510000001519,
Dendrite Area,42.7316,um^2,Dendrite,,14,,6,,1,,100000001,510000001535,
Dendrite Area,9.40445,um^2,Dendrite,,15,,7,,1,,100000001,510000001643,
Dendrite Area,10.903,um^2,Dendrite,,15,,6,,1,,100000001,510000001670,
Dendrite Area,7.39145,um^2,Dendrite,,9,,2,,1,,100000001,510000001700,
Dendrite Area,28.0635,um^2,Dendrite,,6,,4,,1,,100000001,510000001717,
Dendrite Area,15.9265,um^2,Dendrite,,12,,5,,1,,100000001,510000001787,
Dendrite Area,16.3649,um^2,Dendrite,,10,,1,,1,,100000001,510000001827,
Dendrite Area,19.1208,um^2,Dendrite,,11,,5,,1,,100000001,510000001864,
Dendrite Area,29.7306,um^2,Dendrite,,5,,2,,1,,100000001,510000001909,
Dendrite Area,8.71159,um^2,Dendrite,,4,,2,,1,,100000001,510000001972,
Dendrite Area,16.8207,um^2,Dendrite,,15,,5,,1,,100000001,510000001987,
Dendrite Area,8.53067,um^2,Dendrite,,13,,4,,1,,100000001,510000002015,
Dendrite Area,13.1667,um^2,Dendrite,,6,,2,,1,,100000001,510000002032,
Dendrite Area,75.8572,um^2,Dendrite,,2,,3,,1,,100000001,510000002107,
Dendrite Area,26.8186,um^2,Dendrite,,9,,3,,1,,100000001,510000002268,
Dendrite Area,15.4825,um^2,Dendrite,,3,,3,,1,,100000001,510000002322,
