
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,1.38795,um^2,Surface,,,,1,116,
Area,19.7515,um^2,Surface,,,,1,119,
Area,6.31207,um^2,Surface,,,,1,121,
Area,3.66267,um^2,Surface,,,,1,122,
Area,7.70981,um^2,Surface,,,,1,123,
Area,4.38104,um^2,Surface,,,,1,124,
Area,13.5434,um^2,Surface,,,,1,128,
Area,3.66174,um^2,Surface,,,,1,129,
Area,19.452,um^2,Surface,,,,1,131,
Area,2.05365,um^2,Surface,,,,1,134,
Area,10.418,um^2,Surface,,,,1,136,
Area,5.76182,um^2,Surface,,,,1,140,
Area,3.38859,um^2,Surface,,,,1,148,
Area,2.36321,um^2,Surface,,,,1,149,
Area,9.87199,um^2,Surface,,,,1,165,
Area,10.5497,um^2,Surface,,,,1,166,
Area,5.01108,um^2,Surface,,,,1,167,
Area,8.49638,um^2,Surface,,,,1,169,
Area,0.498445,um^2,Surface,,,,1,170,
Area,8.81268,um^2,Surface,,,,1,171,
Area,50.1649,um^2,Surface,,,,1,174,
Area,11.3868,um^2,Surface,,,,1,175,
Area,15.5002,um^2,Surface,,,,1,176,
Area,4.81132,um^2,Surface,,,,1,177,
Area,8.78639,um^2,Surface,,,,1,178,
Area,0.0980831,um^2,Surface,,,,1,184,
Area,2.50834,um^2,Surface,,,,1,189,
Area,24.3681,um^2,Surface,,,,1,190,
Area,4.16569,um^2,Surface,,,,1,194,
Area,4.28236,um^2,Surface,,,,1,195,
Area,3.49669,um^2,Surface,,,,1,197,
Area,6.84211,um^2,Surface,,,,1,199,
Area,14.2975,um^2,Surface,,,,1,201,
Area,3.99332,um^2,Surface,,,,1,204,
Area,3.19594,um^2,Surface,,,,1,206,
Area,4.25546,um^2,Surface,,,,1,207,
Area,10.6171,um^2,Surface,,,,1,213,
Area,14.6241,um^2,Surface,,,,1,214,
Area,6.81511,um^2,Surface,,,,1,215,
Area,0.0740013,um^2,Surface,,,,1,216,
Distance from Origin,157.122,um,Surface,,Distance from Origin,,1,116,
Distance from Origin,166.53,um,Surface,,Distance from Origin,,1,119,
