
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,1.1729,um^2,Surface,,,,1,52,
Area,9.32526,um^2,Surface,,,,1,53,
Area,2.86251,um^2,Surface,,,,1,54,
Area,4.07035,um^2,Surface,,,,1,55,
Area,1.5922,um^2,Surface,,,,1,56,
Area,2.41419,um^2,Surface,,,,1,57,
Area,23.5157,um^2,Surface,,,,1,58,
Area,1.69536,um^2,Surface,,,,1,59,
Area,1.26673,um^2,Surface,,,,1,60,
Area,0.0476642,um^2,Surface,,,,1,61,
Area,0.461717,um^2,Surface,,,,1,62,
Area,5.01912,um^2,Surface,,,,1,63,
Area,0.213023,um^2,Surface,,,,1,64,
Area,0.0860783,um^2,Surface,,,,1,65,
Area,0.148993,um^2,Surface,,,,1,66,
Area,6.64328,um^2,Surface,,,,1,67,
Area,3.27792,um^2,Surface,,,,1,68,
Area,2.34671,um^2,Surface,,,,1,69,
Area,1.44476,um^2,Surface,,,,1,70,
Area,1.62521,um^2,Surface,,,,1,71,
Area,0.211068,um^2,Surface,,,,1,72,
Area,2.57563,um^2,Surface,,,,1,73,
Area,0.0260307,um^2,Surface,,,,1,74,
Area,2.24586,um^2,Surface,,,,1,75,
Area,1.40128,um^2,Surface,,,,1,76,
Area,0.274939,um^2,Surface,,,,1,77,
Area,0.876127,um^2,Surface,,,,1,78,
Area,5.002,um^2,Surface,,,,1,79,
Area,1.1456,um^2,Surface,,,,1,80,
Area,0.307319,um^2,Surface,,,,1,81,
Area,1.54848,um^2,Surface,,,,1,82,
Area,1.65583,um^2,Surface,,,,1,83,
Area,52.2811,um^2,Surface,,,,1,84,
Area,156.032,um^2,Surface,,,,1,85,
Area,1.83308,um^2,Surface,,,,1,86,
Area,0.0203926,um^2,Surface,,,,1,87,
Area,2.99398,um^2,Surface,,,,1,88,
Area,13.7685,um^2,Surface,,,,1,89,
Area,3.10242,um^2,Surface,,,,1,90,
Area,18.4029,um^2,Surface,,,,1,91,
Area,1.74569,um^2,Surface,,,,1,92,
Area,5.29387,um^2,Surface,,,,1,93,
Area,0.000634182,um^2,Surface,,,,1,94,
Area,2.82605,um^2,Surface,,,,1,95,
Area,9.94597,um^2,Surface,,,,1,96,
Area,2.77979,um^2,Surface,,,,1,97,
Area,1.16826,um^2,Surface,,,,1,98,
Area,3.98104,um^2,Surface,,,,1,99,
Area,15.109,um^2,Surface,,,,1,100,
Area,0.587652,um^2,Surface,,,,1,101,
Area,0.2098,um^2,Surface,,,,1,102,
Area,0.0822339,um^2,Surface,,,,1,103,
Distance from Origin,174.115,um,Surface,,Distance from Origin,,1,52,
Distance from Origin,175.85,um,Surface,,Distance from Origin,,1,53,
Distance from Origin,173.753,um,Surface,,Distance from Origin,,1,54,
Distance from Origin,178.009,um,Surface,,Distance from Origin,,1,55,
Distance from Origin,178.294,um,Surface,,Distance from Origin,,1,56,
Distance from Origin,179.446,um,Surface,,Distance from Origin,,1,57,
Distance from Origin,190.641,um,Surface,,Distance from Origin,,1,58,
Distance from Origin,189.226,um,Surface,,Distance from Origin,,1,59,
Distance from Origin,186.591,um,Surface,,Distance from Origin,,1,60,
Distance from Origin,189.418,um,Surface,,Distance from Origin,,1,61,
Distance from Origin,183.526,um,Surface,,Distance from Origin,,1,62,
Distance from Origin,193.341,um,Surface,,Distance from Origin,,1,63,
Distance from Origin,194.518,um,Surface,,Distance from Origin,,1,64,
Distance from Origin,169.398,um,Surface,,Distance from Origin,,1,65,
Distance from Origin,168.539,um,Surface,,Distance from Origin,,1,66,
Distance from Origin,170.215,um,Surface,,Distance from Origin,,1,67,
Distance from Origin,171.727,um,Surface,,Distance from Origin,,1,68,
Distance from Origin,171.856,um,Surface,,Distance from Origin,,1,69,
Distance from Origin,159.911,um,Surface,,Distance from Origin,,1,70,
Distance from Origin,167.367,um,Surface,,Distance from Origin,,1,71,
Distance from Origin,166.875,um,Surface,,Distance from Origin,,1,72,
Distance from Origin,160.313,um,Surface,,Distance from Origin,,1,73,
Distance from Origin,149.716,um,Surface,,Distance from Origin,,1,74,
Distance from Origin,152.06,um,Surface,,Distance from Origin,,1,75,
Distance from Origin,153.342,um,Surface,,Distance from Origin,,1,76,
Distance from Origin,153.723,um,Surface,,Distance from Origin,,1,77,
Distance from Origin,153.189,um,Surface,,Distance from Origin,,1,78,
Distance from Origin,152.027,um,Surface,,Distance from Origin,,1,79,
Distance from Origin,147.88,um,Surface,,Distance from Origin,,1,80,
Distance from Origin,146.616,um,Surface,,Distance from Origin,,1,81,
Distance from Origin,128.305,um,Surface,,Distance from Origin,,1,82,
Distance from Origin,201.36,um,Surface,,Distance from Origin,,1,83,
Distance from Origin,205.054,um,Surface,,Distance from Origin,,1,84,
Distance from Origin,184.464,um,Surface,,Distance from Origin,,1,85,
Distance from Origin,185.426,um,Surface,,Distance from Origin,,1,86,
Distance from Origin,183.267,um,Surface,,Distance from Origin,,1,87,
Distance from Origin,180.874,um,Surface,,Distance from Origin,,1,88,
Distance from Origin,176.356,um,Surface,,Distance from Origin,,1,89,
Distance from Origin,184.188,um,Surface,,Distance from Origin,,1,90,
Distance from Origin,169.567,um,Surface,,Distance from Origin,,1,91,
Distance from Origin,168.065,um,Surface,,Distance from Origin,,1,92,
Distance from Origin,162.514,um,Surface,,Distance from Origin,,1,93,
Distance from Origin,155.05,um,Surface,,Distance from Origin,,1,94,
Distance from Origin,156.435,um,Surface,,Distance from Origin,,1,95,
Distance from Origin,165.769,um,Surface,,Distance from Origin,,1,96,
Distance from Origin,161.069,um,Surface,,Distance from Origin,,1,97,
Distance from Origin,158.292,um,Surface,,Distance from Origin,,1,98,
Distance from Origin,154.652,um,Surface,,Distance from Origin,,1,99,
Distance from Origin,157.468,um,Surface,,Distance from Origin,,1,100,
Distance from Origin,152.617,um,Surface,,Distance from Origin,,1,101,
Distance from Origin,146.275,um,Surface,,Distance from Origin,,1,102,
Distance from Origin,131.675,um,Surface,,Distance from Origin,,1,103,
Distance to Image Border XY,45.9932,um,Surface,,,Image 1,1,52,
Distance to Image Border XY,44.5601,um,Surface,,,Image 1,1,53,
Distance to Image Border XY,44.7258,um,Surface,,,Image 1,1,54,
Distance to Image Border XY,43.97,um,Surface,,,Image 1,1,55,
Distance to Image Border XY,44.1,um,Surface,,,Image 1,1,56,
Distance to Image Border XY,43.0057,um,Surface,,,Image 1,1,57,
Distance to Image Border XY,32.0395,um,Surface,,,Image 1,1,58,
Distance to Image Border XY,35.4762,um,Surface,,,Image 1,1,59,
Distance to Image Border XY,33.628,um,Surface,,,Image 1,1,60,
Distance to Image Border XY,34.5,um,Surface,,,Image 1,1,61,
Distance to Image Border XY,32.7,um,Surface,,,Image 1,1,62,
Distance to Image Border XY,30.36,um,Surface,,,Image 1,1,63,
Distance to Image Border XY,30.7,um,Surface,,,Image 1,1,64,
Distance to Image Border XY,47.3243,um,Surface,,,Image 1,1,65,
Distance to Image Border XY,47.5578,um,Surface,,,Image 1,1,66,
Distance to Image Border XY,47.5998,um,Surface,,,Image 1,1,67,
Distance to Image Border XY,45.6956,um,Surface,,,Image 1,1,68,
Distance to Image Border XY,47.5425,um,Surface,,,Image 1,1,69,
Distance to Image Border XY,39.6,um,Surface,,,Image 1,1,70,
Distance to Image Border XY,47.1299,um,Surface,,,Image 1,1,71,
Distance to Image Border XY,48.1581,um,Surface,,,Image 1,1,72,
Distance to Image Border XY,40.8323,um,Surface,,,Image 1,1,73,
Distance to Image Border XY,26.7,um,Surface,,,Image 1,1,74,
Distance to Image Border XY,28.3185,um,Surface,,,Image 1,1,75,
Distance to Image Border XY,31.2462,um,Surface,,,Image 1,1,76,
Distance to Image Border XY,33.9,um,Surface,,,Image 1,1,77,
Distance to Image Border XY,33.0714,um,Surface,,,Image 1,1,78,
Distance to Image Border XY,34.0833,um,Surface,,,Image 1,1,79,
Distance to Image Border XY,31.4947,um,Surface,,,Image 1,1,80,
Distance to Image Border XY,22.9,um,Surface,,,Image 1,1,81,
Distance to Image Border XY,19.5167,um,Surface,,,Image 1,1,82,
Distance to Image Border XY,24.9,um,Surface,,,Image 1,1,83,
Distance to Image Border XY,19.8672,um,Surface,,,Image 1,1,84,
Distance to Image Border XY,33.6985,um,Surface,,,Image 1,1,85,
Distance to Image Border XY,36.1545,um,Surface,,,Image 1,1,86,
