Detailed,,,,,,,,
 ==================== ,,,,,,,,
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID
Area,2.33308,um^2,Surface,,,,1,0
Area,0.653566,um^2,Surface,,,,1,1
Area,0.129418,um^2,Surface,,,,1,2
Area,0.241205,um^2,Surface,,,,1,3
Area,5.29697,um^2,Surface,,,,1,4
Area,0.0337156,um^2,Surface,,,,1,5
Area,0.00364116,um^2,Surface,,,,1,6
Area,0.0101244,um^2,Surface,,,,1,7
Area,0.143066,um^2,Surface,,,,1,8
Area,0.0216097,um^2,Surface,,,,1,9
Area,0.0445768,um^2,Surface,,,,1,10
Area,0.100704,um^2,Surface,,,,1,11
Area,0.0735139,um^2,Surface,,,,1,12
Area,0.00364121,um^2,Surface,,,,1,13
Area,0.66238,um^2,Surface,,,,1,14
Area,0.0216082,um^2,Surface,,,,1,15
Area,0.0675488,um^2,Surface,,,,1,16
Area,0.266098,um^2,Surface,,,,1,17
Area,0.0291922,um^2,Surface,,,,1,18
Area,4.51498,um^2,Surface,,,,1,19
Area,0.265096,um^2,Surface,,,,1,20
Area,0.0216095,um^2,Surface,,,,1,21
Area,2.59262,um^2,Surface,,,,1,22
Area,0.736349,um^2,Surface,,,,1,23
Area,0.482396,um^2,Surface,,,,1,24
Area,0.0101247,um^2,Surface,,,,1,25
Area,2.62666,um^2,Surface,,,,1,26
Area,0.0330927,um^2,Surface,,,,1,27
Area,0.0101254,um^2,Surface,,,,1,28
Area,0.0101247,um^2,Surface,,,,1,29
Area,0.0101254,um^2,Surface,,,,1,30
Area,0.0989124,um^2,Surface,,,,1,31
Area,0.00364121,um^2,Surface,,,,1,32
Area,0.01472,um^2,Surface,,,,1,33
Area,0.259858,um^2,Surface,,,,1,34
Area,0.0291934,um^2,Surface,,,,1,35
Area,4.67315,um^2,Surface,,,,1,36
Area,0.0445774,um^2,Surface,,,,1,37
Area,1.32165,um^2,Surface,,,,1,38
Area,2.11393,um^2,Surface,,,,1,39
Area,3.3315,um^2,Surface,,,,1,40
Area,1.37738,um^2,Surface,,,,1,41
Area,0.0718948,um^2,Surface,,,,1,42
Area,0.882616,um^2,Surface,,,,1,43
Area,0.0445768,um^2,Surface,,,,1,44
Area,6.06683,um^2,Surface,,,,1,45
Area,4.07622,um^2,Surface,,,,1,46
Area,5.25634,um^2,Surface,,,,1,47
Area,3.55137,um^2,Surface,,,,1,48
Area,0.39351,um^2,Surface,,,,1,49
Area,0.607343,um^2,Surface,,,,1,50
Area,3.89743,um^2,Surface,,,,1,51
Area,3.31924,um^2,Surface,,,,1,52
Area,0.0101244,um^2,Surface,,,,1,53
Area,0.296029,um^2,Surface,,,,1,54
Area,8.43969,um^2,Surface,,,,1,55
Area,0.156076,um^2,Surface,,,,1,56
Area,5.48068,um^2,Surface,,,,1,57
Area,0.483743,um^2,Surface,,,,1,58
Area,3.08974,um^2,Surface,,,,1,59
Area,5.4995,um^2,Surface,,,,1,60
Area,3.21294,um^2,Surface,,,,1,61
Area,11.856,um^2,Surface,,,,1,62
Area,0.278147,um^2,Surface,,,,1,63
Contact surface area,0.1525,um,Surface,,,,,0
Contact surface area,1.875,um,Surface,,,,,1
Contact surface area,0.005,um,Surface,,,,,2
Contact surface area,7.0225,um,Surface,,,,,3
Contact surface area,0.2775,um,Surface,,,,,4
Contact surface area,3.2775,um,Surface,,,,,5
Contact surface area,0.3525,um,Surface,,,,,6
Contact surface area,3.22,um,Surface,,,,,7
Contact surface area,1.855,um,Surface,,,,,8
Contact surface area,1.95,um,Surface,,,,,9
Contact surface area,0.0425,um,Surface,,,,,10
Contact surface area,0.5225,um,Surface,,,,,11
Contact surface area,3,um,Surface,,,,,12
Contact surface area,0.015,um,Surface,,,,,13
Contact surface area,0.005,um,Surface,,,,,14
Contact surface area,0.005,um,Surface,,,,,15
Contact surface area,0.005,um,Surface,,,,,16
Contact surface area,0.045,um,Surface,,,,,17
Contact surface area,0.0025,um,Surface,,,,,18
Contact surface area,0.0125,um,Surface,,,,,19
Contact surface area,0.1375,um,Surface,,,,,20
Contact surface area,0.0175,um,Surface,,,,,21
Contact surface area,0.02,um,Surface,,,,,22
Contact surface area,2.4725,um,Surface,,,,,23
Contact surface area,2.3325,um,Surface,,,,,24
Contact surface area,1.9225,um,Surface,,,,,25
Contact surface area,0.16,um,Surface,,,,,26
Contact surface area,5.01,um,Surface,,,,,27
Contact surface area,0.02,um,Surface,,,,,28
Contact surface area,2.085,um,Surface,,,,,29
Contact surface area,0.22,um,Surface,,,,,30
Contact surface area,0.08,um,Surface,,,,,31
Contact surface area,0.005,um,Surface,,,,,32
Contact surface area,1.4475,um,Surface,,,,,33
Contact surface area,0.07,um,Surface,,,,,34
Contact surface area,0.7125,um,Surface,,,,,35
Contact surface area,1.1775,um,Surface,,,,,36
Contact surface area,0.84,um,Surface,,,,,37
Contact surface area,0.3625,um,Surface,,,,,38
Contact surface area,0.1275,um,Surface,,,,,39
Contact surface area,3.125,um,Surface,,,,,40
Contact surface area,0.015,um,Surface,,,,,41
Contact surface area,0.0025,um,Surface,,,,,42
Contact surface area,0.005,um,Surface,,,,,43
Contact surface area,0.065,um,Surface,,,,,44
Contact surface area,0.01,um,Surface,,,,,45
Contact surface area,0.02,um,Surface,,,,,46
Contact surface area,0.035,um,Surface,,,,,47
Contact surface area,0.0025,um,Surface,,,,,48
Contact surface area,2.77,um,Surface,,,,,49
Contact surface area,3.4875,um,Surface,,,,,50
Contact surface area,0.365,um,Surface,,,,,51
Contact surface area,0.01,um,Surface,,,,,52
Contact surface area,0.03,um,Surface,,,,,53
Contact surface area,0.0575,um,Surface,,,,,54
Contact surface area,1.3925,um,Surface,,,,,55
Contact surface area,0.13,um,Surface,,,,,56
Contact surface area,0.0175,um,Surface,,,,,57
Contact surface area,0.1325,um,Surface,,,,,58
Contact surface area,2.525,um,Surface,,,,,59
Contact surface area,0.01,um,Surface,,,,,60
Contact surface area,1.535,um,Surface,,,,,61
Contact surface area,0.42,um,Surface,,,,,62
Contact surface area,0.2625,um,Surface,,,,,63
Distance from Origin,169.799,um,Surface,,Distance from Origin,,1,0
Distance from Origin,165.285,um,Surface,,Distance from Origin,,1,1
Distance from Origin,149.583,um,Surface,,Distance from Origin,,1,2
Distance from Origin,165.646,um,Surface,,Distance from Origin,,1,3
Distance from Origin,164.778,um,Surface,,Distance from Origin,,1,4
Distance from Origin,164.798,um,Surface,,Distance from Origin,,1,5
Distance from Origin,169.602,um,Surface,,Distance from Origin,,1,6
Distance from Origin,169.451,um,Surface,,Distance from Origin,,1,7
Distance from Origin,169.742,um,Surface,,Distance from Origin,,1,8
Distance from Origin,170.029,um,Surface,,Distance from Origin,,1,9
Distance from Origin,169.815,um,Surface,,Distance from Origin,,1,10
Distance from Origin,162.427,um,Surface,,Distance from Origin,,1,11
Distance from Origin,164.984,um,Surface,,Distance from Origin,,1,12
Distance from Origin,169.689,um,Surface,,Distance from Origin,,1,13
Distance from Origin,184.616,um,Surface,,Distance from Origin,,1,14
Distance from Origin,181.528,um,Surface,,Distance from Origin,,1,15
Distance from Origin,181.464,um,Surface,,Distance from Origin,,1,16
Distance from Origin,165.437,um,Surface,,Distance from Origin,,1,17
Distance from Origin,164.791,um,Surface,,Distance from Origin,,1,18
Distance from Origin,165.777,um,Surface,,Distance from Origin,,1,19
Distance from Origin,166.252,um,Surface,,Distance from Origin,,1,20
Distance from Origin,165.633,um,Surface,,Distance from Origin,,1,21
Distance from Origin,169.98,um,Surface,,Distance from Origin,,1,22
