
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,9.6372,um^2,Surface,,,,1,160,
Area,21.9765,um^2,Surface,,,,1,161,
Area,22.6896,um^2,Surface,,,,1,162,
Area,3.56502,um^2,Surface,,,,1,165,
Area,5.75838,um^2,Surface,,,,1,166,
Area,7.51517,um^2,Surface,,,,1,167,
Area,1.24067,um^2,Surface,,,,1,168,
Area,3.23573,um^2,Surface,,,,1,169,
Area,1.19482,um^2,Surface,,,,1,170,
Area,6.20518,um^2,Surface,,,,1,171,
Area,11.372,um^2,Surface,,,,1,172,
Area,5.07595,um^2,Surface,,,,1,173,
Area,9.0903,um^2,Surface,,,,1,174,
Area,13.9602,um^2,Surface,,,,1,175,
Area,6.85545,um^2,Surface,,,,1,176,
Area,2.31208,um^2,Surface,,,,1,177,
Area,21.2823,um^2,Surface,,,,1,179,
Area,5.53945,um^2,Surface,,,,1,181,
Area,10.245,um^2,Surface,,,,1,182,
Area,20.7802,um^2,Surface,,,,1,183,
Area,94.2733,um^2,Surface,,,,1,184,
Area,13.3837,um^2,Surface,,,,1,185,
Area,4.04417,um^2,Surface,,,,1,187,
Area,24.8966,um^2,Surface,,,,1,190,
Area,1.93928,um^2,Surface,,,,1,191,
Area,14.3366,um^2,Surface,,,,1,192,
Area,4.38479,um^2,Surface,,,,1,193,
Area,14.806,um^2,Surface,,,,1,195,
Area,6.65888,um^2,Surface,,,,1,196,
Area,8.98938,um^2,Surface,,,,1,198,
Area,24.3404,um^2,Surface,,,,1,199,
Area,16.242,um^2,Surface,,,,1,201,
Area,2.32634,um^2,Surface,,,,1,204,
Area,19.6348,um^2,Surface,,,,1,205,
Area,13.2356,um^2,Surface,,,,1,207,
Area,4.34456,um^2,Surface,,,,1,208,
Area,9.88422,um^2,Surface,,,,1,210,
Area,5.97915,um^2,Surface,,,,1,212,
Area,9.02485,um^2,Surface,,,,1,215,
Area,7.77636,um^2,Surface,,,,1,217,
Area,27.4102,um^2,Surface,,,,1,218,
Area,7.81107,um^2,Surface,,,,1,219,
Area,21.5506,um^2,Surface,,,,1,224,
Area,0.026279,um^2,Surface,,,,1,227,
Distance from Origin,141.551,um,Surface,,Distance from Origin,,1,160,
Distance from Origin,140.082,um,Surface,,Distance from Origin,,1,161,
Distance from Origin,147.804,um,Surface,,Distance from Origin,,1,162,
Distance from Origin,152.342,um,Surface,,Distance from Origin,,1,165,
Distance from Origin,147.361,um,Surface,,Distance from Origin,,1,166,
Distance from Origin,154.148,um,Surface,,Distance from Origin,,1,167,
Distance from Origin,154.863,um,Surface,,Distance from Origin,,1,168,
Distance from Origin,138.199,um,Surface,,Distance from Origin,,1,169,
Distance from Origin,138.377,um,Surface,,Distance from Origin,,1,170,
Distance from Origin,142.103,um,Surface,,Distance from Origin,,1,171,
Distance from Origin,144.664,um,Surface,,Distance from Origin,,1,172,
Distance from Origin,146.26,um,Surface,,Distance from Origin,,1,173,
Distance from Origin,146.507,um,Surface,,Distance from Origin,,1,174,
Distance from Origin,143.193,um,Surface,,Distance from Origin,,1,175,
Distance from Origin,147.962,um,Surface,,Distance from Origin,,1,176,
Distance from Origin,147.211,um,Surface,,Distance from Origin,,1,177,
Distance from Origin,168.522,um,Surface,,Distance from Origin,,1,179,
Distance from Origin,162.933,um,Surface,,Distance from Origin,,1,181,
Distance from Origin,160.01,um,Surface,,Distance from Origin,,1,182,
Distance from Origin,150.361,um,Surface,,Distance from Origin,,1,183,
Distance from Origin,158.031,um,Surface,,Distance from Origin,,1,184,
