
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,0.895311,um^2,Surface,,,,1,0,
Area,1.20507,um^2,Surface,,,,1,1,
Area,0.0495764,um^2,Surface,,,,1,2,
Area,0.0330924,um^2,Surface,,,,1,3,
Area,0.542315,um^2,Surface,,,,1,4,
Area,1.95609,um^2,Surface,,,,1,5,
Area,0.0166085,um^2,Surface,,,,1,6,
Area,0.0979769,um^2,Surface,,,,1,7,
Area,0.756085,um^2,Surface,,,,1,8,
Area,0.0570303,um^2,Surface,,,,1,9,
Area,0.0166097,um^2,Surface,,,,1,10,
Area,0.0166097,um^2,Surface,,,,1,11,
Area,0.057519,um^2,Surface,,,,1,12,
Area,0.0841588,um^2,Surface,,,,1,13,
Area,0.491193,um^2,Surface,,,,1,14,
Area,0.632924,um^2,Surface,,,,1,15,
Area,0.256938,um^2,Surface,,,,1,16,
Area,1.47435,um^2,Surface,,,,1,17,
Area,0.590227,um^2,Surface,,,,1,18,
Area,0.021608,um^2,Surface,,,,1,19,
Area,2.11793,um^2,Surface,,,,1,20,
Area,0.0166095,um^2,Surface,,,,1,21,
Area,0.033092,um^2,Surface,,,,1,22,
Area,0.848268,um^2,Surface,,,,1,23,
Area,0.0166095,um^2,Surface,,,,1,24,
Area,0.00486904,um^2,Surface,,,,1,25,
Area,0.795866,um^2,Surface,,,,1,26,
Area,1.4508,um^2,Surface,,,,1,27,
Area,0.170072,um^2,Surface,,,,1,28,
Area,0.0166085,um^2,Surface,,,,1,29,
Area,3.42943,um^2,Surface,,,,1,30,
Area,0.0166082,um^2,Surface,,,,1,31,
Area,0.684558,um^2,Surface,,,,1,32,
Area,0.124304,um^2,Surface,,,,1,33,
Area,0.444745,um^2,Surface,,,,1,34,
Area,0.00722191,um^2,Surface,,,,1,35,
Area,0.000652519,um^2,Surface,,,,1,36,
Area,0.000520992,um^2,Surface,,,,1,37,
Area,0.000521007,um^2,Surface,,,,1,38,
Area,0.417312,um^2,Surface,,,,1,39,
Area,0.00475746,um^2,Surface,,,,1,40,
Area,2.62069,um^2,Surface,,,,1,41,
Area,0.360997,um^2,Surface,,,,1,42,
Area,22.643,um^2,Surface,,,,1,43,
Area,0.943334,um^2,Surface,,,,1,44,
Area,0.0166099,um^2,Surface,,,,1,45,
Area,0.663448,um^2,Surface,,,,1,46,
Area,0.425906,um^2,Surface,,,,1,47,
Area,0.246743,um^2,Surface,,,,1,48,
Area,3.69667,um^2,Surface,,,,1,49,
Area,0.0495766,um^2,Surface,,,,1,50,
Area,0.350907,um^2,Surface,,,,1,51,
Area,0.436797,um^2,Surface,,,,1,52,
Area,1.64383,um^2,Surface,,,,1,53,
Area,7.73761,um^2,Surface,,,,1,54,
Area,1.89715,um^2,Surface,,,,1,55,
Area,0.17822,um^2,Surface,,,,1,56,
Area,0.0330918,um^2,Surface,,,,1,57,
Area,0.199764,um^2,Surface,,,,1,58,
Area,0.0166094,um^2,Surface,,,,1,59,
Area,0.0166094,um^2,Surface,,,,1,60,
Area,0.844352,um^2,Surface,,,,1,61,
Area,0.0330944,um^2,Surface,,,,1,62,
Area,1.92705,um^2,Surface,,,,1,63,
Area,4.44603,um^2,Surface,,,,1,64,
Area,0.0166094,um^2,Surface,,,,1,65,
Area,0.187345,um^2,Surface,,,,1,66,
Area,0.0161732,um^2,Surface,,,,1,67,
Area,0.0166091,um^2,Surface,,,,1,68,
Area,0.143533,um^2,Surface,,,,1,69,
Area,0.0166091,um^2,Surface,,,,1,70,
Area,0.853484,um^2,Surface,,,,1,71,
Area,1.79892,um^2,Surface,,,,1,72,
Area,0.140592,um^2,Surface,,,,1,73,
Area,0.141214,um^2,Surface,,,,1,74,
Area,0.0166088,um^2,Surface,,,,1,75,
Area,0.0166088,um^2,Surface,,,,1,76,
Area,0.0330936,um^2,Surface,,,,1,77,
Area,0.0330931,um^2,Surface,,,,1,78,
Area,2.86186,um^2,Surface,,,,1,79,
Area,0.0330931,um^2,Surface,,,,1,80,
Area,2.6139,um^2,Surface,,,,1,81,
Area,0.00269495,um^2,Surface,,,,1,82,
Area,4.28635,um^2,Surface,,,,1,83,
Area,2.28882,um^2,Surface,,,,1,84,
Area,0.453798,um^2,Surface,,,,1,85,
Area,0.640502,um^2,Surface,,,,1,86,
Area,0.718927,um^2,Surface,,,,1,87,
Area,1.50308,um^2,Surface,,,,1,88,
Area,0.00475695,um^2,Surface,,,,1,89,
Area,0.442149,um^2,Surface,,,,1,90,
Area,0.797799,um^2,Surface,,,,1,91,
Area,4.59634,um^2,Surface,,,,1,92,
Contact surface area,0.4625,um,Surface,,,,,0,
Contact surface area,0.0075,um,Surface,,,,,1,
Contact surface area,0.2575,um,Surface,,,,,2,
Contact surface area,2.7225,um,Surface,,,,,3,
Contact surface area,0.2525,um,Surface,,,,,4,
Contact surface area,0.3625,um,Surface,,,,,5,
Contact surface area,0.42,um,Surface,,,,,6,
Contact surface area,0.8625,um,Surface,,,,,7,
Contact surface area,0.005,um,Surface,,,,,8,
Contact surface area,0.065,um,Surface,,,,,9,
Contact surface area,0.0075,um,Surface,,,,,10,
Contact surface area,0.0075,um,Surface,,,,,11,
Contact surface area,0.015,um,Surface,,,,,12,
Contact surface area,0.015,um,Surface,,,,,13,
Contact surface area,0.015,um,Surface,,,,,14,
Contact surface area,0.07,um,Surface,,,,,15,
Contact surface area,0.075,um,Surface,,,,,16,
Contact surface area,0.0075,um,Surface,,,,,17,
Contact surface area,0.4775,um,Surface,,,,,18,
Contact surface area,1.0775,um,Surface,,,,,19,
Contact surface area,2.5675,um,Surface,,,,,20,
Contact surface area,1.2975,um,Surface,,,,,21,
Contact surface area,0.0125,um,Surface,,,,,22,
Contact surface area,1.5125,um,Surface,,,,,23,
Contact surface area,1.1625,um,Surface,,,,,24,
Contact surface area,1.13,um,Surface,,,,,25,
Contact surface area,2.6275,um,Surface,,,,,26,
Contact surface area,0.0075,um,Surface,,,,,27,
Contact surface area,0.0825,um,Surface,,,,,28,
Contact surface area,0.0075,um,Surface,,,,,29,
Contact surface area,1.5925,um,Surface,,,,,30,
Contact surface area,0.015,um,Surface,,,,,31,
Contact surface area,0.115,um,Surface,,,,,32,
Contact surface area,0.0075,um,Surface,,,,,33,
Contact surface area,0.0075,um,Surface,,,,,34,
Contact surface area,0.475,um,Surface,,,,,35,
Contact surface area,0.015,um,Surface,,,,,36,
Contact surface area,0.0925,um,Surface,,,,,37,
Contact surface area,0.985,um,Surface,,,,,38,
Contact surface area,0.0225,um,Surface,,,,,39,
Contact surface area,0.185,um,Surface,,,,,40,
Contact surface area,0.25,um,Surface,,,,,41,
Contact surface area,0.145,um,Surface,,,,,42,
