
Detailed
 ==================== 
Variable,Value,Unit,Category,Collection,Depth,Distance,Level,Radius,Time,Type,FilamentID,ID,
Dendrite Area,0.318308,um^2,Dendrite,,0,,1,,1,,100000000,510000000001,
Dendrite Area,0.190487,um^2,Dendrite,,1,,2,,1,,100000000,510000000004,
Dendrite Area,0.901882,um^2,Dendrite,,2,,2,,1,,100000000,510000000006,
Dendrite Area,1.23394,um^2,Dendrite,,3,,2,,1,,100000000,510000000014,
Dendrite Area,13.8157,um^2,Dendrite,,4,,2,,1,,100000000,510000000020,
Dendrite Area,19.9696,um^2,Dendrite,,5,,3,,1,,100000000,510000000089,
Dendrite Area,57.8001,um^2,Dendrite,,6,,3,,1,,100000000,510000000260,
Dendrite Area,1.64886,um^2,Dendrite,,7,,4,,1,,100000000,510000000828,
Dendrite Area,22.6958,um^2,Dendrite,,3,,3,,1,,100000000,510000000841,
Dendrite Area,4.58274,um^2,Dendrite,,4,,3,,1,,100000000,510000001035,
Dendrite Area,11.2323,um^2,Dendrite,,5,,3,,1,,100000000,510000001083,
Dendrite Area,46.4526,um^2,Dendrite,,6,,3,,1,,100000000,510000001166,
Dendrite Area,47.6612,um^2,Dendrite,,6,,4,,1,,100000000,510000001547,
Dendrite Area,9.97542,um^2,Dendrite,,7,,4,,1,,100000000,510000002014,
Dendrite Area,14.2788,um^2,Dendrite,,7,,5,,1,,100000000,510000002113,
Dendrite Area,30.4742,um^2,Dendrite,,8,,6,,1,,100000000,510000002262,
Dendrite Area,0.866953,um^2,Dendrite,,2,,3,,1,,100000000,510000002553,
Dendrite Area,10.7259,um^2,Dendrite,,3,,4,,1,,100000000,510000002561,
Dendrite Area,53.7995,um^2,Dendrite,,4,,4,,1,,100000000,510000002655,
Dendrite Area,26.1188,um^2,Dendrite,,5,,4,,1,,100000000,510000003077,
Dendrite Area,3.71887,um^2,Dendrite,,6,,4,,1,,100000000,510000003292,
Dendrite Area,9.52555,um^2,Dendrite,,5,,2,,1,,100000000,510000003306,
Dendrite Area,19.5826,um^2,Dendrite,,6,,3,,1,,100000000,510000003392,
Dendrite Area,19.5864,um^2,Dendrite,,7,,3,,1,,100000000,510000003565,
Dendrite Area,12.3905,um^2,Dendrite,,8,,4,,1,,100000000,510000003716,
Dendrite Area,8.0547,um^2,Dendrite,,8,,3,,1,,100000000,510000003847,
Dendrite Area,0.73273,um^2,Dendrite,,9,,3,,1,,100000000,510000003925,
Dendrite Area,7.01285,um^2,Dendrite,,10,,3,,1,,100000000,510000003930,
Dendrite Area,20.2241,um^2,Dendrite,,11,,4,,1,,100000000,510000003986,
Dendrite Area,28.843,um^2,Dendrite,,12,,5,,1,,100000000,510000004173,
Dendrite Area,4.08223,um^2,Dendrite,,5,,5,,1,,100000000,510000004341,
Dendrite Area,80.5319,um^2,Dendrite,,6,,5,,1,,100000000,510000004377,
Dendrite Area,7.95881,um^2,Dendrite,,7,,5,,1,,100000000,510000005166,
Dendrite Area,2.61764,um^2,Dendrite,,8,,5,,1,,100000000,510000005242,
Dendrite Area,6.46172,um^2,Dendrite,,8,,5,,1,,100000000,510000005256,
Dendrite Area,7.77631,um^2,Dendrite,,9,,5,,1,,100000000,510000005316,
Dendrite Area,8.62387,um^2,Dendrite,,7,,6,,1,,100000000,510000005358,
Dendrite Area,17.9012,um^2,Dendrite,,8,,7,,1,,100000000,510000005442,
Dendrite Area,7.14069,um^2,Dendrite,,12,,4,,1,,100000000,510000005618,
Dendrite Area,5.8277,um^2,Dendrite,,13,,4,,1,,100000000,510000005683,
Dendrite Area,39.6317,um^2,Dendrite,,14,,4,,1,,100000000,510000005730,
Dendrite Area,29.2872,um^2,Dendrite,,15,,4,,1,,100000000,510000006099,
Dendrite Area,12.3043,um^2,Dendrite,,16,,4,,1,,100000000,510000006387,
Dendrite Area,28.6634,um^2,Dendrite,,17,,5,,1,,100000000,510000006496,
Dendrite Area,34.5618,um^2,Dendrite,,17,,4,,1,,100000000,510000006961,
Dendrite Area,14.1778,um^2,Dendrite,,7,,3,,1,,100000000,510000007116,
Dendrite Area,9.74387,um^2,Dendrite,,8,,4,,1,,100000000,510000007237,
Dendrite Area,16.9485,um^2,Dendrite,,9,,4,,1,,100000000,510000007348,
