
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,82.0927,um^2,Surface,,,,1,878,
Area,24.5397,um^2,Surface,,,,1,885,
Area,34.1711,um^2,Surface,,,,1,886,
Area,14.8165,um^2,Surface,,,,1,903,
Area,188.787,um^2,Surface,,,,1,906,
Area,155.915,um^2,Surface,,,,1,907,
Area,76.0237,um^2,Surface,,,,1,913,
Area,31.2323,um^2,Surface,,,,1,914,
Area,11.7565,um^2,Surface,,,,1,915,
Area,13.5555,um^2,Surface,,,,1,921,
Area,23.7768,um^2,Surface,,,,1,922,
Area,24.6182,um^2,Surface,,,,1,923,
Area,24.4822,um^2,Surface,,,,1,924,
Area,49.6241,um^2,Surface,,,,1,925,
Area,31.8377,um^2,Surface,,,,1,926,
Area,8.63272,um^2,Surface,,,,1,927,
Area,13.1636,um^2,Surface,,,,1,928,
Area,38.8018,um^2,Surface,,,,1,929,
Area,16.7679,um^2,Surface,,,,1,930,
Area,8.36125,um^2,Surface,,,,1,932,
Area,90.8174,um^2,Surface,,,,1,933,
Area,82.886,um^2,Surface,,,,1,935,
Area,3958.37,um^2,Surface,,,,1,956,
Area,65.3044,um^2,Surface,,,,1,961,
Area,47.8551,um^2,Surface,,,,1,965,
Area,45.418,um^2,Surface,,,,1,966,
Area,27.4498,um^2,Surface,,,,1,1000,
Area,15.6739,um^2,Surface,,,,1,1002,
Area,314.848,um^2,Surface,,,,1,1006,
Area,49.6953,um^2,Surface,,,,1,1007,
Area,22.8935,um^2,Surface,,,,1,1010,
Area,37.5512,um^2,Surface,,,,1,1016,
Area,107.108,um^2,Surface,,,,1,1019,
Area,170.957,um^2,Surface,,,,1,1047,
Area,21.0787,um^2,Surface,,,,1,1053,
Area,20.9703,um^2,Surface,,,,1,1062,
Area,18.1015,um^2,Surface,,,,1,1063,
Area,62.3988,um^2,Surface,,,,1,1065,
Area,44.2786,um^2,Surface,,,,1,1069,
Area,17.6466,um^2,Surface,,,,1,1072,
Area,13.4046,um^2,Surface,,,,1,1073,
Area,59.5797,um^2,Surface,,,,1,1108,
Area,93.093,um^2,Surface,,,,1,1109,
Area,13.4767,um^2,Surface,,,,1,1110,
Area,11.9072,um^2,Surface,,,,1,1111,
Area,58.1449,um^2,Surface,,,,1,1113,
Area,12.174,um^2,Surface,,,,1,1115,
Area,21.708,um^2,Surface,,,,1,1117,
Area,42.7397,um^2,Surface,,,,1,1118,
Area,69.772,um^2,Surface,,,,1,1133,
Area,24.8864,um^2,Surface,,,,1,1134,
Area,10.3761,um^2,Surface,,,,1,1135,
Area,25.3317,um^2,Surface,,,,1,1137,
Area,33.2414,um^2,Surface,,,,1,1144,
