
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,5.38356,um^2,Surface,,,,1,0,
Area,0.148343,um^2,Surface,,,,1,1,
Area,0.0987455,um^2,Surface,,,,1,2,
Area,2.94746,um^2,Surface,,,,1,3,
Area,0.887859,um^2,Surface,,,,1,4,
Area,2.13224,um^2,Surface,,,,1,5,
Area,5.15237,um^2,Surface,,,,1,6,
Area,12.5009,um^2,Surface,,,,1,7,
Area,0.0324428,um^2,Surface,,,,1,8,
Area,0.154625,um^2,Surface,,,,1,9,
Area,0.7106,um^2,Surface,,,,1,10,
Area,3.18621,um^2,Surface,,,,1,11,
Area,1.38549,um^2,Surface,,,,1,12,
Area,0.0324436,um^2,Surface,,,,1,13,
Area,5.40041,um^2,Surface,,,,1,14,
Area,0.903287,um^2,Surface,,,,1,15,
Area,8.65876,um^2,Surface,,,,1,16,
Area,1.64113,um^2,Surface,,,,1,17,
Area,0.15877,um^2,Surface,,,,1,18,
Area,2.47878,um^2,Surface,,,,1,19,
Area,3.516,um^2,Surface,,,,1,20,
Area,0.0694792,um^2,Surface,,,,1,21,
Area,0.0324413,um^2,Surface,,,,1,22,
Area,0.287429,um^2,Surface,,,,1,23,
Area,1.23021,um^2,Surface,,,,1,24,
Area,3.19299,um^2,Surface,,,,1,25,
Area,0.0324415,um^2,Surface,,,,1,26,
Area,2.20783,um^2,Surface,,,,1,27,
Area,2.23413,um^2,Surface,,,,1,28,
Area,6.31623,um^2,Surface,,,,1,29,
Area,0.0536573,um^2,Surface,,,,1,30,
Area,0.0665775,um^2,Surface,,,,1,31,
Area,0.255464,um^2,Surface,,,,1,32,
Area,0.0908504,um^2,Surface,,,,1,33,
Area,0.152787,um^2,Surface,,,,1,34,
Area,0.0324415,um^2,Surface,,,,1,35,
Area,1.1167,um^2,Surface,,,,1,36,
Area,1.75441,um^2,Surface,,,,1,37,
Area,1.87426,um^2,Surface,,,,1,38,
Area,1.7586,um^2,Surface,,,,1,39,
Area,0.1576,um^2,Surface,,,,1,40,
Area,0.97944,um^2,Surface,,,,1,41,
Area,21.0304,um^2,Surface,,,,1,42,
Area,9.2791,um^2,Surface,,,,1,43,
Area,0.0677294,um^2,Surface,,,,1,44,
Area,0.07818,um^2,Surface,,,,1,45,
Area,0.148439,um^2,Surface,,,,1,46,
Area,0.0324436,um^2,Surface,,,,1,47,
Area,0.108959,um^2,Surface,,,,1,48,
Area,0.0324426,um^2,Surface,,,,1,49,
Area,19.0646,um^2,Surface,,,,1,50,
Area,15.8592,um^2,Surface,,,,1,51,
Area,11.8016,um^2,Surface,,,,1,52,
Area,3.75256,um^2,Surface,,,,1,53,
Area,4.45801,um^2,Surface,,,,1,54,
Contact surface area,0.075,um,Surface,,,,,0,
Contact surface area,0.015,um,Surface,,,,,1,
Contact surface area,0.055,um,Surface,,,,,2,
Contact surface area,0.015,um,Surface,,,,,3,
Contact surface area,6.7675,um,Surface,,,,,4,
Contact surface area,2.155,um,Surface,,,,,5,
Contact surface area,2.57,um,Surface,,,,,6,
Contact surface area,0.0375,um,Surface,,,,,7,
Contact surface area,0.0425,um,Surface,,,,,8,
Contact surface area,0.08,um,Surface,,,,,9,
Contact surface area,1.0725,um,Surface,,,,,10,
Contact surface area,0.99,um,Surface,,,,,11,
Contact surface area,0.015,um,Surface,,,,,12,
Contact surface area,0.15,um,Surface,,,,,13,
Contact surface area,0.6925,um,Surface,,,,,14,
Contact surface area,0.6,um,Surface,,,,,15,
