
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,2.98144,um^2,Surface,,,,1,78,
Area,9.35114,um^2,Surface,,,,1,79,
Area,2.84771,um^2,Surface,,,,1,80,
Area,1.35435,um^2,Surface,,,,1,81,
Area,0.785301,um^2,Surface,,,,1,82,
Area,2.39614,um^2,Surface,,,,1,83,
Area,3.27919,um^2,Surface,,,,1,84,
Area,3.56852,um^2,Surface,,,,1,85,
Area,3.84932,um^2,Surface,,,,1,86,
Area,3.4787,um^2,Surface,,,,1,87,
Area,1.42904,um^2,Surface,,,,1,88,
Area,1.33892,um^2,Surface,,,,1,89,
Area,1.06622,um^2,Surface,,,,1,90,
Area,5.44524,um^2,Surface,,,,1,92,
Area,4.44853,um^2,Surface,,,,1,93,
Area,4.43192,um^2,Surface,,,,1,94,
Area,3.49938,um^2,Surface,,,,1,96,
Area,18.6829,um^2,Surface,,,,1,97,
Area,3.18683,um^2,Surface,,,,1,98,
Area,1.38514,um^2,Surface,,,,1,99,
Area,5.31485,um^2,Surface,,,,1,100,
Area,2.09555,um^2,Surface,,,,1,101,
Area,2.89264,um^2,Surface,,,,1,102,
Area,3.19444,um^2,Surface,,,,1,103,
Area,3.79693,um^2,Surface,,,,1,104,
Area,4.09409,um^2,Surface,,,,1,105,
Area,11.3995,um^2,Surface,,,,1,106,
Area,1.62731,um^2,Surface,,,,1,107,
Area,6.31441,um^2,Surface,,,,1,108,
Area,9.78516,um^2,Surface,,,,1,109,
Area,5.08051,um^2,Surface,,,,1,110,
Area,3.24166,um^2,Surface,,,,1,112,
Area,11.3514,um^2,Surface,,,,1,113,
Area,6.42513,um^2,Surface,,,,1,114,
Area,4.93303,um^2,Surface,,,,1,115,
Area,6.71913,um^2,Surface,,,,1,116,
Area,2.80288,um^2,Surface,,,,1,117,
Area,3.13642,um^2,Surface,,,,1,118,
Area,2.33837,um^2,Surface,,,,1,121,
Area,7.69238,um^2,Surface,,,,1,122,
Area,3.54029,um^2,Surface,,,,1,123,
Area,16.3832,um^2,Surface,,,,1,124,
Area,17.1882,um^2,Surface,,,,1,125,
Area,4.19925,um^2,Surface,,,,1,127,
Area,21.574,um^2,Surface,,,,1,128,
Area,14.5721,um^2,Surface,,,,1,129,
Area,10.2371,um^2,Surface,,,,1,130,
Area,11.3182,um^2,Surface,,,,1,131,
Area,3.21476,um^2,Surface,,,,1,132,
Area,21.1322,um^2,Surface,,,,1,133,
Area,2.85186,um^2,Surface,,,,1,135,
Area,0.801905,um^2,Surface,,,,1,136,
Area,1.52385,um^2,Surface,,,,1,137,
Area,3.46824,um^2,Surface,,,,1,138,
Area,15.7072,um^2,Surface,,,,1,139,
Area,1.98697,um^2,Surface,,,,1,140,
Area,1.86401,um^2,Surface,,,,1,141,
Area,0.841221,um^2,Surface,,,,1,142,
Area,23.3842,um^2,Surface,,,,1,143,
Distance from Origin,140.204,um,Surface,,Distance from Origin,,1,78,
Distance from Origin,144.919,um,Surface,,Distance from Origin,,1,79,
Distance from Origin,136.08,um,Surface,,Distance from Origin,,1,80,
Distance from Origin,138.749,um,Surface,,Distance from Origin,,1,81,
Distance from Origin,152.629,um,Surface,,Distance from Origin,,1,82,
Distance from Origin,147.2,um,Surface,,Distance from Origin,,1,83,
Distance from Origin,156.041,um,Surface,,Distance from Origin,,1,84,
Distance from Origin,103.477,um,Surface,,Distance from Origin,,1,85,
Distance from Origin,105.087,um,Surface,,Distance from Origin,,1,86,
Distance from Origin,119.428,um,Surface,,Distance from Origin,,1,87,
Distance from Origin,129.821,um,Surface,,Distance from Origin,,1,88,
