
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,4.26083,um^2,Surface,,,,1,36,
Area,1.85142,um^2,Surface,,,,1,37,
Area,2.63181,um^2,Surface,,,,1,38,
Area,3.94213,um^2,Surface,,,,1,39,
Area,2.63648,um^2,Surface,,,,1,40,
Area,7.01068,um^2,Surface,,,,1,41,
Area,5.47754,um^2,Surface,,,,1,42,
Area,6.19459,um^2,Surface,,,,1,43,
Area,4.35153,um^2,Surface,,,,1,44,
Area,5.02774,um^2,Surface,,,,1,45,
Area,3.55121,um^2,Surface,,,,1,46,
Area,1.78882,um^2,Surface,,,,1,47,
Area,16.6045,um^2,Surface,,,,1,48,
Area,2.51491,um^2,Surface,,,,1,49,
Area,9.72664,um^2,Surface,,,,1,50,
Area,1.68562,um^2,Surface,,,,1,51,
Area,3.82535,um^2,Surface,,,,1,52,
Area,8.74671,um^2,Surface,,,,1,53,
Area,2.99979,um^2,Surface,,,,1,54,
Area,2.93622,um^2,Surface,,,,1,55,
Area,10.3882,um^2,Surface,,,,1,56,
Area,2.32045,um^2,Surface,,,,1,57,
Area,15.8309,um^2,Surface,,,,1,58,
Area,3.59102,um^2,Surface,,,,1,59,
Area,7.25891,um^2,Surface,,,,1,60,
Area,17.631,um^2,Surface,,,,1,61,
Area,22.4371,um^2,Surface,,,,1,62,
Area,9.43839,um^2,Surface,,,,1,63,
Area,3.32764,um^2,Surface,,,,1,64,
Distance from Origin,192.896,um,Surface,,Distance from Origin,,1,36,
Distance from Origin,188.374,um,Surface,,Distance from Origin,,1,37,
Distance from Origin,188.756,um,Surface,,Distance from Origin,,1,38,
Distance from Origin,161.932,um,Surface,,Distance from Origin,,1,39,
Distance from Origin,159.734,um,Surface,,Distance from Origin,,1,40,
Distance from Origin,183.424,um,Surface,,Distance from Origin,,1,41,
Distance from Origin,180.488,um,Surface,,Distance from Origin,,1,42,
Distance from Origin,177.922,um,Surface,,Distance from Origin,,1,43,
Distance from Origin,179.715,um,Surface,,Distance from Origin,,1,44,
Distance from Origin,166.723,um,Surface,,Distance from Origin,,1,45,
Distance from Origin,160.5,um,Surface,,Distance from Origin,,1,46,
Distance from Origin,184.057,um,Surface,,Distance from Origin,,1,47,
Distance from Origin,175.934,um,Surface,,Distance from Origin,,1,48,
Distance from Origin,174.31,um,Surface,,Distance from Origin,,1,49,
Distance from Origin,159.286,um,Surface,,Distance from Origin,,1,50,
Distance from Origin,157.821,um,Surface,,Distance from Origin,,1,51,
Distance from Origin,181.726,um,Surface,,Distance from Origin,,1,52,
Distance from Origin,180.403,um,Surface,,Distance from Origin,,1,53,
Distance from Origin,164.429,um,Surface,,Distance from Origin,,1,54,
Distance from Origin,164.93,um,Surface,,Distance from Origin,,1,55,
Distance from Origin,172.635,um,Surface,,Distance from Origin,,1,56,
Distance from Origin,169.362,um,Surface,,Distance from Origin,,1,57,
Distance from Origin,165.418,um,Surface,,Distance from Origin,,1,58,
Distance from Origin,165.695,um,Surface,,Distance from Origin,,1,59,
Distance from Origin,163.769,um,Surface,,Distance from Origin,,1,60,
Distance from Origin,161.409,um,Surface,,Distance from Origin,,1,61,
Distance from Origin,162.596,um,Surface,,Distance from Origin,,1,62,
Distance from Origin,161.338,um,Surface,,Distance from Origin,,1,63,
Distance from Origin,163.94,um,Surface,,Distance from Origin,,1,64,
Distance to Image Border XY,4.93379,um,Surface,,,Image 1,1,36,
Distance to Image Border XY,7.84903,um,Surface,,,Image 1,1,37,
Distance to Image Border XY,7.09508,um,Surface,,,Image 1,1,38,
Distance to Image Border XY,36.3837,um,Surface,,,Image 1,1,39,
Distance to Image Border XY,37.2963,um,Surface,,,Image 1,1,40,
Distance to Image Border XY,10.4983,um,Surface,,,Image 1,1,41,
Distance to Image Border XY,12.4978,um,Surface,,,Image 1,1,42,
Distance to Image Border XY,14.5242,um,Surface,,,Image 1,1,43,
Distance to Image Border XY,15.2939,um,Surface,,,Image 1,1,44,
Distance to Image Border XY,28.9516,um,Surface,,,Image 1,1,45,
Distance to Image Border XY,37.3538,um,Surface,,,Image 1,1,46,
Distance to Image Border XY,7.27374,um,Surface,,,Image 1,1,47,
Distance to Image Border XY,14.6332,um,Surface,,,Image 1,1,48,
Distance to Image Border XY,20.8764,um,Surface,,,Image 1,1,49,
Distance to Image Border XY,36.5538,um,Surface,,,Image 1,1,50,
Distance to Image Border XY,36.9245,um,Surface,,,Image 1,1,51,
Distance to Image Border XY,8.10004,um,Surface,,,Image 1,1,52,
Distance to Image Border XY,9.5612,um,Surface,,,Image 1,1,53,
Distance to Image Border XY,31.5848,um,Surface,,,Image 1,1,54,
Distance to Image Border XY,31.165,um,Surface,,,Image 1,1,55,
Distance to Image Border XY,19.3078,um,Surface,,,Image 1,1,56,
Distance to Image Border XY,23.3453,um,Surface,,,Image 1,1,57,
Distance to Image Border XY,28.7603,um,Surface,,,Image 1,1,58,
Distance to Image Border XY,29.6983,um,Surface,,,Image 1,1,59,
Distance to Image Border XY,27.5959,um,Surface,,,Image 1,1,60,
Distance to Image Border XY,30.9128,um,Surface,,,Image 1,1,61,
Distance to Image Border XY,31.0359,um,Surface,,,Image 1,1,62,
Distance to Image Border XY,26.9895,um,Surface,,,Image 1,1,63,
Distance to Image Border XY,26.8988,um,Surface,,,Image 1,1,64,
Ellipticity (oblate),0.278382,,Surface,,,,1,36,
Ellipticity (oblate),0.341021,,Surface,,,,1,37,
Ellipticity (oblate),0.296587,,Surface,,,,1,38,
Ellipticity (oblate),0.388619,,Surface,,,,1,39,
Ellipticity (oblate),0.229706,,Surface,,,,1,40,
Ellipticity (oblate),0.146509,,Surface,,,,1,41,
Ellipticity (oblate),0.306924,,Surface,,,,1,42,
Ellipticity (oblate),0.290273,,Surface,,,,1,43,
Ellipticity (oblate),0.425235,,Surface,,,,1,44,
Ellipticity (oblate),0.267146,,Surface,,,,1,45,
Ellipticity (oblate),0.391343,,Surface,,,,1,46,
Ellipticity (oblate),0.400351,,Surface,,,,1,47,
Ellipticity (oblate),0.265956,,Surface,,,,1,48,
Ellipticity (oblate),0.255641,,Surface,,,,1,49,
Ellipticity (oblate),0.383851,,Surface,,,,1,50,
Ellipticity (oblate),0.34663,,Surface,,,,1,51,
Ellipticity (oblate),0.427225,,Surface,,,,1,52,
Ellipticity (oblate),0.327301,,Surface,,,,1,53,
Ellipticity (oblate),0.280797,,Surface,,,,1,54,
Ellipticity (oblate),0.793232,,Surface,,,,1,55,
Ellipticity (oblate),0.493516,,Surface,,,,1,56,
Ellipticity (oblate),0.424528,,Surface,,,,1,57,
Ellipticity (oblate),0.33894,,Surface,,,,1,58,
Ellipticity (oblate),0.766887,,Surface,,,,1,59,
Ellipticity (oblate),0.354404,,Surface,,,,1,60,
Ellipticity (oblate),0.391053,,Surface,,,,1,61,
Ellipticity (oblate),0.344482,,Surface,,,,1,62,
Ellipticity (oblate),0.576564,,Surface,,,,1,63,
Ellipticity (oblate),0.279916,,Surface,,,,1,64,
Ellipticity (prolate),0.668112,,Surface,,,,1,36,
Ellipticity (prolate),0.556622,,Surface,,,,1,37,
Ellipticity (prolate),0.362599,,Surface,,,,1,38,
