
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,1552.91,um^2,Surface,,,,1,289,
Distance from Origin,168.752,um,Surface,,Distance from Origin,,1,289,
Distance to Image Border XY,3.69142,um,Surface,,,Image 1,1,289,
Ellipticity (oblate),0.490727,,Surface,,,,1,289,
Ellipticity (prolate),0.124651,,Surface,,,,1,289,
Generation,0,,Surface,,,,1,289,
Intensity Max,95,,Surface,1,,Image 1,1,289,
Intensity Max,255,,Surface,2,,Image 1,1,289,
Intensity Max,214,,Surface,3,,Image 1,1,289,
Intensity Max,246,,Surface,4,,Image 1,1,289,
Intensity Max,95,,Surface,5,,Image 1,1,289,
Intensity Max,255,,Surface,6,,Image 1,1,289,
Intensity Mean,0.642396,,Surface,1,,Image 1,1,289,
Intensity Mean,1.68482,,Surface,2,,Image 1,1,289,
Intensity Mean,5.02721,,Surface,3,,Image 1,1,289,
Intensity Mean,17.7345,,Surface,4,,Image 1,1,289,
Intensity Mean,0.642396,,Surface,5,,Image 1,1,289,
Intensity Mean,1.68482,,Surface,6,,Image 1,1,289,
Intensity Median,0.032,,Surface,1,,Image 1,1,289,
Intensity Median,0.064,,Surface,2,,Image 1,1,289,
Intensity Median,0.064,,Surface,3,,Image 1,1,289,
Intensity Median,11.992,,Surface,4,,Image 1,1,289,
Intensity Median,0.032,,Surface,5,,Image 1,1,289,
Intensity Median,0.064,,Surface,6,,Image 1,1,289,
Intensity Min,0,,Surface,1,,Image 1,1,289,
Intensity Min,0,,Surface,2,,Image 1,1,289,
Intensity Min,0,,Surface,3,,Image 1,1,289,
Intensity Min,0,,Surface,4,,Image 1,1,289,
Intensity Min,0,,Surface,5,,Image 1,1,289,
Intensity Min,0,,Surface,6,,Image 1,1,289,
Intensity StdDev,2.87435,,Surface,1,,Image 1,1,289,
Intensity StdDev,7.71412,,Surface,2,,Image 1,1,289,
Intensity StdDev,13.4469,,Surface,3,,Image 1,1,289,
Intensity StdDev,18.7732,,Surface,4,,Image 1,1,289,
Intensity StdDev,2.87435,,Surface,5,,Image 1,1,289,
Intensity StdDev,7.71412,,Surface,6,,Image 1,1,289,
Intensity Sum,1.09357e+06,,Surface,1,,Image 1,1,289,
Intensity Sum,2.86811e+06,,Surface,2,,Image 1,1,289,
Intensity Sum,8.55793e+06,,Surface,3,,Image 1,1,289,
Intensity Sum,3.01898e+07,,Surface,4,,Image 1,1,289,
Intensity Sum,1.09357e+06,,Surface,5,,Image 1,1,289,
Intensity Sum,2.86811e+06,,Surface,6,,Image 1,1,289,
Number of Disconnected Components,5,,Surface,,,,1,289,
Position X,158.267,um,Surface,,Position,,1,289,
Position Y,58.4751,um,Surface,,Position,,1,289,
Position Z,3.09117,um,Surface,,Position,,1,289,
Sphericity,0.235329,,Surface,,,,1,289,
Time,0,s,Surface,,,,1,289,
Time Index,1,,Surface,,,,1,289,
Volume,656.911,um^3,Surface,,,,1,289,
