
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,15.2654,um^2,Surface,,,,1,93,
Area,15.7866,um^2,Surface,,,,1,98,
Area,1.49144,um^2,Surface,,,,1,101,
Area,4.49808,um^2,Surface,,,,1,104,
Area,4.44866,um^2,Surface,,,,1,107,
Area,2.64458,um^2,Surface,,,,1,108,
Area,6.0018,um^2,Surface,,,,1,109,
Area,13.7002,um^2,Surface,,,,1,112,
Area,1.98468,um^2,Surface,,,,1,117,
Area,4.50132,um^2,Surface,,,,1,118,
Area,3.9152,um^2,Surface,,,,1,119,
Area,3.10802,um^2,Surface,,,,1,121,
Area,1.51443,um^2,Surface,,,,1,122,
Area,18.7082,um^2,Surface,,,,1,123,
Area,2.6292,um^2,Surface,,,,1,124,
Area,3.88815,um^2,Surface,,,,1,128,
Area,1.08838,um^2,Surface,,,,1,135,
Area,4.69606,um^2,Surface,,,,1,139,
Area,7.65268,um^2,Surface,,,,1,140,
Area,5.63931,um^2,Surface,,,,1,141,
Area,3.61675,um^2,Surface,,,,1,142,
Area,7.86928,um^2,Surface,,,,1,143,
Area,5.73098,um^2,Surface,,,,1,144,
Area,4.8557,um^2,Surface,,,,1,146,
Area,6.83671,um^2,Surface,,,,1,147,
Area,1.29804,um^2,Surface,,,,1,154,
Area,1.05915,um^2,Surface,,,,1,155,
Area,1.33198,um^2,Surface,,,,1,156,
Area,3.60875,um^2,Surface,,,,1,157,
Area,2.66608,um^2,Surface,,,,1,159,
Area,3.36454,um^2,Surface,,,,1,161,
Area,3.80847,um^2,Surface,,,,1,163,
Area,2.34821,um^2,Surface,,,,1,164,
Area,0.915764,um^2,Surface,,,,1,165,
Area,1.62938,um^2,Surface,,,,1,170,
Area,2.61112,um^2,Surface,,,,1,171,
Area,4.417,um^2,Surface,,,,1,173,
Distance from Origin,159.935,um,Surface,,Distance from Origin,,1,93,
Distance from Origin,174.762,um,Surface,,Distance from Origin,,1,98,
Distance from Origin,159.285,um,Surface,,Distance from Origin,,1,101,
Distance from Origin,176.636,um,Surface,,Distance from Origin,,1,104,
Distance from Origin,181.525,um,Surface,,Distance from Origin,,1,107,
Distance from Origin,159.98,um,Surface,,Distance from Origin,,1,108,
Distance from Origin,178.626,um,Surface,,Distance from Origin,,1,109,
Distance from Origin,179.143,um,Surface,,Distance from Origin,,1,112,
Distance from Origin,181.272,um,Surface,,Distance from Origin,,1,117,
Distance from Origin,183.639,um,Surface,,Distance from Origin,,1,118,
Distance from Origin,192.158,um,Surface,,Distance from Origin,,1,119,
Distance from Origin,188.326,um,Surface,,Distance from Origin,,1,121,
Distance from Origin,192.227,um,Surface,,Distance from Origin,,1,122,
Distance from Origin,169.261,um,Surface,,Distance from Origin,,1,123,
Distance from Origin,157.408,um,Surface,,Distance from Origin,,1,124,
Distance from Origin,154.646,um,Surface,,Distance from Origin,,1,128,
Distance from Origin,167.197,um,Surface,,Distance from Origin,,1,135,
Distance from Origin,168.264,um,Surface,,Distance from Origin,,1,139,
Distance from Origin,167.214,um,Surface,,Distance from Origin,,1,140,
Distance from Origin,166.487,um,Surface,,Distance from Origin,,1,141,
Distance from Origin,166.453,um,Surface,,Distance from Origin,,1,142,
Distance from Origin,165.414,um,Surface,,Distance from Origin,,1,143,
Distance from Origin,166.309,um,Surface,,Distance from Origin,,1,144,
Distance from Origin,164.518,um,Surface,,Distance from Origin,,1,146,
Distance from Origin,157.817,um,Surface,,Distance from Origin,,1,147,
Distance from Origin,165.736,um,Surface,,Distance from Origin,,1,154,
Distance from Origin,167.002,um,Surface,,Distance from Origin,,1,155,
Distance from Origin,166.825,um,Surface,,Distance from Origin,,1,156,
Distance from Origin,166.959,um,Surface,,Distance from Origin,,1,157,
Distance from Origin,164.422,um,Surface,,Distance from Origin,,1,159,
Distance from Origin,164.838,um,Surface,,Distance from Origin,,1,161,
Distance from Origin,165.624,um,Surface,,Distance from Origin,,1,163,
Distance from Origin,167.431,um,Surface,,Distance from Origin,,1,164,
Distance from Origin,167.76,um,Surface,,Distance from Origin,,1,165,
Distance from Origin,164.413,um,Surface,,Distance from Origin,,1,170,
Distance from Origin,163.917,um,Surface,,Distance from Origin,,1,171,
Distance from Origin,167.215,um,Surface,,Distance from Origin,,1,173,
Distance to Image Border XY,31.7779,um,Surface,,,Image 1,1,93,
Distance to Image Border XY,15.7073,um,Surface,,,Image 1,1,98,
Distance to Image Border XY,38.6208,um,Surface,,,Image 1,1,101,
Distance to Image Border XY,14.2029,um,Surface,,,Image 1,1,104,
Distance to Image Border XY,7.34155,um,Surface,,,Image 1,1,107,
Distance to Image Border XY,36.6794,um,Surface,,,Image 1,1,108,
Distance to Image Border XY,15.8877,um,Surface,,,Image 1,1,109,
Distance to Image Border XY,12.0601,um,Surface,,,Image 1,1,112,
Distance to Image Border XY,12.1333,um,Surface,,,Image 1,1,117,
Distance to Image Border XY,10.3492,um,Surface,,,Image 1,1,118,
Distance to Image Border XY,5.35435,um,Surface,,,Image 1,1,119,
Distance to Image Border XY,7.92444,um,Surface,,,Image 1,1,121,
Distance to Image Border XY,6.28543,um,Surface,,,Image 1,1,122,
Distance to Image Border XY,21.1906,um,Surface,,,Image 1,1,123,
Distance to Image Border XY,40.4158,um,Surface,,,Image 1,1,124,
Distance to Image Border XY,42.508,um,Surface,,,Image 1,1,128,
Distance to Image Border XY,26.4047,um,Surface,,,Image 1,1,135,
Distance to Image Border XY,25.0379,um,Surface,,,Image 1,1,139,
Distance to Image Border XY,26.1485,um,Surface,,,Image 1,1,140,
Distance to Image Border XY,28.1691,um,Surface,,,Image 1,1,141,
Distance to Image Border XY,27.6683,um,Surface,,,Image 1,1,142,
Distance to Image Border XY,29.0798,um,Surface,,,Image 1,1,143,
Distance to Image Border XY,27.8165,um,Surface,,,Image 1,1,144,
Distance to Image Border XY,30.4494,um,Surface,,,Image 1,1,146,
Distance to Image Border XY,36.0407,um,Surface,,,Image 1,1,147,
Distance to Image Border XY,29.9514,um,Surface,,,Image 1,1,154,
Distance to Image Border XY,27.9567,um,Surface,,,Image 1,1,155,
Distance to Image Border XY,28.2632,um,Surface,,,Image 1,1,156,
Distance to Image Border XY,27.9711,um,Surface,,,Image 1,1,157,
Distance to Image Border XY,31.1424,um,Surface,,,Image 1,1,159,
Distance to Image Border XY,30.4942,um,Surface,,,Image 1,1,161,
Distance to Image Border XY,29.216,um,Surface,,,Image 1,1,163,
Distance to Image Border XY,27.1561,um,Surface,,,Image 1,1,164,
Distance to Image Border XY,27.3413,um,Surface,,,Image 1,1,165,
Distance to Image Border XY,30.6586,um,Surface,,,Image 1,1,170,
Distance to Image Border XY,31.1568,um,Surface,,,Image 1,1,171,
Distance to Image Border XY,27.6118,um,Surface,,,Image 1,1,173,
Ellipticity (oblate),0.0583277,,Surface,,,,1,93,
Ellipticity (oblate),0.129541,,Surface,,,,1,98,
Ellipticity (oblate),0.534967,,Surface,,,,1,101,
Ellipticity (oblate),0.221704,,Surface,,,,1,104,
Ellipticity (oblate),0.409498,,Surface,,,,1,107,
Ellipticity (oblate),0.491753,,Surface,,,,1,108,
Ellipticity (oblate),0.279827,,Surface,,,,1,109,
Ellipticity (oblate),0.0679758,,Surface,,,,1,112,
Ellipticity (oblate),0.421936,,Surface,,,,1,117,
Ellipticity (oblate),0.279216,,Surface,,,,1,118,
Ellipticity (oblate),0.373819,,Surface,,,,1,119,
Ellipticity (oblate),0.434527,,Surface,,,,1,121,
Ellipticity (oblate),0.317369,,Surface,,,,1,122,
Ellipticity (oblate),0.0604162,,Surface,,,,1,123,
Ellipticity (oblate),0.462778,,Surface,,,,1,124,
Ellipticity (oblate),0.169586,,Surface,,,,1,128,
Ellipticity (oblate),0.29065,,Surface,,,,1,135,
Ellipticity (oblate),0.29786,,Surface,,,,1,139,
Ellipticity (oblate),0.381752,,Surface,,,,1,140,
Ellipticity (oblate),0.41386,,Surface,,,,1,141,
Ellipticity (oblate),0.495985,,Surface,,,,1,142,
Ellipticity (oblate),0.385948,,Surface,,,,1,143,
Ellipticity (oblate),0.532591,,Surface,,,,1,144,
Ellipticity (oblate),0.269055,,Surface,,,,1,146,
Ellipticity (oblate),0.172762,,Surface,,,,1,147,
Ellipticity (oblate),0.5026,,Surface,,,,1,154,
Ellipticity (oblate),0.265113,,Surface,,,,1,155,
Ellipticity (oblate),0.309184,,Surface,,,,1,156,
Ellipticity (oblate),0.42081,,Surface,,,,1,157,
Ellipticity (oblate),0.52773,,Surface,,,,1,159,
Ellipticity (oblate),0.330179,,Surface,,,,1,161,
Ellipticity (oblate),0.394944,,Surface,,,,1,163,
Ellipticity (oblate),0.304823,,Surface,,,,1,164,
Ellipticity (oblate),0.37418,,Surface,,,,1,165,
Ellipticity (oblate),0.347616,,Surface,,,,1,170,
Ellipticity (oblate),0.312796,,Surface,,,,1,171,
Ellipticity (oblate),0.446167,,Surface,,,,1,173,
Ellipticity (prolate),0.544167,,Surface,,,,1,93,
Ellipticity (prolate),0.60481,,Surface,,,,1,98,
Ellipticity (prolate),0.190466,,Surface,,,,1,101,
Ellipticity (prolate),0.566434,,Surface,,,,1,104,
Ellipticity (prolate),0.4123,,Surface,,,,1,107,
Ellipticity (prolate),0.356038,,Surface,,,,1,108,
Ellipticity (prolate),0.60614,,Surface,,,,1,109,
Ellipticity (prolate),0.707999,,Surface,,,,1,112,
Ellipticity (prolate),0.446455,,Surface,,,,1,117,
Ellipticity (prolate),0.598705,,Surface,,,,1,118,
Ellipticity (prolate),0.446716,,Surface,,,,1,119,
Ellipticity (prolate),0.410001,,Surface,,,,1,121,
Ellipticity (prolate),0.453919,,Surface,,,,1,122,
Ellipticity (prolate),0.888159,,Surface,,,,1,123,
Ellipticity (prolate),0.396159,,Surface,,,,1,124,
Ellipticity (prolate),0.463441,,Surface,,,,1,128,
Ellipticity (prolate),0.652109,,Surface,,,,1,135,
Ellipticity (prolate),0.453746,,Surface,,,,1,139,
Ellipticity (prolate),0.405746,,Surface,,,,1,140,
Ellipticity (prolate),0.460271,,Surface,,,,1,141,
Ellipticity (prolate),0.33901,,Surface,,,,1,142,
Ellipticity (prolate),0.497731,,Surface,,,,1,143,
Ellipticity (prolate),0.324407,,Surface,,,,1,144,
Ellipticity (prolate),0.635578,,Surface,,,,1,146,
Ellipticity (prolate),0.513677,,Surface,,,,1,147,
Ellipticity (prolate),0.316666,,Surface,,,,1,154,
Ellipticity (prolate),0.429279,,Surface,,,,1,155,
Ellipticity (prolate),0.491629,,Surface,,,,1,156,
Ellipticity (prolate),0.357811,,Surface,,,,1,157,
Ellipticity (prolate),0.329362,,Surface,,,,1,159,
Ellipticity (prolate),0.563378,,Surface,,,,1,161,
Ellipticity (prolate),0.485506,,Surface,,,,1,163,
Ellipticity (prolate),0.527366,,Surface,,,,1,164,
Ellipticity (prolate),0.502769,,Surface,,,,1,165,
Ellipticity (prolate),0.238555,,Surface,,,,1,170,
Ellipticity (prolate),0.61064,,Surface,,,,1,171,
Ellipticity (prolate),0.40711,,Surface,,,,1,173,
Generation,0,,Surface,,,,1,93,
Generation,0,,Surface,,,,1,98,
Generation,0,,Surface,,,,1,101,
Generation,0,,Surface,,,,1,104,
Generation,0,,Surface,,,,1,107,
Generation,0,,Surface,,,,1,108,
Generation,0,,Surface,,,,1,109,
Generation,0,,Surface,,,,1,112,
Generation,0,,Surface,,,,1,117,
Generation,0,,Surface,,,,1,118,
Generation,0,,Surface,,,,1,119,
Generation,0,,Surface,,,,1,121,
Generation,0,,Surface,,,,1,122,
Generation,0,,Surface,,,,1,123,
Generation,0,,Surface,,,,1,124,
Generation,0,,Surface,,,,1,128,
Generation,0,,Surface,,,,1,135,
Generation,0,,Surface,,,,1,139,
Generation,0,,Surface,,,,1,140,
Generation,0,,Surface,,,,1,141,
Generation,0,,Surface,,,,1,142,
Generation,0,,Surface,,,,1,143,
Generation,0,,Surface,,,,1,144,
Generation,0,,Surface,,,,1,146,
Generation,0,,Surface,,,,1,147,
Generation,0,,Surface,,,,1,154,
Generation,0,,Surface,,,,1,155,
Generation,0,,Surface,,,,1,156,
Generation,0,,Surface,,,,1,157,
Generation,0,,Surface,,,,1,159,
Generation,0,,Surface,,,,1,161,
Generation,0,,Surface,,,,1,163,
Generation,0,,Surface,,,,1,164,
Generation,0,,Surface,,,,1,165,
Generation,0,,Surface,,,,1,170,
Generation,0,,Surface,,,,1,171,
Generation,0,,Surface,,,,1,173,
Intensity Max,42,,Surface,1,,Image 1,1,93,
Intensity Max,104,,Surface,2,,Image 1,1,93,
Intensity Max,15,,Surface,3,,Image 1,1,93,
Intensity Max,110,,Surface,4,,Image 1,1,93,
Intensity Max,42,,Surface,5,,Image 1,1,93,
Intensity Max,104,,Surface,6,,Image 1,1,93,
Intensity Max,56,,Surface,1,,Image 1,1,98,
Intensity Max,47,,Surface,2,,Image 1,1,98,
Intensity Max,20,,Surface,3,,Image 1,1,98,
Intensity Max,155,,Surface,4,,Image 1,1,98,
Intensity Max,56,,Surface,5,,Image 1,1,98,
Intensity Max,47,,Surface,6,,Image 1,1,98,
Intensity Max,14,,Surface,1,,Image 1,1,101,
Intensity Max,13,,Surface,2,,Image 1,1,101,
Intensity Max,4,,Surface,3,,Image 1,1,101,
Intensity Max,92,,Surface,4,,Image 1,1,101,
Intensity Max,14,,Surface,5,,Image 1,1,101,
Intensity Max,13,,Surface,6,,Image 1,1,101,
Intensity Max,24,,Surface,1,,Image 1,1,104,
Intensity Max,3,,Surface,2,,Image 1,1,104,
Intensity Max,7,,Surface,3,,Image 1,1,104,
Intensity Max,74,,Surface,4,,Image 1,1,104,
Intensity Max,24,,Surface,5,,Image 1,1,104,
Intensity Max,3,,Surface,6,,Image 1,1,104,
Intensity Max,27,,Surface,1,,Image 1,1,107,
Intensity Max,16,,Surface,2,,Image 1,1,107,
Intensity Max,14,,Surface,3,,Image 1,1,107,
Intensity Max,95,,Surface,4,,Image 1,1,107,
Intensity Max,27,,Surface,5,,Image 1,1,107,
Intensity Max,16,,Surface,6,,Image 1,1,107,
Intensity Max,30,,Surface,1,,Image 1,1,108,
Intensity Max,39,,Surface,2,,Image 1,1,108,
Intensity Max,10,,Surface,3,,Image 1,1,108,
Intensity Max,109,,Surface,4,,Image 1,1,108,
Intensity Max,30,,Surface,5,,Image 1,1,108,
Intensity Max,39,,Surface,6,,Image 1,1,108,
Intensity Max,26,,Surface,1,,Image 1,1,109,
Intensity Max,24,,Surface,2,,Image 1,1,109,
Intensity Max,14,,Surface,3,,Image 1,1,109,
Intensity Max,72,,Surface,4,,Image 1,1,109,
Intensity Max,26,,Surface,5,,Image 1,1,109,
Intensity Max,24,,Surface,6,,Image 1,1,109,
Intensity Max,21,,Surface,1,,Image 1,1,112,
Intensity Max,37,,Surface,2,,Image 1,1,112,
Intensity Max,9,,Surface,3,,Image 1,1,112,
Intensity Max,89,,Surface,4,,Image 1,1,112,
Intensity Max,21,,Surface,5,,Image 1,1,112,
Intensity Max,37,,Surface,6,,Image 1,1,112,
Intensity Max,16,,Surface,1,,Image 1,1,117,
Intensity Max,8,,Surface,2,,Image 1,1,117,
Intensity Max,8,,Surface,3,,Image 1,1,117,
Intensity Max,55,,Surface,4,,Image 1,1,117,
Intensity Max,16,,Surface,5,,Image 1,1,117,
Intensity Max,8,,Surface,6,,Image 1,1,117,
Intensity Max,38,,Surface,1,,Image 1,1,118,
Intensity Max,29,,Surface,2,,Image 1,1,118,
Intensity Max,10,,Surface,3,,Image 1,1,118,
Intensity Max,108,,Surface,4,,Image 1,1,118,
Intensity Max,38,,Surface,5,,Image 1,1,118,
Intensity Max,29,,Surface,6,,Image 1,1,118,
Intensity Max,17,,Surface,1,,Image 1,1,119,
Intensity Max,22,,Surface,2,,Image 1,1,119,
Intensity Max,8,,Surface,3,,Image 1,1,119,
Intensity Max,84,,Surface,4,,Image 1,1,119,
Intensity Max,17,,Surface,5,,Image 1,1,119,
Intensity Max,22,,Surface,6,,Image 1,1,119,
Intensity Max,20,,Surface,1,,Image 1,1,121,
Intensity Max,17,,Surface,2,,Image 1,1,121,
Intensity Max,6,,Surface,3,,Image 1,1,121,
Intensity Max,70,,Surface,4,,Image 1,1,121,
Intensity Max,20,,Surface,5,,Image 1,1,121,
Intensity Max,17,,Surface,6,,Image 1,1,121,
Intensity Max,10,,Surface,1,,Image 1,1,122,
Intensity Max,11,,Surface,2,,Image 1,1,122,
Intensity Max,5,,Surface,3,,Image 1,1,122,
Intensity Max,47,,Surface,4,,Image 1,1,122,
Intensity Max,10,,Surface,5,,Image 1,1,122,
Intensity Max,11,,Surface,6,,Image 1,1,122,
Intensity Max,44,,Surface,1,,Image 1,1,123,
Intensity Max,20,,Surface,2,,Image 1,1,123,
Intensity Max,86,,Surface,3,,Image 1,1,123,
Intensity Max,128,,Surface,4,,Image 1,1,123,
Intensity Max,44,,Surface,5,,Image 1,1,123,
Intensity Max,20,,Surface,6,,Image 1,1,123,
Intensity Max,21,,Surface,1,,Image 1,1,124,
Intensity Max,3,,Surface,2,,Image 1,1,124,
Intensity Max,6,,Surface,3,,Image 1,1,124,
Intensity Max,94,,Surface,4,,Image 1,1,124,
Intensity Max,21,,Surface,5,,Image 1,1,124,
Intensity Max,3,,Surface,6,,Image 1,1,124,
Intensity Max,16,,Surface,1,,Image 1,1,128,
Intensity Max,6,,Surface,2,,Image 1,1,128,
Intensity Max,6,,Surface,3,,Image 1,1,128,
Intensity Max,86,,Surface,4,,Image 1,1,128,
Intensity Max,16,,Surface,5,,Image 1,1,128,
Intensity Max,6,,Surface,6,,Image 1,1,128,
Intensity Max,18,,Surface,1,,Image 1,1,135,
Intensity Max,4,,Surface,2,,Image 1,1,135,
Intensity Max,14,,Surface,3,,Image 1,1,135,
Intensity Max,65,,Surface,4,,Image 1,1,135,
Intensity Max,18,,Surface,5,,Image 1,1,135,
Intensity Max,4,,Surface,6,,Image 1,1,135,
Intensity Max,49,,Surface,1,,Image 1,1,139,
Intensity Max,5,,Surface,2,,Image 1,1,139,
Intensity Max,10,,Surface,3,,Image 1,1,139,
Intensity Max,113,,Surface,4,,Image 1,1,139,
Intensity Max,49,,Surface,5,,Image 1,1,139,
Intensity Max,5,,Surface,6,,Image 1,1,139,
Intensity Max,48,,Surface,1,,Image 1,1,140,
Intensity Max,10,,Surface,2,,Image 1,1,140,
Intensity Max,54,,Surface,3,,Image 1,1,140,
Intensity Max,119,,Surface,4,,Image 1,1,140,
Intensity Max,48,,Surface,5,,Image 1,1,140,
Intensity Max,10,,Surface,6,,Image 1,1,140,
Intensity Max,50,,Surface,1,,Image 1,1,141,
Intensity Max,12,,Surface,2,,Image 1,1,141,
Intensity Max,16,,Surface,3,,Image 1,1,141,
Intensity Max,159,,Surface,4,,Image 1,1,141,
Intensity Max,50,,Surface,5,,Image 1,1,141,
Intensity Max,12,,Surface,6,,Image 1,1,141,
Intensity Max,35,,Surface,1,,Image 1,1,142,
Intensity Max,7,,Surface,2,,Image 1,1,142,
Intensity Max,54,,Surface,3,,Image 1,1,142,
Intensity Max,95,,Surface,4,,Image 1,1,142,
Intensity Max,35,,Surface,5,,Image 1,1,142,
Intensity Max,7,,Surface,6,,Image 1,1,142,
Intensity Max,51,,Surface,1,,Image 1,1,143,
Intensity Max,130,,Surface,2,,Image 1,1,143,
Intensity Max,45,,Surface,3,,Image 1,1,143,
Intensity Max,172,,Surface,4,,Image 1,1,143,
Intensity Max,51,,Surface,5,,Image 1,1,143,
Intensity Max,130,,Surface,6,,Image 1,1,143,
Intensity Max,50,,Surface,1,,Image 1,1,144,
Intensity Max,10,,Surface,2,,Image 1,1,144,
Intensity Max,66,,Surface,3,,Image 1,1,144,
Intensity Max,145,,Surface,4,,Image 1,1,144,
Intensity Max,50,,Surface,5,,Image 1,1,144,
Intensity Max,10,,Surface,6,,Image 1,1,144,
Intensity Max,52,,Surface,1,,Image 1,1,146,
Intensity Max,33,,Surface,2,,Image 1,1,146,
Intensity Max,43,,Surface,3,,Image 1,1,146,
Intensity Max,184,,Surface,4,,Image 1,1,146,
Intensity Max,52,,Surface,5,,Image 1,1,146,
Intensity Max,33,,Surface,6,,Image 1,1,146,
Intensity Max,29,,Surface,1,,Image 1,1,147,
Intensity Max,7,,Surface,2,,Image 1,1,147,
Intensity Max,13,,Surface,3,,Image 1,1,147,
Intensity Max,90,,Surface,4,,Image 1,1,147,
Intensity Max,29,,Surface,5,,Image 1,1,147,
Intensity Max,7,,Surface,6,,Image 1,1,147,
Intensity Max,26,,Surface,1,,Image 1,1,154,
Intensity Max,11,,Surface,2,,Image 1,1,154,
Intensity Max,5,,Surface,3,,Image 1,1,154,
Intensity Max,91,,Surface,4,,Image 1,1,154,
