
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,0.00269504,um^2,Surface,,,,1,0,
Area,1.00915,um^2,Surface,,,,1,1,
Area,0.408839,um^2,Surface,,,,1,2,
Area,0.0956923,um^2,Surface,,,,1,3,
Area,3.48725,um^2,Surface,,,,1,4,
Area,5.03383,um^2,Surface,,,,1,5,
Area,4.60533,um^2,Surface,,,,1,6,
Area,1.43961,um^2,Surface,,,,1,7,
Area,2.65869,um^2,Surface,,,,1,8,
Area,0.0506368,um^2,Surface,,,,1,9,
Area,0.0506368,um^2,Surface,,,,1,10,
Area,0.0179117,um^2,Surface,,,,1,11,
Area,0.0906737,um^2,Surface,,,,1,12,
Area,0.0506368,um^2,Surface,,,,1,13,
Area,11.6768,um^2,Surface,,,,1,14,
Area,4.28399,um^2,Surface,,,,1,15,
Area,2.1339,um^2,Surface,,,,1,16,
Area,0.0545761,um^2,Surface,,,,1,17,
Area,0.136093,um^2,Surface,,,,1,18,
Area,1.7139,um^2,Surface,,,,1,19,
Area,0.0545752,um^2,Surface,,,,1,20,
Area,12.9719,um^2,Surface,,,,1,21,
Area,12.8904,um^2,Surface,,,,1,22,
Area,0.0531925,um^2,Surface,,,,1,23,
Area,0.867839,um^2,Surface,,,,1,24,
Area,6.34624,um^2,Surface,,,,1,25,
Contact surface area,0.03,um,Surface,,,,,0,
Contact surface area,7.3775,um,Surface,,,,,1,
Contact surface area,0.0325,um,Surface,,,,,2,
Contact surface area,0.4875,um,Surface,,,,,3,
Contact surface area,3.585,um,Surface,,,,,4,
Contact surface area,1.23,um,Surface,,,,,5,
Contact surface area,0.03,um,Surface,,,,,6,
Contact surface area,0.0725,um,Surface,,,,,7,
Contact surface area,0.8725,um,Surface,,,,,8,
Contact surface area,7.5825,um,Surface,,,,,9,
Contact surface area,0.0225,um,Surface,,,,,10,
Contact surface area,0.025,um,Surface,,,,,11,
Contact surface area,0.025,um,Surface,,,,,12,
Contact surface area,0.045,um,Surface,,,,,13,
Contact surface area,0.025,um,Surface,,,,,14,
Contact surface area,6.75,um,Surface,,,,,15,
Contact surface area,2.45,um,Surface,,,,,16,
Contact surface area,1.545,um,Surface,,,,,17,
Contact surface area,2.59,um,Surface,,,,,18,
Contact surface area,0.815,um,Surface,,,,,19,
Contact surface area,0.0475,um,Surface,,,,,20,
Contact surface area,2.0025,um,Surface,,,,,21,
Contact surface area,2.925,um,Surface,,,,,22,
Contact surface area,0.225,um,Surface,,,,,23,
Contact surface area,0.58,um,Surface,,,,,24,
Contact surface area,0.005,um,Surface,,,,,25,
Distance from Origin,192.662,um,Surface,,Distance from Origin,,1,0,
Distance from Origin,188.4,um,Surface,,Distance from Origin,,1,1,
Distance from Origin,192.657,um,Surface,,Distance from Origin,,1,2,
Distance from Origin,180.27,um,Surface,,Distance from Origin,,1,3,
Distance from Origin,183.542,um,Surface,,Distance from Origin,,1,4,
Distance from Origin,180.476,um,Surface,,Distance from Origin,,1,5,
Distance from Origin,177.867,um,Surface,,Distance from Origin,,1,6,
Distance from Origin,179.471,um,Surface,,Distance from Origin,,1,7,
Distance from Origin,159.834,um,Surface,,Distance from Origin,,1,8,
Distance from Origin,175.68,um,Surface,,Distance from Origin,,1,9,
Distance from Origin,175.213,um,Surface,,Distance from Origin,,1,10,
Distance from Origin,158.032,um,Surface,,Distance from Origin,,1,11,
Distance from Origin,174.916,um,Surface,,Distance from Origin,,1,12,
Distance from Origin,175.568,um,Surface,,Distance from Origin,,1,13,
Distance from Origin,175.497,um,Surface,,Distance from Origin,,1,14,
Distance from Origin,173.082,um,Surface,,Distance from Origin,,1,15,
Distance from Origin,172.061,um,Surface,,Distance from Origin,,1,16,
Distance from Origin,161.162,um,Surface,,Distance from Origin,,1,17,
