Detailed,,,,,,,,
 ==================== ,,,,,,,,
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID
Area,2.13895,um^2,Surface,,,,1,0
Area,0.0506374,um^2,Surface,,,,1,1
Area,1.04589,um^2,Surface,,,,1,2
Area,0.17432,um^2,Surface,,,,1,3
Area,0.243291,um^2,Surface,,,,1,4
Area,5.70472,um^2,Surface,,,,1,5
Area,6.67568,um^2,Surface,,,,1,6
Area,0.102395,um^2,Surface,,,,1,7
Area,1.32223,um^2,Surface,,,,1,8
Area,0.196065,um^2,Surface,,,,1,9
Area,19.4428,um^2,Surface,,,,1,10
Area,2.51631,um^2,Surface,,,,1,11
Area,0.0330921,um^2,Surface,,,,1,12
Area,0.0330921,um^2,Surface,,,,1,13
Area,0.0330946,um^2,Surface,,,,1,14
Area,0.101994,um^2,Surface,,,,1,15
Area,3.61125,um^2,Surface,,,,1,16
Area,1.70458,um^2,Surface,,,,1,17
Area,2.98299,um^2,Surface,,,,1,18
Area,1.51478,um^2,Surface,,,,1,19
Area,4.08503,um^2,Surface,,,,1,20
Area,0.0973896,um^2,Surface,,,,1,21
Area,5.51808,um^2,Surface,,,,1,22
Area,0.0330921,um^2,Surface,,,,1,23
Area,5.38992,um^2,Surface,,,,1,24
Area,1.2695,um^2,Surface,,,,1,25
Area,7.70145,um^2,Surface,,,,1,26
Area,1.15854,um^2,Surface,,,,1,27
Area,0.0706535,um^2,Surface,,,,1,28
Area,0.0330919,um^2,Surface,,,,1,29
Area,0.0985929,um^2,Surface,,,,1,30
Area,0.0706569,um^2,Surface,,,,1,31
Area,1.70216,um^2,Surface,,,,1,32
Area,9.66075,um^2,Surface,,,,1,33
Area,8.14089,um^2,Surface,,,,1,34
Area,1.96668,um^2,Surface,,,,1,35
Area,0.0330944,um^2,Surface,,,,1,36
Area,1.08746,um^2,Surface,,,,1,37
Area,48.2582,um^2,Surface,,,,1,38
Area,3.1861,um^2,Surface,,,,1,39
Area,14.2102,um^2,Surface,,,,1,40
Area,18.5086,um^2,Surface,,,,1,41
Contact surface area,0.54,um,Surface,,,,,0
Contact surface area,10.47,um,Surface,,,,,1
Contact surface area,0.015,um,Surface,,,,,2
Contact surface area,4.74,um,Surface,,,,,3
Contact surface area,1.77,um,Surface,,,,,4
Contact surface area,0.93,um,Surface,,,,,5
Contact surface area,0.035,um,Surface,,,,,6
Contact surface area,0.015,um,Surface,,,,,7
Contact surface area,0.05,um,Surface,,,,,8
Contact surface area,0.035,um,Surface,,,,,9
Contact surface area,27.5625,um,Surface,,,,,10
Contact surface area,0.0525,um,Surface,,,,,11
Contact surface area,0.665,um,Surface,,,,,12
Contact surface area,1.1,um,Surface,,,,,13
Contact surface area,8.0425,um,Surface,,,,,14
Contact surface area,0.015,um,Surface,,,,,15
Contact surface area,0.015,um,Surface,,,,,16
Contact surface area,0.015,um,Surface,,,,,17
Contact surface area,0.045,um,Surface,,,,,18
Contact surface area,2.0675,um,Surface,,,,,19
Contact surface area,3.1475,um,Surface,,,,,20
Contact surface area,0.695,um,Surface,,,,,21
Contact surface area,4.3125,um,Surface,,,,,22
Contact surface area,3.2225,um,Surface,,,,,23
Contact surface area,0.015,um,Surface,,,,,24
Contact surface area,5.4025,um,Surface,,,,,25
Contact surface area,0.12,um,Surface,,,,,26
Contact surface area,2.255,um,Surface,,,,,27
Contact surface area,0.05,um,Surface,,,,,28
Contact surface area,0.7375,um,Surface,,,,,29
Contact surface area,0.105,um,Surface,,,,,30
Contact surface area,11.2125,um,Surface,,,,,31
Contact surface area,1.4325,um,Surface,,,,,32
Contact surface area,0.9575,um,Surface,,,,,33
Contact surface area,1.665,um,Surface,,,,,34
Contact surface area,0.88,um,Surface,,,,,35
Contact surface area,0.025,um,Surface,,,,,36
Contact surface area,0.0875,um,Surface,,,,,37
Contact surface area,3.2125,um,Surface,,,,,38
Contact surface area,3.8625,um,Surface,,,,,39
Contact surface area,1.2075,um,Surface,,,,,40
Contact surface area,0.595,um,Surface,,,,,41
Distance from Origin,168.49,um,Surface,,Distance from Origin,,1,0
Distance from Origin,169.331,um,Surface,,Distance from Origin,,1,1
Distance from Origin,173.7,um,Surface,,Distance from Origin,,1,2
Distance from Origin,168.887,um,Surface,,Distance from Origin,,1,3
Distance from Origin,168.855,um,Surface,,Distance from Origin,,1,4
Distance from Origin,169.247,um,Surface,,Distance from Origin,,1,5
Distance from Origin,168.851,um,Surface,,Distance from Origin,,1,6
Distance from Origin,165.727,um,Surface,,Distance from Origin,,1,7
Distance from Origin,163.432,um,Surface,,Distance from Origin,,1,8
Distance from Origin,164.623,um,Surface,,Distance from Origin,,1,9
Distance from Origin,166.446,um,Surface,,Distance from Origin,,1,10
Distance from Origin,164.211,um,Surface,,Distance from Origin,,1,11
Distance from Origin,163.548,um,Surface,,Distance from Origin,,1,12
Distance from Origin,163.499,um,Surface,,Distance from Origin,,1,13
Distance from Origin,163.295,um,Surface,,Distance from Origin,,1,14
Distance from Origin,163.194,um,Surface,,Distance from Origin,,1,15
Distance from Origin,164.141,um,Surface,,Distance from Origin,,1,16
Distance from Origin,164.913,um,Surface,,Distance from Origin,,1,17
Distance from Origin,164.536,um,Surface,,Distance from Origin,,1,18
Distance from Origin,164.273,um,Surface,,Distance from Origin,,1,19
Distance from Origin,164.511,um,Surface,,Distance from Origin,,1,20
Distance from Origin,165.859,um,Surface,,Distance from Origin,,1,21
Distance from Origin,174.665,um,Surface,,Distance from Origin,,1,22
Distance from Origin,169.953,um,Surface,,Distance from Origin,,1,23
Distance from Origin,164.846,um,Surface,,Distance from Origin,,1,24
Distance from Origin,163.572,um,Surface,,Distance from Origin,,1,25
Distance from Origin,163.576,um,Surface,,Distance from Origin,,1,26
Distance from Origin,166.093,um,Surface,,Distance from Origin,,1,27
Distance from Origin,164.231,um,Surface,,Distance from Origin,,1,28
Distance from Origin,164.174,um,Surface,,Distance from Origin,,1,29
Distance from Origin,164.055,um,Surface,,Distance from Origin,,1,30
Distance from Origin,163.868,um,Surface,,Distance from Origin,,1,31
Distance from Origin,162.649,um,Surface,,Distance from Origin,,1,32
Distance from Origin,169.121,um,Surface,,Distance from Origin,,1,33
Distance from Origin,165.553,um,Surface,,Distance from Origin,,1,34
Distance from Origin,166.689,um,Surface,,Distance from Origin,,1,35
Distance from Origin,165.492,um,Surface,,Distance from Origin,,1,36
