
Detailed
 ==================== 
Variable,Value,Unit,Category,Collection,Depth,Distance,Level,Radius,Time,Type,FilamentID,ID,
Dendrite Area,29.8446,um^2,Dendrite,,1,,2,,1,,100000000,510000000002,
Dendrite Area,2.24424,um^2,Dendrite,,2,,3,,1,,100000000,510000000073,
Dendrite Area,24.6652,um^2,Dendrite,,1,,1,,1,,100000000,510000000078,
Dendrite Area,8.29756,um^2,Dendrite,,2,,1,,1,,100000000,510000000142,
Dendrite Area,1.23805,um^2,Dendrite,,3,,1,,1,,100000000,510000000162,
Dendrite Area,7.91526,um^2,Dendrite,,4,,1,,1,,100000000,510000000164,
Dendrite Area,15.407,um^2,Dendrite,,5,,1,,1,,100000000,510000000175,
Dendrite Area,8.48673,um^2,Dendrite,,6,,2,,1,,100000000,510000000198,
Dendrite Area,4.66566,um^2,Dendrite,,7,,2,,1,,100000000,510000000211,
Dendrite Area,2.30224,um^2,Dendrite,,8,,2,,1,,100000000,510000000217,
Dendrite Area,19.4478,um^2,Dendrite,,10,,2,,1,,100000000,510000000221,
Dendrite Area,9.3697,um^2,Dendrite,,11,,3,,1,,100000000,510000000257,
Dendrite Area,12.1756,um^2,Dendrite,,12,,3,,1,,100000000,510000000281,
Dendrite Area,18.5483,um^2,Dendrite,,2,,2,,1,,100000000,510000000310,
Dendrite Area,16.0819,um^2,Dendrite,,2,,2,,1,,100000000,510000000349,
Dendrite Area,2.91,um^2,Dendrite,,9,,3,,1,,100000000,510000000390,
Dendrite Area,14.4682,um^2,Dendrite,,10,,3,,1,,100000000,510000000394,
Dendrite Area,6.88102,um^2,Dendrite,,11,,4,,1,,100000000,510000000409,
Dendrite Area,2.22267,um^2,Dendrite,,12,,4,,1,,100000000,510000000418,
Dendrite Area,19.5986,um^2,Dendrite,,13,,5,,1,,100000000,510000000421,
Dendrite Area,19.1438,um^2,Dendrite,,12,,4,,1,,100000000,510000000476,
Dendrite Area,10.8326,um^2,Dendrite,,13,,4,,1,,100000000,510000000525,
Dendrite Area,12.1889,um^2,Dendrite,,14,,4,,1,,100000000,510000000547,
Dendrite Area,10.5632,um^2,Dendrite,,15,,5,,1,,100000000,510000000577,
Dendrite Area,26.4363,um^2,Dendrite,,16,,5,,1,,100000000,510000000604,
Dendrite Area,7.35289,um^2,Dendrite,,16,,6,,1,,100000000,510000000666,
Dendrite Area,23.7715,um^2,Dendrite,,15,,4,,1,,100000000,510000000684,
Dendrite Area,3.24488,um^2,Dendrite,,11,,3,,1,,100000000,510000000738,
Dendrite Area,24.8173,um^2,Dendrite,,12,,3,,1,,100000000,510000000742,
Dendrite Area,14.5676,um^2,Dendrite,,13,,4,,1,,100000000,510000000779,
Dendrite Area,2.78354,um^2,Dendrite,,14,,4,,1,,100000000,510000000806,
Dendrite Area,14.7202,um^2,Dendrite,,15,,5,,1,,100000000,510000000812,
Dendrite Area,21.8875,um^2,Dendrite,,14,,5,,1,,100000000,510000000849,
Dendrite Area,3.1044,um^2,Dendrite,,13,,3,,1,,100000000,510000000903,
Dendrite Area,28.4076,um^2,Dendrite,,14,,3,,1,,100000000,510000000906,
Dendrite Area,11.4323,um^2,Dendrite,,15,,4,,1,,100000000,510000000966,
Dendrite Area,12.9578,um^2,Dendrite,,14,,5,,1,,100000000,510000001014,
Dendrite Area,9.92494,um^2,Dendrite,,11,,2,,1,,100000000,510000001046,
Dendrite Area,10.6743,um^2,Dendrite,,14,,4,,1,,100000000,510000001073,
Dendrite Area,22.2965,um^2,Dendrite,,5,,2,,1,,100000000,510000001096,
Dendrite Area,32.7749,um^2,Dendrite,,6,,2,,1,,100000000,510000001140,
Dendrite Area,5.92708,um^2,Dendrite,,6,,3,,1,,100000000,510000001202,
Dendrite Area,13.1814,um^2,Dendrite,,10,,4,,1,,100000000,510000001217,
Dendrite Area,19.3115,um^2,Dendrite,,10,,3,,1,,100000000,510000001249,
Dendrite Area,13.6976,um^2,Dendrite,,8,,3,,1,,100000000,510000001289,
Dendrite Area,8.22906,um^2,Dendrite,,12,,5,,1,,100000000,510000001316,
Dendrite Area,6.39469,um^2,Dendrite,,3,,2,,1,,100000000,510000001334,
Dendrite Area,9.22976,um^2,Dendrite,,12,,4,,1,,100000000,510000001349,
Dendrite Area,14.6057,um^2,Dendrite,,7,,3,,1,,100000000,510000001382,
Dendrite Area,2.97201,um^2,Dendrite,,6,,1,,1,,100000000,510000001415,
Dendrite Area,23.1283,um^2,Dendrite,,7,,1,,1,,100000000,510000001418,
Dendrite Area,16.7673,um^2,Dendrite,,3,,2,,1,,100000000,510000001486,
Dendrite Area,6.86685,um^2,Dendrite,,7,,2,,1,,100000000,510000001548,
Dendrite Area,5.44259,um^2,Dendrite,,4,,2,,1,,100000000,510000001562,
Dendrite Area,8.48024,um^2,Dendrite,,2,,2,,1,,100000000,510000001575,
Dendrite Area,0.667106,um^2,Dendrite,,0,,1,,1,,100000000,510000001647,
Dendrite Area,0.729283,um^2,Dendrite,,9,,2,,1,,100000000,510000001648,
Dendrite Area,0.531778,um^2,Dendrite,,3,,3,,1,,100000000,510000001649,
Dendrite Branch Depth,1,,Dendrite,,1,,2,,1,,100000000,510000000002,
Dendrite Branch Depth,2,,Dendrite,,2,,3,,1,,100000000,510000000073,
Dendrite Branch Depth,1,,Dendrite,,1,,1,,1,,100000000,510000000078,
Dendrite Branch Depth,2,,Dendrite,,2,,1,,1,,100000000,510000000142,
Dendrite Branch Depth,3,,Dendrite,,3,,1,,1,,100000000,510000000162,
Dendrite Branch Depth,4,,Dendrite,,4,,1,,1,,100000000,510000000164,
Dendrite Branch Depth,5,,Dendrite,,5,,1,,1,,100000000,510000000175,
Dendrite Branch Depth,6,,Dendrite,,6,,2,,1,,100000000,510000000198,
Dendrite Branch Depth,7,,Dendrite,,7,,2,,1,,100000000,510000000211,
Dendrite Branch Depth,8,,Dendrite,,8,,2,,1,,100000000,510000000217,
Dendrite Branch Depth,10,,Dendrite,,10,,2,,1,,100000000,510000000221,
Dendrite Branch Depth,11,,Dendrite,,11,,3,,1,,100000000,510000000257,
Dendrite Branch Depth,12,,Dendrite,,12,,3,,1,,100000000,510000000281,
Dendrite Branch Depth,2,,Dendrite,,2,,2,,1,,100000000,510000000310,
Dendrite Branch Depth,2,,Dendrite,,2,,2,,1,,100000000,510000000349,
Dendrite Branch Depth,9,,Dendrite,,9,,3,,1,,100000000,510000000390,
Dendrite Branch Depth,10,,Dendrite,,10,,3,,1,,100000000,510000000394,
Dendrite Branch Depth,11,,Dendrite,,11,,4,,1,,100000000,510000000409,
Dendrite Branch Depth,12,,Dendrite,,12,,4,,1,,100000000,510000000418,
Dendrite Branch Depth,13,,Dendrite,,13,,5,,1,,100000000,510000000421,
Dendrite Branch Depth,12,,Dendrite,,12,,4,,1,,100000000,510000000476,
