
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,0.650342,um^2,Surface,,,,1,108,
Area,1.38123,um^2,Surface,,,,1,109,
Area,3.42588,um^2,Surface,,,,1,110,
Area,5.80221,um^2,Surface,,,,1,111,
Area,5.80812,um^2,Surface,,,,1,112,
Area,1.82824,um^2,Surface,,,,1,113,
Area,1.32498,um^2,Surface,,,,1,114,
Area,1.47966,um^2,Surface,,,,1,115,
Area,1.12678,um^2,Surface,,,,1,116,
Area,1.57462,um^2,Surface,,,,1,117,
Area,0.639189,um^2,Surface,,,,1,118,
Area,1.2787,um^2,Surface,,,,1,119,
Area,3.89678,um^2,Surface,,,,1,120,
Area,3.39949,um^2,Surface,,,,1,121,
Area,1.40555,um^2,Surface,,,,1,122,
Area,2.99109,um^2,Surface,,,,1,123,
Area,0.5833,um^2,Surface,,,,1,124,
Area,3.43157,um^2,Surface,,,,1,125,
Area,1.06106,um^2,Surface,,,,1,126,
Area,0.474308,um^2,Surface,,,,1,127,
Area,5.97844,um^2,Surface,,,,1,128,
Area,2.15235,um^2,Surface,,,,1,129,
Area,1.30181,um^2,Surface,,,,1,130,
Area,4.56088,um^2,Surface,,,,1,131,
Area,1.59344,um^2,Surface,,,,1,132,
Area,6.05336,um^2,Surface,,,,1,133,
Area,1.2506,um^2,Surface,,,,1,134,
Area,2.04428,um^2,Surface,,,,1,135,
Area,8.09733,um^2,Surface,,,,1,136,
Area,26.9579,um^2,Surface,,,,1,137,
Area,1.33317,um^2,Surface,,,,1,138,
Area,0.751434,um^2,Surface,,,,1,139,
Area,6.38339,um^2,Surface,,,,1,140,
Area,6.49921,um^2,Surface,,,,1,141,
Area,0.631318,um^2,Surface,,,,1,142,
Area,22.0434,um^2,Surface,,,,1,143,
Area,6.43238,um^2,Surface,,,,1,144,
Area,14.5592,um^2,Surface,,,,1,145,
Area,4.46989,um^2,Surface,,,,1,146,
Area,17.4329,um^2,Surface,,,,1,147,
Area,6.35849,um^2,Surface,,,,1,148,
Area,8.42056,um^2,Surface,,,,1,149,
Area,4.05362,um^2,Surface,,,,1,150,
Area,0.942593,um^2,Surface,,,,1,151,
Area,3.55904,um^2,Surface,,,,1,152,
Area,5.39309,um^2,Surface,,,,1,153,
Area,6.97257,um^2,Surface,,,,1,154,
Area,18.8326,um^2,Surface,,,,1,155,
Area,3.10392,um^2,Surface,,,,1,156,
Area,8.92218,um^2,Surface,,,,1,157,
Area,8.80285,um^2,Surface,,,,1,158,
Area,9.33464,um^2,Surface,,,,1,159,
Area,9.24268,um^2,Surface,,,,1,160,
Area,2.39683,um^2,Surface,,,,1,161,
Area,5.33172,um^2,Surface,,,,1,162,
Area,3.06419,um^2,Surface,,,,1,163,
Area,4.77554,um^2,Surface,,,,1,164,
Area,3.33693,um^2,Surface,,,,1,165,
Area,9.17411,um^2,Surface,,,,1,166,
Area,7.94589,um^2,Surface,,,,1,167,
Area,29.7017,um^2,Surface,,,,1,168,
Area,1.29687,um^2,Surface,,,,1,169,
Area,12.3839,um^2,Surface,,,,1,170,
Area,1.27029,um^2,Surface,,,,1,171,
Area,5.99115,um^2,Surface,,,,1,172,
Area,6.47537,um^2,Surface,,,,1,173,
Area,1.1072,um^2,Surface,,,,1,174,
Area,2.83859,um^2,Surface,,,,1,175,
Area,9.44808,um^2,Surface,,,,1,176,
Area,5.31693,um^2,Surface,,,,1,177,
Area,3.10345,um^2,Surface,,,,1,178,
Area,0.940407,um^2,Surface,,,,1,179,
Area,0.466913,um^2,Surface,,,,1,180,
Area,1.74889,um^2,Surface,,,,1,181,
Area,8.35971,um^2,Surface,,,,1,182,
Area,3.18178,um^2,Surface,,,,1,183,
Area,5.74781,um^2,Surface,,,,1,184,
Area,0.732453,um^2,Surface,,,,1,185,
Area,0.600489,um^2,Surface,,,,1,186,
Area,2.08587,um^2,Surface,,,,1,187,
Area,3.50421,um^2,Surface,,,,1,188,
Area,12.106,um^2,Surface,,,,1,189,
Area,3.33696,um^2,Surface,,,,1,190,
Area,0.965022,um^2,Surface,,,,1,191,
Area,6.03759,um^2,Surface,,,,1,192,
Area,4.87044,um^2,Surface,,,,1,193,
Area,9.64673,um^2,Surface,,,,1,194,
Area,6.56946,um^2,Surface,,,,1,195,
Area,5.40581,um^2,Surface,,,,1,196,
Area,1.21832,um^2,Surface,,,,1,197,
Area,17.2435,um^2,Surface,,,,1,198,
Area,7.16202,um^2,Surface,,,,1,199,
Area,1.73922,um^2,Surface,,,,1,200,
Area,9.12327,um^2,Surface,,,,1,201,
Area,46.301,um^2,Surface,,,,1,202,
Distance from Origin,114.784,um,Surface,,Distance from Origin,,1,108,
Distance from Origin,109.647,um,Surface,,Distance from Origin,,1,109,
Distance from Origin,107.533,um,Surface,,Distance from Origin,,1,110,
Distance from Origin,107.517,um,Surface,,Distance from Origin,,1,111,
Distance from Origin,117.426,um,Surface,,Distance from Origin,,1,112,
Distance from Origin,115.976,um,Surface,,Distance from Origin,,1,113,
Distance from Origin,105.444,um,Surface,,Distance from Origin,,1,114,
Distance from Origin,106.649,um,Surface,,Distance from Origin,,1,115,
Distance from Origin,124.497,um,Surface,,Distance from Origin,,1,116,
Distance from Origin,82.1206,um,Surface,,Distance from Origin,,1,117,
Distance from Origin,88.2339,um,Surface,,Distance from Origin,,1,118,
Distance from Origin,84.6967,um,Surface,,Distance from Origin,,1,119,
Distance from Origin,80.7972,um,Surface,,Distance from Origin,,1,120,
Distance from Origin,83.2017,um,Surface,,Distance from Origin,,1,121,
Distance from Origin,78.2973,um,Surface,,Distance from Origin,,1,122,
Distance from Origin,97.7317,um,Surface,,Distance from Origin,,1,123,
Distance from Origin,84.9772,um,Surface,,Distance from Origin,,1,124,
Distance from Origin,84.7739,um,Surface,,Distance from Origin,,1,125,
Distance from Origin,88.9642,um,Surface,,Distance from Origin,,1,126,
