
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,7.41596,um^2,Surface,,,,1,477,
Area,20.937,um^2,Surface,,,,1,488,
Area,21.7975,um^2,Surface,,,,1,491,
Area,18.4649,um^2,Surface,,,,1,506,
Area,11.4315,um^2,Surface,,,,1,507,
Area,22.8129,um^2,Surface,,,,1,509,
Area,133.685,um^2,Surface,,,,1,510,
Area,51.0405,um^2,Surface,,,,1,511,
Area,90.7325,um^2,Surface,,,,1,512,
Area,22.6148,um^2,Surface,,,,1,514,
Area,8.62556,um^2,Surface,,,,1,515,
Area,93.5585,um^2,Surface,,,,1,516,
Area,8.8368,um^2,Surface,,,,1,517,
Area,10.9449,um^2,Surface,,,,1,518,
Area,39.811,um^2,Surface,,,,1,520,
Area,95.1089,um^2,Surface,,,,1,525,
Area,28.2885,um^2,Surface,,,,1,526,
Area,24.4175,um^2,Surface,,,,1,527,
Area,18.4433,um^2,Surface,,,,1,537,
Area,17.4199,um^2,Surface,,,,1,547,
Area,12.2309,um^2,Surface,,,,1,566,
Area,2697.65,um^2,Surface,,,,1,587,
Area,0.337776,um^2,Surface,,,,1,590,
Area,0.148461,um^2,Surface,,,,1,591,
Area,0.0354896,um^2,Surface,,,,1,593,
Area,0.316052,um^2,Surface,,,,1,599,
Area,0.000175841,um^2,Surface,,,,1,600,
Area,0.391857,um^2,Surface,,,,1,601,
Area,0.960972,um^2,Surface,,,,1,604,
Area,0.97406,um^2,Surface,,,,1,605,
Area,0.159362,um^2,Surface,,,,1,606,
Area,0.218325,um^2,Surface,,,,1,608,
Distance from Origin,112.863,um,Surface,,Distance from Origin,,1,477,
Distance from Origin,72.8529,um,Surface,,Distance from Origin,,1,488,
Distance from Origin,85.2184,um,Surface,,Distance from Origin,,1,491,
Distance from Origin,107.402,um,Surface,,Distance from Origin,,1,506,
Distance from Origin,126.714,um,Surface,,Distance from Origin,,1,507,
Distance from Origin,91.1791,um,Surface,,Distance from Origin,,1,509,
Distance from Origin,85.0383,um,Surface,,Distance from Origin,,1,510,
Distance from Origin,115.248,um,Surface,,Distance from Origin,,1,511,
Distance from Origin,118.417,um,Surface,,Distance from Origin,,1,512,
Distance from Origin,100.305,um,Surface,,Distance from Origin,,1,514,
Distance from Origin,101.969,um,Surface,,Distance from Origin,,1,515,
Distance from Origin,106.434,um,Surface,,Distance from Origin,,1,516,
Distance from Origin,107.856,um,Surface,,Distance from Origin,,1,517,
Distance from Origin,109.482,um,Surface,,Distance from Origin,,1,518,
Distance from Origin,110.799,um,Surface,,Distance from Origin,,1,520,
Distance from Origin,92.9003,um,Surface,,Distance from Origin,,1,525,
Distance from Origin,96.1089,um,Surface,,Distance from Origin,,1,526,
Distance from Origin,100.25,um,Surface,,Distance from Origin,,1,527,
Distance from Origin,73.2322,um,Surface,,Distance from Origin,,1,537,
Distance from Origin,125.074,um,Surface,,Distance from Origin,,1,547,
Distance from Origin,72.0635,um,Surface,,Distance from Origin,,1,566,
Distance from Origin,101.926,um,Surface,,Distance from Origin,,1,587,
Distance from Origin,70.2962,um,Surface,,Distance from Origin,,1,590,
Distance from Origin,70.3185,um,Surface,,Distance from Origin,,1,591,
Distance from Origin,75.562,um,Surface,,Distance from Origin,,1,593,
Distance from Origin,66.9611,um,Surface,,Distance from Origin,,1,599,
Distance from Origin,66.9899,um,Surface,,Distance from Origin,,1,600,
Distance from Origin,67.1536,um,Surface,,Distance from Origin,,1,601,
Distance from Origin,75.0469,um,Surface,,Distance from Origin,,1,604,
Distance from Origin,74.7911,um,Surface,,Distance from Origin,,1,605,
Distance from Origin,69.8932,um,Surface,,Distance from Origin,,1,606,
Distance from Origin,64.0474,um,Surface,,Distance from Origin,,1,608,
Distance to Image Border XY,38.9986,um,Surface,,,Image 1,1,477,
Distance to Image Border XY,21.685,um,Surface,,,Image 1,1,488,
Distance to Image Border XY,21.9684,um,Surface,,,Image 1,1,491,
Distance to Image Border XY,5.43838,um,Surface,,,Image 1,1,506,
Distance to Image Border XY,22.3989,um,Surface,,,Image 1,1,507,
Distance to Image Border XY,23.2818,um,Surface,,,Image 1,1,509,
Distance to Image Border XY,13.7768,um,Surface,,,Image 1,1,510,
Distance to Image Border XY,35.7493,um,Surface,,,Image 1,1,511,
Distance to Image Border XY,29.7361,um,Surface,,,Image 1,1,512,
Distance to Image Border XY,30.1637,um,Surface,,,Image 1,1,514,
Distance to Image Border XY,33.2995,um,Surface,,,Image 1,1,515,
Distance to Image Border XY,34.05,um,Surface,,,Image 1,1,516,
Distance to Image Border XY,33.8831,um,Surface,,,Image 1,1,517,
Distance to Image Border XY,30.8573,um,Surface,,,Image 1,1,518,
Distance to Image Border XY,26.9749,um,Surface,,,Image 1,1,520,
Distance to Image Border XY,27.5822,um,Surface,,,Image 1,1,525,
Distance to Image Border XY,32.2641,um,Surface,,,Image 1,1,526,
Distance to Image Border XY,34.4475,um,Surface,,,Image 1,1,527,
Distance to Image Border XY,8.9162,um,Surface,,,Image 1,1,537,
Distance to Image Border XY,27.6302,um,Surface,,,Image 1,1,547,
Distance to Image Border XY,20.8214,um,Surface,,,Image 1,1,566,
Distance to Image Border XY,3.90528,um,Surface,,,Image 1,1,587,
Distance to Image Border XY,18.2829,um,Surface,,,Image 1,1,590,
Distance to Image Border XY,18.4595,um,Surface,,,Image 1,1,591,
Distance to Image Border XY,20.3104,um,Surface,,,Image 1,1,593,
Distance to Image Border XY,11.5059,um,Surface,,,Image 1,1,599,
Distance to Image Border XY,12.3063,um,Surface,,,Image 1,1,600,
Distance to Image Border XY,12.9275,um,Surface,,,Image 1,1,601,
Distance to Image Border XY,8.10751,um,Surface,,,Image 1,1,604,
Distance to Image Border XY,7.85577,um,Surface,,,Image 1,1,605,
Distance to Image Border XY,17.1665,um,Surface,,,Image 1,1,606,
Distance to Image Border XY,14.2958,um,Surface,,,Image 1,1,608,
Ellipticity (oblate),0.60341,,Surface,,,,1,477,
Ellipticity (oblate),0.181775,,Surface,,,,1,488,
Ellipticity (oblate),0.509157,,Surface,,,,1,491,
Ellipticity (oblate),0.259728,,Surface,,,,1,506,
Ellipticity (oblate),0.496598,,Surface,,,,1,507,
Ellipticity (oblate),0.526849,,Surface,,,,1,509,
Ellipticity (oblate),0.112772,,Surface,,,,1,510,
Ellipticity (oblate),0.0863046,,Surface,,,,1,511,
Ellipticity (oblate),0.294498,,Surface,,,,1,512,
Ellipticity (oblate),0.157568,,Surface,,,,1,514,
Ellipticity (oblate),0.327554,,Surface,,,,1,515,
Ellipticity (oblate),0.388125,,Surface,,,,1,516,
Ellipticity (oblate),0.407195,,Surface,,,,1,517,
Ellipticity (oblate),0.529187,,Surface,,,,1,518,
Ellipticity (oblate),0.478953,,Surface,,,,1,520,
Ellipticity (oblate),0.564511,,Surface,,,,1,525,
Ellipticity (oblate),0.321188,,Surface,,,,1,526,
Ellipticity (oblate),0.338304,,Surface,,,,1,527,
Ellipticity (oblate),0.261322,,Surface,,,,1,537,
Ellipticity (oblate),0.336963,,Surface,,,,1,547,
Ellipticity (oblate),0.357209,,Surface,,,,1,566,
Ellipticity (oblate),0.52454,,Surface,,,,1,587,
Ellipticity (oblate),0.773153,,Surface,,,,1,590,
Ellipticity (oblate),0.557929,,Surface,,,,1,591,
Ellipticity (oblate),0.237937,,Surface,,,,1,593,
Ellipticity (oblate),0.243527,,Surface,,,,1,599,
Ellipticity (oblate),0.237936,,Surface,,,,1,600,
Ellipticity (oblate),0.746666,,Surface,,,,1,601,
Ellipticity (oblate),0.702265,,Surface,,,,1,604,
Ellipticity (oblate),0.40092,,Surface,,,,1,605,
Ellipticity (oblate),0.491451,,Surface,,,,1,606,
Ellipticity (oblate),0.501365,,Surface,,,,1,608,
Ellipticity (prolate),0.221657,,Surface,,,,1,477,
Ellipticity (prolate),0.674137,,Surface,,,,1,488,
Ellipticity (prolate),0.350665,,Surface,,,,1,491,
Ellipticity (prolate),0.474261,,Surface,,,,1,506,
Ellipticity (prolate),0.256923,,Surface,,,,1,507,
Ellipticity (prolate),0.332176,,Surface,,,,1,509,
Ellipticity (prolate),0.400991,,Surface,,,,1,510,
Ellipticity (prolate),0.870105,,Surface,,,,1,511,
Ellipticity (prolate),0.642625,,Surface,,,,1,512,
Ellipticity (prolate),0.56949,,Surface,,,,1,514,
Ellipticity (prolate),0.551088,,Surface,,,,1,515,
Ellipticity (prolate),0.337322,,Surface,,,,1,516,
Ellipticity (prolate),0.291075,,Surface,,,,1,517,
Ellipticity (prolate),0.319447,,Surface,,,,1,518,
Ellipticity (prolate),0.356552,,Surface,,,,1,520,
Ellipticity (prolate),0.110274,,Surface,,,,1,525,
Ellipticity (prolate),0.537578,,Surface,,,,1,526,
Ellipticity (prolate),0.539565,,Surface,,,,1,527,
Ellipticity (prolate),0.611558,,Surface,,,,1,537,
Ellipticity (prolate),0.309397,,Surface,,,,1,547,
Ellipticity (prolate),0.177509,,Surface,,,,1,566,
Ellipticity (prolate),0.0589761,,Surface,,,,1,587,
Ellipticity (prolate),0.145795,,Surface,,,,1,590,
Ellipticity (prolate),0.296807,,Surface,,,,1,591,
Ellipticity (prolate),0.561324,,Surface,,,,1,593,
Ellipticity (prolate),0.749636,,Surface,,,,1,599,
Ellipticity (prolate),0.561285,,Surface,,,,1,600,
Ellipticity (prolate),0.163606,,Surface,,,,1,601,
Ellipticity (prolate),0.189066,,Surface,,,,1,604,
Ellipticity (prolate),0.406403,,Surface,,,,1,605,
Ellipticity (prolate),0.348223,,Surface,,,,1,606,
Ellipticity (prolate),0.349658,,Surface,,,,1,608,
Generation,0,,Surface,,,,1,477,
Generation,0,,Surface,,,,1,488,
Generation,0,,Surface,,,,1,491,
Generation,0,,Surface,,,,1,506,
Generation,0,,Surface,,,,1,507,
Generation,0,,Surface,,,,1,509,
Generation,0,,Surface,,,,1,510,
Generation,0,,Surface,,,,1,511,
Generation,0,,Surface,,,,1,512,
Generation,0,,Surface,,,,1,514,
Generation,0,,Surface,,,,1,515,
Generation,0,,Surface,,,,1,516,
Generation,0,,Surface,,,,1,517,
Generation,0,,Surface,,,,1,518,
Generation,0,,Surface,,,,1,520,
Generation,0,,Surface,,,,1,525,
Generation,0,,Surface,,,,1,526,
Generation,0,,Surface,,,,1,527,
Generation,0,,Surface,,,,1,537,
Generation,0,,Surface,,,,1,547,
Generation,0,,Surface,,,,1,566,
Generation,0,,Surface,,,,1,587,
Generation,0,,Surface,,,,1,590,
Generation,0,,Surface,,,,1,591,
Generation,0,,Surface,,,,1,593,
Generation,0,,Surface,,,,1,599,
Generation,0,,Surface,,,,1,600,
Generation,0,,Surface,,,,1,601,
Generation,0,,Surface,,,,1,604,
Generation,0,,Surface,,,,1,605,
Generation,0,,Surface,,,,1,606,
Generation,0,,Surface,,,,1,608,
Intensity Max,0,,Surface,1,,Image 1,1,477,
Intensity Max,4,,Surface,2,,Image 1,1,477,
Intensity Max,7,,Surface,3,,Image 1,1,477,
Intensity Max,30,,Surface,4,,Image 1,1,477,
Intensity Max,0,,Surface,5,,Image 1,1,477,
Intensity Max,4,,Surface,6,,Image 1,1,477,
Intensity Max,0,,Surface,1,,Image 1,1,488,
Intensity Max,2,,Surface,2,,Image 1,1,488,
Intensity Max,104,,Surface,3,,Image 1,1,488,
Intensity Max,26,,Surface,4,,Image 1,1,488,
Intensity Max,0,,Surface,5,,Image 1,1,488,
Intensity Max,2,,Surface,6,,Image 1,1,488,
Intensity Max,1,,Surface,1,,Image 1,1,491,
Intensity Max,9,,Surface,2,,Image 1,1,491,
Intensity Max,8,,Surface,3,,Image 1,1,491,
Intensity Max,40,,Surface,4,,Image 1,1,491,
Intensity Max,1,,Surface,5,,Image 1,1,491,
Intensity Max,9,,Surface,6,,Image 1,1,491,
Intensity Max,0,,Surface,1,,Image 1,1,506,
Intensity Max,4,,Surface,2,,Image 1,1,506,
Intensity Max,6,,Surface,3,,Image 1,1,506,
Intensity Max,38,,Surface,4,,Image 1,1,506,
Intensity Max,0,,Surface,5,,Image 1,1,506,
Intensity Max,4,,Surface,6,,Image 1,1,506,
Intensity Max,1,,Surface,1,,Image 1,1,507,
Intensity Max,4,,Surface,2,,Image 1,1,507,
Intensity Max,6,,Surface,3,,Image 1,1,507,
Intensity Max,38,,Surface,4,,Image 1,1,507,
Intensity Max,1,,Surface,5,,Image 1,1,507,
Intensity Max,4,,Surface,6,,Image 1,1,507,
Intensity Max,3,,Surface,1,,Image 1,1,509,
Intensity Max,9,,Surface,2,,Image 1,1,509,
Intensity Max,7,,Surface,3,,Image 1,1,509,
Intensity Max,101,,Surface,4,,Image 1,1,509,
Intensity Max,3,,Surface,5,,Image 1,1,509,
Intensity Max,9,,Surface,6,,Image 1,1,509,
Intensity Max,11,,Surface,1,,Image 1,1,510,
Intensity Max,15,,Surface,2,,Image 1,1,510,
Intensity Max,8,,Surface,3,,Image 1,1,510,
