
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,1.67044,um^2,Surface,,,,1,48,
Area,0.983735,um^2,Surface,,,,1,49,
Area,3.42651,um^2,Surface,,,,1,50,
Area,0.745472,um^2,Surface,,,,1,51,
Area,4.53165,um^2,Surface,,,,1,52,
Area,1.70845,um^2,Surface,,,,1,53,
Area,1.19473,um^2,Surface,,,,1,54,
Area,4.8167,um^2,Surface,,,,1,55,
Area,2.42137,um^2,Surface,,,,1,56,
Area,0.832566,um^2,Surface,,,,1,57,
Area,1.62083,um^2,Surface,,,,1,58,
Area,0.263629,um^2,Surface,,,,1,59,
Area,1.9555,um^2,Surface,,,,1,60,
Area,1.91618,um^2,Surface,,,,1,61,
Area,2.98669,um^2,Surface,,,,1,62,
Area,2.84663,um^2,Surface,,,,1,63,
Area,2.1342,um^2,Surface,,,,1,64,
Area,6.59165,um^2,Surface,,,,1,65,
Area,5.76834,um^2,Surface,,,,1,66,
Area,1.19024,um^2,Surface,,,,1,67,
Area,10.4479,um^2,Surface,,,,1,68,
Area,0.697593,um^2,Surface,,,,1,69,
Area,2.39886,um^2,Surface,,,,1,70,
Area,0.53839,um^2,Surface,,,,1,71,
Area,2.33036,um^2,Surface,,,,1,72,
Area,5.01463,um^2,Surface,,,,1,73,
Area,6.28856,um^2,Surface,,,,1,74,
Area,4.50514,um^2,Surface,,,,1,75,
Area,3.1725,um^2,Surface,,,,1,76,
Area,4.71662,um^2,Surface,,,,1,77,
Area,11.6595,um^2,Surface,,,,1,78,
Area,4.29634,um^2,Surface,,,,1,79,
Area,24.1415,um^2,Surface,,,,1,80,
Area,2.22369,um^2,Surface,,,,1,81,
Area,1.80291,um^2,Surface,,,,1,82,
Area,6.34114,um^2,Surface,,,,1,83,
Area,33.5415,um^2,Surface,,,,1,84,
Area,2.33345,um^2,Surface,,,,1,85,
Area,3.27595,um^2,Surface,,,,1,86,
Area,0.197806,um^2,Surface,,,,1,87,
Area,4.71458,um^2,Surface,,,,1,88,
Area,6.87767,um^2,Surface,,,,1,89,
Area,4.97389,um^2,Surface,,,,1,90,
Area,2.64044,um^2,Surface,,,,1,91,
Distance from Origin,105.161,um,Surface,,Distance from Origin,,1,48,
Distance from Origin,95.3173,um,Surface,,Distance from Origin,,1,49,
Distance from Origin,125.396,um,Surface,,Distance from Origin,,1,50,
Distance from Origin,142.221,um,Surface,,Distance from Origin,,1,51,
Distance from Origin,156.109,um,Surface,,Distance from Origin,,1,52,
Distance from Origin,145.164,um,Surface,,Distance from Origin,,1,53,
Distance from Origin,155.508,um,Surface,,Distance from Origin,,1,54,
Distance from Origin,97.6919,um,Surface,,Distance from Origin,,1,55,
Distance from Origin,129.764,um,Surface,,Distance from Origin,,1,56,
Distance from Origin,122.069,um,Surface,,Distance from Origin,,1,57,
Distance from Origin,121.223,um,Surface,,Distance from Origin,,1,58,
Distance from Origin,129.266,um,Surface,,Distance from Origin,,1,59,
Distance from Origin,121.392,um,Surface,,Distance from Origin,,1,60,
Distance from Origin,125.896,um,Surface,,Distance from Origin,,1,61,
Distance from Origin,123.221,um,Surface,,Distance from Origin,,1,62,
Distance from Origin,123.633,um,Surface,,Distance from Origin,,1,63,
Distance from Origin,130.141,um,Surface,,Distance from Origin,,1,64,
Distance from Origin,108.192,um,Surface,,Distance from Origin,,1,65,
Distance from Origin,114.304,um,Surface,,Distance from Origin,,1,66,
Distance from Origin,120.671,um,Surface,,Distance from Origin,,1,67,
Distance from Origin,120.097,um,Surface,,Distance from Origin,,1,68,
Distance from Origin,118.258,um,Surface,,Distance from Origin,,1,69,
