Detailed,,,,,,,,
 ==================== ,,,,,,,,
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID
Area,2.29178,um^2,Surface,,,,1,0
Area,0.0660608,um^2,Surface,,,,1,1
Area,1.21009,um^2,Surface,,,,1,2
Area,0.0660608,um^2,Surface,,,,1,3
Area,0.100499,um^2,Surface,,,,1,4
Area,0.0196366,um^2,Surface,,,,1,5
Area,0.25102,um^2,Surface,,,,1,6
Area,0.057859,um^2,Surface,,,,1,7
Area,0.860804,um^2,Surface,,,,1,8
Area,0.033092,um^2,Surface,,,,1,9
Area,0.0330924,um^2,Surface,,,,1,10
Area,0.0330923,um^2,Surface,,,,1,11
Area,0.000520974,um^2,Surface,,,,1,12
Area,0.0330924,um^2,Surface,,,,1,13
Area,0.033095,um^2,Surface,,,,1,14
Area,0.0330931,um^2,Surface,,,,1,15
Area,1.72451,um^2,Surface,,,,1,16
Area,0.184447,um^2,Surface,,,,1,17
Area,0.117203,um^2,Surface,,,,1,18
Area,1.53707,um^2,Surface,,,,1,19
Area,0.0423776,um^2,Surface,,,,1,20
Area,0.0663455,um^2,Surface,,,,1,21
Area,2.85218,um^2,Surface,,,,1,22
Area,6.25802,um^2,Surface,,,,1,23
Area,0.0422752,um^2,Surface,,,,1,24
Area,0.169544,um^2,Surface,,,,1,25
Area,0.311549,um^2,Surface,,,,1,26
Area,0.0330933,um^2,Surface,,,,1,27
Area,2.42685,um^2,Surface,,,,1,28
Area,0.0330924,um^2,Surface,,,,1,29
Area,0.102395,um^2,Surface,,,,1,30
Area,0.136836,um^2,Surface,,,,1,31
Area,0.0780898,um^2,Surface,,,,1,32
Area,1.29366,um^2,Surface,,,,1,33
Area,3.29199,um^2,Surface,,,,1,34
Area,0.0330936,um^2,Surface,,,,1,35
Area,7.50276,um^2,Surface,,,,1,36
Area,5.57975,um^2,Surface,,,,1,37
Area,9.75345,um^2,Surface,,,,1,38
Area,9.661,um^2,Surface,,,,1,39
Area,27.8996,um^2,Surface,,,,1,40
Area,4.39458,um^2,Surface,,,,1,41
Area,0.158604,um^2,Surface,,,,1,42
Contact surface area,0.09,um,Surface,,,,,0
Contact surface area,2.525,um,Surface,,,,,1
Contact surface area,0.015,um,Surface,,,,,2
Contact surface area,0.04,um,Surface,,,,,3
Contact surface area,0.755,um,Surface,,,,,4
Contact surface area,0.015,um,Surface,,,,,5
Contact surface area,0.015,um,Surface,,,,,6
Contact surface area,0.05,um,Surface,,,,,7
Contact surface area,0.065,um,Surface,,,,,8
Contact surface area,3.0175,um,Surface,,,,,9
Contact surface area,5.68,um,Surface,,,,,10
Contact surface area,5.53,um,Surface,,,,,11
Contact surface area,0.015,um,Surface,,,,,12
Contact surface area,0.015,um,Surface,,,,,13
Contact surface area,4.2675,um,Surface,,,,,14
Contact surface area,0.015,um,Surface,,,,,15
Contact surface area,0.015,um,Surface,,,,,16
Contact surface area,0.015,um,Surface,,,,,17
Contact surface area,0.0025,um,Surface,,,,,18
Contact surface area,0.04,um,Surface,,,,,19
Contact surface area,3.6275,um,Surface,,,,,20
Contact surface area,0.025,um,Surface,,,,,21
Contact surface area,0.09,um,Surface,,,,,22
Contact surface area,0.16,um,Surface,,,,,23
Contact surface area,0.015,um,Surface,,,,,24
Contact surface area,1.3,um,Surface,,,,,25
Contact surface area,16.15,um,Surface,,,,,26
Contact surface area,0.0975,um,Surface,,,,,27
Contact surface area,0.06,um,Surface,,,,,28
Contact surface area,0.8425,um,Surface,,,,,29
Contact surface area,0.025,um,Surface,,,,,30
Contact surface area,1.5575,um,Surface,,,,,31
Contact surface area,1.855,um,Surface,,,,,32
Contact surface area,0.48,um,Surface,,,,,33
Contact surface area,0.9575,um,Surface,,,,,34
Contact surface area,0.135,um,Surface,,,,,35
Contact surface area,0.0325,um,Surface,,,,,36
Contact surface area,0.0125,um,Surface,,,,,37
Contact surface area,0.045,um,Surface,,,,,38
Contact surface area,1.2725,um,Surface,,,,,39
Contact surface area,0.03,um,Surface,,,,,40
Contact surface area,0.03,um,Surface,,,,,41
Contact surface area,0.66,um,Surface,,,,,42
Distance from Origin,125.404,um,Surface,,Distance from Origin,,1,0
Distance from Origin,142.059,um,Surface,,Distance from Origin,,1,1
Distance from Origin,145.168,um,Surface,,Distance from Origin,,1,2
Distance from Origin,125.425,um,Surface,,Distance from Origin,,1,3
Distance from Origin,142.315,um,Surface,,Distance from Origin,,1,4
Distance from Origin,112.714,um,Surface,,Distance from Origin,,1,5
Distance from Origin,108.426,um,Surface,,Distance from Origin,,1,6
Distance from Origin,108.194,um,Surface,,Distance from Origin,,1,7
Distance from Origin,123.086,um,Surface,,Distance from Origin,,1,8
Distance from Origin,114.931,um,Surface,,Distance from Origin,,1,9
Distance from Origin,115.35,um,Surface,,Distance from Origin,,1,10
Distance from Origin,112.912,um,Surface,,Distance from Origin,,1,11
Distance from Origin,112.926,um,Surface,,Distance from Origin,,1,12
Distance from Origin,111.914,um,Surface,,Distance from Origin,,1,13
Distance from Origin,110.009,um,Surface,,Distance from Origin,,1,14
Distance from Origin,110.232,um,Surface,,Distance from Origin,,1,15
Distance from Origin,119.934,um,Surface,,Distance from Origin,,1,16
Distance from Origin,119.123,um,Surface,,Distance from Origin,,1,17
Distance from Origin,119.161,um,Surface,,Distance from Origin,,1,18
