
Detailed
 ==================== 
Variable,Value,Unit,Category,Collection,Depth,Distance,Level,Radius,Time,Type,FilamentID,ID,
Dendrite Area,2.19911,um^2,Dendrite,,0,,1,,1,,100000001,510000000001,
Dendrite Area,1.92998,um^2,Dendrite,,1,,1,,1,,100000001,510000000004,
Dendrite Area,2.31535,um^2,Dendrite,,2,,1,,1,,100000001,510000000006,
Dendrite Area,13.9173,um^2,Dendrite,,3,,1,,1,,100000001,510000000008,
Dendrite Area,6.95281,um^2,Dendrite,,4,,1,,1,,100000001,510000000026,
Dendrite Area,2.25175,um^2,Dendrite,,6,,1,,1,,100000001,510000000038,
Dendrite Area,6.74192,um^2,Dendrite,,8,,1,,1,,100000001,510000000042,
Dendrite Area,3.38145,um^2,Dendrite,,9,,1,,1,,100000001,510000000052,
Dendrite Area,7.71054,um^2,Dendrite,,10,,1,,1,,100000001,510000000056,
Dendrite Area,7.89317,um^2,Dendrite,,11,,1,,1,,100000001,510000000063,
Dendrite Area,9.51476,um^2,Dendrite,,12,,1,,1,,100000001,510000000072,
Dendrite Area,4.43275,um^2,Dendrite,,13,,1,,1,,100000001,510000000091,
Dendrite Area,4.17719,um^2,Dendrite,,14,,1,,1,,100000001,510000000100,
Dendrite Area,3.8343,um^2,Dendrite,,15,,1,,1,,100000001,510000000105,
Dendrite Area,2.74055,um^2,Dendrite,,16,,1,,1,,100000001,510000000110,
Dendrite Area,2.41064,um^2,Dendrite,,17,,1,,1,,100000001,510000000116,
Dendrite Area,6.76696,um^2,Dendrite,,18,,1,,1,,100000001,510000000122,
Dendrite Area,53.6595,um^2,Dendrite,,20,,1,,1,,100000001,510000000134,
Dendrite Area,14.8535,um^2,Dendrite,,21,,2,,1,,100000001,510000000267,
Dendrite Area,11.6138,um^2,Dendrite,,0,,1,,1,,100000001,510000000306,
Dendrite Area,4.03259,um^2,Dendrite,,1,,1,,1,,100000001,510000000323,
Dendrite Area,7.95084,um^2,Dendrite,,2,,2,,1,,100000001,510000000328,
Dendrite Area,12.078,um^2,Dendrite,,3,,2,,1,,100000001,510000000338,
Dendrite Area,6.86646,um^2,Dendrite,,4,,2,,1,,100000001,510000000365,
Dendrite Area,5.74986,um^2,Dendrite,,19,,2,,1,,100000001,510000000375,
Dendrite Area,11.0234,um^2,Dendrite,,20,,2,,1,,100000001,510000000389,
Dendrite Area,3.29887,um^2,Dendrite,,21,,2,,1,,100000001,510000000411,
Dendrite Area,16.414,um^2,Dendrite,,22,,2,,1,,100000001,510000000416,
Dendrite Area,14.9664,um^2,Dendrite,,23,,2,,1,,100000001,510000000453,
Dendrite Area,5.3572,um^2,Dendrite,,24,,3,,1,,100000001,510000000486,
Dendrite Area,0.873379,um^2,Dendrite,,25,,4,,1,,100000001,510000000499,
Dendrite Area,10.7278,um^2,Dendrite,,24,,2,,1,,100000001,510000000501,
Dendrite Area,13.6637,um^2,Dendrite,,25,,2,,1,,100000001,510000000522,
Dendrite Area,30.5953,um^2,Dendrite,,26,,3,,1,,100000001,510000000546,
Dendrite Area,6.1669,um^2,Dendrite,,2,,1,,1,,100000001,510000000718,
Dendrite Area,6.13986,um^2,Dendrite,,3,,1,,1,,100000001,510000000724,
Dendrite Area,3.4815,um^2,Dendrite,,4,,1,,1,,100000001,510000000731,
Dendrite Area,8.72418,um^2,Dendrite,,5,,1,,1,,100000001,510000000737,
Dendrite Area,39.8619,um^2,Dendrite,,6,,2,,1,,100000001,510000000753,
Dendrite Area,12.45,um^2,Dendrite,,7,,3,,1,,100000001,510000000854,
Dendrite Area,1.02643,um^2,Dendrite,,8,,4,,1,,100000001,510000000890,
Dendrite Area,5.02659,um^2,Dendrite,,6,,1,,1,,100000001,510000000893,
Dendrite Area,8.08285,um^2,Dendrite,,7,,1,,1,,100000001,510000000898,
