Detailed,,,,,,,,
 ==================== ,,,,,,,,
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID
Area,0.0330933,um^2,Surface,,,,1,0
Area,0.0973904,um^2,Surface,,,,1,1
Area,16.0762,um^2,Surface,,,,1,2
Area,0.0291932,um^2,Surface,,,,1,3
Contact surface area,0.0175,um,Surface,,,,,0
Contact surface area,0.015,um,Surface,,,,,1
Contact surface area,0.0525,um,Surface,,,,,2
Contact surface area,9.33,um,Surface,,,,,3
Distance from Origin,73.1049,um,Surface,,Distance from Origin,,1,0
Distance from Origin,72.9236,um,Surface,,Distance from Origin,,1,1
Distance from Origin,73.5086,um,Surface,,Distance from Origin,,1,2
Distance from Origin,73.8958,um,Surface,,Distance from Origin,,1,3
Distance to Image Border XY,39.675,um,Surface,,,Image 1,1,0
Distance to Image Border XY,39.1702,um,Surface,,,Image 1,1,1
Distance to Image Border XY,39.3522,um,Surface,,,Image 1,1,2
Distance to Image Border XY,42.525,um,Surface,,,Image 1,1,3
Ellipticity (oblate),0.527997,,Surface,,,,1,0
Ellipticity (oblate),0.330345,,Surface,,,,1,1
Ellipticity (oblate),0.346996,,Surface,,,,1,2
Ellipticity (oblate),0.369148,,Surface,,,,1,3
Ellipticity (prolate),0.247659,,Surface,,,,1,0
Ellipticity (prolate),0.447841,,Surface,,,,1,1
Ellipticity (prolate),0.450615,,Surface,,,,1,2
Ellipticity (prolate),0.300497,,Surface,,,,1,3
Generation,0,,Surface,,,,1,0
Generation,0,,Surface,,,,1,1
Generation,0,,Surface,,,,1,2
Generation,0,,Surface,,,,1,3
Intensity Max,4,,Surface,1,,Image 1,1,0
Intensity Max,6,,Surface,2,,Image 1,1,0
Intensity Max,0,,Surface,3,,Image 1,1,0
Intensity Max,18,,Surface,4,,Image 1,1,0
Intensity Max,5,,Surface,1,,Image 1,1,1
Intensity Max,8,,Surface,2,,Image 1,1,1
Intensity Max,1,,Surface,3,,Image 1,1,1
Intensity Max,16,,Surface,4,,Image 1,1,1
Intensity Max,16,,Surface,1,,Image 1,1,2
Intensity Max,15,,Surface,2,,Image 1,1,2
