
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,2.35999,um^2,Surface,,,,1,74,
Area,6.18669,um^2,Surface,,,,1,75,
Area,11.5002,um^2,Surface,,,,1,76,
Area,6.8279,um^2,Surface,,,,1,77,
Area,7.71828,um^2,Surface,,,,1,78,
Area,2.28893,um^2,Surface,,,,1,79,
Area,31.5625,um^2,Surface,,,,1,80,
Area,13.2289,um^2,Surface,,,,1,81,
Area,3.00829,um^2,Surface,,,,1,82,
Area,6.05112,um^2,Surface,,,,1,83,
Area,7.17088,um^2,Surface,,,,1,84,
Area,5.22817,um^2,Surface,,,,1,85,
Area,2.94104,um^2,Surface,,,,1,86,
Area,6.92954,um^2,Surface,,,,1,87,
Area,7.74587,um^2,Surface,,,,1,88,
Area,7.4557,um^2,Surface,,,,1,89,
Area,4.43149,um^2,Surface,,,,1,90,
Area,22.0042,um^2,Surface,,,,1,91,
Area,7.80156,um^2,Surface,,,,1,92,
Area,2.18508,um^2,Surface,,,,1,93,
Area,6.25868,um^2,Surface,,,,1,94,
Area,5.86886,um^2,Surface,,,,1,95,
Area,8.87146,um^2,Surface,,,,1,96,
Area,1.99706,um^2,Surface,,,,1,97,
Area,2.31096,um^2,Surface,,,,1,98,
Area,7.42586,um^2,Surface,,,,1,99,
Area,2.83019,um^2,Surface,,,,1,100,
Area,41.884,um^2,Surface,,,,1,101,
Area,18.2738,um^2,Surface,,,,1,102,
Area,6.87423,um^2,Surface,,,,1,103,
Area,2.17661,um^2,Surface,,,,1,104,
Area,6.33531,um^2,Surface,,,,1,105,
Area,5.3227,um^2,Surface,,,,1,106,
Area,3.39968,um^2,Surface,,,,1,107,
Area,2.3339,um^2,Surface,,,,1,108,
Area,3.41399,um^2,Surface,,,,1,109,
Distance from Origin,73.05,um,Surface,,Distance from Origin,,1,74,
Distance from Origin,72.1944,um,Surface,,Distance from Origin,,1,75,
Distance from Origin,101.365,um,Surface,,Distance from Origin,,1,76,
Distance from Origin,89.9302,um,Surface,,Distance from Origin,,1,77,
Distance from Origin,95.6283,um,Surface,,Distance from Origin,,1,78,
Distance from Origin,122.28,um,Surface,,Distance from Origin,,1,79,
Distance from Origin,108.166,um,Surface,,Distance from Origin,,1,80,
Distance from Origin,108.701,um,Surface,,Distance from Origin,,1,81,
Distance from Origin,110.482,um,Surface,,Distance from Origin,,1,82,
Distance from Origin,110.363,um,Surface,,Distance from Origin,,1,83,
Distance from Origin,112.481,um,Surface,,Distance from Origin,,1,84,
Distance from Origin,117.063,um,Surface,,Distance from Origin,,1,85,
Distance from Origin,113.458,um,Surface,,Distance from Origin,,1,86,
Distance from Origin,121.885,um,Surface,,Distance from Origin,,1,87,
Distance from Origin,113.327,um,Surface,,Distance from Origin,,1,88,
Distance from Origin,146.962,um,Surface,,Distance from Origin,,1,89,
Distance from Origin,110.543,um,Surface,,Distance from Origin,,1,90,
Distance from Origin,112.755,um,Surface,,Distance from Origin,,1,91,
Distance from Origin,111.853,um,Surface,,Distance from Origin,,1,92,
Distance from Origin,113.596,um,Surface,,Distance from Origin,,1,93,
Distance from Origin,71.2162,um,Surface,,Distance from Origin,,1,94,
Distance from Origin,63.0979,um,Surface,,Distance from Origin,,1,95,
Distance from Origin,65.0523,um,Surface,,Distance from Origin,,1,96,
Distance from Origin,108.578,um,Surface,,Distance from Origin,,1,97,
Distance from Origin,102.504,um,Surface,,Distance from Origin,,1,98,
Distance from Origin,102.095,um,Surface,,Distance from Origin,,1,99,
Distance from Origin,101.327,um,Surface,,Distance from Origin,,1,100,
Distance from Origin,109.244,um,Surface,,Distance from Origin,,1,101,
Distance from Origin,104.801,um,Surface,,Distance from Origin,,1,102,
Distance from Origin,90.3658,um,Surface,,Distance from Origin,,1,103,
Distance from Origin,88.4959,um,Surface,,Distance from Origin,,1,104,
Distance from Origin,75.1324,um,Surface,,Distance from Origin,,1,105,
Distance from Origin,108.494,um,Surface,,Distance from Origin,,1,106,
Distance from Origin,107.132,um,Surface,,Distance from Origin,,1,107,
Distance from Origin,86.0003,um,Surface,,Distance from Origin,,1,108,
Distance from Origin,94.9105,um,Surface,,Distance from Origin,,1,109,
Distance to Image Border XY,7.44678,um,Surface,,,Image 1,1,74,
Distance to Image Border XY,4.26687,um,Surface,,,Image 1,1,75,
Distance to Image Border XY,29.5617,um,Surface,,,Image 1,1,76,
Distance to Image Border XY,36.6936,um,Surface,,,Image 1,1,77,
Distance to Image Border XY,35.1071,um,Surface,,,Image 1,1,78,
Distance to Image Border XY,6.45677,um,Surface,,,Image 1,1,79,
Distance to Image Border XY,30.2667,um,Surface,,,Image 1,1,80,
Distance to Image Border XY,25.9,um,Surface,,,Image 1,1,81,
Distance to Image Border XY,24.145,um,Surface,,,Image 1,1,82,
Distance to Image Border XY,22.9256,um,Surface,,,Image 1,1,83,
Distance to Image Border XY,34.3319,um,Surface,,,Image 1,1,84,
Distance to Image Border XY,33.1661,um,Surface,,,Image 1,1,85,
Distance to Image Border XY,36.1741,um,Surface,,,Image 1,1,86,
Distance to Image Border XY,36.4693,um,Surface,,,Image 1,1,87,
Distance to Image Border XY,38.1672,um,Surface,,,Image 1,1,88,
Distance to Image Border XY,6.96919,um,Surface,,,Image 1,1,89,
Distance to Image Border XY,34.6099,um,Surface,,,Image 1,1,90,
Distance to Image Border XY,34.6031,um,Surface,,,Image 1,1,91,
Distance to Image Border XY,31.6028,um,Surface,,,Image 1,1,92,
Distance to Image Border XY,36.4824,um,Surface,,,Image 1,1,93,
Distance to Image Border XY,5.32551,um,Surface,,,Image 1,1,94,
Distance to Image Border XY,2.69662,um,Surface,,,Image 1,1,95,
Distance to Image Border XY,1.73542,um,Surface,,,Image 1,1,96,
Distance to Image Border XY,30.4027,um,Surface,,,Image 1,1,97,
Distance to Image Border XY,38.6256,um,Surface,,,Image 1,1,98,
Distance to Image Border XY,34.5859,um,Surface,,,Image 1,1,99,
Distance to Image Border XY,29.9383,um,Surface,,,Image 1,1,100,
Distance to Image Border XY,27.4776,um,Surface,,,Image 1,1,101,
Distance to Image Border XY,26.7013,um,Surface,,,Image 1,1,102,
Distance to Image Border XY,34.2055,um,Surface,,,Image 1,1,103,
Distance to Image Border XY,36.7784,um,Surface,,,Image 1,1,104,
Distance to Image Border XY,8.28053,um,Surface,,,Image 1,1,105,
Distance to Image Border XY,26.3332,um,Surface,,,Image 1,1,106,
Distance to Image Border XY,25.7259,um,Surface,,,Image 1,1,107,
Distance to Image Border XY,27.2063,um,Surface,,,Image 1,1,108,
Distance to Image Border XY,32.8427,um,Surface,,,Image 1,1,109,
Ellipticity (oblate),0.335515,,Surface,,,,1,74,
Ellipticity (oblate),0.430892,,Surface,,,,1,75,
Ellipticity (oblate),0.483292,,Surface,,,,1,76,
Ellipticity (oblate),0.339469,,Surface,,,,1,77,
Ellipticity (oblate),0.284198,,Surface,,,,1,78,
Ellipticity (oblate),0.307512,,Surface,,,,1,79,
Ellipticity (oblate),0.398462,,Surface,,,,1,80,
Ellipticity (oblate),0.336633,,Surface,,,,1,81,
Ellipticity (oblate),0.34067,,Surface,,,,1,82,
Ellipticity (oblate),0.602883,,Surface,,,,1,83,
Ellipticity (oblate),0.445429,,Surface,,,,1,84,
Ellipticity (oblate),0.298279,,Surface,,,,1,85,
Ellipticity (oblate),0.363257,,Surface,,,,1,86,
Ellipticity (oblate),0.37578,,Surface,,,,1,87,
Ellipticity (oblate),0.337329,,Surface,,,,1,88,
Ellipticity (oblate),0.318429,,Surface,,,,1,89,
Ellipticity (oblate),0.248678,,Surface,,,,1,90,
Ellipticity (oblate),0.216598,,Surface,,,,1,91,
Ellipticity (oblate),0.495972,,Surface,,,,1,92,
Ellipticity (oblate),0.30164,,Surface,,,,1,93,
Ellipticity (oblate),0.549971,,Surface,,,,1,94,
Ellipticity (oblate),0.35662,,Surface,,,,1,95,
Ellipticity (oblate),0.316597,,Surface,,,,1,96,
Ellipticity (oblate),0.256506,,Surface,,,,1,97,
Ellipticity (oblate),0.363509,,Surface,,,,1,98,
Ellipticity (oblate),0.296155,,Surface,,,,1,99,
Ellipticity (oblate),0.321664,,Surface,,,,1,100,
Ellipticity (oblate),0.378274,,Surface,,,,1,101,
Ellipticity (oblate),0.270116,,Surface,,,,1,102,
Ellipticity (oblate),0.472232,,Surface,,,,1,103,
Ellipticity (oblate),0.349506,,Surface,,,,1,104,
Ellipticity (oblate),0.321169,,Surface,,,,1,105,
Ellipticity (oblate),0.329589,,Surface,,,,1,106,
Ellipticity (oblate),0.268614,,Surface,,,,1,107,
Ellipticity (oblate),0.247309,,Surface,,,,1,108,
Ellipticity (oblate),0.643776,,Surface,,,,1,109,
Ellipticity (prolate),0.410218,,Surface,,,,1,74,
Ellipticity (prolate),0.299333,,Surface,,,,1,75,
Ellipticity (prolate),0.294723,,Surface,,,,1,76,
Ellipticity (prolate),0.534286,,Surface,,,,1,77,
Ellipticity (prolate),0.410757,,Surface,,,,1,78,
Ellipticity (prolate),0.369469,,Surface,,,,1,79,
Ellipticity (prolate),0.365696,,Surface,,,,1,80,
Ellipticity (prolate),0.572578,,Surface,,,,1,81,
Ellipticity (prolate),0.311043,,Surface,,,,1,82,
Ellipticity (prolate),0.21275,,Surface,,,,1,83,
Ellipticity (prolate),0.349289,,Surface,,,,1,84,
Ellipticity (prolate),0.331543,,Surface,,,,1,85,
Ellipticity (prolate),0.262465,,Surface,,,,1,86,
Ellipticity (prolate),0.422138,,Surface,,,,1,87,
Ellipticity (prolate),0.501299,,Surface,,,,1,88,
Ellipticity (prolate),0.303685,,Surface,,,,1,89,
Ellipticity (prolate),0.477476,,Surface,,,,1,90,
Ellipticity (prolate),0.509497,,Surface,,,,1,91,
Ellipticity (prolate),0.361438,,Surface,,,,1,92,
Ellipticity (prolate),0.608465,,Surface,,,,1,93,
Ellipticity (prolate),0.258227,,Surface,,,,1,94,
Ellipticity (prolate),0.448126,,Surface,,,,1,95,
Ellipticity (prolate),0.534941,,Surface,,,,1,96,
Ellipticity (prolate),0.503779,,Surface,,,,1,97,
Ellipticity (prolate),0.479899,,Surface,,,,1,98,
Ellipticity (prolate),0.575737,,Surface,,,,1,99,
Ellipticity (prolate),0.541383,,Surface,,,,1,100,
Ellipticity (prolate),0.2952,,Surface,,,,1,101,
Ellipticity (prolate),0.527093,,Surface,,,,1,102,
Ellipticity (prolate),0.374581,,Surface,,,,1,103,
Ellipticity (prolate),0.527405,,Surface,,,,1,104,
Ellipticity (prolate),0.473401,,Surface,,,,1,105,
Ellipticity (prolate),0.568228,,Surface,,,,1,106,
Ellipticity (prolate),0.488031,,Surface,,,,1,107,
Ellipticity (prolate),0.51312,,Surface,,,,1,108,
Ellipticity (prolate),0.232775,,Surface,,,,1,109,
Generation,0,,Surface,,,,1,74,
Generation,0,,Surface,,,,1,75,
Generation,0,,Surface,,,,1,76,
Generation,0,,Surface,,,,1,77,
Generation,0,,Surface,,,,1,78,
Generation,0,,Surface,,,,1,79,
Generation,0,,Surface,,,,1,80,
Generation,0,,Surface,,,,1,81,
Generation,0,,Surface,,,,1,82,
Generation,0,,Surface,,,,1,83,
Generation,0,,Surface,,,,1,84,
Generation,0,,Surface,,,,1,85,
Generation,0,,Surface,,,,1,86,
Generation,0,,Surface,,,,1,87,
Generation,0,,Surface,,,,1,88,
Generation,0,,Surface,,,,1,89,
Generation,0,,Surface,,,,1,90,
Generation,0,,Surface,,,,1,91,
Generation,0,,Surface,,,,1,92,
Generation,0,,Surface,,,,1,93,
Generation,0,,Surface,,,,1,94,
Generation,0,,Surface,,,,1,95,
Generation,0,,Surface,,,,1,96,
Generation,0,,Surface,,,,1,97,
Generation,0,,Surface,,,,1,98,
Generation,0,,Surface,,,,1,99,
Generation,0,,Surface,,,,1,100,
Generation,0,,Surface,,,,1,101,
Generation,0,,Surface,,,,1,102,
Generation,0,,Surface,,,,1,103,
Generation,0,,Surface,,,,1,104,
Generation,0,,Surface,,,,1,105,
Generation,0,,Surface,,,,1,106,
Generation,0,,Surface,,,,1,107,
Generation,0,,Surface,,,,1,108,
Generation,0,,Surface,,,,1,109,
Intensity Max,11,,Surface,1,,Image 1,1,74,
Intensity Max,35,,Surface,2,,Image 1,1,74,
Intensity Max,8,,Surface,3,,Image 1,1,74,
Intensity Max,44,,Surface,4,,Image 1,1,74,
Intensity Max,11,,Surface,5,,Image 1,1,74,
Intensity Max,35,,Surface,6,,Image 1,1,74,
Intensity Max,5,,Surface,1,,Image 1,1,75,
Intensity Max,68,,Surface,2,,Image 1,1,75,
Intensity Max,7,,Surface,3,,Image 1,1,75,
Intensity Max,44,,Surface,4,,Image 1,1,75,
Intensity Max,5,,Surface,5,,Image 1,1,75,
Intensity Max,68,,Surface,6,,Image 1,1,75,
Intensity Max,18,,Surface,1,,Image 1,1,76,
Intensity Max,94,,Surface,2,,Image 1,1,76,
Intensity Max,12,,Surface,3,,Image 1,1,76,
Intensity Max,116,,Surface,4,,Image 1,1,76,
Intensity Max,18,,Surface,5,,Image 1,1,76,
Intensity Max,94,,Surface,6,,Image 1,1,76,
Intensity Max,2,,Surface,1,,Image 1,1,77,
Intensity Max,44,,Surface,2,,Image 1,1,77,
Intensity Max,10,,Surface,3,,Image 1,1,77,
Intensity Max,29,,Surface,4,,Image 1,1,77,
Intensity Max,2,,Surface,5,,Image 1,1,77,
Intensity Max,44,,Surface,6,,Image 1,1,77,
Intensity Max,14,,Surface,1,,Image 1,1,78,
Intensity Max,47,,Surface,2,,Image 1,1,78,
Intensity Max,10,,Surface,3,,Image 1,1,78,
Intensity Max,81,,Surface,4,,Image 1,1,78,
Intensity Max,14,,Surface,5,,Image 1,1,78,
Intensity Max,47,,Surface,6,,Image 1,1,78,
Intensity Max,0,,Surface,1,,Image 1,1,79,
Intensity Max,34,,Surface,2,,Image 1,1,79,
Intensity Max,4,,Surface,3,,Image 1,1,79,
Intensity Max,33,,Surface,4,,Image 1,1,79,
Intensity Max,0,,Surface,5,,Image 1,1,79,
Intensity Max,34,,Surface,6,,Image 1,1,79,
Intensity Max,15,,Surface,1,,Image 1,1,80,
Intensity Max,113,,Surface,2,,Image 1,1,80,
Intensity Max,58,,Surface,3,,Image 1,1,80,
Intensity Max,81,,Surface,4,,Image 1,1,80,
Intensity Max,15,,Surface,5,,Image 1,1,80,
Intensity Max,113,,Surface,6,,Image 1,1,80,
Intensity Max,18,,Surface,1,,Image 1,1,81,
Intensity Max,55,,Surface,2,,Image 1,1,81,
Intensity Max,13,,Surface,3,,Image 1,1,81,
Intensity Max,131,,Surface,4,,Image 1,1,81,
Intensity Max,18,,Surface,5,,Image 1,1,81,
Intensity Max,55,,Surface,6,,Image 1,1,81,
Intensity Max,1,,Surface,1,,Image 1,1,82,
Intensity Max,38,,Surface,2,,Image 1,1,82,
Intensity Max,4,,Surface,3,,Image 1,1,82,
Intensity Max,46,,Surface,4,,Image 1,1,82,
Intensity Max,1,,Surface,5,,Image 1,1,82,
Intensity Max,38,,Surface,6,,Image 1,1,82,
Intensity Max,1,,Surface,1,,Image 1,1,83,
Intensity Max,51,,Surface,2,,Image 1,1,83,
Intensity Max,6,,Surface,3,,Image 1,1,83,
Intensity Max,38,,Surface,4,,Image 1,1,83,
Intensity Max,1,,Surface,5,,Image 1,1,83,
Intensity Max,51,,Surface,6,,Image 1,1,83,
Intensity Max,9,,Surface,1,,Image 1,1,84,
Intensity Max,56,,Surface,2,,Image 1,1,84,
Intensity Max,7,,Surface,3,,Image 1,1,84,
Intensity Max,88,,Surface,4,,Image 1,1,84,
Intensity Max,9,,Surface,5,,Image 1,1,84,
Intensity Max,56,,Surface,6,,Image 1,1,84,
Intensity Max,10,,Surface,1,,Image 1,1,85,
Intensity Max,34,,Surface,2,,Image 1,1,85,
Intensity Max,7,,Surface,3,,Image 1,1,85,
Intensity Max,77,,Surface,4,,Image 1,1,85,
Intensity Max,10,,Surface,5,,Image 1,1,85,
Intensity Max,34,,Surface,6,,Image 1,1,85,
