
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,18.0639,um^2,Surface,,,,1,100,
Area,6.70445,um^2,Surface,,,,1,101,
Area,3.44437,um^2,Surface,,,,1,102,
Area,2.4487,um^2,Surface,,,,1,103,
Area,4.32645,um^2,Surface,,,,1,104,
Area,5.56184,um^2,Surface,,,,1,106,
Area,31.3624,um^2,Surface,,,,1,107,
Area,4.67187,um^2,Surface,,,,1,110,
Area,2.15135,um^2,Surface,,,,1,112,
Area,3.36765,um^2,Surface,,,,1,113,
Area,3.96976,um^2,Surface,,,,1,114,
Area,13.0564,um^2,Surface,,,,1,115,
Area,4.6506,um^2,Surface,,,,1,117,
Area,3.81348,um^2,Surface,,,,1,118,
Area,9.4004,um^2,Surface,,,,1,119,
Area,4.77367,um^2,Surface,,,,1,120,
Area,38.0094,um^2,Surface,,,,1,121,
Area,50.7116,um^2,Surface,,,,1,122,
Area,51.6519,um^2,Surface,,,,1,125,
Area,4.31554,um^2,Surface,,,,1,127,
Area,5.90631,um^2,Surface,,,,1,129,
Area,0.000726251,um^2,Surface,,,,1,131,
Area,22.3065,um^2,Surface,,,,1,136,
Area,33.5201,um^2,Surface,,,,1,137,
Area,0.0229546,um^2,Surface,,,,1,139,
Area,27.8543,um^2,Surface,,,,1,142,
Area,13.2855,um^2,Surface,,,,1,143,
Area,0.0500754,um^2,Surface,,,,1,144,
Area,14.3918,um^2,Surface,,,,1,147,
Distance from Origin,111.16,um,Surface,,Distance from Origin,,1,100,
Distance from Origin,112.874,um,Surface,,Distance from Origin,,1,101,
Distance from Origin,112.27,um,Surface,,Distance from Origin,,1,102,
Distance from Origin,105.628,um,Surface,,Distance from Origin,,1,103,
Distance from Origin,120.943,um,Surface,,Distance from Origin,,1,104,
Distance from Origin,108.531,um,Surface,,Distance from Origin,,1,106,
Distance from Origin,114.944,um,Surface,,Distance from Origin,,1,107,
Distance from Origin,110.824,um,Surface,,Distance from Origin,,1,110,
Distance from Origin,108.435,um,Surface,,Distance from Origin,,1,112,
Distance from Origin,111.601,um,Surface,,Distance from Origin,,1,113,
Distance from Origin,106.524,um,Surface,,Distance from Origin,,1,114,
Distance from Origin,91.0218,um,Surface,,Distance from Origin,,1,115,
Distance from Origin,64.5769,um,Surface,,Distance from Origin,,1,117,
Distance from Origin,109.798,um,Surface,,Distance from Origin,,1,118,
Distance from Origin,109.929,um,Surface,,Distance from Origin,,1,119,
Distance from Origin,107.932,um,Surface,,Distance from Origin,,1,120,
Distance from Origin,84.1724,um,Surface,,Distance from Origin,,1,121,
Distance from Origin,97.4602,um,Surface,,Distance from Origin,,1,122,
Distance from Origin,75.9655,um,Surface,,Distance from Origin,,1,125,
Distance from Origin,108.355,um,Surface,,Distance from Origin,,1,127,
Distance from Origin,88.9507,um,Surface,,Distance from Origin,,1,129,
Distance from Origin,69.8869,um,Surface,,Distance from Origin,,1,131,
Distance from Origin,70.5878,um,Surface,,Distance from Origin,,1,136,
Distance from Origin,75.5335,um,Surface,,Distance from Origin,,1,137,
Distance from Origin,77.2782,um,Surface,,Distance from Origin,,1,139,
Distance from Origin,109.007,um,Surface,,Distance from Origin,,1,142,
Distance from Origin,110.66,um,Surface,,Distance from Origin,,1,143,
Distance from Origin,109.986,um,Surface,,Distance from Origin,,1,144,
Distance from Origin,113.554,um,Surface,,Distance from Origin,,1,147,
Distance to Image Border XY,31.451,um,Surface,,,Image 1,1,100,
Distance to Image Border XY,35.5653,um,Surface,,,Image 1,1,101,
Distance to Image Border XY,35.0002,um,Surface,,,Image 1,1,102,
Distance to Image Border XY,14.3097,um,Surface,,,Image 1,1,103,
Distance to Image Border XY,27.727,um,Surface,,,Image 1,1,104,
Distance to Image Border XY,30.9934,um,Surface,,,Image 1,1,106,
Distance to Image Border XY,30.9057,um,Surface,,,Image 1,1,107,
Distance to Image Border XY,30.0327,um,Surface,,,Image 1,1,110,
Distance to Image Border XY,30.6589,um,Surface,,,Image 1,1,112,
Distance to Image Border XY,27.5674,um,Surface,,,Image 1,1,113,
Distance to Image Border XY,26.5976,um,Surface,,,Image 1,1,114,
Distance to Image Border XY,36.897,um,Surface,,,Image 1,1,115,
Distance to Image Border XY,1.39909,um,Surface,,,Image 1,1,117,
Distance to Image Border XY,29.6112,um,Surface,,,Image 1,1,118,
Distance to Image Border XY,27.904,um,Surface,,,Image 1,1,119,
Distance to Image Border XY,28.7659,um,Surface,,,Image 1,1,120,
Distance to Image Border XY,29.6123,um,Surface,,,Image 1,1,121,
Distance to Image Border XY,27.9117,um,Surface,,,Image 1,1,122,
Distance to Image Border XY,5.22655,um,Surface,,,Image 1,1,125,
Distance to Image Border XY,26.9327,um,Surface,,,Image 1,1,127,
Distance to Image Border XY,35.8878,um,Surface,,,Image 1,1,129,
Distance to Image Border XY,1.85068,um,Surface,,,Image 1,1,131,
Distance to Image Border XY,1.16537,um,Surface,,,Image 1,1,136,
Distance to Image Border XY,20.6207,um,Surface,,,Image 1,1,137,
Distance to Image Border XY,23.5524,um,Surface,,,Image 1,1,139,
Distance to Image Border XY,25.6286,um,Surface,,,Image 1,1,142,
Distance to Image Border XY,27.3873,um,Surface,,,Image 1,1,143,
Distance to Image Border XY,27.8882,um,Surface,,,Image 1,1,144,
Distance to Image Border XY,36.8829,um,Surface,,,Image 1,1,147,
Ellipticity (oblate),0.128218,,Surface,,,,1,100,
Ellipticity (oblate),0.426476,,Surface,,,,1,101,
Ellipticity (oblate),0.582149,,Surface,,,,1,102,
Ellipticity (oblate),0.415584,,Surface,,,,1,103,
Ellipticity (oblate),0.159524,,Surface,,,,1,104,
Ellipticity (oblate),0.511526,,Surface,,,,1,106,
Ellipticity (oblate),0.145903,,Surface,,,,1,107,
Ellipticity (oblate),0.274752,,Surface,,,,1,110,
Ellipticity (oblate),0.307948,,Surface,,,,1,112,
Ellipticity (oblate),0.625634,,Surface,,,,1,113,
Ellipticity (oblate),0.240073,,Surface,,,,1,114,
Ellipticity (oblate),0.0736469,,Surface,,,,1,115,
Ellipticity (oblate),0.700706,,Surface,,,,1,117,
Ellipticity (oblate),0.445824,,Surface,,,,1,118,
Ellipticity (oblate),0.451318,,Surface,,,,1,119,
Ellipticity (oblate),0.290272,,Surface,,,,1,120,
Ellipticity (oblate),0.0702662,,Surface,,,,1,121,
Ellipticity (oblate),0.201803,,Surface,,,,1,122,
Ellipticity (oblate),0.138248,,Surface,,,,1,125,
Ellipticity (oblate),0.455557,,Surface,,,,1,127,
Ellipticity (oblate),0.501118,,Surface,,,,1,129,
Ellipticity (oblate),0.236804,,Surface,,,,1,131,
Ellipticity (oblate),0.236666,,Surface,,,,1,136,
Ellipticity (oblate),0.212563,,Surface,,,,1,137,
