Detailed,,,,,,,,
 ==================== ,,,,,,,,
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID
Area,0.0166081,um^2,Surface,,,,1,0
Area,0.0495762,um^2,Surface,,,,1,1
Area,0.127525,um^2,Surface,,,,1,2
Area,5.39806,um^2,Surface,,,,1,3
Area,0.0166088,um^2,Surface,,,,1,4
Area,0.299657,um^2,Surface,,,,1,5
Area,1.44233,um^2,Surface,,,,1,6
Area,0.147766,um^2,Surface,,,,1,7
Area,5.93805,um^2,Surface,,,,1,8
Area,0.0555134,um^2,Surface,,,,1,9
Area,0.0495784,um^2,Surface,,,,1,10
Area,0.0495786,um^2,Surface,,,,1,11
Area,12.243,um^2,Surface,,,,1,12
Area,1.88445,um^2,Surface,,,,1,13
Area,4.53326,um^2,Surface,,,,1,14
Area,22.3999,um^2,Surface,,,,1,15
Area,8.89149,um^2,Surface,,,,1,16
Area,0.327538,um^2,Surface,,,,1,17
Area,0.31081,um^2,Surface,,,,1,18
Area,0.0166091,um^2,Surface,,,,1,19
Area,0.0495758,um^2,Surface,,,,1,20
Area,0.0166094,um^2,Surface,,,,1,21
Area,0.0166088,um^2,Surface,,,,1,22
Area,0.0166094,um^2,Surface,,,,1,23
Area,19.021,um^2,Surface,,,,1,24
Area,1.39757,um^2,Surface,,,,1,25
Area,14.9734,um^2,Surface,,,,1,26
Area,0.0166091,um^2,Surface,,,,1,27
Area,0.0166084,um^2,Surface,,,,1,28
Area,0.0166098,um^2,Surface,,,,1,29
Area,0.049577,um^2,Surface,,,,1,30
Area,0.0166088,um^2,Surface,,,,1,31
Area,0.0548955,um^2,Surface,,,,1,32
Area,0.265105,um^2,Surface,,,,1,33
Area,0.19708,um^2,Surface,,,,1,34
Area,3.05601,um^2,Surface,,,,1,35
Area,11.9467,um^2,Surface,,,,1,36
Area,7.20025,um^2,Surface,,,,1,37
Area,9.38929,um^2,Surface,,,,1,38
Area,0.200932,um^2,Surface,,,,1,39
Area,0.0974057,um^2,Surface,,,,1,40
Area,0.141031,um^2,Surface,,,,1,41
Area,0.0291923,um^2,Surface,,,,1,42
Area,0.748106,um^2,Surface,,,,1,43
Area,5.43845,um^2,Surface,,,,1,44
Area,0.212801,um^2,Surface,,,,1,45
Area,1.57868,um^2,Surface,,,,1,46
Area,0.0330929,um^2,Surface,,,,1,47
Area,5.63182,um^2,Surface,,,,1,48
Area,3.38816,um^2,Surface,,,,1,49
Area,2.1529,um^2,Surface,,,,1,50
Area,0.0884701,um^2,Surface,,,,1,51
Area,0.207444,um^2,Surface,,,,1,52
Area,0.0291934,um^2,Surface,,,,1,53
Area,12.8043,um^2,Surface,,,,1,54
Area,6.59308,um^2,Surface,,,,1,55
Area,1.0377,um^2,Surface,,,,1,56
Contact surface area,0.5775,um,Surface,,,,,0
Contact surface area,3.685,um,Surface,,,,,1
Contact surface area,3.08,um,Surface,,,,,2
Contact surface area,0.1125,um,Surface,,,,,3
Contact surface area,0.92,um,Surface,,,,,4
Contact surface area,0.015,um,Surface,,,,,5
Contact surface area,0.0175,um,Surface,,,,,6
Contact surface area,0.0175,um,Surface,,,,,7
Contact surface area,0.41,um,Surface,,,,,8
Contact surface area,0.11,um,Surface,,,,,9
Contact surface area,1.19,um,Surface,,,,,10
Contact surface area,0.0375,um,Surface,,,,,11
Contact surface area,0.0975,um,Surface,,,,,12
Contact surface area,7.555,um,Surface,,,,,13
Contact surface area,1.9575,um,Surface,,,,,14
Contact surface area,3.125,um,Surface,,,,,15
Contact surface area,0.145,um,Surface,,,,,16
Contact surface area,0.105,um,Surface,,,,,17
Contact surface area,0.0525,um,Surface,,,,,18
Contact surface area,0.075,um,Surface,,,,,19
Contact surface area,0.0075,um,Surface,,,,,20
Contact surface area,0.0075,um,Surface,,,,,21
Contact surface area,0.0075,um,Surface,,,,,22
Contact surface area,0.0225,um,Surface,,,,,23
Contact surface area,0.0075,um,Surface,,,,,24
Contact surface area,0.03,um,Surface,,,,,25
Contact surface area,6.935,um,Surface,,,,,26
Contact surface area,4.2175,um,Surface,,,,,27
Contact surface area,5.2675,um,Surface,,,,,28
Contact surface area,1.725,um,Surface,,,,,29
Contact surface area,0.0075,um,Surface,,,,,30
Contact surface area,0.0225,um,Surface,,,,,31
Contact surface area,0.065,um,Surface,,,,,32
Contact surface area,0.16,um,Surface,,,,,33
Contact surface area,0.0075,um,Surface,,,,,34
Contact surface area,0.0075,um,Surface,,,,,35
Contact surface area,0.0075,um,Surface,,,,,36
Contact surface area,10.9775,um,Surface,,,,,37
Contact surface area,0.795,um,Surface,,,,,38
Contact surface area,0.0075,um,Surface,,,,,39
Contact surface area,0.0225,um,Surface,,,,,40
Contact surface area,8.6075,um,Surface,,,,,41
Contact surface area,3.045,um,Surface,,,,,42
Contact surface area,0.0075,um,Surface,,,,,43
Contact surface area,3.33,um,Surface,,,,,44
Contact surface area,7.1375,um,Surface,,,,,45
Contact surface area,0.0225,um,Surface,,,,,46
Contact surface area,0.0225,um,Surface,,,,,47
Contact surface area,0.0225,um,Surface,,,,,48
Contact surface area,1.05,um,Surface,,,,,49
Contact surface area,2.6225,um,Surface,,,,,50
Contact surface area,12.8025,um,Surface,,,,,51
Contact surface area,0.1825,um,Surface,,,,,52
Contact surface area,0.1575,um,Surface,,,,,53
Contact surface area,0.8175,um,Surface,,,,,54
Contact surface area,0.075,um,Surface,,,,,55
Contact surface area,5.1725,um,Surface,,,,,56
Distance from Origin,109.664,um,Surface,,Distance from Origin,,1,0
Distance from Origin,109.466,um,Surface,,Distance from Origin,,1,1
Distance from Origin,109.299,um,Surface,,Distance from Origin,,1,2
Distance from Origin,112.687,um,Surface,,Distance from Origin,,1,3
Distance from Origin,112.834,um,Surface,,Distance from Origin,,1,4
Distance from Origin,113.392,um,Surface,,Distance from Origin,,1,5
Distance from Origin,113.292,um,Surface,,Distance from Origin,,1,6
Distance from Origin,112.984,um,Surface,,Distance from Origin,,1,7
Distance from Origin,117.108,um,Surface,,Distance from Origin,,1,8
Distance from Origin,109.609,um,Surface,,Distance from Origin,,1,9
Distance from Origin,109.662,um,Surface,,Distance from Origin,,1,10
Distance from Origin,109.505,um,Surface,,Distance from Origin,,1,11
Distance from Origin,108.603,um,Surface,,Distance from Origin,,1,12
Distance from Origin,110.782,um,Surface,,Distance from Origin,,1,13
Distance from Origin,111.675,um,Surface,,Distance from Origin,,1,14
Distance from Origin,112.719,um,Surface,,Distance from Origin,,1,15
Distance from Origin,113.418,um,Surface,,Distance from Origin,,1,16
Distance from Origin,113.265,um,Surface,,Distance from Origin,,1,17
Distance from Origin,109.172,um,Surface,,Distance from Origin,,1,18
Distance from Origin,109.454,um,Surface,,Distance from Origin,,1,19
Distance from Origin,109.245,um,Surface,,Distance from Origin,,1,20
Distance from Origin,108.947,um,Surface,,Distance from Origin,,1,21
Distance from Origin,108.979,um,Surface,,Distance from Origin,,1,22
