
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,3.04699,um^2,Surface,,,,1,14,
Area,4.31152,um^2,Surface,,,,1,15,
Area,8.4786,um^2,Surface,,,,1,16,
Area,8.69726,um^2,Surface,,,,1,17,
Area,39.3821,um^2,Surface,,,,1,18,
Area,3.14328,um^2,Surface,,,,1,19,
Area,1.11958,um^2,Surface,,,,1,20,
Area,3.48775,um^2,Surface,,,,1,21,
Distance from Origin,147.141,um,Surface,,Distance from Origin,,1,14,
Distance from Origin,153.624,um,Surface,,Distance from Origin,,1,15,
Distance from Origin,158.429,um,Surface,,Distance from Origin,,1,16,
Distance from Origin,149.341,um,Surface,,Distance from Origin,,1,17,
Distance from Origin,142.289,um,Surface,,Distance from Origin,,1,18,
Distance from Origin,132.422,um,Surface,,Distance from Origin,,1,19,
Distance from Origin,141.304,um,Surface,,Distance from Origin,,1,20,
Distance from Origin,142.049,um,Surface,,Distance from Origin,,1,21,
Distance to Image Border XY,30.166,um,Surface,,,Image 1,1,14,
Distance to Image Border XY,27.2976,um,Surface,,,Image 1,1,15,
Distance to Image Border XY,23.9952,um,Surface,,,Image 1,1,16,
Distance to Image Border XY,28.5203,um,Surface,,,Image 1,1,17,
Distance to Image Border XY,21.1716,um,Surface,,,Image 1,1,18,
Distance to Image Border XY,17.683,um,Surface,,,Image 1,1,19,
Distance to Image Border XY,22.5124,um,Surface,,,Image 1,1,20,
Distance to Image Border XY,23.867,um,Surface,,,Image 1,1,21,
Ellipticity (oblate),0.288089,,Surface,,,,1,14,
Ellipticity (oblate),0.416577,,Surface,,,,1,15,
Ellipticity (oblate),0.525488,,Surface,,,,1,16,
Ellipticity (oblate),0.27851,,Surface,,,,1,17,
Ellipticity (oblate),0.746947,,Surface,,,,1,18,
Ellipticity (oblate),0.234614,,Surface,,,,1,19,
Ellipticity (oblate),0.44949,,Surface,,,,1,20,
Ellipticity (oblate),0.257983,,Surface,,,,1,21,
Ellipticity (prolate),0.452195,,Surface,,,,1,14,
Ellipticity (prolate),0.42739,,Surface,,,,1,15,
Ellipticity (prolate),0.20219,,Surface,,,,1,16,
Ellipticity (prolate),0.661034,,Surface,,,,1,17,
Ellipticity (prolate),0.138771,,Surface,,,,1,18,
Ellipticity (prolate),0.700063,,Surface,,,,1,19,
Ellipticity (prolate),0.253912,,Surface,,,,1,20,
Ellipticity (prolate),0.700983,,Surface,,,,1,21,
Generation,0,,Surface,,,,1,14,
Generation,0,,Surface,,,,1,15,
Generation,0,,Surface,,,,1,16,
Generation,0,,Surface,,,,1,17,
Generation,0,,Surface,,,,1,18,
Generation,0,,Surface,,,,1,19,
Generation,0,,Surface,,,,1,20,
Generation,0,,Surface,,,,1,21,
Intensity Max,2,,Surface,1,,Image 1,1,14,
Intensity Max,28,,Surface,2,,Image 1,1,14,
Intensity Max,4,,Surface,3,,Image 1,1,14,
Intensity Max,33,,Surface,4,,Image 1,1,14,
Intensity Max,2,,Surface,5,,Image 1,1,14,
Intensity Max,28,,Surface,6,,Image 1,1,14,
Intensity Max,14,,Surface,1,,Image 1,1,15,
Intensity Max,25,,Surface,2,,Image 1,1,15,
Intensity Max,10,,Surface,3,,Image 1,1,15,
Intensity Max,46,,Surface,4,,Image 1,1,15,
Intensity Max,14,,Surface,5,,Image 1,1,15,
Intensity Max,25,,Surface,6,,Image 1,1,15,
Intensity Max,5,,Surface,1,,Image 1,1,16,
Intensity Max,37,,Surface,2,,Image 1,1,16,
Intensity Max,8,,Surface,3,,Image 1,1,16,
Intensity Max,48,,Surface,4,,Image 1,1,16,
Intensity Max,5,,Surface,5,,Image 1,1,16,
Intensity Max,37,,Surface,6,,Image 1,1,16,
Intensity Max,9,,Surface,1,,Image 1,1,17,
Intensity Max,46,,Surface,2,,Image 1,1,17,
Intensity Max,9,,Surface,3,,Image 1,1,17,
Intensity Max,38,,Surface,4,,Image 1,1,17,
Intensity Max,9,,Surface,5,,Image 1,1,17,
Intensity Max,46,,Surface,6,,Image 1,1,17,
Intensity Max,15,,Surface,1,,Image 1,1,18,
Intensity Max,83,,Surface,2,,Image 1,1,18,
Intensity Max,14,,Surface,3,,Image 1,1,18,
Intensity Max,60,,Surface,4,,Image 1,1,18,
Intensity Max,15,,Surface,5,,Image 1,1,18,
Intensity Max,83,,Surface,6,,Image 1,1,18,
Intensity Max,3,,Surface,1,,Image 1,1,19,
Intensity Max,23,,Surface,2,,Image 1,1,19,
Intensity Max,8,,Surface,3,,Image 1,1,19,
Intensity Max,25,,Surface,4,,Image 1,1,19,
Intensity Max,3,,Surface,5,,Image 1,1,19,
Intensity Max,23,,Surface,6,,Image 1,1,19,
Intensity Max,0,,Surface,1,,Image 1,1,20,
Intensity Max,19,,Surface,2,,Image 1,1,20,
Intensity Max,6,,Surface,3,,Image 1,1,20,
Intensity Max,20,,Surface,4,,Image 1,1,20,
Intensity Max,0,,Surface,5,,Image 1,1,20,
Intensity Max,19,,Surface,6,,Image 1,1,20,
Intensity Max,5,,Surface,1,,Image 1,1,21,
Intensity Max,26,,Surface,2,,Image 1,1,21,
Intensity Max,7,,Surface,3,,Image 1,1,21,
Intensity Max,48,,Surface,4,,Image 1,1,21,
Intensity Max,5,,Surface,5,,Image 1,1,21,
Intensity Max,26,,Surface,6,,Image 1,1,21,
Intensity Mean,0.224265,,Surface,1,,Image 1,1,14,
Intensity Mean,3.5,,Surface,2,,Image 1,1,14,
Intensity Mean,1.1,,Surface,3,,Image 1,1,14,
Intensity Mean,13.8868,,Surface,4,,Image 1,1,14,
Intensity Mean,0.224265,,Surface,5,,Image 1,1,14,
Intensity Mean,3.5,,Surface,6,,Image 1,1,14,
Intensity Mean,1.13386,,Surface,1,,Image 1,1,15,
Intensity Mean,2.99852,,Surface,2,,Image 1,1,15,
Intensity Mean,1.97539,,Surface,3,,Image 1,1,15,
Intensity Mean,17.2106,,Surface,4,,Image 1,1,15,
Intensity Mean,1.13386,,Surface,5,,Image 1,1,15,
Intensity Mean,2.99852,,Surface,6,,Image 1,1,15,
Intensity Mean,0.0317811,,Surface,1,,Image 1,1,16,
Intensity Mean,3.29351,,Surface,2,,Image 1,1,16,
Intensity Mean,1.37678,,Surface,3,,Image 1,1,16,
Intensity Mean,17.0799,,Surface,4,,Image 1,1,16,
Intensity Mean,0.0317811,,Surface,5,,Image 1,1,16,
Intensity Mean,3.27685,,Surface,6,,Image 1,1,16,
Intensity Mean,0.240485,,Surface,1,,Image 1,1,17,
Intensity Mean,3.22724,,Surface,2,,Image 1,1,17,
Intensity Mean,1.33713,,Surface,3,,Image 1,1,17,
Intensity Mean,13.261,,Surface,4,,Image 1,1,17,
Intensity Mean,0.240485,,Surface,5,,Image 1,1,17,
Intensity Mean,3.22724,,Surface,6,,Image 1,1,17,
Intensity Mean,0.532939,,Surface,1,,Image 1,1,18,
Intensity Mean,11.5675,,Surface,2,,Image 1,1,18,
Intensity Mean,1.35217,,Surface,3,,Image 1,1,18,
Intensity Mean,12.9117,,Surface,4,,Image 1,1,18,
Intensity Mean,0.532155,,Surface,5,,Image 1,1,18,
Intensity Mean,11.3173,,Surface,6,,Image 1,1,18,
Intensity Mean,0.358733,,Surface,1,,Image 1,1,19,
Intensity Mean,3.56849,,Surface,2,,Image 1,1,19,
Intensity Mean,1.86301,,Surface,3,,Image 1,1,19,
Intensity Mean,8.98373,,Surface,4,,Image 1,1,19,
Intensity Mean,0.358733,,Surface,5,,Image 1,1,19,
Intensity Mean,3.56849,,Surface,6,,Image 1,1,19,
