
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,24.8363,um^2,Surface,,,,1,742,
Area,123.462,um^2,Surface,,,,1,746,
Area,32.2659,um^2,Surface,,,,1,750,
Area,24.1555,um^2,Surface,,,,1,751,
Area,64.4443,um^2,Surface,,,,1,760,
Area,34.2631,um^2,Surface,,,,1,762,
Area,67.2999,um^2,Surface,,,,1,763,
Area,25.6848,um^2,Surface,,,,1,768,
Area,2093.91,um^2,Surface,,,,1,770,
Distance from Origin,167.556,um,Surface,,Distance from Origin,,1,742,
Distance from Origin,149.656,um,Surface,,Distance from Origin,,1,746,
Distance from Origin,156.382,um,Surface,,Distance from Origin,,1,750,
Distance from Origin,156.563,um,Surface,,Distance from Origin,,1,751,
Distance from Origin,195.495,um,Surface,,Distance from Origin,,1,760,
Distance from Origin,188.62,um,Surface,,Distance from Origin,,1,762,
Distance from Origin,177.579,um,Surface,,Distance from Origin,,1,763,
Distance from Origin,143.974,um,Surface,,Distance from Origin,,1,768,
Distance from Origin,157.293,um,Surface,,Distance from Origin,,1,770,
Distance to Image Border XY,14.3096,um,Surface,,,Image 1,1,742,
Distance to Image Border XY,13.7547,um,Surface,,,Image 1,1,746,
Distance to Image Border XY,15.1488,um,Surface,,,Image 1,1,750,
Distance to Image Border XY,20.769,um,Surface,,,Image 1,1,751,
Distance to Image Border XY,0.37944,um,Surface,,,Image 1,1,760,
Distance to Image Border XY,18.1835,um,Surface,,,Image 1,1,762,
Distance to Image Border XY,25.1391,um,Surface,,,Image 1,1,763,
Distance to Image Border XY,12.7012,um,Surface,,,Image 1,1,768,
Distance to Image Border XY,0,um,Surface,,,Image 1,1,770,
Ellipticity (oblate),0.390037,,Surface,,,,1,742,
Ellipticity (oblate),0.24183,,Surface,,,,1,746,
Ellipticity (oblate),0.20098,,Surface,,,,1,750,
Ellipticity (oblate),0.489857,,Surface,,,,1,751,
Ellipticity (oblate),0.150576,,Surface,,,,1,760,
Ellipticity (oblate),0.365866,,Surface,,,,1,762,
Ellipticity (oblate),0.214948,,Surface,,,,1,763,
Ellipticity (oblate),0.185367,,Surface,,,,1,768,
Ellipticity (oblate),0.27136,,Surface,,,,1,770,
Ellipticity (prolate),0.488953,,Surface,,,,1,742,
Ellipticity (prolate),0.644397,,Surface,,,,1,746,
Ellipticity (prolate),0.765193,,Surface,,,,1,750,
Ellipticity (prolate),0.370887,,Surface,,,,1,751,
Ellipticity (prolate),0.539817,,Surface,,,,1,760,
Ellipticity (prolate),0.444267,,Surface,,,,1,762,
Ellipticity (prolate),0.419614,,Surface,,,,1,763,
Ellipticity (prolate),0.701435,,Surface,,,,1,768,
Ellipticity (prolate),0.0791502,,Surface,,,,1,770,
Generation,0,,Surface,,,,1,742,
Generation,0,,Surface,,,,1,746,
Generation,0,,Surface,,,,1,750,
Generation,0,,Surface,,,,1,751,
Generation,0,,Surface,,,,1,760,
Generation,0,,Surface,,,,1,762,
Generation,0,,Surface,,,,1,763,
Generation,0,,Surface,,,,1,768,
Generation,0,,Surface,,,,1,770,
Intensity Max,1,,Surface,1,,Image 1,1,742,
Intensity Max,7,,Surface,2,,Image 1,1,742,
Intensity Max,19,,Surface,3,,Image 1,1,742,
Intensity Max,42,,Surface,4,,Image 1,1,742,
Intensity Max,1,,Surface,5,,Image 1,1,742,
Intensity Max,7,,Surface,6,,Image 1,1,742,
Intensity Max,3,,Surface,1,,Image 1,1,746,
Intensity Max,12,,Surface,2,,Image 1,1,746,
Intensity Max,54,,Surface,3,,Image 1,1,746,
Intensity Max,35,,Surface,4,,Image 1,1,746,
Intensity Max,3,,Surface,5,,Image 1,1,746,
Intensity Max,12,,Surface,6,,Image 1,1,746,
Intensity Max,1,,Surface,1,,Image 1,1,750,
Intensity Max,5,,Surface,2,,Image 1,1,750,
Intensity Max,14,,Surface,3,,Image 1,1,750,
Intensity Max,20,,Surface,4,,Image 1,1,750,
Intensity Max,1,,Surface,5,,Image 1,1,750,
Intensity Max,5,,Surface,6,,Image 1,1,750,
Intensity Max,1,,Surface,1,,Image 1,1,751,
Intensity Max,5,,Surface,2,,Image 1,1,751,
Intensity Max,9,,Surface,3,,Image 1,1,751,
Intensity Max,22,,Surface,4,,Image 1,1,751,
Intensity Max,1,,Surface,5,,Image 1,1,751,
Intensity Max,5,,Surface,6,,Image 1,1,751,
Intensity Max,3,,Surface,1,,Image 1,1,760,
Intensity Max,10,,Surface,2,,Image 1,1,760,
Intensity Max,21,,Surface,3,,Image 1,1,760,
Intensity Max,20,,Surface,4,,Image 1,1,760,
Intensity Max,3,,Surface,5,,Image 1,1,760,
Intensity Max,10,,Surface,6,,Image 1,1,760,
Intensity Max,11,,Surface,1,,Image 1,1,762,
Intensity Max,11,,Surface,2,,Image 1,1,762,
Intensity Max,19,,Surface,3,,Image 1,1,762,
Intensity Max,48,,Surface,4,,Image 1,1,762,
Intensity Max,11,,Surface,5,,Image 1,1,762,
Intensity Max,11,,Surface,6,,Image 1,1,762,
Intensity Max,3,,Surface,1,,Image 1,1,763,
Intensity Max,10,,Surface,2,,Image 1,1,763,
Intensity Max,18,,Surface,3,,Image 1,1,763,
Intensity Max,36,,Surface,4,,Image 1,1,763,
Intensity Max,3,,Surface,5,,Image 1,1,763,
Intensity Max,10,,Surface,6,,Image 1,1,763,
Intensity Max,0,,Surface,1,,Image 1,1,768,
Intensity Max,3,,Surface,2,,Image 1,1,768,
Intensity Max,63,,Surface,3,,Image 1,1,768,
Intensity Max,12,,Surface,4,,Image 1,1,768,
Intensity Max,0,,Surface,5,,Image 1,1,768,
Intensity Max,3,,Surface,6,,Image 1,1,768,
Intensity Max,20,,Surface,1,,Image 1,1,770,
Intensity Max,83,,Surface,2,,Image 1,1,770,
Intensity Max,68,,Surface,3,,Image 1,1,770,
Intensity Max,90,,Surface,4,,Image 1,1,770,
Intensity Max,20,,Surface,5,,Image 1,1,770,
Intensity Max,83,,Surface,6,,Image 1,1,770,
Intensity Mean,0.000117776,,Surface,1,,Image 1,1,742,
Intensity Mean,0.096184,,Surface,2,,Image 1,1,742,
Intensity Mean,3.7829,,Surface,3,,Image 1,1,742,
Intensity Mean,4.4832,,Surface,4,,Image 1,1,742,
Intensity Mean,0.000117776,,Surface,5,,Image 1,1,742,
Intensity Mean,0.096184,,Surface,6,,Image 1,1,742,
Intensity Mean,0.00206253,,Surface,1,,Image 1,1,746,
Intensity Mean,0.0638091,,Surface,2,,Image 1,1,746,
