
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,8.5499,um^2,Surface,,,,1,104,
Area,5.81295,um^2,Surface,,,,1,105,
Area,5.81839,um^2,Surface,,,,1,106,
Area,15.7086,um^2,Surface,,,,1,107,
Area,5.43321,um^2,Surface,,,,1,108,
Area,7.20736,um^2,Surface,,,,1,111,
Area,10.2408,um^2,Surface,,,,1,112,
Area,4.00637,um^2,Surface,,,,1,113,
Area,3.11557,um^2,Surface,,,,1,118,
Area,11.945,um^2,Surface,,,,1,119,
Area,21.6771,um^2,Surface,,,,1,122,
Area,21.6827,um^2,Surface,,,,1,124,
Area,28.9971,um^2,Surface,,,,1,125,
Area,4.41052,um^2,Surface,,,,1,126,
Area,27.259,um^2,Surface,,,,1,127,
Area,6.70535,um^2,Surface,,,,1,131,
Area,4.85716,um^2,Surface,,,,1,132,
Area,17.9101,um^2,Surface,,,,1,133,
Area,22.092,um^2,Surface,,,,1,134,
Area,5.62666,um^2,Surface,,,,1,136,
Area,4.0249,um^2,Surface,,,,1,137,
Area,12.2912,um^2,Surface,,,,1,138,
Area,59.4371,um^2,Surface,,,,1,139,
Area,0.358478,um^2,Surface,,,,1,145,
Area,40.5574,um^2,Surface,,,,1,149,
Area,0.120923,um^2,Surface,,,,1,150,
Area,0.0887587,um^2,Surface,,,,1,151,
Area,17.9477,um^2,Surface,,,,1,152,
Area,47.9463,um^2,Surface,,,,1,153,
Distance from Origin,149.051,um,Surface,,Distance from Origin,,1,104,
Distance from Origin,147.139,um,Surface,,Distance from Origin,,1,105,
Distance from Origin,154.469,um,Surface,,Distance from Origin,,1,106,
Distance from Origin,162.891,um,Surface,,Distance from Origin,,1,107,
Distance from Origin,130.468,um,Surface,,Distance from Origin,,1,108,
Distance from Origin,151.922,um,Surface,,Distance from Origin,,1,111,
Distance from Origin,135.611,um,Surface,,Distance from Origin,,1,112,
Distance from Origin,138.674,um,Surface,,Distance from Origin,,1,113,
Distance from Origin,150.058,um,Surface,,Distance from Origin,,1,118,
Distance from Origin,144.622,um,Surface,,Distance from Origin,,1,119,
Distance from Origin,138.182,um,Surface,,Distance from Origin,,1,122,
Distance from Origin,130.355,um,Surface,,Distance from Origin,,1,124,
Distance from Origin,131.344,um,Surface,,Distance from Origin,,1,125,
Distance from Origin,136.709,um,Surface,,Distance from Origin,,1,126,
Distance from Origin,193.986,um,Surface,,Distance from Origin,,1,127,
Distance from Origin,188.583,um,Surface,,Distance from Origin,,1,131,
Distance from Origin,192.122,um,Surface,,Distance from Origin,,1,132,
Distance from Origin,191.778,um,Surface,,Distance from Origin,,1,133,
Distance from Origin,174.09,um,Surface,,Distance from Origin,,1,134,
Distance from Origin,142.049,um,Surface,,Distance from Origin,,1,136,
Distance from Origin,145.995,um,Surface,,Distance from Origin,,1,137,
Distance from Origin,149.245,um,Surface,,Distance from Origin,,1,138,
Distance from Origin,182.539,um,Surface,,Distance from Origin,,1,139,
Distance from Origin,152.519,um,Surface,,Distance from Origin,,1,145,
Distance from Origin,154.504,um,Surface,,Distance from Origin,,1,149,
Distance from Origin,153.413,um,Surface,,Distance from Origin,,1,150,
Distance from Origin,153.391,um,Surface,,Distance from Origin,,1,151,
Distance from Origin,143.017,um,Surface,,Distance from Origin,,1,152,
Distance from Origin,142.184,um,Surface,,Distance from Origin,,1,153,
Distance to Image Border XY,28.6898,um,Surface,,,Image 1,1,104,
Distance to Image Border XY,30.0391,um,Surface,,,Image 1,1,105,
Distance to Image Border XY,22.3199,um,Surface,,,Image 1,1,106,
Distance to Image Border XY,15.1895,um,Surface,,,Image 1,1,107,
Distance to Image Border XY,10.9955,um,Surface,,,Image 1,1,108,
Distance to Image Border XY,23.515,um,Surface,,,Image 1,1,111,
Distance to Image Border XY,18.1289,um,Surface,,,Image 1,1,112,
Distance to Image Border XY,20.6212,um,Surface,,,Image 1,1,113,
Distance to Image Border XY,24.7657,um,Surface,,,Image 1,1,118,
Distance to Image Border XY,22.551,um,Surface,,,Image 1,1,119,
Distance to Image Border XY,14.6985,um,Surface,,,Image 1,1,122,
Distance to Image Border XY,13.0326,um,Surface,,,Image 1,1,124,
Distance to Image Border XY,6.98586,um,Surface,,,Image 1,1,125,
Distance to Image Border XY,9.09894,um,Surface,,,Image 1,1,126,
Distance to Image Border XY,8.85594,um,Surface,,,Image 1,1,127,
Distance to Image Border XY,18.649,um,Surface,,,Image 1,1,131,
Distance to Image Border XY,13.6871,um,Surface,,,Image 1,1,132,
Distance to Image Border XY,12.2525,um,Surface,,,Image 1,1,133,
Distance to Image Border XY,27.4842,um,Surface,,,Image 1,1,134,
Distance to Image Border XY,23.4769,um,Surface,,,Image 1,1,136,
Distance to Image Border XY,24.3148,um,Surface,,,Image 1,1,137,
Distance to Image Border XY,26.9106,um,Surface,,,Image 1,1,138,
Distance to Image Border XY,16.8768,um,Surface,,,Image 1,1,139,
Distance to Image Border XY,28.1313,um,Surface,,,Image 1,1,145,
Distance to Image Border XY,24.9426,um,Surface,,,Image 1,1,149,
Distance to Image Border XY,27.5604,um,Surface,,,Image 1,1,150,
Distance to Image Border XY,27.7365,um,Surface,,,Image 1,1,151,
Distance to Image Border XY,21.8914,um,Surface,,,Image 1,1,152,
Distance to Image Border XY,21.448,um,Surface,,,Image 1,1,153,
Ellipticity (oblate),0.2567,,Surface,,,,1,104,
Ellipticity (oblate),0.523592,,Surface,,,,1,105,
Ellipticity (oblate),0.285576,,Surface,,,,1,106,
Ellipticity (oblate),0.0977658,,Surface,,,,1,107,
Ellipticity (oblate),0.312064,,Surface,,,,1,108,
Ellipticity (oblate),0.607208,,Surface,,,,1,111,
Ellipticity (oblate),0.149245,,Surface,,,,1,112,
Ellipticity (oblate),0.604545,,Surface,,,,1,113,
Ellipticity (oblate),0.408582,,Surface,,,,1,118,
Ellipticity (oblate),0.268284,,Surface,,,,1,119,
Ellipticity (oblate),0.0647508,,Surface,,,,1,122,
Ellipticity (oblate),0.0888243,,Surface,,,,1,124,
Ellipticity (oblate),0.171968,,Surface,,,,1,125,
Ellipticity (oblate),0.644123,,Surface,,,,1,126,
Ellipticity (oblate),0.134799,,Surface,,,,1,127,
Ellipticity (oblate),0.347107,,Surface,,,,1,131,
Ellipticity (oblate),0.180075,,Surface,,,,1,132,
Ellipticity (oblate),0.349264,,Surface,,,,1,133,
Ellipticity (oblate),0.182902,,Surface,,,,1,134,
Ellipticity (oblate),0.252684,,Surface,,,,1,136,
Ellipticity (oblate),0.425614,,Surface,,,,1,137,
Ellipticity (oblate),0.188448,,Surface,,,,1,138,
Ellipticity (oblate),0.0549731,,Surface,,,,1,139,
Ellipticity (oblate),0.22779,,Surface,,,,1,145,
Ellipticity (oblate),0.0740507,,Surface,,,,1,149,
Ellipticity (oblate),0.696634,,Surface,,,,1,150,
Ellipticity (oblate),0.224904,,Surface,,,,1,151,
Ellipticity (oblate),0.692617,,Surface,,,,1,152,
Ellipticity (oblate),0.208118,,Surface,,,,1,153,
Ellipticity (prolate),0.381806,,Surface,,,,1,104,
Ellipticity (prolate),0.32235,,Surface,,,,1,105,
