
Detailed
 ==================== 
Variable,Value,Unit,Category,Collection,Depth,Distance,Level,Radius,Time,Type,FilamentID,ID,
Dendrite Area,43.6713,um^2,Dendrite,,0,,1,,1,,100000000,510000000001,
Dendrite Area,4.22116,um^2,Dendrite,,1,,1,,1,,100000000,510000000055,
Dendrite Area,3.27568,um^2,Dendrite,,2,,1,,1,,100000000,510000000059,
Dendrite Area,6.45285,um^2,Dendrite,,3,,1,,1,,100000000,510000000062,
Dendrite Area,61.9172,um^2,Dendrite,,4,,1,,1,,100000000,510000000069,
Dendrite Area,34.0703,um^2,Dendrite,,5,,1,,1,,100000000,510000000149,
Dendrite Area,6.36095,um^2,Dendrite,,6,,1,,1,,100000000,510000000198,
Dendrite Area,53.5737,um^2,Dendrite,,7,,1,,1,,100000000,510000000205,
Dendrite Area,3.37815,um^2,Dendrite,,8,,1,,1,,100000000,510000000290,
Dendrite Area,18.5008,um^2,Dendrite,,9,,1,,1,,100000000,510000000293,
Dendrite Area,20.881,um^2,Dendrite,,10,,1,,1,,100000000,510000000317,
Dendrite Area,17.6829,um^2,Dendrite,,11,,1,,1,,100000000,510000000344,
Dendrite Area,11.8804,um^2,Dendrite,,12,,1,,1,,100000000,510000000377,
Dendrite Area,28.1185,um^2,Dendrite,,13,,1,,1,,100000000,510000000395,
Dendrite Area,17.9217,um^2,Dendrite,,6,,2,,1,,100000000,510000000441,
Dendrite Area,1.45016,um^2,Dendrite,,7,,3,,1,,100000000,510000000475,
Dendrite Area,25.3232,um^2,Dendrite,,0,,1,,1,,100000000,510000000479,
Dendrite Area,5.41344,um^2,Dendrite,,1,,1,,1,,100000000,510000000514,
Dendrite Area,34.3096,um^2,Dendrite,,2,,1,,1,,100000000,510000000523,
Dendrite Area,13.8875,um^2,Dendrite,,3,,2,,1,,100000000,510000000592,
Dendrite Area,26.4384,um^2,Dendrite,,4,,2,,1,,100000000,510000000618,
Dendrite Area,25.8936,um^2,Dendrite,,5,,2,,1,,100000000,510000000661,
Dendrite Area,8.16062,um^2,Dendrite,,6,,2,,1,,100000000,510000000708,
Dendrite Area,1.86314,um^2,Dendrite,,7,,3,,1,,100000000,510000000723,
Dendrite Area,17.3974,um^2,Dendrite,,2,,2,,1,,100000000,510000000728,
Dendrite Area,13.5041,um^2,Dendrite,,3,,2,,1,,100000000,510000000772,
Dendrite Area,4.28945,um^2,Dendrite,,4,,2,,1,,100000000,510000000798,
Dendrite Area,10.4405,um^2,Dendrite,,4,,3,,1,,100000000,510000000836,
Dendrite Area,27.7705,um^2,Dendrite,,13,,2,,1,,100000000,510000000850,
Dendrite Area,12.7488,um^2,Dendrite,,14,,3,,1,,100000000,510000000898,
Dendrite Area,2.36556,um^2,Dendrite,,15,,4,,1,,100000000,510000000920,
Dendrite Area,7.19729,um^2,Dendrite,,16,,5,,1,,100000000,510000000927,
Dendrite Area,21.9007,um^2,Dendrite,,17,,5,,1,,100000000,510000000947,
Dendrite Area,14.1467,um^2,Dendrite,,17,,6,,1,,100000000,510000000996,
Dendrite Area,93.732,um^2,Dendrite,,1,,2,,1,,100000000,510000001030,
Dendrite Area,28.9643,um^2,Dendrite,,5,,2,,1,,100000000,510000001198,
Dendrite Area,32.8486,um^2,Dendrite,,10,,2,,1,,100000000,510000001253,
Dendrite Area,9.32697,um^2,Dendrite,,15,,3,,1,,100000000,510000001334,
Dendrite Area,1.95695,um^2,Dendrite,,14,,2,,1,,100000000,510000001359,
Dendrite Area,4.80013,um^2,Dendrite,,15,,2,,1,,100000000,510000001361,
Dendrite Area,17.3019,um^2,Dendrite,,16,,3,,1,,100000000,510000001369,
Dendrite Area,8.41109,um^2,Dendrite,,16,,2,,1,,100000000,510000001408,
Dendrite Area,11.5842,um^2,Dendrite,,15,,3,,1,,100000000,510000001452,
Dendrite Area,28.3546,um^2,Dendrite,,11,,2,,1,,100000000,510000001469,
Dendrite Area,12.6883,um^2,Dendrite,,12,,2,,1,,100000000,510000001520,
Dendrite Area,12.4238,um^2,Dendrite,,9,,2,,1,,100000000,510000001545,
Dendrite Area,7.56728,um^2,Dendrite,,8,,2,,1,,100000000,510000001566,
Dendrite Area,12.6529,um^2,Dendrite,,7,,2,,1,,100000000,510000001582,
Dendrite Area,7.17538,um^2,Dendrite,,7,,2,,1,,100000000,510000001616,
Dendrite Area,9.39901,um^2,Dendrite,,1,,2,,1,,100000000,510000001683,
Dendrite Area,20.8917,um^2,Dendrite,,5,,3,,1,,100000000,510000001782,
Dendrite Area,9.38092,um^2,Dendrite,,3,,3,,1,,100000000,510000001833,
Dendrite Area,6.92192,um^2,Dendrite,,6,,3,,1,,100000000,510000001858,
Dendrite Area,18.0981,um^2,Dendrite,,7,,2,,1,,100000000,510000001895,
Dendrite Area,12.4928,um^2,Dendrite,,3,,1,,1,,100000000,510000001948,
Dendrite Area,35.6028,um^2,Dendrite,,3,,2,,1,,100000000,510000002012,
Dendrite Area,19.7129,um^2,Dendrite,,2,,2,,1,,100000000,510000002183,
Dendrite Area,0.483392,um^2,Dendrite,,16,,4,,1,,100000000,510000002220,
Dendrite Branch Depth,0,,Dendrite,,0,,1,,1,,100000000,510000000001,
Dendrite Branch Depth,1,,Dendrite,,1,,1,,1,,100000000,510000000055,
Dendrite Branch Depth,2,,Dendrite,,2,,1,,1,,100000000,510000000059,
Dendrite Branch Depth,3,,Dendrite,,3,,1,,1,,100000000,510000000062,
Dendrite Branch Depth,4,,Dendrite,,4,,1,,1,,100000000,510000000069,
Dendrite Branch Depth,5,,Dendrite,,5,,1,,1,,100000000,510000000149,
Dendrite Branch Depth,6,,Dendrite,,6,,1,,1,,100000000,510000000198,
Dendrite Branch Depth,7,,Dendrite,,7,,1,,1,,100000000,510000000205,
Dendrite Branch Depth,8,,Dendrite,,8,,1,,1,,100000000,510000000290,
Dendrite Branch Depth,9,,Dendrite,,9,,1,,1,,100000000,510000000293,
Dendrite Branch Depth,10,,Dendrite,,10,,1,,1,,100000000,510000000317,
Dendrite Branch Depth,11,,Dendrite,,11,,1,,1,,100000000,510000000344,
Dendrite Branch Depth,12,,Dendrite,,12,,1,,1,,100000000,510000000377,
Dendrite Branch Depth,13,,Dendrite,,13,,1,,1,,100000000,510000000395,
Dendrite Branch Depth,6,,Dendrite,,6,,2,,1,,100000000,510000000441,
Dendrite Branch Depth,7,,Dendrite,,7,,3,,1,,100000000,510000000475,
Dendrite Branch Depth,0,,Dendrite,,0,,1,,1,,100000000,510000000479,
Dendrite Branch Depth,1,,Dendrite,,1,,1,,1,,100000000,510000000514,
Dendrite Branch Depth,2,,Dendrite,,2,,1,,1,,100000000,510000000523,
Dendrite Branch Depth,3,,Dendrite,,3,,2,,1,,100000000,510000000592,
Dendrite Branch Depth,4,,Dendrite,,4,,2,,1,,100000000,510000000618,
Dendrite Branch Depth,5,,Dendrite,,5,,2,,1,,100000000,510000000661,
Dendrite Branch Depth,6,,Dendrite,,6,,2,,1,,100000000,510000000708,
Dendrite Branch Depth,7,,Dendrite,,7,,3,,1,,100000000,510000000723,
Dendrite Branch Depth,2,,Dendrite,,2,,2,,1,,100000000,510000000728,
Dendrite Branch Depth,3,,Dendrite,,3,,2,,1,,100000000,510000000772,
Dendrite Branch Depth,4,,Dendrite,,4,,2,,1,,100000000,510000000798,
Dendrite Branch Depth,4,,Dendrite,,4,,3,,1,,100000000,510000000836,
