Detailed,,,,,,,,
 ==================== ,,,,,,,,
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID
Area,0.0566047,um^2,Surface,,,,1,0
Area,0.255948,um^2,Surface,,,,1,1
Area,0.468484,um^2,Surface,,,,1,2
Area,8.32745,um^2,Surface,,,,1,3
Area,0.0196377,um^2,Surface,,,,1,4
Area,2.40277,um^2,Surface,,,,1,5
Area,0.0166087,um^2,Surface,,,,1,6
Area,0.125036,um^2,Surface,,,,1,7
Area,1.38076,um^2,Surface,,,,1,8
Area,0.0675442,um^2,Surface,,,,1,9
Area,0.149647,um^2,Surface,,,,1,10
Area,0.0166087,um^2,Surface,,,,1,11
Area,1.04091,um^2,Surface,,,,1,12
Area,3.85314,um^2,Surface,,,,1,13
Area,2.79013,um^2,Surface,,,,1,14
Area,1.117,um^2,Surface,,,,1,15
Area,7.8792,um^2,Surface,,,,1,16
Area,6.03368,um^2,Surface,,,,1,17
Area,0.307541,um^2,Surface,,,,1,18
Area,0.0166087,um^2,Surface,,,,1,19
Area,6.39818,um^2,Surface,,,,1,20
Area,6.70251,um^2,Surface,,,,1,21
Area,0.0950209,um^2,Surface,,,,1,22
Area,4.83868,um^2,Surface,,,,1,23
Area,5.64525,um^2,Surface,,,,1,24
Area,4.62142,um^2,Surface,,,,1,25
Area,18.835,um^2,Surface,,,,1,26
Area,10.4515,um^2,Surface,,,,1,27
Area,8.83513,um^2,Surface,,,,1,28
Area,1.95907,um^2,Surface,,,,1,29
Area,0.0749699,um^2,Surface,,,,1,30
Area,14.0223,um^2,Surface,,,,1,31
Area,13.4483,um^2,Surface,,,,1,32
Contact surface area,0.03,um,Surface,,,,,0
Contact surface area,1.0625,um,Surface,,,,,1
Contact surface area,0.045,um,Surface,,,,,2
Contact surface area,0.0075,um,Surface,,,,,3
Contact surface area,6.0275,um,Surface,,,,,4
Contact surface area,7.9475,um,Surface,,,,,5
Contact surface area,7.835,um,Surface,,,,,6
Contact surface area,2.6,um,Surface,,,,,7
Contact surface area,3.205,um,Surface,,,,,8
Contact surface area,11.0175,um,Surface,,,,,9
Contact surface area,0.06,um,Surface,,,,,10
Contact surface area,0.69,um,Surface,,,,,11
Contact surface area,1.59,um,Surface,,,,,12
Contact surface area,0.5975,um,Surface,,,,,13
Contact surface area,0.0075,um,Surface,,,,,14
Contact surface area,0.075,um,Surface,,,,,15
Contact surface area,0.0075,um,Surface,,,,,16
Contact surface area,0.5325,um,Surface,,,,,17
Contact surface area,2.2275,um,Surface,,,,,18
