
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,4.37479,um^2,Surface,,,,1,96,
Area,0.996689,um^2,Surface,,,,1,97,
Area,2.64669,um^2,Surface,,,,1,98,
Area,3.23807,um^2,Surface,,,,1,99,
Area,2.12835,um^2,Surface,,,,1,100,
Area,0.709045,um^2,Surface,,,,1,102,
Area,3.35391,um^2,Surface,,,,1,104,
Area,1.02898,um^2,Surface,,,,1,105,
Area,3.48047,um^2,Surface,,,,1,106,
Area,0.983258,um^2,Surface,,,,1,108,
Area,1.8292,um^2,Surface,,,,1,110,
Area,6.80091,um^2,Surface,,,,1,111,
Area,1.14003,um^2,Surface,,,,1,112,
Area,0.755817,um^2,Surface,,,,1,113,
Area,1.99471,um^2,Surface,,,,1,114,
Area,2.92161,um^2,Surface,,,,1,115,
Area,5.02711,um^2,Surface,,,,1,116,
Area,1.48837,um^2,Surface,,,,1,117,
Area,7.99312,um^2,Surface,,,,1,118,
Area,1.47632,um^2,Surface,,,,1,119,
Area,3.24908,um^2,Surface,,,,1,120,
Area,5.0993,um^2,Surface,,,,1,121,
Area,1.54991,um^2,Surface,,,,1,122,
Area,1.4064,um^2,Surface,,,,1,123,
Area,6.94139,um^2,Surface,,,,1,124,
Area,1.19362,um^2,Surface,,,,1,125,
Area,3.47443,um^2,Surface,,,,1,126,
Area,3.54902,um^2,Surface,,,,1,128,
Area,3.23835,um^2,Surface,,,,1,130,
Area,7.18839,um^2,Surface,,,,1,131,
Area,0.91333,um^2,Surface,,,,1,132,
Area,2.05216,um^2,Surface,,,,1,134,
Area,2.21804,um^2,Surface,,,,1,135,
Area,3.4626,um^2,Surface,,,,1,136,
Area,5.25934,um^2,Surface,,,,1,137,
Area,1.19809,um^2,Surface,,,,1,138,
Area,2.86213,um^2,Surface,,,,1,139,
Area,3.46879,um^2,Surface,,,,1,140,
Area,9.34692,um^2,Surface,,,,1,141,
Area,17.3679,um^2,Surface,,,,1,142,
Area,3.22597,um^2,Surface,,,,1,143,
Area,9.41195,um^2,Surface,,,,1,144,
Area,1.22693,um^2,Surface,,,,1,145,
Area,1.54305,um^2,Surface,,,,1,146,
Area,4.86418,um^2,Surface,,,,1,147,
Area,9.64219,um^2,Surface,,,,1,148,
Area,13.2777,um^2,Surface,,,,1,149,
Area,12.2589,um^2,Surface,,,,1,150,
Area,3.82903,um^2,Surface,,,,1,151,
Area,1.9315,um^2,Surface,,,,1,153,
Area,4.0251,um^2,Surface,,,,1,154,
Area,1.94444,um^2,Surface,,,,1,155,
Area,23.1272,um^2,Surface,,,,1,156,
Area,1.21494,um^2,Surface,,,,1,157,
Area,8.26522,um^2,Surface,,,,1,159,
Area,11.284,um^2,Surface,,,,1,160,
Area,7.85523,um^2,Surface,,,,1,161,
Area,5.42977,um^2,Surface,,,,1,162,
Area,1.16508,um^2,Surface,,,,1,164,
Area,2.70324,um^2,Surface,,,,1,165,
Area,2.9359,um^2,Surface,,,,1,166,
Area,1.38216,um^2,Surface,,,,1,167,
Area,3.98185,um^2,Surface,,,,1,171,
Area,2.28725,um^2,Surface,,,,1,174,
Area,6.5721,um^2,Surface,,,,1,175,
Area,3.83445,um^2,Surface,,,,1,176,
Area,5.46993,um^2,Surface,,,,1,177,
Area,2.7696,um^2,Surface,,,,1,178,
Area,4.19254,um^2,Surface,,,,1,179,
Area,3.26515,um^2,Surface,,,,1,180,
Area,1.18339,um^2,Surface,,,,1,182,
Area,1.92369,um^2,Surface,,,,1,184,
Area,2.8977,um^2,Surface,,,,1,185,
Area,1.88464,um^2,Surface,,,,1,186,
Area,3.91775,um^2,Surface,,,,1,188,
Area,2.71019,um^2,Surface,,,,1,189,
Area,2.95918,um^2,Surface,,,,1,190,
Area,3.42852,um^2,Surface,,,,1,191,
Distance from Origin,157.521,um,Surface,,Distance from Origin,,1,96,
Distance from Origin,180.157,um,Surface,,Distance from Origin,,1,97,
Distance from Origin,178.067,um,Surface,,Distance from Origin,,1,98,
Distance from Origin,178.65,um,Surface,,Distance from Origin,,1,99,
Distance from Origin,174.924,um,Surface,,Distance from Origin,,1,100,
Distance from Origin,172.503,um,Surface,,Distance from Origin,,1,102,
Distance from Origin,153.733,um,Surface,,Distance from Origin,,1,104,
Distance from Origin,147.246,um,Surface,,Distance from Origin,,1,105,
Distance from Origin,158.978,um,Surface,,Distance from Origin,,1,106,
Distance from Origin,147.816,um,Surface,,Distance from Origin,,1,108,
Distance from Origin,150.259,um,Surface,,Distance from Origin,,1,110,
Distance from Origin,152.95,um,Surface,,Distance from Origin,,1,111,
Distance from Origin,160.684,um,Surface,,Distance from Origin,,1,112,
Distance from Origin,160.077,um,Surface,,Distance from Origin,,1,113,
Distance from Origin,155.979,um,Surface,,Distance from Origin,,1,114,
Distance from Origin,157.965,um,Surface,,Distance from Origin,,1,115,
Distance from Origin,172.913,um,Surface,,Distance from Origin,,1,116,
Distance from Origin,157.559,um,Surface,,Distance from Origin,,1,117,
Distance from Origin,169.641,um,Surface,,Distance from Origin,,1,118,
Distance from Origin,171.664,um,Surface,,Distance from Origin,,1,119,
Distance from Origin,172.504,um,Surface,,Distance from Origin,,1,120,
Distance from Origin,168,um,Surface,,Distance from Origin,,1,121,
Distance from Origin,167.538,um,Surface,,Distance from Origin,,1,122,
Distance from Origin,164.801,um,Surface,,Distance from Origin,,1,123,
Distance from Origin,166.322,um,Surface,,Distance from Origin,,1,124,
Distance from Origin,168.625,um,Surface,,Distance from Origin,,1,125,
Distance from Origin,162.859,um,Surface,,Distance from Origin,,1,126,
Distance from Origin,163.527,um,Surface,,Distance from Origin,,1,128,
Distance from Origin,153.528,um,Surface,,Distance from Origin,,1,130,
Distance from Origin,160.501,um,Surface,,Distance from Origin,,1,131,
Distance from Origin,156.885,um,Surface,,Distance from Origin,,1,132,
Distance from Origin,152.095,um,Surface,,Distance from Origin,,1,134,
Distance from Origin,155.271,um,Surface,,Distance from Origin,,1,135,
Distance from Origin,140.85,um,Surface,,Distance from Origin,,1,136,
Distance from Origin,142.847,um,Surface,,Distance from Origin,,1,137,
Distance from Origin,164.613,um,Surface,,Distance from Origin,,1,138,
Distance from Origin,141.406,um,Surface,,Distance from Origin,,1,139,
Distance from Origin,148.07,um,Surface,,Distance from Origin,,1,140,
Distance from Origin,161.597,um,Surface,,Distance from Origin,,1,141,
Distance from Origin,151.507,um,Surface,,Distance from Origin,,1,142,
