
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,2159.25,um^2,Surface,,,,1,108,
Area,15.9187,um^2,Surface,,,,1,109,
Area,5.46776,um^2,Surface,,,,1,111,
Area,4.63348,um^2,Surface,,,,1,117,
Area,15.0566,um^2,Surface,,,,1,118,
Area,3.59939,um^2,Surface,,,,1,136,
Area,21.5503,um^2,Surface,,,,1,140,
Area,16.3494,um^2,Surface,,,,1,156,
Area,3.73839,um^2,Surface,,,,1,158,
Area,4.08134,um^2,Surface,,,,1,160,
Area,9.35124,um^2,Surface,,,,1,161,
Area,15.1128,um^2,Surface,,,,1,162,
Area,9.29654,um^2,Surface,,,,1,163,
Area,5.48014,um^2,Surface,,,,1,164,
Area,4.42094,um^2,Surface,,,,1,165,
Area,14.2243,um^2,Surface,,,,1,166,
Area,6.14347,um^2,Surface,,,,1,167,
Area,29.7553,um^2,Surface,,,,1,169,
Area,11.9313,um^2,Surface,,,,1,172,
Area,14.4744,um^2,Surface,,,,1,190,
Area,6.07285,um^2,Surface,,,,1,197,
Area,202.114,um^2,Surface,,,,1,220,
Area,36.074,um^2,Surface,,,,1,221,
Area,59.0865,um^2,Surface,,,,1,222,
Area,102.063,um^2,Surface,,,,1,223,
Area,7.73642,um^2,Surface,,,,1,224,
Area,142.404,um^2,Surface,,,,1,225,
Distance from Origin,154.358,um,Surface,,Distance from Origin,,1,108,
Distance from Origin,145.256,um,Surface,,Distance from Origin,,1,109,
Distance from Origin,160.916,um,Surface,,Distance from Origin,,1,111,
Distance from Origin,164.238,um,Surface,,Distance from Origin,,1,117,
Distance from Origin,168.608,um,Surface,,Distance from Origin,,1,118,
Distance from Origin,180.062,um,Surface,,Distance from Origin,,1,136,
Distance from Origin,141.928,um,Surface,,Distance from Origin,,1,140,
Distance from Origin,160.403,um,Surface,,Distance from Origin,,1,156,
Distance from Origin,158.312,um,Surface,,Distance from Origin,,1,158,
Distance from Origin,150.25,um,Surface,,Distance from Origin,,1,160,
Distance from Origin,148.303,um,Surface,,Distance from Origin,,1,161,
Distance from Origin,146.964,um,Surface,,Distance from Origin,,1,162,
Distance from Origin,149.305,um,Surface,,Distance from Origin,,1,163,
Distance from Origin,144.114,um,Surface,,Distance from Origin,,1,164,
Distance from Origin,142.45,um,Surface,,Distance from Origin,,1,165,
Distance from Origin,115.251,um,Surface,,Distance from Origin,,1,166,
Distance from Origin,135.048,um,Surface,,Distance from Origin,,1,167,
Distance from Origin,116.93,um,Surface,,Distance from Origin,,1,169,
Distance from Origin,160.499,um,Surface,,Distance from Origin,,1,172,
Distance from Origin,159.684,um,Surface,,Distance from Origin,,1,190,
Distance from Origin,161.012,um,Surface,,Distance from Origin,,1,197,
Distance from Origin,130.719,um,Surface,,Distance from Origin,,1,220,
Distance from Origin,138.328,um,Surface,,Distance from Origin,,1,221,
Distance from Origin,141.296,um,Surface,,Distance from Origin,,1,222,
Distance from Origin,152.476,um,Surface,,Distance from Origin,,1,223,
Distance from Origin,166.127,um,Surface,,Distance from Origin,,1,224,
Distance from Origin,161.618,um,Surface,,Distance from Origin,,1,225,
Distance to Image Border XY,16.6748,um,Surface,,,Image 1,1,108,
Distance to Image Border XY,30.7343,um,Surface,,,Image 1,1,109,
Distance to Image Border XY,27.7074,um,Surface,,,Image 1,1,111,
Distance to Image Border XY,27.5627,um,Surface,,,Image 1,1,117,
Distance to Image Border XY,22.2141,um,Surface,,,Image 1,1,118,
Distance to Image Border XY,25.1639,um,Surface,,,Image 1,1,136,
Distance to Image Border XY,23.3006,um,Surface,,,Image 1,1,140,
