
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,5.47684,um^2,Surface,,,,1,245,
Area,3.53812,um^2,Surface,,,,1,247,
Area,2.0032,um^2,Surface,,,,1,248,
Area,4.78358,um^2,Surface,,,,1,249,
Area,3.45707,um^2,Surface,,,,1,250,
Area,22.8961,um^2,Surface,,,,1,252,
Area,4.67937,um^2,Surface,,,,1,256,
Area,7.03245,um^2,Surface,,,,1,258,
Area,3.49531,um^2,Surface,,,,1,259,
Area,4.25908,um^2,Surface,,,,1,260,
Area,2.37877,um^2,Surface,,,,1,261,
Area,4.06034,um^2,Surface,,,,1,262,
Area,3.39153,um^2,Surface,,,,1,263,
Area,10.2122,um^2,Surface,,,,1,264,
Area,3.90781,um^2,Surface,,,,1,266,
Area,2.61624,um^2,Surface,,,,1,267,
Area,2.84166,um^2,Surface,,,,1,268,
Area,5.6057,um^2,Surface,,,,1,269,
Area,2.73799,um^2,Surface,,,,1,270,
Area,2.13859,um^2,Surface,,,,1,271,
Area,3.4259,um^2,Surface,,,,1,272,
Area,6.63926,um^2,Surface,,,,1,274,
Area,3.23573,um^2,Surface,,,,1,276,
Area,6.39004,um^2,Surface,,,,1,277,
Area,5.65554,um^2,Surface,,,,1,278,
Area,2.70483,um^2,Surface,,,,1,279,
Area,4.54493,um^2,Surface,,,,1,283,
Area,1.07105,um^2,Surface,,,,1,284,
Area,2.79268,um^2,Surface,,,,1,285,
Area,11.7721,um^2,Surface,,,,1,287,
Area,2.70197,um^2,Surface,,,,1,288,
Area,5.22375,um^2,Surface,,,,1,289,
Area,7.63814,um^2,Surface,,,,1,290,
Area,11.3074,um^2,Surface,,,,1,291,
Area,7.7994,um^2,Surface,,,,1,293,
Area,2.76602,um^2,Surface,,,,1,294,
Area,2.65039,um^2,Surface,,,,1,295,
Area,4.37622,um^2,Surface,,,,1,297,
Area,2.16261,um^2,Surface,,,,1,298,
Area,4.1328,um^2,Surface,,,,1,299,
Area,4.02458,um^2,Surface,,,,1,300,
Area,1.59103,um^2,Surface,,,,1,301,
Area,6.30647,um^2,Surface,,,,1,302,
Area,3.00993,um^2,Surface,,,,1,303,
Area,12.6192,um^2,Surface,,,,1,304,
Area,5.56909,um^2,Surface,,,,1,306,
Area,16.1072,um^2,Surface,,,,1,309,
Area,3.85266,um^2,Surface,,,,1,310,
