
Detailed
 ==================== 
Variable,Value,Unit,Category,Collection,Depth,Distance,Level,Radius,Time,Type,FilamentID,ID,
Dendrite Area,5.00251,um^2,Dendrite,,1,,2,,1,,100000017,510000000002,
Dendrite Area,18.5746,um^2,Dendrite,,2,,3,,1,,100000017,510000000013,
Dendrite Area,34.1171,um^2,Dendrite,,3,,3,,1,,100000017,510000000060,
Dendrite Area,17.2817,um^2,Dendrite,,4,,4,,1,,100000017,510000000146,
Dendrite Area,13.8623,um^2,Dendrite,,0,,1,,1,,100000017,510000000192,
Dendrite Area,3.02398,um^2,Dendrite,,1,,1,,1,,100000017,510000000224,
Dendrite Area,35.7431,um^2,Dendrite,,2,,2,,1,,100000017,510000000229,
Dendrite Area,35.9236,um^2,Dendrite,,1,,2,,1,,100000017,510000000320,
Dendrite Area,9.75432,um^2,Dendrite,,1,,1,,1,,100000017,510000000568,
Dendrite Area,20.6678,um^2,Dendrite,,2,,2,,1,,100000017,510000000579,
Dendrite Area,44.3257,um^2,Dendrite,,3,,3,,1,,100000017,510000000625,
Dendrite Area,21.2273,um^2,Dendrite,,2,,1,,1,,100000017,510000000827,
Dendrite Area,0.771578,um^2,Dendrite,,3,,2,,1,,100000017,510000000869,
Dendrite Area,4.29937,um^2,Dendrite,,4,,2,,1,,100000017,510000000871,
Dendrite Area,7.39801,um^2,Dendrite,,5,,2,,1,,100000017,510000000881,
Dendrite Area,1.65674,um^2,Dendrite,,6,,2,,1,,100000017,510000000895,
Dendrite Area,14.9096,um^2,Dendrite,,7,,2,,1,,100000017,510000000897,
Dendrite Area,1.59292,um^2,Dendrite,,8,,2,,1,,100000017,510000000927,
Dendrite Area,4.48976,um^2,Dendrite,,9,,2,,1,,100000017,510000000929,
Dendrite Area,23.5117,um^2,Dendrite,,10,,3,,1,,100000017,510000000938,
Dendrite Area,18.8349,um^2,Dendrite,,2,,2,,1,,100000017,510000000998,
Dendrite Area,17.265,um^2,Dendrite,,3,,3,,1,,100000017,510000001022,
Dendrite Area,23.0579,um^2,Dendrite,,1,,2,,1,,100000017,510000001295,
Dendrite Area,62.9747,um^2,Dendrite,,2,,2,,1,,100000017,510000001356,
Dendrite Area,7.17863,um^2,Dendrite,,3,,2,,1,,100000017,510000002296,
