
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,44.9802,um^2,Surface,,,,1,326,
Area,19.1614,um^2,Surface,,,,1,327,
Area,40.4171,um^2,Surface,,,,1,328,
Area,39.6022,um^2,Surface,,,,1,329,
Area,44.2521,um^2,Surface,,,,1,330,
Area,25.7235,um^2,Surface,,,,1,331,
Area,21.3798,um^2,Surface,,,,1,332,
Area,12.6436,um^2,Surface,,,,1,333,
Area,41.114,um^2,Surface,,,,1,335,
Area,49.0788,um^2,Surface,,,,1,337,
Area,12.4208,um^2,Surface,,,,1,338,
Area,39.8587,um^2,Surface,,,,1,340,
Area,37.1844,um^2,Surface,,,,1,341,
Area,29.5985,um^2,Surface,,,,1,342,
Area,54.3229,um^2,Surface,,,,1,343,
Area,42.3396,um^2,Surface,,,,1,344,
Area,27.9267,um^2,Surface,,,,1,351,
Area,1358.19,um^2,Surface,,,,1,354,
Area,13.0747,um^2,Surface,,,,1,355,
Area,21.7355,um^2,Surface,,,,1,357,
Distance from Origin,141.144,um,Surface,,Distance from Origin,,1,326,
Distance from Origin,138.269,um,Surface,,Distance from Origin,,1,327,
Distance from Origin,144.296,um,Surface,,Distance from Origin,,1,328,
Distance from Origin,137.429,um,Surface,,Distance from Origin,,1,329,
Distance from Origin,140.982,um,Surface,,Distance from Origin,,1,330,
Distance from Origin,137.761,um,Surface,,Distance from Origin,,1,331,
Distance from Origin,123.099,um,Surface,,Distance from Origin,,1,332,
Distance from Origin,135.857,um,Surface,,Distance from Origin,,1,333,
Distance from Origin,145.168,um,Surface,,Distance from Origin,,1,335,
Distance from Origin,123.652,um,Surface,,Distance from Origin,,1,337,
Distance from Origin,116.529,um,Surface,,Distance from Origin,,1,338,
Distance from Origin,127.152,um,Surface,,Distance from Origin,,1,340,
Distance from Origin,119.187,um,Surface,,Distance from Origin,,1,341,
Distance from Origin,113.895,um,Surface,,Distance from Origin,,1,342,
Distance from Origin,128.521,um,Surface,,Distance from Origin,,1,343,
Distance from Origin,160.398,um,Surface,,Distance from Origin,,1,344,
Distance from Origin,144.335,um,Surface,,Distance from Origin,,1,351,
Distance from Origin,136.903,um,Surface,,Distance from Origin,,1,354,
Distance from Origin,132.775,um,Surface,,Distance from Origin,,1,355,
Distance from Origin,129.148,um,Surface,,Distance from Origin,,1,357,
Distance to Image Border XY,33.2189,um,Surface,,,Image 1,1,326,
Distance to Image Border XY,41.5285,um,Surface,,,Image 1,1,327,
Distance to Image Border XY,35.9859,um,Surface,,,Image 1,1,328,
Distance to Image Border XY,38.9408,um,Surface,,,Image 1,1,329,
Distance to Image Border XY,30.3051,um,Surface,,,Image 1,1,330,
Distance to Image Border XY,32.5898,um,Surface,,,Image 1,1,331,
Distance to Image Border XY,45.3508,um,Surface,,,Image 1,1,332,
Distance to Image Border XY,42.9422,um,Surface,,,Image 1,1,333,
Distance to Image Border XY,49.6091,um,Surface,,,Image 1,1,335,
Distance to Image Border XY,27.7416,um,Surface,,,Image 1,1,337,
Distance to Image Border XY,24.5801,um,Surface,,,Image 1,1,338,
Distance to Image Border XY,32.8032,um,Surface,,,Image 1,1,340,
Distance to Image Border XY,27.678,um,Surface,,,Image 1,1,341,
Distance to Image Border XY,18.5771,um,Surface,,,Image 1,1,342,
Distance to Image Border XY,23.8934,um,Surface,,,Image 1,1,343,
Distance to Image Border XY,34.1552,um,Surface,,,Image 1,1,344,
Distance to Image Border XY,24.1038,um,Surface,,,Image 1,1,351,
Distance to Image Border XY,7.15185,um,Surface,,,Image 1,1,354,
Distance to Image Border XY,52.0396,um,Surface,,,Image 1,1,355,
Distance to Image Border XY,31.0278,um,Surface,,,Image 1,1,357,
Ellipticity (oblate),0.217232,,Surface,,,,1,326,
Ellipticity (oblate),0.470186,,Surface,,,,1,327,
Ellipticity (oblate),0.277362,,Surface,,,,1,328,
Ellipticity (oblate),0.210518,,Surface,,,,1,329,
Ellipticity (oblate),0.343178,,Surface,,,,1,330,
Ellipticity (oblate),0.39236,,Surface,,,,1,331,
Ellipticity (oblate),0.469067,,Surface,,,,1,332,
Ellipticity (oblate),0.592947,,Surface,,,,1,333,
Ellipticity (oblate),0.161347,,Surface,,,,1,335,
Ellipticity (oblate),0.158893,,Surface,,,,1,337,
Ellipticity (oblate),0.499108,,Surface,,,,1,338,
Ellipticity (oblate),0.618914,,Surface,,,,1,340,
Ellipticity (oblate),0.167168,,Surface,,,,1,341,
Ellipticity (oblate),0.133247,,Surface,,,,1,342,
Ellipticity (oblate),0.23365,,Surface,,,,1,343,
Ellipticity (oblate),0.27988,,Surface,,,,1,344,
Ellipticity (oblate),0.596904,,Surface,,,,1,351,
Ellipticity (oblate),0.185497,,Surface,,,,1,354,
Ellipticity (oblate),0.301988,,Surface,,,,1,355,
Ellipticity (oblate),0.5671,,Surface,,,,1,357,
Ellipticity (prolate),0.57414,,Surface,,,,1,326,
