
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,11.7247,um^2,Surface,,,,1,104,
Area,1.63438,um^2,Surface,,,,1,108,
Area,5.64327,um^2,Surface,,,,1,111,
Area,1.20612,um^2,Surface,,,,1,112,
Area,8.49022,um^2,Surface,,,,1,113,
Area,1.75918,um^2,Surface,,,,1,114,
Area,4.13881,um^2,Surface,,,,1,117,
Area,39.7339,um^2,Surface,,,,1,120,
Area,25.425,um^2,Surface,,,,1,123,
Area,4.85384,um^2,Surface,,,,1,124,
Area,9.87738,um^2,Surface,,,,1,125,
Area,24.4427,um^2,Surface,,,,1,126,
Area,2.2357,um^2,Surface,,,,1,127,
Area,8.05729,um^2,Surface,,,,1,129,
Area,5.56087,um^2,Surface,,,,1,134,
Area,10.0109,um^2,Surface,,,,1,135,
Area,108.107,um^2,Surface,,,,1,140,
Area,6.46807,um^2,Surface,,,,1,141,
Area,8.08503,um^2,Surface,,,,1,142,
Area,6.42515,um^2,Surface,,,,1,143,
Distance from Origin,137.025,um,Surface,,Distance from Origin,,1,104,
Distance from Origin,142.082,um,Surface,,Distance from Origin,,1,108,
Distance from Origin,137.182,um,Surface,,Distance from Origin,,1,111,
Distance from Origin,141.998,um,Surface,,Distance from Origin,,1,112,
Distance from Origin,143.764,um,Surface,,Distance from Origin,,1,113,
Distance from Origin,151.87,um,Surface,,Distance from Origin,,1,114,
Distance from Origin,133.986,um,Surface,,Distance from Origin,,1,117,
Distance from Origin,132.229,um,Surface,,Distance from Origin,,1,120,
Distance from Origin,130.661,um,Surface,,Distance from Origin,,1,123,
Distance from Origin,130.834,um,Surface,,Distance from Origin,,1,124,
Distance from Origin,131.908,um,Surface,,Distance from Origin,,1,125,
Distance from Origin,132.89,um,Surface,,Distance from Origin,,1,126,
Distance from Origin,132.438,um,Surface,,Distance from Origin,,1,127,
Distance from Origin,134.693,um,Surface,,Distance from Origin,,1,129,
Distance from Origin,132.476,um,Surface,,Distance from Origin,,1,134,
Distance from Origin,127.14,um,Surface,,Distance from Origin,,1,135,
Distance from Origin,139.141,um,Surface,,Distance from Origin,,1,140,
Distance from Origin,131.64,um,Surface,,Distance from Origin,,1,141,
Distance from Origin,139.657,um,Surface,,Distance from Origin,,1,142,
Distance from Origin,140.09,um,Surface,,Distance from Origin,,1,143,
Distance to Image Border XY,24.5546,um,Surface,,,Image 1,1,104,
Distance to Image Border XY,34.9755,um,Surface,,,Image 1,1,108,
Distance to Image Border XY,23.6496,um,Surface,,,Image 1,1,111,
Distance to Image Border XY,19.6234,um,Surface,,,Image 1,1,112,
Distance to Image Border XY,45.1232,um,Surface,,,Image 1,1,113,
Distance to Image Border XY,40.9038,um,Surface,,,Image 1,1,114,
Distance to Image Border XY,47.1939,um,Surface,,,Image 1,1,117,
Distance to Image Border XY,39.1939,um,Surface,,,Image 1,1,120,
Distance to Image Border XY,36.3495,um,Surface,,,Image 1,1,123,
Distance to Image Border XY,35.1154,um,Surface,,,Image 1,1,124,
Distance to Image Border XY,36.1942,um,Surface,,,Image 1,1,125,
Distance to Image Border XY,31.5335,um,Surface,,,Image 1,1,126,
Distance to Image Border XY,53.6258,um,Surface,,,Image 1,1,127,
Distance to Image Border XY,52.9318,um,Surface,,,Image 1,1,129,
Distance to Image Border XY,50.3228,um,Surface,,,Image 1,1,134,
Distance to Image Border XY,33.3663,um,Surface,,,Image 1,1,135,
Distance to Image Border XY,17.6287,um,Surface,,,Image 1,1,140,
Distance to Image Border XY,24.0063,um,Surface,,,Image 1,1,141,
Distance to Image Border XY,21.9738,um,Surface,,,Image 1,1,142,
Distance to Image Border XY,22.1099,um,Surface,,,Image 1,1,143,
Ellipticity (oblate),0.482676,,Surface,,,,1,104,
Ellipticity (oblate),0.209703,,Surface,,,,1,108,
Ellipticity (oblate),0.651676,,Surface,,,,1,111,
Ellipticity (oblate),0.332973,,Surface,,,,1,112,
Ellipticity (oblate),0.224962,,Surface,,,,1,113,
Ellipticity (oblate),0.300528,,Surface,,,,1,114,
Ellipticity (oblate),0.379471,,Surface,,,,1,117,
Ellipticity (oblate),0.218199,,Surface,,,,1,120,
Ellipticity (oblate),0.435103,,Surface,,,,1,123,
Ellipticity (oblate),0.489171,,Surface,,,,1,124,
Ellipticity (oblate),0.591832,,Surface,,,,1,125,
Ellipticity (oblate),0.250818,,Surface,,,,1,126,
Ellipticity (oblate),0.461466,,Surface,,,,1,127,
Ellipticity (oblate),0.0579112,,Surface,,,,1,129,
Ellipticity (oblate),0.581318,,Surface,,,,1,134,
Ellipticity (oblate),0.266197,,Surface,,,,1,135,
Ellipticity (oblate),0.0743751,,Surface,,,,1,140,
Ellipticity (oblate),0.583504,,Surface,,,,1,141,
Ellipticity (oblate),0.520915,,Surface,,,,1,142,
Ellipticity (oblate),0.095237,,Surface,,,,1,143,
Ellipticity (prolate),0.336363,,Surface,,,,1,104,
Ellipticity (prolate),0.54752,,Surface,,,,1,108,
Ellipticity (prolate),0.154289,,Surface,,,,1,111,
Ellipticity (prolate),0.505294,,Surface,,,,1,112,
Ellipticity (prolate),0.279544,,Surface,,,,1,113,
Ellipticity (prolate),0.631595,,Surface,,,,1,114,
Ellipticity (prolate),0.321545,,Surface,,,,1,117,
Ellipticity (prolate),0.55923,,Surface,,,,1,120,
Ellipticity (prolate),0.322854,,Surface,,,,1,123,
Ellipticity (prolate),0.346465,,Surface,,,,1,124,
Ellipticity (prolate),0.270784,,Surface,,,,1,125,
Ellipticity (prolate),0.26242,,Surface,,,,1,126,
Ellipticity (prolate),0.37331,,Surface,,,,1,127,
Ellipticity (prolate),0.443576,,Surface,,,,1,129,
Ellipticity (prolate),0.174457,,Surface,,,,1,134,
