
Detailed
 ==================== 
Variable,Value,Unit,Category,Collection,Depth,Distance,Level,Radius,Time,Type,FilamentID,ID,
Dendrite Area,33.9257,um^2,Dendrite,,1,,1,,1,,100000000,510000000002,
Dendrite Area,9.37137,um^2,Dendrite,,2,,2,,1,,100000000,510000000036,
Dendrite Area,13.5532,um^2,Dendrite,,1,,2,,1,,100000000,510000000049,
Dendrite Area,6.23189,um^2,Dendrite,,2,,2,,1,,100000000,510000000065,
Dendrite Area,6.59698,um^2,Dendrite,,3,,3,,1,,100000000,510000000071,
Dendrite Area,8.44178,um^2,Dendrite,,4,,4,,1,,100000000,510000000081,
Dendrite Area,1.27887,um^2,Dendrite,,5,,4,,1,,100000000,510000000099,
Dendrite Area,5.57451,um^2,Dendrite,,6,,4,,1,,100000000,510000000102,
Dendrite Area,20.7664,um^2,Dendrite,,8,,4,,1,,100000000,510000000115,
Dendrite Area,6.89307,um^2,Dendrite,,9,,4,,1,,100000000,510000000145,
Dendrite Area,2.05134,um^2,Dendrite,,10,,4,,1,,100000000,510000000158,
Dendrite Area,4.39707,um^2,Dendrite,,11,,4,,1,,100000000,510000000161,
Dendrite Area,2.39775,um^2,Dendrite,,12,,4,,1,,100000000,510000000166,
Dendrite Area,14.5017,um^2,Dendrite,,13,,5,,1,,100000000,510000000168,
Dendrite Area,8.9574,um^2,Dendrite,,14,,5,,1,,100000000,510000000196,
Dendrite Area,6.11647,um^2,Dendrite,,15,,6,,1,,100000000,510000000219,
Dendrite Area,3.21876,um^2,Dendrite,,16,,6,,1,,100000000,510000000236,
Dendrite Area,28.8584,um^2,Dendrite,,17,,6,,1,,100000000,510000000244,
Dendrite Area,2.33249,um^2,Dendrite,,18,,6,,1,,100000000,510000000308,
Dendrite Area,16.5222,um^2,Dendrite,,13,,4,,1,,100000000,510000000315,
Dendrite Area,8.88817,um^2,Dendrite,,14,,4,,1,,100000000,510000000329,
Dendrite Area,3.81602,um^2,Dendrite,,15,,4,,1,,100000000,510000000336,
Dendrite Area,14.0234,um^2,Dendrite,,16,,4,,1,,100000000,510000000339,
Dendrite Area,11.6643,um^2,Dendrite,,17,,4,,1,,100000000,510000000353,
