
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,19.1958,um^2,Surface,,,,1,0,
Area,3.13144,um^2,Surface,,,,1,1,
Area,2.4067,um^2,Surface,,,,1,2,
Area,25.7457,um^2,Surface,,,,1,3,
Area,0.540983,um^2,Surface,,,,1,4,
Area,0.178222,um^2,Surface,,,,1,5,
Area,0.0291934,um^2,Surface,,,,1,6,
Area,1.77875,um^2,Surface,,,,1,7,
Area,2.21457,um^2,Surface,,,,1,8,
Area,2.24537,um^2,Surface,,,,1,9,
Area,7.58537,um^2,Surface,,,,1,10,
Area,2.93939,um^2,Surface,,,,1,11,
Area,10.1963,um^2,Surface,,,,1,12,
Area,12.61,um^2,Surface,,,,1,13,
Area,1.78302,um^2,Surface,,,,1,14,
Area,0.0166084,um^2,Surface,,,,1,15,
Area,0.110114,um^2,Surface,,,,1,16,
Area,0.049577,um^2,Surface,,,,1,17,
Area,10.7363,um^2,Surface,,,,1,18,
Area,0.175293,um^2,Surface,,,,1,19,
Area,0.0690167,um^2,Surface,,,,1,20,
Area,0.714084,um^2,Surface,,,,1,21,
Area,1.22459,um^2,Surface,,,,1,22,
Area,4.66356,um^2,Surface,,,,1,23,
Area,0.0166081,um^2,Surface,,,,1,24,
Area,1.08855,um^2,Surface,,,,1,25,
Area,0.21625,um^2,Surface,,,,1,26,
Area,0.0166088,um^2,Surface,,,,1,27,
Area,0.0672928,um^2,Surface,,,,1,28,
Area,2.34122,um^2,Surface,,,,1,29,
Area,0.0495775,um^2,Surface,,,,1,30,
Area,0.0100808,um^2,Surface,,,,1,31,
Area,0.0166095,um^2,Surface,,,,1,32,
Area,0.194189,um^2,Surface,,,,1,33,
Area,0.0166081,um^2,Surface,,,,1,34,
Area,0.0196377,um^2,Surface,,,,1,35,
Area,0.049579,um^2,Surface,,,,1,36,
Area,0.0330918,um^2,Surface,,,,1,37,
Area,0.161091,um^2,Surface,,,,1,38,
Area,0.0495762,um^2,Surface,,,,1,39,
Area,30.9932,um^2,Surface,,,,1,40,
Area,0.303893,um^2,Surface,,,,1,41,
Area,12.1286,um^2,Surface,,,,1,42,
Area,0.0166094,um^2,Surface,,,,1,43,
Area,0.213538,um^2,Surface,,,,1,44,
Area,0.607036,um^2,Surface,,,,1,45,
Area,0.0495778,um^2,Surface,,,,1,46,
Area,1.55033,um^2,Surface,,,,1,47,
Area,5.30675,um^2,Surface,,,,1,48,
Area,0.0950208,um^2,Surface,,,,1,49,
Area,6.36777,um^2,Surface,,,,1,50,
Area,2.07186,um^2,Surface,,,,1,51,
Area,3.72218,um^2,Surface,,,,1,52,
Area,7.12794,um^2,Surface,,,,1,53,
Area,9.33858,um^2,Surface,,,,1,54,
Area,0.0495774,um^2,Surface,,,,1,55,
Area,0.449753,um^2,Surface,,,,1,56,
Area,0.0166081,um^2,Surface,,,,1,57,
Area,3.83809,um^2,Surface,,,,1,58,
Area,4.21253,um^2,Surface,,,,1,59,
Area,0.829055,um^2,Surface,,,,1,60,
Area,0.743716,um^2,Surface,,,,1,61,
Area,1.61314,um^2,Surface,,,,1,62,
Area,26.0967,um^2,Surface,,,,1,63,
Area,6.31687,um^2,Surface,,,,1,64,
Area,7.896,um^2,Surface,,,,1,65,
Area,3.95642,um^2,Surface,,,,1,66,
Area,0.954503,um^2,Surface,,,,1,67,
Area,30.745,um^2,Surface,,,,1,68,
Area,6.70668,um^2,Surface,,,,1,69,
Area,0.301223,um^2,Surface,,,,1,70,
Area,0.0360592,um^2,Surface,,,,1,71,
Area,2.00592,um^2,Surface,,,,1,72,
