
Detailed
 ==================== 
Variable,Value,Unit,Category,Collection,Depth,Distance,Level,Radius,Time,Type,FilamentID,ID,
Dendrite Area,1.36183,um^2,Dendrite,,1,,1,,1,,100000001,510000000001,
Dendrite Area,3.51826,um^2,Dendrite,,2,,1,,1,,100000001,510000000003,
Dendrite Area,11.0335,um^2,Dendrite,,3,,2,,1,,100000001,510000000008,
Dendrite Area,0.396867,um^2,Dendrite,,4,,2,,1,,100000001,510000000048,
Dendrite Area,3.29528,um^2,Dendrite,,5,,2,,1,,100000001,510000000050,
Dendrite Area,11.2787,um^2,Dendrite,,6,,3,,1,,100000001,510000000067,
Dendrite Area,0.785879,um^2,Dendrite,,7,,4,,1,,100000001,510000000127,
Dendrite Area,9.57132,um^2,Dendrite,,8,,4,,1,,100000001,510000000131,
Dendrite Area,18.3943,um^2,Dendrite,,9,,4,,1,,100000001,510000000178,
Dendrite Area,4.76566,um^2,Dendrite,,10,,4,,1,,100000001,510000000256,
Dendrite Area,6.03175,um^2,Dendrite,,11,,4,,1,,100000001,510000000275,
Dendrite Area,8.04978,um^2,Dendrite,,12,,4,,1,,100000001,510000000301,
Dendrite Area,2.00924,um^2,Dendrite,,13,,5,,1,,100000001,510000000336,
Dendrite Area,8.35909,um^2,Dendrite,,1,,1,,1,,100000001,510000000343,
Dendrite Area,14.4487,um^2,Dendrite,,2,,1,,1,,100000001,510000000355,
Dendrite Area,10.9382,um^2,Dendrite,,3,,1,,1,,100000001,510000000375,
Dendrite Area,6.16163,um^2,Dendrite,,4,,1,,1,,100000001,510000000402,
Dendrite Area,3.22559,um^2,Dendrite,,5,,1,,1,,100000001,510000000422,
Dendrite Area,1.03598,um^2,Dendrite,,6,,1,,1,,100000001,510000000431,
Dendrite Area,2.20424,um^2,Dendrite,,7,,1,,1,,100000001,510000000434,
Dendrite Area,17.5421,um^2,Dendrite,,8,,2,,1,,100000001,510000000440,
Dendrite Area,12.5978,um^2,Dendrite,,9,,2,,1,,100000001,510000000523,
Dendrite Area,7.62387,um^2,Dendrite,,10,,3,,1,,100000001,510000000587,
Dendrite Area,5.02715,um^2,Dendrite,,11,,4,,1,,100000001,510000000622,
Dendrite Area,12.6701,um^2,Dendrite,,1,,1,,1,,100000001,510000000635,
Dendrite Area,16.3409,um^2,Dendrite,,2,,2,,1,,100000001,510000000654,
Dendrite Area,6.63639,um^2,Dendrite,,3,,2,,1,,100000001,510000000727,
Dendrite Area,19.894,um^2,Dendrite,,4,,3,,1,,100000001,510000000756,
Dendrite Area,11.0271,um^2,Dendrite,,5,,4,,1,,100000001,510000000860,
Dendrite Area,21.0022,um^2,Dendrite,,6,,4,,1,,100000001,510000000909,
Dendrite Area,1.79197,um^2,Dendrite,,7,,5,,1,,100000001,510000001003,
Dendrite Area,36.5957,um^2,Dendrite,,5,,3,,1,,100000001,510000001009,
Dendrite Area,4.32011,um^2,Dendrite,,3,,1,,1,,100000001,510000001146,
Dendrite Area,10.8247,um^2,Dendrite,,4,,1,,1,,100000001,510000001155,
Dendrite Area,5.93516,um^2,Dendrite,,5,,1,,1,,100000001,510000001205,
Dendrite Area,1.1567,um^2,Dendrite,,6,,1,,1,,100000001,510000001226,
Dendrite Area,17.4836,um^2,Dendrite,,7,,1,,1,,100000001,510000001231,
Dendrite Area,4.40325,um^2,Dendrite,,8,,1,,1,,100000001,510000001287,
Dendrite Area,4.2279,um^2,Dendrite,,9,,2,,1,,100000001,510000001298,
Dendrite Area,6.57593,um^2,Dendrite,,10,,2,,1,,100000001,510000001308,
Dendrite Area,13.6784,um^2,Dendrite,,11,,2,,1,,100000001,510000001329,
Dendrite Area,2.74324,um^2,Dendrite,,12,,2,,1,,100000001,510000001365,
Dendrite Area,4.25201,um^2,Dendrite,,13,,2,,1,,100000001,510000001373,
Dendrite Area,5.91944,um^2,Dendrite,,14,,2,,1,,100000001,510000001385,
Dendrite Area,10.7371,um^2,Dendrite,,15,,2,,1,,100000001,510000001403,
Dendrite Area,13.1716,um^2,Dendrite,,16,,3,,1,,100000001,510000001439,
Dendrite Area,4.19334,um^2,Dendrite,,17,,4,,1,,100000001,510000001489,
Dendrite Area,16.583,um^2,Dendrite,,17,,3,,1,,100000001,510000001495,
Dendrite Area,29.9816,um^2,Dendrite,,18,,3,,1,,100000001,510000001531,
Dendrite Area,4.73402,um^2,Dendrite,,19,,3,,1,,100000001,510000001627,
Dendrite Area,4.47196,um^2,Dendrite,,20,,4,,1,,100000001,510000001641,
Dendrite Area,12.9253,um^2,Dendrite,,10,,1,,1,,100000001,510000001651,
Dendrite Area,57.5315,um^2,Dendrite,,11,,1,,1,,100000001,510000001706,
Dendrite Area,2.10678,um^2,Dendrite,,12,,2,,1,,100000001,510000001936,
Dendrite Area,20.1456,um^2,Dendrite,,1,,1,,1,,100000001,510000001941,
Dendrite Area,7.14264,um^2,Dendrite,,2,,2,,1,,100000001,510000002018,
Dendrite Area,34.5752,um^2,Dendrite,,3,,2,,1,,100000001,510000002049,
Dendrite Area,10.6281,um^2,Dendrite,,4,,2,,1,,100000001,510000002192,
Dendrite Area,16.7418,um^2,Dendrite,,5,,3,,1,,100000001,510000002231,
Dendrite Area,25.0315,um^2,Dendrite,,6,,4,,1,,100000001,510000002304,
Dendrite Area,29.6086,um^2,Dendrite,,18,,4,,1,,100000001,510000002429,
Dendrite Area,3.15321,um^2,Dendrite,,19,,5,,1,,100000001,510000002569,
Dendrite Area,7.9777,um^2,Dendrite,,14,,5,,1,,100000001,510000002579,
Dendrite Area,1.74263,um^2,Dendrite,,8,,1,,1,,100000001,510000002618,
Dendrite Area,1.50383,um^2,Dendrite,,9,,1,,1,,100000001,510000002622,
Dendrite Area,16.0491,um^2,Dendrite,,10,,1,,1,,100000001,510000002627,
Dendrite Area,9.13726,um^2,Dendrite,,11,,1,,1,,100000001,510000002704,
Dendrite Area,20.0406,um^2,Dendrite,,12,,1,,1,,100000001,510000002753,
Dendrite Area,0.49662,um^2,Dendrite,,13,,1,,1,,100000001,510000002845,
Dendrite Area,3.12149,um^2,Dendrite,,14,,1,,1,,100000001,510000002847,
Dendrite Area,46.0136,um^2,Dendrite,,19,,4,,1,,100000001,510000002857,
Dendrite Area,14.2406,um^2,Dendrite,,6,,2,,1,,100000001,510000003053,
Dendrite Area,2.55524,um^2,Dendrite,,7,,2,,1,,100000001,510000003094,
Dendrite Area,3.88138,um^2,Dendrite,,8,,2,,1,,100000001,510000003105,
Dendrite Area,9.66926,um^2,Dendrite,,9,,2,,1,,100000001,510000003119,
Dendrite Area,1.58335,um^2,Dendrite,,10,,3,,1,,100000001,510000003167,
Dendrite Area,22.962,um^2,Dendrite,,10,,2,,1,,100000001,510000003176,
Dendrite Area,17.1574,um^2,Dendrite,,1,,1,,1,,100000001,510000003248,
Dendrite Area,1.60563,um^2,Dendrite,,2,,2,,1,,100000001,510000003299,
Dendrite Area,1.65882,um^2,Dendrite,,3,,3,,1,,100000001,510000003309,
Dendrite Area,6.47244,um^2,Dendrite,,4,,3,,1,,100000001,510000003316,
Dendrite Area,9.82923,um^2,Dendrite,,5,,3,,1,,100000001,510000003341,
Dendrite Area,8.17643,um^2,Dendrite,,6,,4,,1,,100000001,510000003371,
Dendrite Area,0.550422,um^2,Dendrite,,7,,4,,1,,100000001,510000003406,
Dendrite Area,9.1384,um^2,Dendrite,,8,,4,,1,,100000001,510000003408,
Dendrite Area,2.26012,um^2,Dendrite,,9,,5,,1,,100000001,510000003441,
Dendrite Area,33.1758,um^2,Dendrite,,10,,6,,1,,100000001,510000003451,
Dendrite Area,21.6393,um^2,Dendrite,,7,,4,,1,,100000001,510000003623,
Dendrite Area,28.4876,um^2,Dendrite,,20,,3,,1,,100000001,510000003747,
Dendrite Area,9.55015,um^2,Dendrite,,8,,2,,1,,100000001,510000003827,
Dendrite Area,10.2663,um^2,Dendrite,,9,,2,,1,,100000001,510000003860,
Dendrite Area,6.22691,um^2,Dendrite,,10,,2,,1,,100000001,510000003884,
Dendrite Area,9.11969,um^2,Dendrite,,11,,3,,1,,100000001,510000003913,
Dendrite Area,13.5856,um^2,Dendrite,,12,,3,,1,,100000001,510000003950,
Dendrite Area,8.18777,um^2,Dendrite,,13,,4,,1,,100000001,510000004015,
Dendrite Area,10.8965,um^2,Dendrite,,19,,4,,1,,100000001,510000004055,
Dendrite Area,9.23231,um^2,Dendrite,,6,,5,,1,,100000001,510000004083,
Dendrite Area,11.9569,um^2,Dendrite,,8,,5,,1,,100000001,510000004130,
Dendrite Area,21.4238,um^2,Dendrite,,12,,1,,1,,100000001,510000004174,
Dendrite Area,9.99333,um^2,Dendrite,,13,,3,,1,,100000001,510000004246,
Dendrite Area,2.69535,um^2,Dendrite,,11,,3,,1,,100000001,510000004284,
Dendrite Area,4.98881,um^2,Dendrite,,12,,3,,1,,100000001,510000004291,
Dendrite Area,25.8535,um^2,Dendrite,,13,,3,,1,,100000001,510000004302,
Dendrite Area,4.20395,um^2,Dendrite,,6,,3,,1,,100000001,510000004393,
Dendrite Area,12.7374,um^2,Dendrite,,7,,3,,1,,100000001,510000004407,
Dendrite Area,0.693973,um^2,Dendrite,,8,,3,,1,,100000001,510000004458,
Dendrite Area,17.2644,um^2,Dendrite,,9,,4,,1,,100000001,510000004461,
Dendrite Area,3.64241,um^2,Dendrite,,9,,4,,1,,100000001,510000004547,
Dendrite Area,29.2901,um^2,Dendrite,,10,,5,,1,,100000001,510000004564,
Dendrite Area,2.36176,um^2,Dendrite,,10,,4,,1,,100000001,510000004695,
Dendrite Area,7.56285,um^2,Dendrite,,11,,4,,1,,100000001,510000004706,
Dendrite Area,16.1379,um^2,Dendrite,,12,,4,,1,,100000001,510000004737,
Dendrite Area,22.8641,um^2,Dendrite,,13,,4,,1,,100000001,510000004808,
Dendrite Area,3.46176,um^2,Dendrite,,6,,3,,1,,100000001,510000004901,
Dendrite Area,8.06581,um^2,Dendrite,,7,,3,,1,,100000001,510000004915,
Dendrite Area,15.3719,um^2,Dendrite,,8,,4,,1,,100000001,510000004946,
Dendrite Area,29.4478,um^2,Dendrite,,11,,2,,1,,100000001,510000005113,
Dendrite Area,21.9967,um^2,Dendrite,,12,,3,,1,,100000001,510000005241,
Dendrite Area,11.882,um^2,Dendrite,,14,,2,,1,,100000001,510000005345,
Dendrite Area,12.1661,um^2,Dendrite,,12,,4,,1,,100000001,510000005393,
Dendrite Area,6.46068,um^2,Dendrite,,14,,4,,1,,100000001,510000005480,
